* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:05:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.816	5.9006
20.600000	97.820	5.8196
20.900000	97.826	5.6778
21.200001	97.829	5.5463
21.400000	97.831	5.4534
21.799999	97.832	5.2259
22.000000	97.833	5.0812
22.400000	97.830	4.7294
22.700001	97.825	4.4253
23.000000	97.817	4.1055
23.299999	97.806	3.7842
23.600000	97.795	3.4676
24.000000	97.787	3.0531
24.299999	97.787	2.7418
24.700001	97.793	2.3173
25.000000	97.800	1.9903
25.400000	97.811	1.5537
25.799999	97.820	1.1421
26.200001	97.829	0.7781
26.500000	97.837	0.5355
26.900000	97.849	0.2364
27.200001	97.857	0.0163
27.600000	97.867	-0.2811
28.000000	97.872	-0.5768
28.500000	97.871	-0.9204
29.000000	97.864	-1.2243
29.500000	97.855	-1.5132
30.000000	97.844	-1.8238
30.400000	97.835	-2.0906
30.700001	97.826	-2.2922
31.100000	97.814	-2.5527
31.500000	97.802	-2.8072
32.000000	97.792	-3.1401
32.500000	97.784	-3.5116
33.000000	97.777	-3.9149
33.500000	97.771	-4.3178
34.000000	97.766	-4.6884
34.500000	97.763	-5.0205
35.000000	97.762	-5.3242
35.500000	97.765	-5.6127
36.000000	97.768	-5.8976
36.500000	97.769	-6.1814
37.000000	97.767	-6.4599
37.500000	97.761	-6.7326
38.200001	97.746	-7.1094
38.700001	97.731	-7.3717
39.500000	97.706	-7.7767
40.000000	97.691	-8.0362
40.599998	97.676	-8.3720
41.200001	97.661	-8.7303
41.799999	97.649	-9.0962
42.500000	97.637	-9.5266
43.099998	97.629	-9.8909
43.700001	97.620	-10.2270
44.400002	97.608	-10.5745
45.000000	97.600	-10.8590
45.500000	97.595	-11.1030
46.200001	97.584	-11.4420
46.799999	97.570	-11.7004
47.500000	97.555	-11.9640
48.200001	97.543	-12.2388
48.700001	97.536	-12.4605
49.400002	97.521	-12.7887
50.000000	97.509	-13.0669
50.799999	97.498	-13.4447
51.500000	97.489	-13.7971
52.200001	97.474	-14.1543
53.000000	97.455	-14.5379
53.799999	97.437	-14.8959
54.500000	97.421	-15.2019
55.200001	97.408	-15.5081
56.000000	97.391	-15.8657
57.000000	97.362	-16.2966
58.000000	97.331	-16.6919
59.000000	97.299	-17.0663
60.000000	97.270	-17.3974
60.799999	97.257	-17.7034
61.500000	97.244	-18.0220
62.200001	97.225	-18.3362
63.000000	97.203	-18.6602
64.000000	97.181	-19.0586
65.000000	97.156	-19.4552
66.000000	97.130	-19.8115
67.000000	97.108	-20.1537
68.000000	97.083	-20.5273
69.000000	97.049	-20.8681
70.000000	97.015	-21.1595
71.000000	96.984	-21.4698
72.000000	96.949	-21.7983
73.000000	96.911	-22.1085
74.000000	96.879	-22.4059
75.000000	96.851	-22.7411
76.199997	96.818	-23.1702
77.500000	96.781	-23.6336
78.800003	96.736	-24.0267
80.000000	96.700	-24.3522
81.199997	96.662	-24.7227
82.500000	96.614	-25.0934
83.800003	96.571	-25.4176
85.000000	96.540	-25.7580
86.199997	96.508	-26.1296
87.500000	96.473	-26.5257
88.500000	96.449	-26.8311
90.000000	96.408	-27.2676
91.199997	96.371	-27.5748
92.500000	96.331	-27.9042
93.800003	96.285	-28.2373
95.000000	96.243	-28.5259
96.199997	96.202	-28.8339
97.500000	96.159	-29.1690
98.800003	96.116	-29.4837
100.000000	96.077	-29.7511
101.500000	96.031	-30.0763
103.000000	95.984	-30.4256
104.400002	95.938	-30.7477
106.000000	95.888	-31.0848
107.500000	95.845	-31.4126
109.000000	95.799	-31.7142
110.599998	95.754	-32.0168
112.000000	95.715	-32.3323
113.800003	95.659	-32.8180
115.000000	95.619	-33.1216
117.199997	95.556	-33.5771
118.000000	95.536	-33.7138
120.599998	95.462	-34.1130
122.000000	95.411	-34.3360
124.099998	95.330	-34.6972
125.000000	95.299	-34.8756
126.500000	95.251	-35.1875
128.000000	95.210	-35.4835
131.500000	95.121	-36.0434
132.000000	95.106	-36.1129
134.000000	95.042	-36.3673
136.000000	94.980	-36.6362
138.000000	94.919	-36.9976
140.000000	94.854	-37.3685
143.000000	94.760	-37.8195
145.000000	94.696	-38.0842
147.500000	94.619	-38.3842
150.000000	94.551	-38.6732
152.500000	94.482	-38.9914
155.000000	94.399	-39.3134
157.500000	94.318	-39.6169
160.000000	94.249	-39.9613
162.500000	94.174	-40.2773
165.000000	94.107	-40.5363
167.500000	94.036	-40.8917
170.000000	93.955	-41.2166
172.500000	93.877	-41.4662
175.000000	93.800	-41.6921
177.500000	93.725	-41.9254
