* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:07:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.966	-177.2836
20.600000	97.972	-177.3746
20.900000	97.982	-177.5411
21.200001	97.988	-177.7131
21.400000	97.990	-177.8379
21.799999	97.985	-178.1234
22.000000	97.980	-178.2835
22.400000	97.966	-178.6209
22.700001	97.952	-178.8738
23.000000	97.940	-179.1207
23.299999	97.930	-179.3693
23.600000	97.925	-179.6310
24.000000	97.924	179.9854
24.299999	97.926	179.6721
24.700001	97.931	179.2373
25.000000	97.933	178.9167
25.400000	97.936	178.5174
25.799999	97.942	178.1606
26.200001	97.952	177.8382
26.500000	97.961	177.6069
26.900000	97.972	177.3001
27.200001	97.978	177.0706
27.600000	97.981	176.7751
28.000000	97.980	176.5064
28.500000	97.977	176.2151
29.000000	97.973	175.9505
29.500000	97.969	175.6720
30.000000	97.962	175.3491
30.400000	97.954	175.0621
30.700001	97.946	174.8408
31.100000	97.932	174.5514
31.500000	97.915	174.2744
32.000000	97.894	173.9416
32.500000	97.877	173.6100
33.000000	97.866	173.2658
33.500000	97.860	172.9063
34.000000	97.856	172.5432
34.500000	97.850	172.1947
35.000000	97.845	171.8758
35.500000	97.843	171.5847
36.000000	97.844	171.2966
36.500000	97.845	170.9914
37.000000	97.840	170.6756
37.500000	97.829	170.3726
38.200001	97.808	169.9927
38.700001	97.793	169.7371
39.500000	97.770	169.3011
40.000000	97.752	169.0126
40.599998	97.729	168.6718
41.200001	97.707	168.3411
41.799999	97.690	168.0072
42.500000	97.673	167.6088
43.099998	97.661	167.2715
43.700001	97.650	166.9404
44.400002	97.634	166.5534
45.000000	97.617	166.2284
