* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -24.4 dBFS, measurement signal peak level -20.0 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:18:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0487 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: MX400 L +¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	65.126	-78.2449
20.600000	65.541	-78.8464
20.900000	66.323	-80.2696
21.200001	66.986	-82.4854
21.400000	67.351	-84.1741
21.799999	67.933	-87.3965
22.000000	68.182	-88.6645
22.400000	68.689	-90.3393
22.700001	69.131	-91.2206
23.000000	69.619	-92.3175
23.299999	70.085	-93.8929
23.600000	70.476	-95.8258
24.000000	70.846	-98.3736
24.299999	71.058	-99.7419
24.700001	71.387	-100.6974
25.000000	71.745	-101.2465
25.400000	72.353	-102.7854
25.799999	72.934	-106.0090
26.200001	73.306	-110.5317
26.500000	73.407	-113.9524
26.900000	73.368	-117.4635
27.200001	73.328	-118.9270
27.600000	73.439	-119.6738
28.000000	73.819	-120.3526
28.500000	74.465	-122.8485
29.000000	74.957	-126.9659
29.500000	75.211	-130.8411
30.000000	75.413	-133.2122
30.400000	75.671	-134.3993
30.700001	75.923	-135.3428
31.100000	76.262	-137.0317
31.500000	76.527	-139.0785
32.000000	76.724	-141.4090
32.500000	76.860	-142.8871
33.000000	77.056	-143.7881
33.500000	77.330	-144.8774
34.000000	77.603	-146.6145
34.500000	77.802	-148.8461
35.000000	77.913	-151.1487
35.500000	77.973	-153.1351
36.000000	78.050	-154.6900
36.500000	78.200	-156.0457
37.000000	78.418	-157.6371
37.500000	78.637	-159.6329
38.200001	78.846	-162.3578
38.700001	78.976	-163.5790
39.500000	79.350	-164.7010
40.000000	79.645	-165.6921
40.599998	79.931	-167.1570
41.200001	80.156	-168.1378
41.799999	80.444	-168.6282
42.500000	80.879	-169.7893
43.099998	81.185	-171.7730
43.700001	81.352	-173.9641
44.400002	81.460	-175.9239
45.000000	81.584	-177.1248
45.500000	81.735	-178.0723
46.200001	82.001	-179.5560
46.799999	82.257	178.9285
47.500000	82.533	176.8615
48.200001	82.726	174.9048
48.700001	82.833	173.9866
49.400002	83.051	173.4592
50.000000	83.349	173.0246
50.799999	83.761	171.3801
51.500000	83.961	169.3462
52.200001	84.033	167.8807
53.000000	84.146	167.1080
53.799999	84.363	166.2774
54.500000	84.559	165.0683
55.200001	84.708	163.7402
56.000000	84.868	162.5931
57.000000	85.179	161.3934
58.000000	85.508	159.3980
59.000000	85.690	157.4417
60.000000	85.864	156.3343
60.799999	86.043	155.5156
61.500000	86.203	154.7530
62.200001	86.376	153.9708
63.000000	86.590	152.8562
64.000000	86.823	151.0955
65.000000	87.003	149.4174
66.000000	87.184	148.0881
67.000000	87.395	146.8781
68.000000	87.601	145.6917
69.000000	87.821	144.6818
70.000000	88.069	143.4445
71.000000	88.273	141.8790
72.000000	88.437	140.3579
73.000000	88.584	138.8822
74.000000	88.715	137.5734
75.000000	88.866	136.4849
76.199997	89.077	135.2377
77.500000	89.325	133.8834
78.800003	89.572	132.4125
80.000000	89.788	130.9331
81.199997	89.970	129.3569
82.500000	90.158	127.8260
83.800003	90.358	126.2187
85.000000	90.523	124.8044
86.199997	90.701	123.5341
87.500000	90.895	122.1466
88.500000	91.037	121.0896
90.000000	91.243	119.5113
91.199997	91.398	118.1673
92.500000	91.543	116.6885
93.800003	91.677	115.3087
95.000000	91.809	114.1394
96.199997	91.956	113.0016
97.500000	92.124	111.6769
98.800003	92.269	110.2357
100.000000	92.377	108.9894
101.500000	92.515	107.5077
103.000000	92.644	105.9811
104.400002	92.767	104.6185
106.000000	92.918	103.0385
107.500000	93.061	101.5791
109.000000	93.204	100.1069
110.599998	93.337	98.4850
112.000000	93.428	97.1216
113.800003	93.551	95.5489
115.000000	93.647	94.4630
117.199997	93.815	92.3844
118.000000	93.872	91.6349
120.599998	94.034	89.2853
122.000000	94.111	88.0812
124.099998	94.214	86.2528
125.000000	94.252	85.4700
126.500000	94.313	84.2015
128.000000	94.379	82.9558
131.500000	94.519	80.0073
132.000000	94.534	79.6026
134.000000	94.597	78.0709
136.000000	94.673	76.5438
138.000000	94.749	74.9905
140.000000	94.813	73.4531
143.000000	94.875	71.2350
145.000000	94.902	69.7745
147.500000	94.930	67.9702
150.000000	94.962	66.2643
152.500000	95.006	64.6108
155.000000	95.043	62.9610
157.500000	95.063	61.3937
160.000000	95.073	59.8491
162.500000	95.064	58.2611
165.000000	95.043	56.7129
167.500000	95.020	55.2390
170.000000	94.994	53.8942
172.500000	94.964	52.6859
175.000000	94.929	51.5719
177.500000	94.888	50.5103
180.000000	94.848	49.4975
182.500000	94.822	48.5626
185.000000	94.809	47.6936
187.500000	94.801	46.8401
190.000000	94.796	45.9394
192.500000	94.788	44.9475
195.000000	94.768	43.8829
197.500000	94.735	42.7827
200.000000	94.692	41.7188
203.000000	94.636	40.5851
206.000000	94.570	39.5634
209.000000	94.490	38.5623
212.000000	94.404	37.6173
214.000000	94.350	37.0943
218.000000	94.269	36.1952
220.000000	94.233	35.7446
224.000000	94.146	34.8919
227.000000	94.066	34.2838
230.000000	93.978	33.6693
233.000000	93.885	33.1489
236.000000	93.791	32.7899
240.000000	93.675	32.5252
243.000000	93.608	32.4658
247.000000	93.529	32.5684
