* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -27.8 dBFS, measurement signal peak level -25.4 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:23:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0486 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: MX400 R +¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	62.407	-99.9389
20.600000	62.289	-98.6535
20.900000	62.203	-95.9062
21.200001	62.562	-92.3859
21.400000	63.072	-90.4062
21.799999	64.476	-88.7970
22.000000	65.222	-89.6495
22.400000	66.529	-94.6263
22.700001	67.248	-100.3312
23.000000	67.706	-106.7458
23.299999	67.915	-113.0881
23.600000	67.908	-118.7340
24.000000	67.653	-124.3543
24.299999	67.386	-126.7851
24.700001	67.101	-127.7543
25.000000	67.046	-127.2635
25.400000	67.247	-125.8699
25.799999	67.734	-124.5556
26.200001	68.425	-123.9873
26.500000	69.018	-124.3321
26.900000	69.818	-126.0428
27.200001	70.354	-128.2592
27.600000	70.898	-132.1487
28.000000	71.199	-136.3522
28.500000	71.267	-140.6337
29.000000	71.182	-142.7760
29.500000	71.189	-143.1093
30.000000	71.382	-143.1450
30.400000	71.595	-143.5975
30.700001	71.743	-144.1990
31.100000	71.911	-145.1005
31.500000	72.070	-145.9378
32.000000	72.315	-146.9948
32.500000	72.629	-148.5358
33.000000	72.956	-150.9641
33.500000	73.219	-154.2466
34.000000	73.360	-157.9234
34.500000	73.375	-161.2338
35.000000	73.336	-163.4728
35.500000	73.389	-164.4435
36.000000	73.647	-164.7534
36.500000	74.090	-165.2823
37.000000	74.597	-166.4738
37.500000	75.083	-168.1704
38.200001	75.677	-170.9599
38.700001	75.999	-173.1843
39.500000	76.215	-176.4223
40.000000	76.187	-177.3150
40.599998	76.163	-176.7871
41.200001	76.334	-175.4888
41.799999	76.673	-174.9610
42.500000	77.036	-176.1639
43.099998	77.177	-178.0647
43.700001	77.194	-179.8063
44.400002	77.194	178.6804
45.000000	77.239	177.4916
45.500000	77.294	176.5587
46.200001	77.449	175.7542
46.799999	77.767	175.2744
47.500000	78.284	173.5215
48.200001	78.637	170.3837
48.700001	78.720	168.5201
49.400002	78.817	167.7325
50.000000	79.090	167.7421
50.799999	79.520	166.2378
51.500000	79.627	164.1699
52.200001	79.561	163.4936
53.000000	79.633	164.1620
53.799999	79.888	164.2867
54.500000	80.112	163.7166
55.200001	80.330	162.9506
56.000000	80.593	161.9160
57.000000	80.956	160.4792
58.000000	81.324	158.6514
59.000000	81.565	156.8786
60.000000	81.744	156.1670
60.799999	81.927	156.1432
61.500000	82.130	156.1646
62.200001	82.348	155.8529
63.000000	82.532	155.0260
64.000000	82.651	154.2055
65.000000	82.828	153.7545
66.000000	83.063	152.6678
67.000000	83.242	151.1333
68.000000	83.384	149.8780
69.000000	83.561	149.0253
70.000000	83.784	148.3189
71.000000	84.032	147.6740
72.000000	84.303	146.9615
73.000000	84.554	145.9389
74.000000	84.741	144.8829
75.000000	84.923	144.0507
76.199997	85.165	142.8277
77.500000	85.395	141.4002
78.800003	85.662	139.9358
80.000000	85.859	138.3760
81.199997	86.026	137.3679
82.500000	86.256	136.6409
83.800003	86.505	135.9870
85.000000	86.759	135.3448
86.199997	87.003	134.2692
87.500000	87.170	132.9023
88.500000	87.272	132.1471
90.000000	87.469	131.2044
91.199997	87.657	130.3795
92.500000	87.873	129.3461
93.800003	88.082	128.2136
95.000000	88.266	127.1628
96.199997	88.450	126.1064
97.500000	88.639	124.9021
