* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -22.5 dBFS, measurement signal peak level -16.2 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:19:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0445 ms (-15 mm, -0.6 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: MX400 L -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.355	-35.9791
20.600000	61.184	-46.4086
20.900000	60.676	-64.7325
21.200001	59.788	-81.1799
21.400000	58.955	-90.6005
21.799999	56.751	-105.1000
22.000000	55.439	-109.5956
22.400000	52.649	-111.7009
22.700001	50.858	-108.3352
23.000000	49.780	-103.2791
23.299999	49.247	-97.6110
23.600000	49.164	-90.9129
24.000000	50.030	-80.3571
24.299999	51.525	-73.2622
24.700001	53.996	-69.0088
25.000000	55.620	-70.8361
25.400000	57.181	-77.9909
25.799999	58.085	-86.6430
26.200001	58.505	-93.9816
26.500000	58.650	-97.9779
26.900000	58.788	-101.4774
27.200001	58.923	-103.2625
27.600000	59.159	-105.2114
28.000000	59.428	-107.0083
28.500000	59.821	-109.2141
29.000000	60.280	-112.1649
29.500000	60.615	-116.6411
30.000000	60.577	-121.3836
30.400000	60.309	-123.3421
30.700001	60.132	-123.1162
31.100000	60.226	-121.5205
31.500000	60.731	-120.6856
32.000000	61.438	-123.4117
32.500000	61.642	-129.1630
33.000000	61.222	-133.3015
33.500000	60.603	-132.9026
34.000000	60.436	-129.7439
34.500000	60.754	-127.7501
35.000000	61.122	-127.9301
35.500000	61.416	-128.8467
36.000000	61.783	-130.2476
36.500000	62.160	-133.3117
37.000000	62.276	-137.7590
37.500000	62.071	-141.0364
38.200001	62.054	-140.7644
38.700001	62.776	-140.2264
39.500000	64.083	-146.7883
40.000000	64.321	-153.4810
40.599998	64.020	-158.7523
41.200001	63.643	-158.3759
41.799999	63.848	-154.3888
42.500000	64.937	-150.2259
43.099998	66.115	-149.9660
43.700001	67.045	-153.2683
44.400002	67.476	-159.3840
45.000000	67.294	-163.2115
45.500000	66.980	-163.9316
46.200001	66.726	-162.0506
46.799999	66.850	-159.8680
47.500000	67.250	-158.6586
48.200001	67.607	-159.8273
48.700001	67.621	-161.3546
49.400002	67.328	-160.9865
50.000000	67.422	-157.0575
50.799999	68.624	-153.3246
51.500000	69.614	-157.1718
52.200001	69.809	-164.0189
53.000000	69.400	-168.0490
53.799999	69.233	-168.0108
54.500000	69.404	-168.2080
55.200001	69.619	-168.8816
56.000000	70.041	-169.6607
57.000000	70.644	-174.0192
58.000000	70.417	-179.3775
59.000000	70.053	-177.2571
60.000000	70.913	-173.9439
60.799999	71.720	-175.9595
61.500000	72.077	-179.3282
62.200001	72.185	178.2354
63.000000	72.278	177.3502
64.000000	72.553	177.5150
65.000000	72.936	177.7276
66.000000	73.282	176.9427
67.000000	73.315	175.9550
68.000000	73.291	176.7819
69.000000	73.503	177.3686
70.000000	73.770	176.3895
71.000000	73.966	174.1349
72.000000	74.002	171.9287
73.000000	74.085	171.2068
74.000000	74.388	171.1393
75.000000	74.827	170.9271
76.199997	75.384	170.0275
77.500000	75.791	168.1912
78.800003	75.929	167.0639
80.000000	76.107	166.9527
81.199997	76.362	166.4099
82.500000	76.709	165.3127
83.800003	77.008	163.3080
85.000000	77.154	161.7012
86.199997	77.274	161.0513
87.500000	77.527	160.7414
88.500000	77.750	159.9902
90.000000	78.045	158.5018
91.199997	78.294	157.3311
92.500000	78.591	155.9833
93.800003	78.852	154.8014
95.000000	79.111	154.2022
96.199997	79.420	153.5594
97.500000	79.724	152.2590
98.800003	79.919	150.7422
100.000000	80.081	149.6928
101.500000	80.345	148.4070
103.000000	80.589	146.9785
104.400002	80.815	146.2090
106.000000	81.155	145.3003
107.500000	81.418	143.8400
109.000000	81.587	142.2711
110.599998	81.732	140.8324
112.000000	81.894	139.7579
113.800003	82.190	138.1154
115.000000	82.380	136.7493
117.199997	82.701	134.5455
118.000000	82.830	133.8481
120.599998	83.252	131.3898
122.000000	83.429	130.0370
124.099998	83.658	128.3430
125.000000	83.760	127.6454
126.500000	83.925	126.3972
128.000000	84.093	125.0997
131.500000	84.495	121.5644
132.000000	84.542	121.0696
134.000000	84.732	119.3273
136.000000	84.928	117.6630
138.000000	85.098	115.9035
140.000000	85.240	114.1656
143.000000	85.469	111.6099
145.000000	85.619	109.8623
147.500000	85.808	107.7346
150.000000	85.974	105.4883
152.500000	86.096	103.3005
155.000000	86.198	101.2398
157.500000	86.316	99.2216
160.000000	86.446	97.0609
162.500000	86.565	94.8481
165.000000	86.672	92.6712
167.500000	86.763	90.5909
170.000000	86.841	88.5164
172.500000	86.900	86.2826
175.000000	86.944	84.0060
177.500000	86.977	81.8871
180.000000	86.987	79.9470
182.500000	86.970	77.9118
185.000000	86.918	75.6018
187.500000	86.816	73.3537
190.000000	86.664	71.4689
192.500000	86.458	70.1136
195.000000	86.251	69.3651
197.500000	86.091	68.9460
200.000000	85.976	68.6873
203.000000	85.907	68.3846
206.000000	85.886	67.9864
209.000000	85.877	67.5736
212.000000	85.875	67.0308
214.000000	85.881	66.5701
218.000000	85.906	65.6458
220.000000	85.913	65.2070
224.000000	85.907	64.2450
227.000000	85.893	63.4305
230.000000	85.880	62.6744
233.000000	85.861	61.9799
236.000000	85.824	61.4413
240.000000	85.750	60.9373
243.000000	85.677	60.5587
247.000000	85.569	60.2672
250.000000	85.497	60.4008
254.000000	85.415	61.2094
258.000000	85.476	63.0473
262.000000	85.927	64.7313
265.000000	86.454	64.1559
269.000000	86.959	60.4894
272.000000	87.031	57.1474
276.000000	86.867	53.8032
280.000000	86.627	51.7852
285.000000	86.354	50.3560
290.000000	86.133	49.4682
295.000000	85.947	48.8964
300.000000	85.789	48.5392
304.000000	85.685	48.3058
307.000000	85.613	48.1977
311.000000	85.513	48.1654
315.000000	85.415	48.1957
320.000000	85.315	48.4040
325.000000	85.246	49.0132
330.000000	85.208	49.8932
335.000000	85.227	50.6939
340.000000	85.324	51.3463
345.000000	85.447	51.7284
350.000000	85.573	51.8471
355.000000	85.692	51.7229
360.000000	85.785	51.3271
365.000000	85.854	50.8422
370.000000	85.916	50.3427
375.000000	85.975	49.8400
382.000000	86.021	49.1368
387.000000	86.034	48.7036
395.000000	86.050	48.0996
400.000000	86.060	47.7920
406.000000	86.068	47.5245
412.000000	86.075	47.1995
418.000000	86.084	46.8208
425.000000	86.090	46.4934
