* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -28.3 dBFS, measurement signal peak level -20.1 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:23:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0415 ms (-14 mm, -0.56 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: MX400 R -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	55.153	-30.3586
20.600000	54.221	-37.1456
20.900000	51.815	-46.2437
21.200001	48.490	-44.9812
21.400000	46.114	-36.5856
21.799999	44.090	-13.6767
22.000000	44.914	-6.5237
22.400000	47.949	-14.5329
22.700001	49.551	-36.9101
23.000000	50.564	-64.6952
23.299999	51.077	-93.9869
23.600000	51.094	-124.6656
24.000000	50.400	-170.0999
24.299999	49.716	150.5506
24.700001	49.717	92.9476
25.000000	50.825	51.3935
25.400000	52.863	5.9580
25.799999	54.395	-25.5120
26.200001	55.333	-46.0009
26.500000	55.883	-56.6178
26.900000	56.719	-67.4498
27.200001	57.482	-75.4585
27.600000	58.498	-88.6282
28.000000	59.182	-105.9585
28.500000	59.222	-132.9662
29.000000	58.110	-165.2725
29.500000	55.639	152.2502
30.000000	52.123	90.3434
30.400000	50.763	32.4609
30.700001	51.761	-6.1959
31.100000	53.771	-42.6861
31.500000	55.403	-63.5175
32.000000	56.805	-77.4287
32.500000	57.718	-86.0766
33.000000	58.186	-92.8704
33.500000	58.260	-97.8724
34.000000	58.194	-101.0890
34.500000	58.223	-104.7828
35.000000	58.183	-111.6401
35.500000	57.677	-121.2204
36.000000	56.609	-129.3140
36.500000	55.659	-132.9663
37.000000	56.020	-135.6921
37.500000	57.302	-143.7039
38.200001	58.325	-163.1837
38.700001	58.033	-173.5757
39.500000	57.661	-171.5015
40.000000	58.529	-166.8331
40.599998	59.354	-166.5630
41.200001	59.156	-164.3301
41.799999	59.353	-153.5823
42.500000	61.169	-144.0376
43.099998	62.094	-148.3069
43.700001	61.624	-155.1836
44.400002	59.986	-153.9104
45.000000	59.234	-147.5112
45.500000	59.416	-145.3447
46.200001	59.779	-147.9003
46.799999	60.116	-150.3221
47.500000	61.026	-152.9879
48.200001	61.885	-157.3030
48.700001	62.313	-158.6587
49.400002	63.466	-155.3572
50.000000	65.068	-153.1165
50.799999	66.425	-159.0640
51.500000	66.070	-164.8967
52.200001	64.958	-160.0786
53.000000	64.972	-148.7261
53.799999	65.596	-147.0815
54.500000	65.320	-149.5988
55.200001	64.818	-149.7788
56.000000	64.914	-151.2290
57.000000	65.416	-161.0941
58.000000	65.407	-174.7050
59.000000	64.785	178.4673
60.000000	65.023	-177.0013
60.799999	66.142	-173.8259
61.500000	66.910	-174.3453
62.200001	67.280	-175.3065
63.000000	67.488	-174.9131
64.000000	67.717	-173.6340
65.000000	67.777	-173.0076
66.000000	67.662	-171.6899
67.000000	67.727	-169.6614
68.000000	68.047	-168.8799
69.000000	68.485	-169.9590
70.000000	68.897	-173.2557
71.000000	69.022	-177.8914
72.000000	68.882	179.0078
73.000000	68.851	178.2455
74.000000	69.023	178.3538
75.000000	69.305	179.1543
76.199997	69.841	-179.5054
77.500000	70.522	-179.9744
78.800003	70.747	176.7720
80.000000	70.566	175.2692
81.199997	70.645	175.3644
82.500000	71.180	174.9202
83.800003	71.864	172.7026
85.000000	72.305	169.7769
86.199997	72.341	167.8296
87.500000	72.293	169.1368
88.500000	72.493	170.1453
90.000000	72.742	169.2263
91.199997	72.876	168.2798
92.500000	73.149	167.4998
93.800003	73.535	166.9757
95.000000	73.930	166.7107
96.199997	74.281	166.4023
97.500000	74.527	166.0013
98.800003	74.715	165.6357
100.000000	74.891	164.7886
101.500000	75.118	163.1860
103.000000	75.385	161.3579
104.400002	75.620	159.7645
106.000000	75.839	158.4543
107.500000	76.023	157.6833
109.000000	76.243	156.9429
110.599998	76.533	155.9258
112.000000	76.795	154.9200
113.800003	77.132	153.9554
115.000000	77.337	153.2772
117.199997	77.622	151.8757
118.000000	77.722	151.2549
120.599998	78.080	148.8672
122.000000	78.303	147.5095
124.099998	78.599	145.8787
125.000000	78.723	145.4780
126.500000	78.975	144.9810
128.000000	79.260	144.2090
131.500000	79.869	141.3989
132.000000	79.935	140.8766
134.000000	80.118	138.9055
136.000000	80.294	137.2340
138.000000	80.505	135.5264
140.000000	80.740	134.1335
143.000000	81.145	132.2582
145.000000	81.368	130.7188
147.500000	81.617	128.8206
150.000000	81.906	127.0691
152.500000	82.172	125.1680
155.000000	82.400	123.2058
157.500000	82.623	121.0508
160.000000	82.814	119.0322
162.500000	82.994	117.3206
165.000000	83.154	115.5621
167.500000	83.332	113.7123
170.000000	83.534	111.4568
172.500000	83.681	109.1460
175.000000	83.783	107.3835
177.500000	83.914	105.8650
180.000000	84.041	104.0245
182.500000	84.141	102.1266
185.000000	84.231	100.3833
187.500000	84.326	98.7490
190.000000	84.420	96.9978
192.500000	84.488	95.2015
195.000000	84.541	93.5327
