* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 18:03:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Westone Mach60 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.239	38.6730
20.600000	73.297	38.8833
20.900000	73.424	39.0057
21.200001	73.552	38.4393
21.400000	73.607	37.7270
21.799999	73.604	35.9790
22.000000	73.546	35.2045
22.400000	73.361	34.2978
22.700001	73.233	34.2037
23.000000	73.168	34.3561
23.299999	73.164	34.4017
23.600000	73.191	34.1659
24.000000	73.211	33.4451
24.299999	73.191	32.8665
24.700001	73.139	32.4113
25.000000	73.123	32.3613
25.400000	73.178	32.4317
25.799999	73.306	32.2120
26.200001	73.443	31.5042
26.500000	73.516	30.7811
26.900000	73.563	29.8539
27.200001	73.579	29.3410
27.600000	73.611	28.9092
28.000000	73.679	28.5497
28.500000	73.785	27.8492
29.000000	73.845	26.8871
29.500000	73.833	26.1196
30.000000	73.814	25.9086
30.400000	73.857	25.9506
30.700001	73.930	25.8428
31.100000	74.035	25.2094
31.500000	74.077	24.0333
32.000000	73.955	22.5416
32.500000	73.690	22.2850
33.000000	73.532	23.6212
33.500000	73.678	25.1536
34.000000	74.004	24.9851
34.500000	74.192	22.8737
35.000000	74.084	20.3642
35.500000	73.767	19.3005
36.000000	73.504	20.0520
36.500000	73.485	21.4306
37.000000	73.657	21.9821
37.500000	73.839	21.3276
38.200001	73.914	19.5119
38.700001	73.851	18.5106
39.500000	73.749	18.1073
40.000000	73.777	18.1366
40.599998	73.869	17.7024
41.200001	73.895	16.8015
41.799999	73.832	16.3066
42.500000	73.821	16.5907
43.099998	73.929	16.5080
43.700001	73.990	15.5842
44.400002	73.877	14.5584
45.000000	73.727	14.6483
45.500000	73.673	15.1387
46.200001	73.704	15.5769
46.799999	73.752	15.4857
47.500000	73.793	15.0806
48.200001	73.820	14.4437
48.700001	73.823	13.8941
49.400002	73.807	13.1343
50.000000	73.785	12.5238
50.799999	73.740	11.8139
51.500000	73.699	11.4694
52.200001	73.697	11.3228
53.000000	73.741	11.0252
53.799999	73.779	10.5099
54.500000	73.791	10.0292
55.200001	73.786	9.5904
56.000000	73.768	9.1739
57.000000	73.737	8.7519
58.000000	73.697	8.5445
59.000000	73.708	8.5487
60.000000	73.769	8.1775
60.799999	73.786	7.6396
61.500000	73.776	7.2601
62.200001	73.770	7.0101
63.000000	73.779	6.7395
64.000000	73.791	6.2966
65.000000	73.785	5.8616
66.000000	73.773	5.5019
67.000000	73.757	5.1953
68.000000	73.747	4.9986
69.000000	73.760	4.7687
70.000000	73.769	4.3699
71.000000	73.754	3.9903
72.000000	73.741	3.7153
73.000000	73.736	3.4222
74.000000	73.727	3.1116
75.000000	73.717	2.8306
76.199997	73.711	2.4827
77.500000	73.702	2.0988
78.800003	73.697	1.7498
80.000000	73.698	1.4070
81.199997	73.695	1.0624
82.500000	73.688	0.7448
83.800003	73.682	0.4723
85.000000	73.678	0.2229
86.199997	73.673	-0.0503
87.500000	73.665	-0.3619
88.500000	73.657	-0.6085
90.000000	73.644	-0.9768
91.199997	73.634	-1.2445
92.500000	73.626	-1.5168
93.800003	73.619	-1.7840
95.000000	73.612	-2.0335
96.199997	73.604	-2.2714
97.500000	73.598	-2.5352
98.800003	73.592	-2.8133
100.000000	73.585	-3.0712
101.500000	73.573	-3.3744
103.000000	73.562	-3.6677
104.400002	73.551	-3.9486
106.000000	73.537	-4.2586
107.500000	73.527	-4.5517
109.000000	73.518	-4.8487
110.599998	73.509	-5.1506
112.000000	73.500	-5.3958
113.800003	73.489	-5.6680
115.000000	73.483	-5.8435
117.199997	73.465	-6.1807
118.000000	73.456	-6.2951
120.599998	73.435	-6.6533
122.000000	73.427	-6.8898
124.099998	73.410	-7.2483
125.000000	73.402	-7.3896
126.500000	73.390	-7.6072
128.000000	73.378	-7.8117
131.500000	73.350	-8.3220
132.000000	73.345	-8.3949
134.000000	73.328	-8.6699
136.000000	73.314	-8.9321
138.000000	73.298	-9.1982
140.000000	73.277	-9.4505
143.000000	73.253	-9.8112
145.000000	73.242	-10.0581
147.500000	73.231	-10.3512
150.000000	73.221	-10.6461
152.500000	73.209	-10.9639
155.000000	73.199	-11.2889
157.500000	73.188	-11.6267
160.000000	73.170	-11.9529
162.500000	73.146	-12.2643
165.000000	73.123	-12.5711
167.500000	73.105	-12.9074
170.000000	73.088	-13.2631
172.500000	73.070	-13.5904
175.000000	73.054	-13.8972
177.500000	73.035	-14.1967
180.000000	73.015	-14.4732
182.500000	72.992	-14.7314
185.000000	72.968	-15.0006
187.500000	72.943	-15.2704
190.000000	72.923	-15.5103
192.500000	72.904	-15.7480
195.000000	72.880	-15.9997
197.500000	72.853	-16.2532
200.000000	72.827	-16.4844
203.000000	72.800	-16.7323
206.000000	72.770	-16.9676
209.000000	72.736	-17.1920
212.000000	72.703	-17.4088
214.000000	72.682	-17.5510
218.000000	72.639	-17.8434
