* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 12:25:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Customart Music 1 (custom) L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	76.919	57.5245
20.290907	76.929	57.2770
20.437943	76.939	56.9325
20.586044	76.949	56.6072
20.735220	76.957	56.2807
20.885475	76.964	55.9509
21.036821	76.970	55.6219
21.189262	76.976	55.2897
21.342808	76.983	54.9516
21.497467	76.991	54.6082
21.653246	76.999	54.2579
21.810154	77.006	53.9004
21.968201	77.013	53.5361
22.127390	77.020	53.1649
22.287735	77.026	52.7869
22.449242	77.033	52.4030
22.611917	77.040	52.0130
22.775772	77.047	51.6182
22.940815	77.055	51.2183
23.107054	77.063	50.8155
23.274498	77.071	50.4096
23.443153	77.081	50.0032
23.613033	77.091	49.5973
23.784142	77.103	49.1933
23.956491	77.117	48.7935
24.130091	77.133	48.3979
24.304947	77.150	48.0084
24.481071	77.169	47.6245
24.658470	77.190	47.2461
24.837156	77.212	46.8731
25.017136	77.236	46.5039
25.198421	77.261	46.1389
25.381020	77.286	45.7776
25.564941	77.312	45.4203
25.750195	77.338	45.0692
25.936790	77.364	44.7248
26.124741	77.389	44.3912
26.314051	77.413	44.0687
26.504732	77.436	43.7609
26.696796	77.458	43.4675
26.890253	77.478	43.1893
27.085112	77.497	42.9248
27.281382	77.515	42.6719
27.479073	77.533	42.4283
27.678198	77.551	42.1914
27.878765	77.568	41.9588
28.080786	77.584	41.7293
28.284271	77.598	41.5024
28.489231	77.611	41.2779
28.695675	77.622	41.0566
28.903616	77.632	40.8383
29.113064	77.640	40.6229
29.324028	77.647	40.4088
29.536524	77.653	40.1948
29.750557	77.658	39.9775
29.966141	77.662	39.7558
30.183289	77.666	39.5274
30.402010	77.669	39.2927
30.622314	77.671	39.0517
30.844217	77.672	38.8070
31.067726	77.671	38.5593
31.292856	77.670	38.3109
31.519617	77.670	38.0612
31.748020	77.669	37.8099
31.978081	77.670	37.5535
32.209808	77.672	37.2906
32.443211	77.675	37.0180
32.678310	77.679	36.7358
32.915108	77.683	36.4443
33.153625	77.687	36.1474
33.393871	77.692	35.8489
33.635857	77.699	35.5525
33.879597	77.706	35.2628
34.125103	77.715	34.9803
34.372387	77.725	34.7060
34.621464	77.737	34.4375
34.872345	77.750	34.1733
35.125042	77.764	33.9121
35.379574	77.778	33.6532
35.635948	77.793	33.3980
35.894180	77.808	33.1476
36.154285	77.822	32.9041
36.416275	77.835	32.6679
36.680161	77.849	32.4388
36.945961	77.862	32.2159
37.213688	77.874	31.9977
37.483353	77.885	31.7840
37.754974	77.895	31.5752
38.028561	77.903	31.3722
38.304131	77.909	31.1765
38.581699	77.914	30.9869
38.861279	77.919	30.8014
39.142883	77.924	30.6159
39.426529	77.929	30.4245
39.712231	77.934	30.2240
40.000000	77.938	30.0139
40.289856	77.940	29.7961
40.581814	77.941	29.5758
40.875885	77.941	29.3590
41.172089	77.941	29.1482
41.470440	77.941	28.9426
41.770950	77.943	28.7382
42.073643	77.947	28.5288
42.378525	77.952	28.3093
42.685616	77.958	28.0806
42.994934	77.963	27.8476
43.306492	77.967	27.6178
43.620308	77.970	27.3982
43.936401	77.975	27.1919
44.254780	77.981	26.9953
44.575470	77.990	26.7996
44.898483	78.000	26.5974
45.223835	78.009	26.3860
45.551544	78.016	26.1700
45.881630	78.021	25.9588
46.214108	78.024	25.7626
46.548996	78.027	25.5860
46.886307	78.030	25.4245
47.226067	78.036	25.2660
47.568283	78.043	25.0978
47.912983	78.050	24.9144
48.260181	78.055	24.7206
48.609894	78.057	24.5282
48.962143	78.058	24.3479
49.316940	78.059	24.1825
49.674313	78.062	24.0244
50.034271	78.068	23.8598
50.396843	78.075	23.6781
50.762039	78.082	23.4782
51.129883	78.086	23.2695
51.500389	78.089	23.0648
51.873581	78.091	22.8725
52.249481	78.094	22.6908
52.628101	78.099	22.5112
53.009464	78.106	22.3259
53.393593	78.112	22.1349
53.780506	78.115	21.9467
54.170223	78.116	21.7719
54.562763	78.118	21.6151
54.958145	78.120	21.4710
55.356396	78.125	21.3280
55.757530	78.130	21.1765
56.161572	78.135	21.0142
56.568542	78.138	20.8467
56.978462	78.139	20.6813
57.391350	78.140	20.5212
57.807232	78.140	20.3656
58.226128	78.140	20.2127
58.648056	78.140	20.0633
59.073048	78.140	19.9182
59.501114	78.143	19.7745
59.932281	78.147	19.6242
60.366577	78.152	19.4613
60.804020	78.157	19.2880
61.244629	78.159	19.1149
61.688435	78.160	18.9529
62.135452	78.162	18.8034
62.585712	78.165	18.6576
63.039234	78.169	18.5065
63.496040	78.172	18.3503
63.956161	78.173	18.1979
64.419617	78.173	18.0585
64.886421	78.174	17.9317
65.356621	78.176	17.8089
65.830215	78.179	17.6798
66.307251	78.182	17.5411
66.787743	78.184	17.3971
67.271713	78.185	17.2547
67.759193	78.186	17.1168
68.250206	78.188	16.9803
68.744774	78.190	16.8400
69.242928	78.192	16.6956
69.744690	78.193	16.5530
70.250084	78.194	16.4186
70.759148	78.196	16.2916
71.271896	78.199	16.1648
71.788361	78.203	16.0323
72.308571	78.206	15.8952
72.832550	78.207	15.7603
73.360321	78.208	15.6332
