* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 12:20:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Customart Music 1 (custom) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.877	56.9194
20.600000	76.880	56.4781
20.900000	76.884	55.7031
21.200001	76.886	54.9985
21.400000	76.888	54.5580
21.799999	76.893	53.6826
22.000000	76.896	53.2284
22.400000	76.902	52.2937
22.700001	76.906	51.5839
23.000000	76.911	50.8779
23.299999	76.919	50.1855
23.600000	76.933	49.5093
24.000000	76.964	48.6292
24.299999	76.995	47.9789
24.700001	77.047	47.1194
25.000000	77.090	46.4824
25.400000	77.148	45.6541
25.799999	77.206	44.8684
26.200001	77.261	44.1432
26.500000	77.298	43.6458
26.900000	77.344	43.0473
27.200001	77.374	42.6445
27.600000	77.411	42.1613
28.000000	77.444	41.7259
28.500000	77.481	41.2234
29.000000	77.510	40.7406
29.500000	77.529	40.2608
30.000000	77.540	39.7791
30.400000	77.544	39.3932
30.700001	77.545	39.1032
31.100000	77.546	38.7121
31.500000	77.547	38.3077
32.000000	77.551	37.7678
32.500000	77.556	37.1807
33.000000	77.561	36.5600
33.500000	77.567	35.9357
34.000000	77.578	35.3350
34.500000	77.595	34.7634
35.000000	77.618	34.2118
35.500000	77.643	33.6769
36.000000	77.667	33.1692
36.500000	77.690	32.7009
37.000000	77.712	32.2723
37.500000	77.732	31.8734
38.200001	77.755	31.3519
38.700001	77.765	31.0046
39.500000	77.777	30.4786
40.000000	77.782	30.1528
40.599998	77.787	29.7592
41.200001	77.790	29.3673
41.799999	77.795	28.9736
42.500000	77.804	28.4987
43.099998	77.812	28.0820
43.700001	77.821	27.6744
44.400002	77.832	27.2238
