* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 27 오후 1:39:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.918	-166.0229
20.600000	84.920	-166.3570
20.900000	84.923	-166.9516
21.200001	84.920	-167.5128
21.400000	84.915	-167.8731
21.799999	84.902	-168.5985
22.000000	84.893	-168.9735
22.400000	84.872	-169.7392
22.700001	84.855	-170.3189
23.000000	84.839	-170.9006
23.299999	84.825	-171.4838
23.600000	84.814	-172.0723
24.000000	84.807	-172.8739
24.299999	84.806	-173.4928
24.700001	84.805	-174.3370
25.000000	84.803	-174.9708
25.400000	84.797	-175.7918
25.799999	84.790	-176.5606
26.200001	84.782	-177.2697
26.500000	84.776	-177.7687
26.900000	84.769	-178.4030
27.200001	84.762	-178.8630
27.600000	84.750	-179.4603
28.000000	84.736	179.9579
28.500000	84.716	179.2437
29.000000	84.691	178.5303
29.500000	84.660	177.8151
30.000000	84.623	177.1103
30.400000	84.592	176.5593
30.700001	84.569	176.1506
31.100000	84.539	175.6032
31.500000	84.509	175.0474
32.000000	84.470	174.3464
32.500000	84.428	173.6612
33.000000	84.388	173.0133
33.500000	84.355	172.4025
34.000000	84.330	171.8097
34.500000	84.307	171.2133
35.000000	84.285	170.6050
35.500000	84.258	169.9946
36.000000	84.226	169.4026
36.500000	84.191	168.8430
37.000000	84.154	168.3118
37.500000	84.117	167.7953
38.200001	84.062	167.0872
38.700001	84.022	166.5927
39.500000	83.964	165.7764
40.000000	83.925	165.2271
40.599998	83.870	164.5714
41.200001	83.811	163.9986
41.799999	83.761	163.4959
42.500000	83.716	162.8746
43.099998	83.672	162.2901
43.700001	83.618	161.7476
44.400002	83.554	161.1873
45.000000	83.501	160.6747
45.500000	83.446	160.2123
46.200001	83.348	159.6447
46.799999	83.269	159.2956
47.500000	83.205	158.8435
48.200001	83.143	158.1394
48.700001	83.075	157.5910
49.400002	82.960	157.0697
50.000000	82.891	156.8497
50.799999	82.861	156.3912
51.500000	82.825	155.6655
52.200001	82.747	155.0132
53.000000	82.659	154.6119
53.799999	82.607	154.2360
54.500000	82.556	153.7714
55.200001	82.484	153.3231
56.000000	82.394	152.9097
57.000000	82.279	152.4425
58.000000	82.160	152.0192
59.000000	82.037	151.6042
60.000000	81.898	151.2688
60.799999	81.789	151.1199
61.500000	81.701	151.0229
62.200001	81.617	150.9457
63.000000	81.532	150.8320
64.000000	81.409	150.5654
65.000000	81.257	150.6580
66.000000	81.191	151.1715
67.000000	81.224	151.3857
68.000000	81.281	151.1720
69.000000	81.308	150.6916
70.000000	81.297	150.4203
71.000000	81.312	150.2206
72.000000	81.297	149.7047
73.000000	81.221	149.2526
74.000000	81.139	148.9199
75.000000	81.068	148.4893
76.199997	80.996	147.7068
77.500000	80.914	146.7431
78.800003	80.870	145.7170
80.000000	80.781	144.7056
81.199997	80.670	144.3415
82.500000	80.587	144.0901
83.800003	80.482	143.9239
85.000000	80.405	143.6858
86.199997	80.304	143.1496
87.500000	80.158	142.6261
88.500000	80.050	142.3536
90.000000	79.911	142.0498
91.199997	79.813	141.8457
92.500000	79.708	141.6038
93.800003	79.595	141.3683
95.000000	79.487	141.1583
96.199997	79.380	140.9581
97.500000	79.267	140.7522
98.800003	79.159	140.6124
100.000000	79.067	140.5028
101.500000	78.950	140.3790
103.000000	78.832	140.2840
104.400002	78.721	140.2022
106.000000	78.600	140.0988
107.500000	78.488	139.9593
109.000000	78.375	139.8538
110.599998	78.259	139.7946
112.000000	78.160	139.7664
113.800003	78.027	139.7589
115.000000	77.933	139.7744
117.199997	77.745	139.7556
118.000000	77.670	139.7664
120.599998	77.480	140.0944
122.000000	77.432	140.1067
124.099998	77.339	140.0723
125.000000	77.295	140.1371
126.500000	77.221	140.2923
128.000000	77.139	140.4507
131.500000	76.944	140.6846
132.000000	76.918	140.6964
134.000000	76.814	140.7326
136.000000	76.711	140.7894
138.000000	76.608	140.8446
140.000000	76.502	140.8904
143.000000	76.341	141.0585
145.000000	76.236	141.2200
147.500000	76.098	141.4417
150.000000	75.966	141.7025
152.500000	75.849	141.9544
155.000000	75.735	142.1776
157.500000	75.616	142.4178
160.000000	75.508	142.6950
162.500000	75.405	142.9856
165.000000	75.298	143.3334
167.500000	75.191	143.6899
170.000000	75.086	144.0305
172.500000	74.983	144.3413
175.000000	74.873	144.6524
177.500000	74.770	145.0275
180.000000	74.685	145.4395
182.500000	74.607	145.8695
185.000000	74.523	146.2885
187.500000	74.437	146.6809
190.000000	74.363	147.0292
192.500000	74.293	147.3464
195.000000	74.221	147.7178
197.500000	74.148	148.1325
200.000000	74.073	148.5760
203.000000	73.992	149.1093
206.000000	73.918	149.5961
209.000000	73.845	150.0771
212.000000	73.772	150.4817
214.000000	73.721	150.7147
218.000000	73.630	151.2934
220.000000	73.593	151.6296
224.000000	73.521	152.2828
227.000000	73.468	152.7463
230.000000	73.417	153.1686
233.000000	73.368	153.5649
236.000000	73.320	153.9740
240.000000	73.248	154.5725
243.000000	73.188	155.0241
247.000000	73.120	155.5645
250.000000	73.077	155.9516
254.000000	73.014	156.5418
258.000000	72.948	157.1199
262.000000	72.889	157.6314
265.000000	72.853	158.0110
269.000000	72.807	158.5378
272.000000	72.773	158.9683
276.000000	72.728	159.5297
280.000000	72.678	160.0186
285.000000	72.627	160.6347
290.000000	72.597	161.2450
295.000000	72.563	161.8887
300.000000	72.519	162.4926
304.000000	72.481	162.9100
307.000000	72.458	163.2622
311.000000	72.435	163.7637
315.000000	72.411	164.2343
320.000000	72.382	164.7753
325.000000	72.354	165.3128
330.000000	72.323	165.8498
335.000000	72.298	166.3481
340.000000	72.273	166.8575
345.000000	72.242	167.4336
350.000000	72.211	167.9776
355.000000	72.187	168.4134
360.000000	72.164	168.8645
365.000000	72.138	169.3667
370.000000	72.109	169.8491
375.000000	72.079	170.3283
382.000000	72.038	170.9925
387.000000	72.010	171.4536
395.000000	71.974	172.1296
400.000000	71.955	172.5493
406.000000	71.930	173.0803
412.000000	71.909	173.6313
418.000000	71.891	174.1876
425.000000	71.864	174.7480
431.000000	71.838	175.2388
437.000000	71.822	175.8156
444.000000	71.808	176.4286
450.000000	71.797	176.8778
455.000000	71.783	177.2586
462.000000	71.756	177.8467
468.000000	71.738	178.3447
475.000000	71.721	178.9095
482.000000	71.704	179.4360
487.000000	71.692	179.8146
494.000000	71.674	-179.6259
500.000000	71.655	-179.1263
508.000000	71.638	-178.4863
515.000000	71.628	-177.9507
522.000000	71.616	-177.4140
530.000000	71.608	-176.7972
538.000000	71.599	-176.1831
545.000000	71.582	-175.6333
552.000000	71.562	-175.0707
560.000000	71.549	-174.4542
570.000000	71.539	-173.6925
580.000000	71.517	-172.9352
590.000000	71.512	-172.1731
600.000000	71.523	-171.3486
608.000000	71.514	-170.7204
615.000000	71.495	-170.2055
622.000000	71.479	-169.6821
630.000000	71.468	-169.0340
640.000000	71.460	-168.2233
650.000000	71.458	-167.4402
660.000000	71.462	-166.6689
670.000000	71.476	-165.9577
680.000000	71.483	-165.2229
690.000000	71.486	-164.4569
700.000000	71.489	-163.6849
710.000000	71.493	-162.9121
720.000000	71.499	-162.1777
730.000000	71.505	-161.4384
740.000000	71.519	-160.6802
750.000000	71.537	-159.9463
762.000000	71.549	-159.0735
775.000000	71.555	-158.1212
788.000000	71.563	-157.1843
800.000000	71.571	-156.2456
812.000000	71.581	-155.2906
825.000000	71.598	-154.2343
838.000000	71.615	-153.1134
850.000000	71.644	-152.0442
862.000000	71.689	-150.9929
875.000000	71.746	-149.8870
885.000000	71.795	-149.0568
900.000000	71.874	-147.8086
912.000000	71.946	-146.8189
925.000000	72.027	-145.8202
938.000000	72.116	-144.8740
950.000000	72.207	-144.0251
962.000000	72.301	-143.1984
975.000000	72.408	-142.3300
988.000000	72.519	-141.4702
1000.000000	72.617	-140.7125
1015.000000	72.730	-139.9384
1030.000000	72.851	-139.1980
1044.000000	72.971	-138.5107
1060.000000	73.113	-137.8011
1075.000000	73.243	-137.1651
1090.000000	73.369	-136.5612
1106.000000	73.511	-135.9552
1120.000000	73.641	-135.4685
1138.000000	73.806	-134.8979
1150.000000	73.910	-134.5273
1172.000000	74.101	-133.8592
1180.000000	74.171	-133.6376
1206.000000	74.395	-133.0171
1220.000000	74.514	-132.6824
1241.000000	74.690	-132.1989
1250.000000	74.765	-132.0127
1265.000000	74.888	-131.7132
1280.000000	75.008	-131.4205
1315.000000	75.294	-130.8167
1320.000000	75.335	-130.7335
1340.000000	75.496	-130.4103
1360.000000	75.648	-130.1119
1380.000000	75.798	-129.8374
1400.000000	75.953	-129.5679
1430.000000	76.185	-129.1893
1450.000000	76.340	-128.9641
1475.000000	76.532	-128.6993
1500.000000	76.723	-128.4640
1525.000000	76.914	-128.2390
1550.000000	77.107	-128.0108
1575.000000	77.297	-127.7933
1600.000000	77.489	-127.5617
1625.000000	77.693	-127.3266
1650.000000	77.915	-127.1234
1675.000000	78.153	-127.0121
1700.000000	78.398	-127.0661
1725.000000	78.637	-127.3057
1750.000000	78.867	-127.6633
