* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Oct-2022 00:59:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neo Infinity NEO-E200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.955	-114.5131
20.600000	76.005	-114.8071
20.900000	76.105	-115.3282
21.200001	76.199	-115.8189
21.400000	76.260	-116.1453
21.799999	76.376	-116.8516
22.000000	76.431	-117.2442
22.400000	76.524	-118.0834
22.700001	76.579	-118.7131
23.000000	76.623	-119.2959
23.299999	76.666	-119.8101
23.600000	76.713	-120.2663
24.000000	76.794	-120.8395
24.299999	76.866	-121.3019
24.700001	76.969	-122.0120
25.000000	77.042	-122.6095
25.400000	77.128	-123.4388
25.799999	77.200	-124.2257
26.200001	77.269	-124.9297
26.500000	77.322	-125.4170
26.900000	77.398	-126.0540
27.200001	77.455	-126.5466
27.600000	77.528	-127.2290
28.000000	77.594	-127.9145
28.500000	77.670	-128.7317
29.000000	77.746	-129.5098
29.500000	77.823	-130.2953
30.000000	77.895	-131.0993
30.400000	77.946	-131.7231
30.700001	77.983	-132.1617
31.100000	78.034	-132.7086
31.500000	78.091	-133.2417
32.000000	78.167	-133.9501
32.500000	78.238	-134.7320
33.000000	78.294	-135.5330
33.500000	78.337	-136.2672
34.000000	78.380	-136.8921
34.500000	78.433	-137.4509
35.000000	78.498	-138.0293
35.500000	78.563	-138.6848
36.000000	78.617	-139.3890
36.500000	78.657	-140.0570
37.000000	78.695	-140.6333
37.500000	78.744	-141.1616
38.200001	78.829	-142.0151
38.700001	78.879	-142.7519
39.500000	78.918	-143.8953
40.000000	78.932	-144.4534
40.599998	78.961	-145.0009
41.200001	79.007	-145.5472
41.799999	79.055	-146.1422
42.500000	79.105	-146.8556
43.099998	79.146	-147.4655
43.700001	79.182	-148.0851
44.400002	79.216	-148.8011
45.000000	79.242	-149.3872
45.500000	79.265	-149.8729
46.200001	79.298	-150.5905
46.799999	79.321	-151.2336
47.500000	79.342	-151.9566
48.200001	79.366	-152.6364
48.700001	79.386	-153.1214
49.400002	79.415	-153.8180
50.000000	79.434	-154.4039
50.799999	79.455	-155.1203
51.500000	79.477	-155.6973
52.200001	79.502	-156.2748
53.000000	79.526	-156.9580
53.799999	79.541	-157.6198
54.500000	79.554	-158.1608
55.200001	79.570	-158.7103
56.000000	79.588	-159.3849
57.000000	79.602	-160.2245
58.000000	79.618	-161.0144
59.000000	79.639	-161.8184
60.000000	79.652	-162.6172
60.799999	79.658	-163.2015
61.500000	79.664	-163.6707
62.200001	79.671	-164.1238
63.000000	79.682	-164.6496
64.000000	79.691	-165.3285
65.000000	79.694	-166.0097
66.000000	79.696	-166.6857
67.000000	79.695	-167.3667
68.000000	79.691	-168.0266
69.000000	79.688	-168.6452
70.000000	79.690	-169.2575
71.000000	79.689	-169.8678
72.000000	79.686	-170.4537
73.000000	79.683	-171.0148
74.000000	79.680	-171.5673
75.000000	79.675	-172.1161
76.199997	79.666	-172.7648
77.500000	79.654	-173.4784
78.800003	79.638	-174.1990
80.000000	79.620	-174.8375
