* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Oct-2022 00:58:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neo Infinity NEO-E200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.811	-108.9004
20.600000	76.869	-108.8168
20.900000	77.003	-108.7552
21.200001	77.163	-108.9518
21.400000	77.272	-109.2568
21.799999	77.472	-110.1895
22.000000	77.556	-110.7467
22.400000	77.686	-111.8684
22.700001	77.765	-112.6377
23.000000	77.842	-113.3473
23.299999	77.918	-114.0529
23.600000	77.988	-114.7793
24.000000	78.060	-115.7407
24.299999	78.094	-116.3539
24.700001	78.128	-116.8895
25.000000	78.167	-117.0681
25.400000	78.265	-117.1548
25.799999	78.414	-117.3645
26.200001	78.579	-117.9134
26.500000	78.685	-118.5307
26.900000	78.784	-119.4668
27.200001	78.830	-120.1167
27.600000	78.874	-120.8152
28.000000	78.926	-121.3687
28.500000	79.014	-122.0761
29.000000	79.103	-122.9493
29.500000	79.170	-123.8877
30.000000	79.223	-124.7174
30.400000	79.274	-125.2919
30.700001	79.320	-125.7126
31.100000	79.389	-126.3163
31.500000	79.456	-126.9791
32.000000	79.524	-127.8177
32.500000	79.579	-128.5406
33.000000	79.639	-129.0925
33.500000	79.726	-129.5627
34.000000	79.836	-130.1288
34.500000	79.943	-130.8974
35.000000	80.017	-131.7944
35.500000	80.053	-132.6102
36.000000	80.073	-133.2032
36.500000	80.109	-133.6345
37.000000	80.165	-134.0940
37.500000	80.222	-134.6814
38.200001	80.276	-135.5608
38.700001	80.307	-136.0916
39.500000	80.388	-136.9291
40.000000	80.443	-137.6041
40.599998	80.486	-138.5102
41.200001	80.500	-139.2969
41.799999	80.515	-139.8725
42.500000	80.560	-140.4272
43.099998	80.615	-140.9646
43.700001	80.666	-141.5771
44.400002	80.715	-142.3228
45.000000	80.751	-142.9752
45.500000	80.774	-143.5338
46.200001	80.793	-144.2898
46.799999	80.805	-144.8575
47.500000	80.832	-145.4725
48.200001	80.870	-146.1391
48.700001	80.895	-146.6327
49.400002	80.933	-147.2801
50.000000	80.978	-147.8353
50.799999	81.043	-148.7185
51.500000	81.076	-149.5627
52.200001	81.088	-150.2892
53.000000	81.104	-150.9463
53.799999	81.128	-151.5725
54.500000	81.145	-152.1483
55.200001	81.152	-152.7144
56.000000	81.154	-153.3082
57.000000	81.167	-154.0005
58.000000	81.194	-154.8017
59.000000	81.211	-155.7146
60.000000	81.224	-156.5531
60.799999	81.245	-157.1944
