* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -22.8 dBFS, measurement signal peak level -22.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 10:42:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0385 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: 수월우 무명  R +솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	66.391	-102.6824
20.600000	66.570	-102.1497
20.900000	67.023	-101.4793
21.200001	67.653	-101.7155
21.400000	68.110	-102.5954
21.799999	68.994	-105.9412
22.000000	69.377	-108.2303
22.400000	69.980	-113.4673
22.700001	70.298	-117.5496
23.000000	70.514	-121.4642
23.299999	70.648	-125.0443
23.600000	70.721	-128.1641
24.000000	70.767	-131.4532
24.299999	70.810	-133.2444
24.700001	70.944	-134.9316
25.000000	71.131	-135.9993
25.400000	71.479	-137.6691
25.799999	71.861	-139.9809
26.200001	72.192	-142.8221
26.500000	72.385	-145.0059
26.900000	72.594	-147.6288
27.200001	72.752	-149.2876
27.600000	73.005	-151.2449
28.000000	73.306	-153.2887
28.500000	73.673	-156.2812
29.000000	73.946	-159.3788
29.500000	74.146	-161.8990
30.000000	74.376	-163.6985
30.400000	74.620	-164.9771
30.700001	74.824	-166.0366
31.100000	75.091	-167.6453
31.500000	75.337	-169.3832
32.000000	75.622	-171.6087
32.500000	75.892	-174.0330
33.000000	76.099	-176.8595
33.500000	76.177	-179.8240
34.000000	76.129	177.8132
34.500000	76.068	176.5100
35.000000	76.121	175.8642
35.500000	76.301	174.9533
36.000000	76.496	173.3347
36.500000	76.619	171.3752
37.000000	76.679	169.7083
37.500000	76.746	168.5283
38.200001	76.917	167.1939
38.700001	77.064	166.2142
39.500000	77.309	164.9264
40.000000	77.511	164.3122
40.599998	77.813	163.3401
41.200001	78.106	161.7515
41.799999	78.302	159.7504
42.500000	78.382	157.7245
43.099998	78.410	156.8202
43.700001	78.517	156.4143
44.400002	78.740	155.5405
45.000000	78.884	154.1868
45.500000	78.931	153.2170
