* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -54.6 dBFS, measurement signal peak level -18.0 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 10:49:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -1.1566 ms (-397 mm, -(1 ft 3.62 in)) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: 수월우 무명 L -솜 +손누르기
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.242	-69.0253
20.600000	70.155	-70.3085
20.900000	71.556	-73.4015
21.200001	72.369	-78.2136
21.400000	72.687	-81.7611
21.799999	72.939	-88.5853
22.000000	72.946	-91.5317
22.400000	72.827	-96.5978
22.700001	72.666	-100.1133
23.000000	72.436	-103.7000
23.299999	72.096	-107.2370
23.600000	71.629	-110.2484
24.000000	70.876	-112.5217
24.299999	70.383	-112.6189
24.700001	70.107	-111.5081
25.000000	70.267	-111.1623
25.400000	70.780	-113.0130
25.799999	71.269	-117.8029
26.200001	71.505	-124.2356
26.500000	71.489	-129.0379
26.900000	71.262	-134.2885
27.200001	71.013	-136.8531
27.600000	70.711	-138.2450
28.000000	70.617	-137.8010
28.500000	70.933	-136.4337
29.000000	71.551	-136.4491
29.500000	72.094	-138.5896
30.000000	72.317	-141.3562
30.400000	72.311	-142.4874
30.700001	72.314	-142.3273
31.100000	72.453	-141.2723
31.500000	72.815	-140.3755
32.000000	73.380	-140.8713
32.500000	73.817	-142.9289
33.000000	74.094	-145.0859
33.500000	74.363	-146.7226
34.000000	74.712	-148.5211
34.500000	75.044	-151.1753
35.000000	75.236	-154.3201
35.500000	75.288	-156.9462
36.000000	75.316	-158.5488
36.500000	75.423	-159.4704
37.000000	75.609	-160.3284
37.500000	75.813	-161.3260
38.200001	76.075	-162.5378
38.700001	76.274	-162.9915
39.500000	76.717	-163.2602
40.000000	77.072	-163.6012
40.599998	77.515	-164.5385
41.200001	77.898	-165.9438
