* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -57.4 dBFS, measurement signal peak level -19.7 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 10:47:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -1.1263 ms (-386 mm, -(1 ft 3.21 in)) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: 0.1 ppm
* Measurement: 수월우 무명 L - 솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	57.949	-58.1135
20.600000	57.218	-65.6460
20.900000	55.335	-77.4766
21.200001	52.657	-81.1818
21.400000	50.376	-73.4383
21.799999	47.581	-40.4629
22.000000	47.948	-22.8254
22.400000	51.513	-6.9066
22.700001	53.478	-14.0667
23.000000	54.704	-27.5139
23.299999	55.428	-40.4836
23.600000	55.839	-51.0810
24.000000	56.266	-60.5585
24.299999	56.801	-64.5084
24.700001	57.999	-67.4404
25.000000	59.135	-69.7307
25.400000	60.632	-74.3806
25.799999	61.835	-80.7141
26.200001	62.652	-87.5828
26.500000	63.021	-92.4211
26.900000	63.221	-97.9153
27.200001	63.182	-101.0150
27.600000	62.937	-103.3586
28.000000	62.608	-103.2261
28.500000	62.463	-100.1426
29.000000	62.930	-97.1234
29.500000	63.667	-97.9004
30.000000	64.036	-102.8676
30.400000	63.852	-107.5040
30.700001	63.453	-109.7418
31.100000	62.819	-109.6626
31.500000	62.517	-106.6199
32.000000	63.055	-102.6659
32.500000	64.083	-102.9001
33.000000	64.863	-107.2252
33.500000	65.254	-112.5444
34.000000	65.439	-116.7557
34.500000	65.591	-119.9739
35.000000	65.683	-122.7856
35.500000	65.645	-124.6236
36.000000	65.624	-124.4956
36.500000	65.915	-123.0211
37.000000	66.551	-122.5017
37.500000	67.219	-124.3231
38.200001	67.810	-129.0437
38.700001	68.066	-132.0515
39.500000	68.502	-136.2827
40.000000	68.700	-139.1750
40.599998	68.762	-141.8095
41.200001	68.840	-142.3925
41.799999	69.143	-142.1610
42.500000	69.545	-142.9752
43.099998	69.679	-143.7416
43.700001	69.747	-143.1810
44.400002	69.996	-141.8288
45.000000	70.283	-141.6222
45.500000	70.452	-142.1376
46.200001	70.589	-143.0787
46.799999	70.711	-143.9054
47.500000	70.911	-145.4356
48.200001	71.092	-147.7006
48.700001	71.179	-149.2265
49.400002	71.370	-150.3232
50.000000	71.762	-150.7364
50.799999	72.455	-152.7225
51.500000	72.826	-155.5923
