* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 22:55:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Phonak PFE111 (Gray filter) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.157	33.2750
20.600000	69.228	33.2660
20.900000	69.359	33.1296
21.200001	69.454	32.7385
21.400000	69.491	32.4131
21.799999	69.519	31.8064
22.000000	69.521	31.5952
22.400000	69.522	31.3706
22.700001	69.538	31.2645
23.000000	69.568	31.0810
23.299999	69.597	30.7609
23.600000	69.612	30.3314
24.000000	69.602	29.7207
24.299999	69.577	29.3569
24.700001	69.546	29.0624
25.000000	69.540	28.9238
25.400000	69.559	28.6880
25.799999	69.590	28.2585
26.200001	69.602	27.6766
26.500000	69.591	27.2549
26.900000	69.557	26.8515
27.200001	69.534	26.7013
27.600000	69.527	26.6404
28.000000	69.555	26.5839
28.500000	69.622	26.3274
29.000000	69.689	25.8223
29.500000	69.737	25.1526
30.000000	69.757	24.4318
30.400000	69.752	23.8987
30.700001	69.739	23.5641
31.100000	69.719	23.2331
31.500000	69.706	23.0127
32.000000	69.710	22.7831
32.500000	69.728	22.4715
33.000000	69.741	22.0513
33.500000	69.739	21.6163
34.000000	69.727	21.2734
34.500000	69.719	21.0500
35.000000	69.726	20.9002
35.500000	69.750	20.7449
36.000000	69.786	20.5077
36.500000	69.822	20.1439
37.000000	69.839	19.6878
37.500000	69.829	19.2699
38.200001	69.793	19.0249
38.700001	69.795	19.0755
39.500000	69.868	18.9326
40.000000	69.908	18.5078
40.599998	69.903	17.9307
41.200001	69.870	17.6709
41.799999	69.871	17.6339
42.500000	69.913	17.3660
43.099998	69.921	16.9363
43.700001	69.901	16.6930
44.400002	69.909	16.6814
45.000000	69.955	16.5463
45.500000	69.988	16.2425
46.200001	69.998	15.7636
46.799999	69.990	15.4845
47.500000	69.988	15.2463
48.200001	69.987	15.0257
48.700001	69.988	14.8937
49.400002	69.996	14.7074
50.000000	70.005	14.4796
50.799999	70.000	14.1215
51.500000	69.986	13.8625
52.200001	69.975	13.6454
53.000000	69.965	13.3868
53.799999	69.955	13.1392
54.500000	69.948	12.9486
55.200001	69.947	12.7570
56.000000	69.949	12.5220
57.000000	69.954	12.2275
58.000000	69.962	11.9211
59.000000	69.963	11.6076
60.000000	69.959	11.3758
60.799999	69.961	11.2339
61.500000	69.966	11.0928
62.200001	69.969	10.9340
63.000000	69.968	10.7557
64.000000	69.962	10.5606
65.000000	69.956	10.4277
66.000000	69.958	10.3496
67.000000	69.974	10.2736
68.000000	70.000	10.1342
69.000000	70.022	9.9033
70.000000	70.031	9.6452
71.000000	70.030	9.4093
72.000000	70.028	9.1917
73.000000	70.026	8.9488
74.000000	70.019	8.6718
75.000000	70.007	8.4203
76.199997	69.998	8.1681
77.500000	69.994	7.9009
78.800003	69.989	7.6628
80.000000	69.982	7.4750
81.199997	69.974	7.2926
82.500000	69.960	7.0806
83.800003	69.946	6.8776
85.000000	69.938	6.6748
86.199997	69.935	6.4519
87.500000	69.935	6.2224
88.500000	69.937	6.0597
90.000000	69.939	5.8476
91.199997	69.939	5.7164
92.500000	69.940	5.5684
93.800003	69.937	5.3727
95.000000	69.925	5.1791
96.199997	69.910	5.0261
97.500000	69.898	4.9025
98.800003	69.891	4.7873
100.000000	69.885	4.6648
101.500000	69.871	4.5181
103.000000	69.857	4.3846
104.400002	69.846	4.2348
106.000000	69.831	4.0557
107.500000	69.822	3.9187
109.000000	69.818	3.7796
110.599998	69.812	3.5989
112.000000	69.799	3.4399
113.800003	69.781	3.2839
115.000000	69.774	3.1727
117.199997	69.760	2.9233
118.000000	69.752	2.8385
120.599998	69.726	2.6065
122.000000	69.713	2.4942
124.099998	69.699	2.3144
125.000000	69.694	2.2353
126.500000	69.686	2.1078
128.000000	69.676	1.9982
131.500000	69.647	1.7588
132.000000	69.641	1.7271
134.000000	69.619	1.6117
136.000000	69.599	1.5069
138.000000	69.580	1.4118
140.000000	69.558	1.3286
143.000000	69.527	1.1946
145.000000	69.507	1.1048
147.500000	69.485	1.0214
150.000000	69.463	0.9323
152.500000	69.437	0.8290
155.000000	69.412	0.7194
157.500000	69.389	0.6317
160.000000	69.369	0.5714
162.500000	69.342	0.5067
165.000000	69.312	0.4734
167.500000	69.287	0.4265
170.000000	69.265	0.3566
172.500000	69.244	0.2898
175.000000	69.225	0.2356
177.500000	69.208	0.1932
180.000000	69.193	0.1622
182.500000	69.181	0.1547
185.000000	69.173	0.1506
187.500000	69.163	0.1548
190.000000	69.156	0.1552
192.500000	69.154	0.1151
195.000000	69.150	0.0496
197.500000	69.137	-0.0231
200.000000	69.115	-0.0885
203.000000	69.084	-0.1659
206.000000	69.057	-0.2256
209.000000	69.036	-0.2447
212.000000	69.018	-0.2541
