* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14-Oct-2022 00:36:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultrasone Pyco L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.142	-145.6567
20.600000	73.130	-145.8871
20.900000	73.108	-146.2229
21.200001	73.098	-146.3579
21.400000	73.105	-146.3942
21.799999	73.152	-146.5371
22.000000	73.184	-146.7222
22.400000	73.241	-147.3712
22.700001	73.258	-148.0210
23.000000	73.247	-148.6772
23.299999	73.217	-149.2269
23.600000	73.186	-149.6304
24.000000	73.170	-149.9856
24.299999	73.187	-150.2303
24.700001	73.242	-150.6911
25.000000	73.289	-151.1937
25.400000	73.336	-152.0312
25.799999	73.353	-152.8999
26.200001	73.346	-153.6330
26.500000	73.336	-154.0532
26.900000	73.332	-154.4792
27.200001	73.337	-154.7644
27.600000	73.350	-155.1778
28.000000	73.354	-155.6402
28.500000	73.330	-156.1431
29.000000	73.287	-156.3338
29.500000	73.273	-156.1754
30.000000	73.323	-155.9335
30.400000	73.403	-155.9203
30.700001	73.472	-156.0876
31.100000	73.555	-156.5407
31.500000	73.612	-157.1783
32.000000	73.636	-158.0557
32.500000	73.613	-158.8168
33.000000	73.570	-159.2975
33.500000	73.544	-159.4788
34.000000	73.565	-159.5493
34.500000	73.628	-159.8051
35.000000	73.691	-160.3823
35.500000	73.713	-161.1311
36.000000	73.694	-161.7788
36.500000	73.663	-162.2121
37.000000	73.639	-162.5230
37.500000	73.617	-162.7959
38.200001	73.580	-162.9719
38.700001	73.582	-162.8990
39.500000	73.672	-163.0548
40.000000	73.726	-163.5981
40.599998	73.726	-164.4130
41.200001	73.679	-164.9077
41.799999	73.654	-165.0850
42.500000	73.672	-165.3479
43.099998	73.685	-165.7252
43.700001	73.689	-166.0854
44.400002	73.698	-166.5009
45.000000	73.696	-166.9152
45.500000	73.680	-167.2021
46.200001	73.665	-167.4115
46.799999	73.680	-167.5755
47.500000	73.703	-167.9572
48.200001	73.702	-168.3759
48.700001	73.697	-168.5928
49.400002	73.702	-168.8576
50.000000	73.707	-169.1265
50.799999	73.704	-169.4609
51.500000	73.703	-169.6883
52.200001	73.709	-169.9318
53.000000	73.713	-170.2584
53.799999	73.709	-170.6007
54.500000	73.698	-170.8844
55.200001	73.687	-171.1250
56.000000	73.681	-171.3782
