* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:24:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.704	8.5036
20.600000	79.693	8.1538
20.900000	79.669	7.5379
21.200001	79.642	6.9729
21.400000	79.624	6.6169
21.799999	79.587	5.9043
22.000000	79.567	5.5322
22.400000	79.528	4.7584
22.700001	79.498	4.1570
23.000000	79.468	3.5398
23.299999	79.439	2.9128
23.600000	79.410	2.2803
24.000000	79.376	1.4337
24.299999	79.352	0.7987
24.700001	79.324	-0.0466
25.000000	79.304	-0.6775
25.400000	79.278	-1.5083
25.799999	79.249	-2.3132
26.200001	79.218	-3.0743
26.500000	79.194	-3.6084
26.900000	79.160	-4.2697
27.200001	79.134	-4.7325
27.600000	79.100	-5.3168
28.000000	79.066	-5.8769
28.500000	79.018	-6.5519
29.000000	78.965	-7.1957
29.500000	78.907	-7.8059
30.000000	78.847	-8.3940
30.400000	78.800	-8.8602
30.700001	78.764	-9.2110
31.100000	78.715	-9.6811
31.500000	78.667	-10.1525
32.000000	78.609	-10.7429
32.500000	78.552	-11.3358
33.000000	78.497	-11.9297
33.500000	78.444	-12.5174
34.000000	78.392	-13.0912
34.500000	78.343	-13.6495
35.000000	78.294	-14.1946
35.500000	78.246	-14.7270
36.000000	78.198	-15.2430
36.500000	78.148	-15.7399
37.000000	78.097	-16.2198
37.500000	78.046	-16.6870
38.200001	77.972	-17.3241
38.700001	77.918	-17.7657
39.500000	77.831	-18.4489
40.000000	77.779	-18.8681
40.599998	77.716	-19.3675
41.200001	77.652	-19.8532
41.799999	77.589	-20.3087
42.500000	77.518	-20.7992
43.099998	77.459	-21.2011
43.700001	77.400	-21.5928
44.400002	77.327	-22.0226
45.000000	77.264	-22.3599
45.500000	77.210	-22.6288
46.200001	77.135	-23.0057
46.799999	77.068	-23.3328
47.500000	76.989	-23.7135
48.200001	76.911	-24.0998
48.700001	76.856	-24.3844
49.400002	76.781	-24.7898
50.000000	76.720	-25.1343
50.799999	76.642	-25.5857
51.500000	76.576	-25.9629
52.200001	76.513	-26.2978
53.000000	76.445	-26.6229
53.799999	76.381	-26.9185
54.500000	76.323	-27.1606
55.200001	76.261	-27.3746
56.000000	76.186	-27.5925
57.000000	76.088	-27.8672
58.000000	75.980	-28.1493
59.000000	75.870	-28.4277
60.000000	75.767	-28.7454
60.799999	75.687	-29.0366
61.500000	75.620	-29.2969
62.200001	75.557	-29.5597
63.000000	75.491	-29.8719
64.000000	75.408	-30.2389
65.000000	75.328	-30.5134
66.000000	75.257	-30.7337
67.000000	75.184	-30.9375
68.000000	75.106	-31.0922
69.000000	75.027	-31.2223
70.000000	74.946	-31.3663
71.000000	74.861	-31.5213
72.000000	74.776	-31.6982
73.000000	74.692	-31.8857
