* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:28:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.816	7.2046
20.600000	80.804	6.8431
20.900000	80.778	6.2076
21.200001	80.750	5.6280
21.400000	80.730	5.2648
21.799999	80.690	4.5410
22.000000	80.670	4.1636
22.400000	80.630	3.3772
22.700001	80.599	2.7633
23.000000	80.569	2.1300
23.299999	80.539	1.4826
23.600000	80.510	0.8259
24.000000	80.473	-0.0562
24.299999	80.446	-0.7163
24.700001	80.411	-1.5868
25.000000	80.387	-2.2277
25.400000	80.354	-3.0601
25.799999	80.321	-3.8593
26.200001	80.287	-4.6153
26.500000	80.261	-5.1487
26.900000	80.224	-5.8130
27.200001	80.197	-6.2796
27.600000	80.161	-6.8691
28.000000	80.123	-7.4345
28.500000	80.072	-8.1171
29.000000	80.015	-8.7664
29.500000	79.953	-9.3739
30.000000	79.892	-9.9529
30.400000	79.844	-10.4162
30.700001	79.808	-10.7719
31.100000	79.760	-11.2580
31.500000	79.710	-11.7496
32.000000	79.647	-12.3569
32.500000	79.587	-12.9534
33.000000	79.531	-13.5507
33.500000	79.476	-14.1536
34.000000	79.421	-14.7479
34.500000	79.366	-15.3159
35.000000	79.314	-15.8570
35.500000	79.264	-16.3851
36.000000	79.213	-16.9072
36.500000	79.159	-17.4143
37.000000	79.103	-17.8942
37.500000	79.047	-18.3473
38.200001	78.970	-18.9578
38.700001	78.915	-19.3870
39.500000	78.828	-20.0682
40.000000	78.775	-20.4986
40.599998	78.709	-21.0195
41.200001	78.640	-21.5213
41.799999	78.572	-21.9814
42.500000	78.495	-22.4727
43.099998	78.433	-22.8762
43.700001	78.372	-23.2694
44.400002	78.299	-23.7133
45.000000	78.234	-24.0833
45.500000	78.178	-24.3827
46.200001	78.097	-24.7806
46.799999	78.026	-25.1055
47.500000	77.946	-25.4841
48.200001	77.867	-25.8709
48.700001	77.812	-26.1523
49.400002	77.736	-26.5541
50.000000	77.673	-26.8974
50.799999	77.589	-27.3232
51.500000	77.522	-27.6581
52.200001	77.461	-27.9790
53.000000	77.393	-28.3373
53.799999	77.322	-28.6653
54.500000	77.260	-28.9221
55.200001	77.196	-29.1643
56.000000	77.119	-29.4347
57.000000	77.017	-29.7526
58.000000	76.912	-30.0641
59.000000	76.803	-30.4010
60.000000	76.690	-30.7008
60.799999	76.609	-30.9059
61.500000	76.546	-31.1047
62.200001	76.489	-31.3464
63.000000	76.423	-31.6590
64.000000	76.334	-32.0305
65.000000	76.248	-32.3251
66.000000	76.168	-32.5697
67.000000	76.089	-32.7918
68.000000	76.006	-32.9630
69.000000	75.923	-33.0700
70.000000	75.844	-33.1705
71.000000	75.765	-33.3197
72.000000	75.681	-33.5039
73.000000	75.594	-33.7015
74.000000	75.507	-33.8922
75.000000	75.426	-34.0682
76.199997	75.332	-34.2473
77.500000	75.244	-34.3588
78.800003	75.163	-34.5513
80.000000	75.070	-34.7178
81.199997	74.975	-34.8452
82.500000	74.872	-34.9917
83.800003	74.774	-35.1135
85.000000	74.694	-35.1928
86.199997	74.620	-35.2333
87.500000	74.540	-35.1959
88.500000	74.481	-35.0805
90.000000	74.417	-35.0351
91.199997	74.338	-35.2885
92.500000	74.216	-35.4732
93.800003	74.109	-35.5615
95.000000	74.026	-35.6442
96.199997	73.952	-35.7120
97.500000	73.876	-35.7449
98.800003	73.799	-35.7497
100.000000	73.726	-35.7735
101.500000	73.630	-35.8947
103.000000	73.519	-36.0351
104.400002	73.424	-35.9536
106.000000	73.360	-35.7282
107.500000	73.312	-35.5764
109.000000	73.242	-35.4802
110.599998	73.145	-35.3468
112.000000	73.066	-35.3389
113.800003	72.962	-35.4944
115.000000	72.896	-35.5651
117.199997	72.797	-35.5632
118.000000	72.762	-35.5370
120.599998	72.630	-35.3872
122.000000	72.554	-35.2878
124.099998	72.450	-35.1775
125.000000	72.409	-35.1482
126.500000	72.343	-35.1005
128.000000	72.278	-35.0385
131.500000	72.121	-34.8472
132.000000	72.099	-34.8172
134.000000	72.013	-34.6977
136.000000	71.931	-34.5506
138.000000	71.851	-34.3782
140.000000	71.771	-34.2066
143.000000	71.649	-33.9363
145.000000	71.571	-33.7677
147.500000	71.463	-33.6209
150.000000	71.353	-33.5356
152.500000	71.264	-33.5846
155.000000	71.177	-33.4278
157.500000	71.106	-32.9990
160.000000	71.025	-32.6694
162.500000	70.927	-32.5459
165.000000	70.854	-32.4150
167.500000	70.799	-32.1622
170.000000	70.726	-31.8379
172.500000	70.637	-31.5661
175.000000	70.561	-31.3881
177.500000	70.509	-31.1318
180.000000	70.461	-30.9013
182.500000	70.378	-30.7147
185.000000	70.289	-30.4740
187.500000	70.218	-30.2161
190.000000	70.156	-29.9377
192.500000	70.092	-29.6839
195.000000	70.024	-29.4658
197.500000	69.960	-29.2291
200.000000	69.904	-28.9616
203.000000	69.835	-28.6434
206.000000	69.768	-28.3796
209.000000	69.705	-28.1361
212.000000	69.638	-27.8288
214.000000	69.593	-27.6246
218.000000	69.514	-27.2681
220.000000	69.478	-27.0845
224.000000	69.392	-26.6420
227.000000	69.325	-26.2894
230.000000	69.268	-25.9582
233.000000	69.215	-25.6509
236.000000	69.161	-25.3753
240.000000	69.089	-25.0156
243.000000	69.042	-24.7051
247.000000	68.980	-24.3168
250.000000	68.925	-24.0480
254.000000	68.855	-23.6490
258.000000	68.787	-23.1872
262.000000	68.721	-22.7904
265.000000	68.678	-22.5175
269.000000	68.628	-22.1563
272.000000	68.588	-21.8762
276.000000	68.533	-21.4838
280.000000	68.476	-21.0855
285.000000	68.407	-20.5769
290.000000	68.341	-20.0908
295.000000	68.279	-19.6223
300.000000	68.221	-19.1534
304.000000	68.175	-18.7723
307.000000	68.140	-18.4818
311.000000	68.096	-18.0913
315.000000	68.053	-17.7021
320.000000	68.000	-17.2269
325.000000	67.950	-16.7600
330.000000	67.901	-16.2947
335.000000	67.855	-15.8280
340.000000	67.810	-15.3578
345.000000	67.765	-14.8946
350.000000	67.723	-14.4391
355.000000	67.691	-13.9840
360.000000	67.674	-13.5253
365.000000	67.638	-13.0645
370.000000	67.581	-12.6136
375.000000	67.534	-12.1660
382.000000	67.483	-11.5378
387.000000	67.451	-11.0861
395.000000	67.401	-10.3755
400.000000	67.371	-9.9408
406.000000	67.337	-9.4155
412.000000	67.304	-8.8898
418.000000	67.273	-8.3651
425.000000	67.238	-7.7563
431.000000	67.211	-7.2412
437.000000	67.186	-6.7356
444.000000	67.158	-6.1590
450.000000	67.134	-5.6726
455.000000	67.114	-5.2700
462.000000	67.087	-4.7162
468.000000	67.067	-4.2477
475.000000	67.044	-3.6976
482.000000	67.021	-3.1426
487.000000	67.004	-2.7515
494.000000	66.981	-2.2101
500.000000	66.962	-1.7512
508.000000	66.939	-1.1434
515.000000	66.920	-0.6058
522.000000	66.901	-0.0672
530.000000	66.881	0.5433
538.000000	66.862	1.1513
545.000000	66.846	1.6874
552.000000	66.832	2.2241
560.000000	66.816	2.8300
570.000000	66.798	3.5880
580.000000	66.782	4.3509
590.000000	66.770	5.1139
600.000000	66.758	5.8702
608.000000	66.749	6.4716
615.000000	66.743	7.0008
622.000000	66.739	7.5305
630.000000	66.735	8.1323
640.000000	66.732	8.8860
650.000000	66.730	9.6467
660.000000	66.732	10.4031
670.000000	66.735	11.1546
680.000000	66.741	11.9079
690.000000	66.748	12.6621
700.000000	66.757	13.4156
710.000000	66.768	14.1698
720.000000	66.781	14.9286
730.000000	66.799	15.6902
740.000000	66.819	16.4506
750.000000	66.839	17.2047
762.000000	66.868	18.1060
775.000000	66.904	19.0789
788.000000	66.943	20.0394
800.000000	66.983	20.9252
812.000000	67.028	21.8115
825.000000	67.082	22.7683
838.000000	67.141	23.7170
850.000000	67.197	24.5718
862.000000	67.258	25.4070
875.000000	67.329	26.2981
885.000000	67.388	26.9745
900.000000	67.483	27.9649
912.000000	67.562	28.7362
925.000000	67.652	29.5476
938.000000	67.747	30.3238
950.000000	67.837	31.0092
962.000000	67.930	31.6657
975.000000	68.034	32.3401
988.000000	68.140	32.9784
1000.000000	68.239	33.5375
1015.000000	68.364	34.1964
1030.000000	68.490	34.8086
1044.000000	68.607	35.3367
1060.000000	68.741	35.8870
1075.000000	68.866	36.3652
1090.000000	68.991	36.8085
1106.000000	69.122	37.2358
1120.000000	69.235	37.5736
1138.000000	69.378	37.9662
1150.000000	69.471	38.2062
1172.000000	69.637	38.6057
1180.000000	69.696	38.7394
1206.000000	69.883	39.1323
1220.000000	69.981	39.3255
1241.000000	70.122	39.5955
1250.000000	70.181	39.7049
1265.000000	70.279	39.8773
1280.000000	70.374	40.0386
1315.000000	70.587	40.3942
1320.000000	70.617	40.4423
1340.000000	70.733	40.6291
1360.000000	70.848	40.8097
1380.000000	70.961	40.9895
1400.000000	71.072	41.1682
1430.000000	71.236	41.4287
1450.000000	71.344	41.6011
1475.000000	71.479	41.8072
1500.000000	71.613	42.0076
1525.000000	71.747	42.2038
1550.000000	71.881	42.3866
1575.000000	72.016	42.5589
1600.000000	72.150	42.7207
1625.000000	72.286	42.8675
1650.000000	72.423	43.0025
1675.000000	72.560	43.1287
1700.000000	72.698	43.2374
1725.000000	72.838	43.3271
1750.000000	72.978	43.4023
1775.000000	73.119	43.4537
1800.000000	73.260	43.4779
1825.000000	73.402	43.4811
1850.000000	73.544	43.4593
1875.000000	73.686	43.4090
1900.000000	73.828	43.3314
1925.000000	73.970	43.2271
1950.000000	74.112	43.0946
1975.000000	74.254	42.9353
2000.000000	74.395	42.7484
2030.000000	74.563	42.4820
2060.000000	74.730	42.1679
2090.000000	74.896	41.8087
2120.000000	75.060	41.4004
2140.000000	75.168	41.0977
2180.000000	75.380	40.4150
2200.000000	75.484	40.0335
2240.000000	75.683	39.1847
2270.000000	75.824	38.4769
2300.000000	75.956	37.7184
2330.000000	76.077	36.9180
2360.000000	76.186	36.0860
2400.000000	76.314	34.9508
2430.000000	76.397	34.0961
2470.000000	76.493	32.9699
2500.000000	76.554	32.1396
2540.000000	76.623	31.0571
2580.000000	76.679	30.0080
2620.000000	76.723	28.9961
2650.000000	76.749	28.2667
2690.000000	76.777	27.3341
2720.000000	76.791	26.6656
2760.000000	76.805	25.8193
2800.000000	76.811	25.0276
2850.000000	76.813	24.1115
2900.000000	76.807	23.2785
2950.000000	76.798	22.5280
3000.000000	76.786	21.8633
3040.000000	76.777	21.3874
3070.000000	76.769	21.0621
3110.000000	76.761	20.6689
3150.000000	76.755	20.3159
3200.000000	76.752	19.9275
3250.000000	76.754	19.5939
3300.000000	76.762	19.3036
3350.000000	76.778	19.0452
3400.000000	76.802	18.8132
3450.000000	76.834	18.5994
3500.000000	76.876	18.3915
3550.000000	76.927	18.1799
3600.000000	76.989	17.9543
3650.000000	77.059	17.7026
3700.000000	77.140	17.4154
3750.000000	77.230	17.0817
3820.000000	77.371	16.5125
3870.000000	77.482	16.0140
3950.000000	77.673	15.0139
4000.000000	77.797	14.2377
4060.000000	77.949	13.1265
4120.000000	78.094	11.8040
4180.000000	78.224	10.2683
4250.000000	78.342	8.2651
4310.000000	78.412	6.4899
4370.000000	78.473	4.7433
4440.000000	78.560	2.5528
4500.000000	78.627	0.3044
4550.000000	78.650	-1.8382
4620.000000	78.608	-5.0684
4680.000000	78.499	-7.8837
4750.000000	78.295	-11.0701
4820.000000	78.017	-14.0398
4870.000000	77.780	-15.9810
4940.000000	77.402	-18.3989
5000.000000	77.045	-20.1678
5080.000000	76.537	-22.0675
5150.000000	76.073	-23.2996
5220.000000	75.603	-24.1487
5300.000000	75.068	-24.6834
5380.000000	74.545	-24.7962
5450.000000	74.104	-24.5836
5520.000000	73.680	-24.1115
