* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 23:08:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ucotech RE1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.381	26.5470
20.600000	74.372	26.3735
20.900000	74.358	26.1045
21.200001	74.357	25.9474
21.400000	74.368	25.8684
21.799999	74.417	25.6385
22.000000	74.451	25.4288
22.400000	74.519	24.7554
22.700001	74.556	24.0490
23.000000	74.570	23.2363
23.299999	74.559	22.4033
23.600000	74.530	21.6167
24.000000	74.472	20.7157
24.299999	74.426	20.1748
24.700001	74.374	19.6268
25.000000	74.349	19.3186
25.400000	74.344	18.9787
25.799999	74.372	18.5982
26.200001	74.422	18.0438
26.500000	74.456	17.4818
26.900000	74.476	16.5978
27.200001	74.465	15.9398
27.600000	74.425	15.2174
28.000000	74.384	14.7370
28.500000	74.369	14.3004
29.000000	74.384	13.7032
29.500000	74.379	12.8844
30.000000	74.334	12.1511
30.400000	74.294	11.7875
30.700001	74.281	11.6036
31.100000	74.292	11.3003
31.500000	74.313	10.7897
32.000000	74.308	9.8931
32.500000	74.242	9.0477
33.000000	74.147	8.5781
33.500000	74.071	8.4857
34.000000	74.037	8.5880
34.500000	74.046	8.7507
35.000000	74.098	8.8819
35.500000	74.186	8.8061
36.000000	74.278	8.3819
36.500000	74.332	7.7089
37.000000	74.336	7.1064
37.500000	74.324	6.7901
38.200001	74.361	6.5865
38.700001	74.423	6.2215
39.500000	74.475	5.0596
40.000000	74.446	4.3034
40.599998	74.376	3.7103
41.200001	74.325	3.4470
41.799999	74.317	3.2127
42.500000	74.328	2.6870
43.099998	74.319	2.1158
43.700001	74.300	1.6006
44.400002	74.286	1.0163
45.000000	74.267	0.4326
45.500000	74.233	-0.0372
46.200001	74.169	-0.4832
46.799999	74.127	-0.6781
47.500000	74.103	-0.9033
48.200001	74.078	-1.2058
48.700001	74.049	-1.3993
49.400002	74.000	-1.5397
50.000000	73.965	-1.5464
50.799999	73.938	-1.5138
51.500000	73.925	-1.5617
52.200001	73.908	-1.7431
53.000000	73.859	-2.0938
53.799999	73.765	-2.4487
54.500000	73.663	-2.6800
55.200001	73.557	-2.9311
56.000000	73.428	-3.3830
57.000000	73.249	-4.1439
58.000000	73.097	-5.0770
59.000000	73.013	-6.3798
60.000000	72.979	-8.0181
60.799999	72.978	-9.1889
61.500000	73.023	-9.9019
62.200001	73.120	-10.4142
63.000000	73.253	-10.9128
64.000000	73.366	-11.2083
65.000000	73.403	-10.8205
66.000000	73.389	-9.9419
67.000000	73.336	-9.0747
68.000000	73.226	-8.6667
69.000000	73.064	-8.7491
70.000000	72.910	-9.3051
71.000000	72.806	-10.3698
72.000000	72.753	-11.6755
73.000000	72.747	-12.7924
74.000000	72.778	-13.4301
75.000000	72.823	-13.5628
76.199997	72.854	-13.2805
77.500000	72.817	-12.9217
78.800003	72.700	-12.8733
80.000000	72.555	-13.2633
81.199997	72.430	-13.8867
82.500000	72.362	-14.6510
83.800003	72.346	-15.1329
85.000000	72.366	-15.2321
86.199997	72.374	-15.2061
87.500000	72.335	-15.1786
88.500000	72.276	-15.2716
90.000000	72.158	-15.6022
91.199997	72.083	-15.9269
92.500000	72.032	-16.3506
93.800003	71.983	-16.6644
95.000000	71.939	-16.7306
96.199997	71.897	-16.7124
97.500000	71.843	-16.7165
98.800003	71.791	-16.7820
100.000000	71.753	-16.9515
101.500000	71.708	-17.2510
103.000000	71.664	-17.5383
104.400002	71.612	-17.7877
106.000000	71.537	-18.0083
107.500000	71.473	-18.1694
109.000000	71.415	-18.3336
110.599998	71.357	-18.4080
112.000000	71.310	-18.4233
113.800003	71.240	-18.4365
115.000000	71.188	-18.4945
117.199997	71.084	-18.6284
118.000000	71.053	-18.6740
120.599998	70.970	-18.8539
122.000000	70.932	-18.9130
124.099998	70.878	-19.0149
125.000000	70.854	-19.0768
126.500000	70.807	-19.1859
128.000000	70.756	-19.2808
131.500000	70.626	-19.4418
132.000000	70.608	-19.4473
134.000000	70.542	-19.4526
136.000000	70.480	-19.4428
138.000000	70.422	-19.4271
140.000000	70.365	-19.4196
143.000000	70.267	-19.3094
145.000000	70.204	-19.1477
147.500000	70.137	-19.0263
150.000000	70.077	-18.9800
152.500000	70.027	-18.8759
155.000000	69.970	-18.7394
157.500000	69.910	-18.6654
160.000000	69.848	-18.7464
162.500000	69.794	-18.8200
165.000000	69.755	-18.8873
167.500000	69.709	-18.9938
170.000000	69.650	-19.0558
172.500000	69.589	-19.0369
175.000000	69.532	-18.9479
177.500000	69.475	-18.8705
180.000000	69.412	-18.8433
182.500000	69.344	-18.8250
185.000000	69.282	-18.7760
187.500000	69.227	-18.6913
190.000000	69.177	-18.5906
192.500000	69.126	-18.4771
195.000000	69.075	-18.3207
197.500000	69.021	-18.1274
200.000000	68.968	-17.9487
203.000000	68.914	-17.7915
206.000000	68.874	-17.6406
209.000000	68.833	-17.5018
212.000000	68.786	-17.4097
214.000000	68.754	-17.3719
218.000000	68.688	-17.2438
220.000000	68.650	-17.1545
224.000000	68.570	-17.0188
227.000000	68.517	-16.9434
230.000000	68.464	-16.8601
233.000000	68.407	-16.7389
236.000000	68.354	-16.5905
240.000000	68.284	-16.3932
243.000000	68.231	-16.2478
247.000000	68.163	-16.0287
250.000000	68.115	-15.8440
254.000000	68.053	-15.5965
258.000000	67.994	-15.3243
262.000000	67.939	-15.0651
265.000000	67.898	-14.8738
269.000000	67.843	-14.6005
272.000000	67.803	-14.3955
276.000000	67.755	-14.1272
280.000000	67.710	-13.8645
285.000000	67.647	-13.5748
290.000000	67.582	-13.2901
295.000000	67.523	-12.9702
300.000000	67.465	-12.6512
304.000000	67.421	-12.3760
307.000000	67.391	-12.1515
311.000000	67.349	-11.8448
315.000000	67.307	-11.5635
320.000000	67.254	-11.2514
325.000000	67.202	-10.9298
330.000000	67.155	-10.6010
335.000000	67.108	-10.2510
340.000000	67.062	-9.8951
345.000000	67.015	-9.5286
350.000000	66.967	-9.1559
355.000000	66.925	-8.7927
360.000000	66.887	-8.4363
365.000000	66.847	-8.0686
370.000000	66.803	-7.7224
375.000000	66.759	-7.3914
382.000000	66.706	-6.8696
387.000000	66.676	-6.4647
395.000000	66.621	-5.8770
400.000000	66.582	-5.5377
406.000000	66.542	-5.0989
412.000000	66.506	-4.6197
418.000000	66.473	-4.1648
425.000000	66.436	-3.6897
431.000000	66.398	-3.2977
437.000000	66.361	-2.8686
444.000000	66.329	-2.3387
450.000000	66.305	-1.8773
455.000000	66.283	-1.5015
462.000000	66.248	-0.9880
468.000000	66.218	-0.5395
475.000000	66.190	-0.0036
482.000000	66.170	0.5291
487.000000	66.156	0.8874
494.000000	66.136	1.3387
500.000000	66.114	1.7466
508.000000	66.085	2.3466
515.000000	66.066	2.8562
522.000000	66.048	3.3574
530.000000	66.028	3.9684
538.000000	66.006	4.5688
545.000000	65.986	5.0772
552.000000	65.967	5.5957
560.000000	65.949	6.1792
570.000000	65.922	6.8970
580.000000	65.893	7.6108
590.000000	65.877	8.3353
600.000000	65.862	9.0937
608.000000	65.848	9.6896
615.000000	65.841	10.2169
622.000000	65.840	10.7287
630.000000	65.837	11.2958
640.000000	65.828	12.0273
650.000000	65.822	12.7584
660.000000	65.816	13.5115
670.000000	65.806	14.2548
680.000000	65.801	14.9911
690.000000	65.806	15.7458
700.000000	65.811	16.4957
710.000000	65.816	17.2439
720.000000	65.824	18.0016
730.000000	65.838	18.7569
740.000000	65.858	19.5009
750.000000	65.879	20.2366
762.000000	65.897	21.0863
775.000000	65.919	21.9805
788.000000	65.949	22.9393
800.000000	65.986	23.8044
812.000000	66.027	24.6240
825.000000	66.068	25.4932
838.000000	66.106	26.3797
850.000000	66.142	27.2074
862.000000	66.179	28.0484
875.000000	66.223	28.9399
885.000000	66.257	29.5964
900.000000	66.310	30.6202
912.000000	66.357	31.4533
925.000000	66.419	32.3084
938.000000	66.489	33.1224
950.000000	66.556	33.8737
962.000000	66.625	34.6373
975.000000	66.701	35.4403
988.000000	66.782	36.2031
1000.000000	66.857	36.8777
1015.000000	66.953	37.7064
1030.000000	67.058	38.5142
1044.000000	67.159	39.2474
1060.000000	67.273	40.0155
1075.000000	67.381	40.6815
1090.000000	67.490	41.3055
1106.000000	67.605	41.8984
1120.000000	67.706	42.3598
1138.000000	67.831	42.9208
1150.000000	67.914	43.2723
1172.000000	68.068	43.8471
1180.000000	68.123	44.0328
1206.000000	68.303	44.6046
1220.000000	68.406	44.9008
1241.000000	68.567	45.2719
1250.000000	68.635	45.4188
1265.000000	68.746	45.6511
1280.000000	68.853	45.8699
1315.000000	69.096	46.3323
1320.000000	69.130	46.3966
1340.000000	69.262	46.6661
1360.000000	69.394	46.9223
1380.000000	69.529	47.1286
1400.000000	69.669	47.3436
1430.000000	69.876	47.7047
1450.000000	70.010	47.9108
1475.000000	70.176	48.1310
1500.000000	70.339	48.3425
1525.000000	70.498	48.5256
1550.000000	70.648	48.6753
1575.000000	70.786	48.8356
1600.000000	70.925	48.9890
1625.000000	71.063	49.1203
1650.000000	71.200	49.2286
1675.000000	71.333	49.3015
1700.000000	71.468	49.3632
