* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 23:10:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ucotech RE2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	69.150	51.0609
20.600000	69.197	50.7610
20.900000	69.286	50.2069
21.200001	69.354	49.6328
21.400000	69.388	49.2462
21.799999	69.433	48.4711
22.000000	69.446	48.0945
22.400000	69.457	47.4018
22.700001	69.458	46.9435
23.000000	69.460	46.5191
23.299999	69.464	46.0993
23.600000	69.468	45.6700
24.000000	69.469	45.0965
24.299999	69.466	44.7090
24.700001	69.465	44.3094
25.000000	69.476	44.1019
25.400000	69.519	43.8782
25.799999	69.598	43.5680
26.200001	69.695	43.0479
26.500000	69.765	42.5094
26.900000	69.837	41.6532
27.200001	69.872	40.9772
27.600000	69.896	40.1181
28.000000	69.901	39.3768
28.500000	69.902	38.6653
29.000000	69.915	38.1757
29.500000	69.957	37.8040
30.000000	70.028	37.3817
30.400000	70.092	36.9354
30.700001	70.135	36.5455
31.100000	70.179	36.0107
31.500000	70.212	35.5203
32.000000	70.249	35.0000
32.500000	70.290	34.5053
33.000000	70.327	33.9335
33.500000	70.342	33.2989
34.000000	70.324	32.7444
34.500000	70.291	32.4094
35.000000	70.266	32.2892
35.500000	70.267	32.2271
36.000000	70.286	32.0601
36.500000	70.301	31.7693
37.000000	70.303	31.4777
37.500000	70.309	31.2804
38.200001	70.364	30.9852
38.700001	70.427	30.5104
39.500000	70.478	29.2956
40.000000	70.463	28.5988
40.599998	70.435	28.0708
41.200001	70.434	27.7340
41.799999	70.450	27.3935
42.500000	70.461	27.0944
43.099998	70.494	27.0347
43.700001	70.574	26.8654
44.400002	70.666	26.1152
45.000000	70.664	25.2033
45.500000	70.605	24.6859
46.200001	70.529	24.5721
46.799999	70.538	24.6488
47.500000	70.600	24.3138
48.200001	70.636	23.5784
48.700001	70.634	23.0492
49.400002	70.618	22.4661
50.000000	70.609	22.0934
50.799999	70.613	21.7068
51.500000	70.624	21.3670
52.200001	70.615	21.0750
53.000000	70.597	21.1320
53.799999	70.654	21.4318
54.500000	70.751	21.2801
55.200001	70.804	20.7012
56.000000	70.794	20.1101
57.000000	70.781	19.6723
58.000000	70.768	19.0928
59.000000	70.720	18.6764
60.000000	70.704	18.5717
60.799999	70.726	18.4119
61.500000	70.744	18.1455
62.200001	70.751	17.8463
63.000000	70.750	17.5161
64.000000	70.732	17.1229
65.000000	70.707	16.9099
66.000000	70.714	16.7810
67.000000	70.732	16.4861
68.000000	70.736	16.2667
69.000000	70.772	16.1714
70.000000	70.831	15.8499
71.000000	70.860	15.3312
72.000000	70.856	14.8202
73.000000	70.825	14.3724
74.000000	70.778	14.1107
75.000000	70.743	14.0112
76.199997	70.729	13.9593
77.500000	70.740	13.7963
78.800003	70.750	13.5942
80.000000	70.773	13.3055
81.199997	70.762	12.8424
82.500000	70.727	12.6172
83.800003	70.739	12.3979
85.000000	70.744	11.9831
86.199997	70.731	11.6203
87.500000	70.712	11.3336
88.500000	70.697	11.1952
90.000000	70.678	11.0690
91.199997	70.672	10.9954
92.500000	70.668	10.8353
93.800003	70.661	10.6857
95.000000	70.666	10.5164
96.199997	70.665	10.2561
97.500000	70.650	10.0441
98.800003	70.645	9.9351
100.000000	70.655	9.8106
101.500000	70.665	9.5295
103.000000	70.657	9.2612
104.400002	70.647	9.0919
106.000000	70.637	8.8930
107.500000	70.619	8.7606
