* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 18:18:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hifiman RE600s L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.699	23.5535
20.600000	75.647	23.4384
20.900000	75.551	23.3817
21.200001	75.484	23.7020
21.400000	75.461	24.0799
21.799999	75.468	25.1110
22.000000	75.508	25.6911
22.400000	75.693	26.7881
22.700001	75.931	27.1911
23.000000	76.214	26.8137
23.299999	76.467	25.5210
23.600000	76.625	23.5219
24.000000	76.624	20.5253
24.299999	76.481	18.8254
24.700001	76.223	17.9930
25.000000	76.107	18.3274
25.400000	76.165	19.1086
25.799999	76.388	18.9672
26.200001	76.553	17.5597
26.500000	76.542	16.2916
26.900000	76.354	15.4909
27.200001	76.188	16.1089
27.600000	76.134	18.3309
28.000000	76.400	20.6796
28.500000	76.964	21.4651
29.000000	77.333	19.6615
29.500000	77.321	17.4699
30.000000	77.096	17.0393
30.400000	76.985	17.9276
30.700001	77.009	18.6927
31.100000	77.122	18.9885
31.500000	77.191	18.2545
32.000000	77.060	16.8883
32.500000	76.753	16.7237
33.000000	76.578	18.0354
33.500000	76.722	19.0145
34.000000	76.972	17.8232
34.500000	76.989	14.9548
35.000000	76.681	12.6901
35.500000	76.283	12.8574
36.000000	76.178	14.7188
36.500000	76.432	15.8984
37.000000	76.713	15.0886
37.500000	76.752	13.4284
38.200001	76.507	13.3162
38.700001	76.472	15.1500
39.500000	76.858	16.9999
40.000000	77.038	16.4339
40.599998	76.999	15.6445
41.200001	76.886	16.2066
41.799999	76.947	17.1358
42.500000	77.127	16.5065
43.099998	77.113	14.7707
43.700001	76.946	13.3962
44.400002	76.768	12.5668
45.000000	76.687	11.7752
45.500000	76.611	10.9977
46.200001	76.488	10.3527
46.799999	76.450	10.3198
47.500000	76.509	10.2986
48.200001	76.605	10.0193
48.700001	76.663	9.7068
49.400002	76.690	9.2589
50.000000	76.660	9.1824
50.799999	76.639	9.6820
51.500000	76.678	9.9988
52.200001	76.683	9.9883
53.000000	76.671	10.2159
53.799999	76.747	10.1360
54.500000	76.768	9.2563
55.200001	76.665	8.6036
56.000000	76.579	8.8572
57.000000	76.661	9.0299
58.000000	76.756	8.5333
59.000000	76.806	7.5270
60.000000	76.675	6.8420
60.799999	76.611	7.3229
61.500000	76.662	7.4264
62.200001	76.676	6.9183
63.000000	76.621	6.4619
64.000000	76.570	5.9086
65.000000	76.419	5.5862
66.000000	76.399	6.5531
67.000000	76.575	6.3412
68.000000	76.583	5.4952
69.000000	76.595	5.3600
70.000000	76.595	4.9220
71.000000	76.536	5.2494
72.000000	76.630	5.6621
73.000000	76.687	5.0664
74.000000	76.645	4.6160
75.000000	76.598	4.2834
76.199997	76.515	4.3808
77.500000	76.582	4.5504
78.800003	76.582	3.9589
80.000000	76.567	3.9267
81.199997	76.549	3.6006
82.500000	76.472	3.6866
83.800003	76.455	3.7131
85.000000	76.423	3.7540
86.199997	76.474	3.6906
87.500000	76.474	3.0110
88.500000	76.439	2.9601
90.000000	76.465	2.8421
91.199997	76.436	2.8247
92.500000	76.482	3.0311
93.800003	76.518	2.5069
95.000000	76.490	2.1440
96.199997	76.479	1.8155
97.500000	76.427	1.5106
98.800003	76.401	1.6186
100.000000	76.409	1.5557
101.500000	76.420	1.5127
103.000000	76.470	1.0329
104.400002	76.422	0.4921
106.000000	76.393	0.5376
107.500000	76.385	0.5562
109.000000	76.397	0.8317
110.599998	76.426	0.6992
112.000000	76.404	0.5753
113.800003	76.388	0.2978
115.000000	76.348	0.2061
117.199997	76.351	0.1993
118.000000	76.338	0.0594
120.599998	76.305	0.0845
122.000000	76.293	-0.1509
124.099998	76.278	-0.1207
125.000000	76.296	-0.2113
126.500000	76.290	-0.4580
128.000000	76.275	-0.5604
131.500000	76.188	-0.8768
132.000000	76.182	-0.8740
134.000000	76.163	-1.0920
136.000000	76.131	-1.0575
138.000000	76.133	-1.0811
140.000000	76.105	-1.0072
143.000000	76.071	-1.0666
145.000000	76.042	-1.0164
147.500000	76.003	-1.2226
150.000000	75.977	-1.1427
152.500000	75.948	-1.4062
155.000000	75.908	-1.4786
157.500000	75.861	-1.6452
160.000000	75.833	-1.6668
162.500000	75.787	-1.6942
165.000000	75.774	-1.6257
167.500000	75.749	-1.7748
170.000000	75.735	-1.8826
172.500000	75.708	-2.0187
175.000000	75.703	-2.0636
177.500000	75.680	-2.2643
180.000000	75.661	-2.2893
182.500000	75.654	-2.4617
185.000000	75.640	-2.5253
187.500000	75.638	-2.5918
190.000000	75.625	-2.5879
192.500000	75.628	-2.5917
195.000000	75.619	-2.6655
197.500000	75.611	-2.6482
