* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Diffuse Field Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:16:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Diffuse Field Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: Diffuse Field Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-60.000
20.299999	-60.000
20.600000	-60.000
20.900000	-60.000
21.200001	-60.000
21.400000	-60.000
21.799999	-60.000
22.000000	-60.000
22.400000	-60.000
22.700001	-60.000
23.000000	-60.000
23.299999	-60.000
23.600000	-60.000
24.000000	-60.000
24.299999	-60.000
24.700001	-60.000
25.000000	-60.000
25.400000	-60.000
25.799999	-60.000
26.200001	-60.000
26.500000	-60.000
26.900000	-60.000
27.200001	-60.000
27.600000	-60.000
28.000000	-60.000
28.500000	-60.000
29.000000	-60.000
29.500000	-60.000
30.000000	-60.000
30.400000	-60.000
30.700001	-60.000
31.100000	-60.000
31.500000	-60.000
32.000000	-60.000
32.500000	-60.000
33.000000	-60.000
33.500000	-60.000
34.000000	-60.000
34.500000	-60.000
35.000000	-60.000
35.500000	-60.000
36.000000	-60.000
36.500000	-60.000
37.000000	-60.000
37.500000	-60.000
38.200001	-60.000
38.700001	-60.000
39.500000	-60.000
40.000000	-60.000
40.599998	-60.000
41.200001	-60.000
41.799999	-60.000
42.500000	-60.000
43.099998	-60.000
43.700001	-60.000
44.400002	-60.000
45.000000	-60.000
45.500000	-60.000
46.200001	-60.000
46.799999	-60.000
47.500000	-60.000
48.200001	-60.000
48.700001	-60.000
49.400002	-60.000
50.000000	-60.000
50.799999	-60.000
51.500000	-60.000
52.200001	-60.000
53.000000	-60.000
53.799999	-60.000
54.500000	-60.000
55.200001	-60.000
56.000000	-60.000
57.000000	-60.000
58.000000	-60.000
59.000000	-60.000
60.000000	-60.000
60.799999	-60.000
61.500000	-60.000
62.200001	-60.000
63.000000	-60.000
64.000000	-60.000
65.000000	-60.000
66.000000	-60.000
67.000000	-60.000
68.000000	-60.000
69.000000	-60.000
70.000000	-60.000
71.000000	-60.000
72.000000	-60.000
73.000000	-60.000
74.000000	-60.000
75.000000	-60.000
76.199997	-60.000
77.500000	-60.000
78.800003	-60.000
80.000000	-60.000
81.199997	-60.000
82.500000	-60.000
83.800003	-60.000
85.000000	-60.000
86.199997	-60.000
87.500000	-60.000
88.500000	-60.000
90.000000	-60.000
91.199997	-60.000
92.500000	-60.000
93.800003	-60.000
95.000000	-60.000
96.199997	-60.000
97.500000	-60.000
98.800003	-60.000
100.000000	-60.000
101.500000	-60.000
103.000000	-60.000
104.400002	-60.000
106.000000	-60.000
107.500000	-60.000
109.000000	-60.003
110.599998	-60.023
112.000000	-60.060
113.800003	-60.095
115.000000	-60.100
117.199997	-60.100
118.000000	-60.100
120.599998	-60.100
122.000000	-60.100
124.099998	-60.100
125.000000	-60.100
126.500000	-60.100
128.000000	-60.100
131.500000	-60.100
132.000000	-60.100
134.000000	-60.100
136.000000	-60.105
138.000000	-60.140
140.000000	-60.183
143.000000	-60.199
145.000000	-60.200
147.500000	-60.200
150.000000	-60.200
152.500000	-60.200
155.000000	-60.203
157.500000	-60.226
160.000000	-60.279
162.500000	-60.299
165.000000	-60.300
167.500000	-60.300
170.000000	-60.303
172.500000	-60.327
175.000000	-60.375
177.500000	-60.396
180.000000	-60.400
182.500000	-60.400
185.000000	-60.400
187.500000	-60.409
190.000000	-60.442
192.500000	-60.478
195.000000	-60.496
197.500000	-60.500
200.000000	-60.500
203.000000	-60.501
206.000000	-60.513
209.000000	-60.552
212.000000	-60.591
214.000000	-60.599
218.000000	-60.600
220.000000	-60.600
224.000000	-60.602
227.000000	-60.621
230.000000	-60.667
233.000000	-60.693
236.000000	-60.699
240.000000	-60.700
243.000000	-60.701
247.000000	-60.713
250.000000	-60.743
254.000000	-60.784
258.000000	-60.799
262.000000	-60.800
265.000000	-60.805
269.000000	-60.832
272.000000	-60.866
276.000000	-60.896
280.000000	-60.900
285.000000	-60.902
290.000000	-60.926
295.000000	-60.984
300.000000	-60.999
304.000000	-61.000
307.000000	-61.000
311.000000	-61.000
315.000000	-61.000
320.000000	-61.009
325.000000	-61.050
330.000000	-61.089
335.000000	-61.099
340.000000	-61.100
345.000000	-61.100
350.000000	-61.100
355.000000	-61.100
360.000000	-61.100
365.000000	-61.105
370.000000	-61.128
375.000000	-61.173
382.000000	-61.199
387.000000	-61.200
395.000000	-61.200
400.000000	-61.203
406.000000	-61.233
412.000000	-61.282
418.000000	-61.326
425.000000	-61.383
431.000000	-61.431
437.000000	-61.499
444.000000	-61.575
450.000000	-61.621
455.000000	-61.658
462.000000	-61.708
468.000000	-61.748
475.000000	-61.799
482.000000	-61.852
487.000000	-61.907
494.000000	-61.974
500.000000	-61.997
508.000000	-62.017
515.000000	-62.066
522.000000	-62.107
530.000000	-62.159
538.000000	-62.195
545.000000	-62.209
552.000000	-62.242
560.000000	-62.289
570.000000	-62.348
580.000000	-62.403
590.000000	-62.458
600.000000	-62.515
608.000000	-62.559
615.000000	-62.597
622.000000	-62.631
630.000000	-62.674
640.000000	-62.701
650.000000	-62.727
660.000000	-62.781
670.000000	-62.825
680.000000	-62.900
690.000000	-62.974
700.000000	-62.999
710.000000	-63.018
720.000000	-63.064
730.000000	-63.105
740.000000	-63.153
750.000000	-63.196
762.000000	-63.249
775.000000	-63.304
788.000000	-63.357
800.000000	-63.394
812.000000	-63.415
825.000000	-63.459
838.000000	-63.495
850.000000	-63.501
862.000000	-63.510
875.000000	-63.553
885.000000	-63.588
900.000000	-63.605
912.000000	-63.639
925.000000	-63.688
938.000000	-63.730
950.000000	-63.774
962.000000	-63.796
975.000000	-63.815
988.000000	-63.864
1000.000000	-63.926
1015.000000	-63.989
1030.000000	-64.044
1044.000000	-64.117
1060.000000	-64.215
1075.000000	-64.307
1090.000000	-64.398
1106.000000	-64.494
1120.000000	-64.576
1138.000000	-64.681
1150.000000	-64.750
1172.000000	-64.874
1180.000000	-64.919
1206.000000	-65.062
1220.000000	-65.138
1241.000000	-65.258
1250.000000	-65.321
1265.000000	-65.439
1280.000000	-65.543
1315.000000	-65.770
1320.000000	-65.807
1340.000000	-65.943
1360.000000	-66.051
1380.000000	-66.157
1400.000000	-66.285
1430.000000	-66.477
1450.000000	-66.587
1475.000000	-66.749
1500.000000	-66.893
1525.000000	-67.027
1550.000000	-67.193
