* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:13:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: Harman IE 2019 v2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.985
20.299999	75.973
20.600000	75.962
20.900000	75.951
21.200001	75.941
21.400000	75.934
21.799999	75.922
22.000000	75.916
22.400000	75.906
22.700001	75.900
23.000000	75.894
23.299999	75.889
23.600000	75.885
24.000000	75.881
24.299999	75.879
24.700001	75.876
25.000000	75.875
25.400000	75.874
25.799999	75.874
26.200001	75.873
26.500000	75.873
26.900000	75.874
27.200001	75.874
27.600000	75.875
28.000000	75.875
28.500000	75.877
29.000000	75.878
29.500000	75.880
30.000000	75.882
30.400000	75.885
30.700001	75.887
31.100000	75.891
31.500000	75.895
32.000000	75.902
32.500000	75.909
33.000000	75.917
33.500000	75.926
34.000000	75.937
34.500000	75.950
35.000000	75.964
35.500000	75.979
36.000000	75.998
36.500000	76.018
37.000000	76.039
37.500000	76.060
38.200001	76.092
38.700001	76.115
39.500000	76.152
40.000000	76.178
40.599998	76.211
41.200001	76.247
41.799999	76.282
42.500000	76.325
43.099998	76.366
43.700001	76.409
44.400002	76.459
45.000000	76.504
45.500000	76.543
46.200001	76.600
46.799999	76.649
47.500000	76.708
48.200001	76.770
48.700001	76.816
49.400002	76.879
50.000000	76.932
50.799999	77.001
51.500000	77.060
52.200001	77.119
53.000000	77.187
53.799999	77.258
54.500000	77.321
55.200001	77.384
56.000000	77.453
57.000000	77.529
58.000000	77.603
59.000000	77.677
60.000000	77.758
60.799999	77.833
61.500000	77.903
62.200001	77.974
63.000000	78.051
64.000000	78.138
65.000000	78.220
66.000000	78.302
67.000000	78.383
68.000000	78.467
69.000000	78.551
70.000000	78.635
71.000000	78.719
72.000000	78.804
73.000000	78.890
74.000000	78.975
75.000000	79.055
76.199997	79.144
77.500000	79.234
78.800003	79.324
80.000000	79.407
81.199997	79.491
82.500000	79.581
83.800003	79.671
85.000000	79.754
86.199997	79.837
87.500000	79.926
88.500000	79.995
90.000000	80.099
91.199997	80.181
92.500000	80.271
93.800003	80.360
95.000000	80.442
96.199997	80.525
97.500000	80.614
98.800003	80.702
100.000000	80.780
101.500000	80.870
103.000000	80.956
104.400002	81.036
106.000000	81.128
107.500000	81.214
109.000000	81.300
110.599998	81.391
112.000000	81.472
113.800003	81.575
115.000000	81.644
117.199997	81.768
118.000000	81.812
120.599998	81.943
122.000000	82.012
124.099998	82.115
125.000000	82.160
126.500000	82.233
128.000000	82.306
131.500000	82.474
132.000000	82.497
134.000000	82.585
136.000000	82.670
138.000000	82.754
140.000000	82.833
143.000000	82.938
145.000000	83.004
147.500000	83.087
150.000000	83.168
152.500000	83.249
155.000000	83.329
157.500000	83.408
160.000000	83.487
162.500000	83.564
165.000000	83.640
167.500000	83.716
170.000000	83.791
172.500000	83.863
175.000000	83.934
177.500000	84.005
180.000000	84.074
182.500000	84.141
185.000000	84.207
187.500000	84.272
190.000000	84.334
192.500000	84.395
195.000000	84.454
197.500000	84.511
200.000000	84.564
203.000000	84.621
206.000000	84.672
209.000000	84.722
212.000000	84.771
214.000000	84.801
218.000000	84.859
220.000000	84.887
224.000000	84.941
227.000000	84.977
230.000000	85.012
233.000000	85.045
236.000000	85.075
240.000000	85.108
243.000000	85.131
247.000000	85.159
250.000000	85.178
254.000000	85.200
258.000000	85.219
262.000000	85.237
265.000000	85.250
269.000000	85.263
272.000000	85.272
276.000000	85.282
280.000000	85.291
285.000000	85.298
290.000000	85.303
295.000000	85.307
300.000000	85.311
304.000000	85.311
307.000000	85.311
311.000000	85.311
315.000000	85.310
