* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:13:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Harman IE 2019 v2 Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced
* Measurement: Harman IE 2019 v2 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-69.212
20.299999	-69.224
20.600000	-69.235
20.900000	-69.246
21.200001	-69.257
21.400000	-69.263
21.799999	-69.275
22.000000	-69.281
22.400000	-69.291
22.700001	-69.298
23.000000	-69.303
23.299999	-69.308
23.600000	-69.313
24.000000	-69.316
24.299999	-69.318
24.700001	-69.321
25.000000	-69.322
25.400000	-69.323
25.799999	-69.324
26.200001	-69.324
26.500000	-69.324
26.900000	-69.324
27.200001	-69.323
27.600000	-69.323
28.000000	-69.322
28.500000	-69.321
29.000000	-69.319
29.500000	-69.318
30.000000	-69.315
30.400000	-69.312
30.700001	-69.310
31.100000	-69.306
31.500000	-69.302
32.000000	-69.295
32.500000	-69.288
33.000000	-69.281
33.500000	-69.272
34.000000	-69.260
34.500000	-69.247
35.000000	-69.234
35.500000	-69.218
36.000000	-69.200
36.500000	-69.179
37.000000	-69.158
37.500000	-69.137
38.200001	-69.105
38.700001	-69.082
39.500000	-69.045
40.000000	-69.020
40.599998	-68.986
41.200001	-68.951
41.799999	-68.915
42.500000	-68.872
43.099998	-68.831
43.700001	-68.788
44.400002	-68.738
45.000000	-68.693
45.500000	-68.654
46.200001	-68.598
46.799999	-68.548
47.500000	-68.489
48.200001	-68.427
48.700001	-68.382
49.400002	-68.318
50.000000	-68.265
50.799999	-68.196
51.500000	-68.138
52.200001	-68.079
53.000000	-68.010
53.799999	-67.939
54.500000	-67.876
55.200001	-67.813
56.000000	-67.744
57.000000	-67.668
58.000000	-67.595
59.000000	-67.521
60.000000	-67.439
60.799999	-67.364
61.500000	-67.294
62.200001	-67.223
63.000000	-67.147
64.000000	-67.059
65.000000	-66.977
66.000000	-66.896
67.000000	-66.814
68.000000	-66.731
69.000000	-66.647
70.000000	-66.563
71.000000	-66.478
72.000000	-66.393
73.000000	-66.307
74.000000	-66.222
75.000000	-66.142
76.199997	-66.054
77.500000	-65.963
78.800003	-65.873
80.000000	-65.790
81.199997	-65.707
82.500000	-65.617
83.800003	-65.527
85.000000	-65.444
86.199997	-65.361
87.500000	-65.271
88.500000	-65.202
90.000000	-65.099
91.199997	-65.016
92.500000	-64.927
93.800003	-64.837
95.000000	-64.755
96.199997	-64.673
97.500000	-64.584
98.800003	-64.495
100.000000	-64.418
101.500000	-64.328
103.000000	-64.241
104.400002	-64.161
106.000000	-64.069
107.500000	-63.984
109.000000	-63.898
110.599998	-63.806
112.000000	-63.726
113.800003	-63.622
115.000000	-63.554
117.199997	-63.429
118.000000	-63.385
120.599998	-63.254
122.000000	-63.185
124.099998	-63.082
125.000000	-63.038
126.500000	-62.964
128.000000	-62.891
131.500000	-62.723
132.000000	-62.700
134.000000	-62.612
136.000000	-62.527
138.000000	-62.443
140.000000	-62.365
143.000000	-62.260
145.000000	-62.193
147.500000	-62.111
150.000000	-62.029
152.500000	-61.948
155.000000	-61.869
157.500000	-61.789
160.000000	-61.710
162.500000	-61.633
165.000000	-61.557
167.500000	-61.481
170.000000	-61.407
172.500000	-61.334
175.000000	-61.263
177.500000	-61.192
180.000000	-61.123
182.500000	-61.056
185.000000	-60.990
187.500000	-60.926
190.000000	-60.863
192.500000	-60.802
195.000000	-60.743
197.500000	-60.687
200.000000	-60.633
203.000000	-60.577
206.000000	-60.525
209.000000	-60.475
212.000000	-60.427
214.000000	-60.396
218.000000	-60.339
220.000000	-60.310
224.000000	-60.256
227.000000	-60.220
230.000000	-60.186
233.000000	-60.152
236.000000	-60.123
240.000000	-60.089
243.000000	-60.067
247.000000	-60.038
250.000000	-60.019
254.000000	-59.997
258.000000	-59.978
262.000000	-59.960
265.000000	-59.948
269.000000	-59.934
272.000000	-59.926
276.000000	-59.915
280.000000	-59.906
285.000000	-59.899
290.000000	-59.894
295.000000	-59.890
300.000000	-59.887
304.000000	-59.886
307.000000	-59.886
311.000000	-59.886
315.000000	-59.887
320.000000	-59.890
325.000000	-59.894
330.000000	-59.898
335.000000	-59.903
340.000000	-59.908
345.000000	-59.914
350.000000	-59.921
355.000000	-59.928
360.000000	-59.935
365.000000	-59.944
370.000000	-59.952
375.000000	-59.960
382.000000	-59.971
387.000000	-59.979
395.000000	-59.991
400.000000	-59.999
406.000000	-60.009
412.000000	-60.019
418.000000	-60.030
425.000000	-60.042
431.000000	-60.053
437.000000	-60.065
444.000000	-60.078
450.000000	-60.090
455.000000	-60.100
462.000000	-60.115
468.000000	-60.128
475.000000	-60.143
482.000000	-60.158
487.000000	-60.170
494.000000	-60.186
500.000000	-60.200
508.000000	-60.217
515.000000	-60.232
522.000000	-60.247
530.000000	-60.265
538.000000	-60.283
545.000000	-60.300
552.000000	-60.316
560.000000	-60.334
570.000000	-60.355
580.000000	-60.375
590.000000	-60.395
600.000000	-60.418
608.000000	-60.439
615.000000	-60.460
622.000000	-60.480
630.000000	-60.503
640.000000	-60.529
650.000000	-60.554
660.000000	-60.579
670.000000	-60.604
680.000000	-60.631
690.000000	-60.658
700.000000	-60.686
710.000000	-60.714
720.000000	-60.743
730.000000	-60.773
740.000000	-60.802
750.000000	-60.831
762.000000	-60.863
775.000000	-60.897
788.000000	-60.931
800.000000	-60.962
812.000000	-60.995
825.000000	-61.031
838.000000	-61.067
850.000000	-61.101
862.000000	-61.136
875.000000	-61.175
885.000000	-61.205
900.000000	-61.251
912.000000	-61.290
925.000000	-61.333
938.000000	-61.376
950.000000	-61.418
962.000000	-61.462
975.000000	-61.510
988.000000	-61.559
1000.000000	-61.603
1015.000000	-61.659
1030.000000	-61.713
1044.000000	-61.764
1060.000000	-61.826
1075.000000	-61.887
1090.000000	-61.950
1106.000000	-62.020
1120.000000	-62.083
1138.000000	-62.169
1150.000000	-62.230
1172.000000	-62.341
1180.000000	-62.381
1206.000000	-62.513
1220.000000	-62.584
1241.000000	-62.692
1250.000000	-62.741
1265.000000	-62.826
1280.000000	-62.913
1315.000000	-63.119
1320.000000	-63.148
1340.000000	-63.266
1360.000000	-63.383
1380.000000	-63.500
1400.000000	-63.614
1430.000000	-63.776
1450.000000	-63.882
1475.000000	-64.014
1500.000000	-64.149
1525.000000	-64.290
1550.000000	-64.435
1575.000000	-64.580
1600.000000	-64.728
1625.000000	-64.882
1650.000000	-65.038
1675.000000	-65.195
1700.000000	-65.354
1725.000000	-65.517
1750.000000	-65.683
1775.000000	-65.849
1800.000000	-66.017
1825.000000	-66.187
1850.000000	-66.359
1875.000000	-66.532
1900.000000	-66.705
1925.000000	-66.879
1950.000000	-67.054
1975.000000	-67.227
2000.000000	-67.394
2030.000000	-67.577
2060.000000	-67.751
2090.000000	-67.924
2120.000000	-68.095
2140.000000	-68.208
2180.000000	-68.429
2200.000000	-68.540
2240.000000	-68.756
2270.000000	-68.913
2300.000000	-69.066
2330.000000	-69.216
2360.000000	-69.357
2400.000000	-69.525
2430.000000	-69.642
2470.000000	-69.792
2500.000000	-69.899
2540.000000	-70.028
2580.000000	-70.148
2620.000000	-70.264
2650.000000	-70.346
2690.000000	-70.444
2720.000000	-70.512
2760.000000	-70.601
2800.000000	-70.679
2850.000000	-70.746
2900.000000	-70.803
2950.000000	-70.857
3000.000000	-70.906
3040.000000	-70.940
3070.000000	-70.961
3110.000000	-70.987
3150.000000	-71.005
3200.000000	-71.015
3250.000000	-71.015
3300.000000	-71.013
3350.000000	-71.005
3400.000000	-70.986
3450.000000	-70.962
3500.000000	-70.935
3550.000000	-70.904
3600.000000	-70.865
3650.000000	-70.820
3700.000000	-70.775
3750.000000	-70.729
3820.000000	-70.662
3870.000000	-70.614
3950.000000	-70.537
4000.000000	-70.486
4060.000000	-70.422
4120.000000	-70.356
4180.000000	-70.289
4250.000000	-70.210
4310.000000	-70.141
4370.000000	-70.070
4440.000000	-69.987
