* Measurement data measured by REW V5.20.13
* Source: C:\Users\DABKING\Desktop\Harman OE 2018 Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 29 ¿ÀÈÄ 10:15:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Desktop\Harman OE 2018 Target.txt Format: Comma/Tab/Space delimited data 479 values loaded, 20 Hz to 19,762 Hz log spaced
* Measurement: Harman OE 2018 Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	80.246
20.600000	80.219
20.900000	80.186
21.200001	80.159
21.400000	80.148
21.799999	80.133
22.000000	80.129
22.400000	80.124
22.700001	80.126
23.000000	80.129
23.299999	80.131
23.600000	80.132
24.000000	80.133
24.299999	80.135
24.700001	80.140
25.000000	80.141
25.400000	80.144
25.799999	80.148
26.200001	80.151
26.500000	80.153
26.900000	80.156
27.200001	80.160
27.600000	80.167
28.000000	80.174
28.500000	80.181
29.000000	80.187
29.500000	80.195
30.000000	80.204
30.400000	80.211
30.700001	80.217
31.100000	80.225
31.500000	80.234
32.000000	80.244
32.500000	80.254
33.000000	80.265
33.500000	80.275
34.000000	80.287
34.500000	80.301
35.000000	80.315
35.500000	80.329
36.000000	80.343
36.500000	80.357
37.000000	80.371
37.500000	80.385
38.200001	80.403
38.700001	80.418
39.500000	80.444
40.000000	80.458
40.599998	80.474
41.200001	80.489
41.799999	80.504
42.500000	80.522
43.099998	80.541
43.700001	80.564
44.400002	80.595
45.000000	80.620
45.500000	80.638
46.200001	80.663
46.799999	80.684
47.500000	80.711
48.200001	80.741
48.700001	80.767
49.400002	80.807
50.000000	80.839
50.799999	80.878
51.500000	80.910
52.200001	80.941
53.000000	80.975
53.799999	81.011
54.500000	81.044
55.200001	81.075
56.000000	81.110
57.000000	81.152
58.000000	81.191
59.000000	81.229
60.000000	81.269
60.799999	81.308
61.500000	81.345
62.200001	81.382
63.000000	81.421
64.000000	81.466
65.000000	81.509
66.000000	81.552
67.000000	81.598
68.000000	81.642
69.000000	81.686
70.000000	81.730
71.000000	81.775
72.000000	81.821
73.000000	81.869
74.000000	81.917
75.000000	81.963
76.199997	82.016
77.500000	82.070
78.800003	82.126
80.000000	82.177
81.199997	82.229
82.500000	82.285
83.800003	82.342
85.000000	82.395
86.199997	82.447
87.500000	82.506
88.500000	82.552
90.000000	82.623
91.199997	82.682
92.500000	82.745
93.800003	82.807
95.000000	82.865
96.199997	82.925
97.500000	82.991
98.800003	83.054
100.000000	83.112
101.500000	83.184
103.000000	83.255
104.400002	83.320
106.000000	83.393
107.500000	83.463
109.000000	83.533
110.599998	83.608
112.000000	83.674
113.800003	83.760
115.000000	83.818
117.199997	83.922
118.000000	83.958
120.599998	84.071
122.000000	84.129
124.099998	84.215
125.000000	84.252
126.500000	84.313
128.000000	84.375
131.500000	84.513
132.000000	84.531
134.000000	84.602
136.000000	84.670
138.000000	84.737
140.000000	84.799
143.000000	84.882
145.000000	84.934
147.500000	84.999
150.000000	85.063
152.500000	85.129
155.000000	85.194
157.500000	85.258
160.000000	85.321
162.500000	85.381
165.000000	85.439
167.500000	85.496
170.000000	85.554
172.500000	85.609
175.000000	85.664
177.500000	85.719
180.000000	85.772
182.500000	85.822
185.000000	85.870
187.500000	85.916
190.000000	85.959
192.500000	85.999
195.000000	86.038
197.500000	86.074
200.000000	86.107
203.000000	86.138
206.000000	86.165
209.000000	86.189
212.000000	86.209
214.000000	86.219
218.000000	86.234
220.000000	86.241
224.000000	86.249
227.000000	86.250
230.000000	86.247
233.000000	86.243
236.000000	86.237
240.000000	86.224
243.000000	86.212
247.000000	86.195
250.000000	86.179
254.000000	86.155
258.000000	86.129
262.000000	86.101
265.000000	86.079
269.000000	86.049
272.000000	86.026
276.000000	85.997
280.000000	85.968
285.000000	85.933
290.000000	85.898
295.000000	85.863
300.000000	85.828
304.000000	85.797
307.000000	85.772
311.000000	85.739
315.000000	85.706
320.000000	85.671
325.000000	85.639
330.000000	85.608
335.000000	85.578
340.000000	85.548
345.000000	85.519
350.000000	85.491
355.000000	85.465
360.000000	85.441
365.000000	85.418
370.000000	85.397
375.000000	85.377
382.000000	85.351
387.000000	85.334
395.000000	85.308
400.000000	85.293
406.000000	85.277
412.000000	85.262
418.000000	85.248
425.000000	85.231
431.000000	85.216
437.000000	85.199
444.000000	85.178
450.000000	85.160
455.000000	85.145
462.000000	85.125
468.000000	85.107
475.000000	85.085
482.000000	85.062
487.000000	85.045
494.000000	85.022
500.000000	85.003
508.000000	84.977
515.000000	84.953
522.000000	84.929
530.000000	84.903
538.000000	84.875
545.000000	84.851
552.000000	84.829
560.000000	84.805
570.000000	84.778
580.000000	84.753
590.000000	84.728
600.000000	84.701
608.000000	84.678
615.000000	84.657
622.000000	84.636
630.000000	84.615
640.000000	84.591
650.000000	84.567
660.000000	84.545
670.000000	84.525
680.000000	84.506
690.000000	84.488
700.000000	84.470
710.000000	84.455
720.000000	84.440
730.000000	84.425
740.000000	84.409
750.000000	84.396
762.000000	84.383
775.000000	84.368
788.000000	84.355
800.000000	84.345
812.000000	84.335
825.000000	84.326
838.000000	84.318
850.000000	84.311
862.000000	84.303
875.000000	84.293
885.000000	84.284
900.000000	84.272
912.000000	84.263
925.000000	84.254
938.000000	84.243
950.000000	84.230
962.000000	84.215
975.000000	84.197
988.000000	84.178
1000.000000	84.158
1015.000000	84.129
1030.000000	84.100
1044.000000	84.072
1060.000000	84.037
1075.000000	83.999
1090.000000	83.958
1106.000000	83.911
1120.000000	83.866
1138.000000	83.802
1150.000000	83.756
1172.000000	83.672
1180.000000	83.640
1206.000000	83.529
1220.000000	83.468
1241.000000	83.376
1250.000000	83.335
1265.000000	83.264
1280.000000	83.191
1315.000000	83.013
1320.000000	82.987
1340.000000	82.882
1360.000000	82.775
1380.000000	82.668
1400.000000	82.564
1430.000000	82.409
1450.000000	82.309
1475.000000	82.185
1500.000000	82.054
1525.000000	81.916
1550.000000	81.774
1575.000000	81.632
1600.000000	81.487
1625.000000	81.336
1650.000000	81.179
1675.000000	81.023
1700.000000	80.865
1725.000000	80.704
1750.000000	80.540
1775.000000	80.375
1800.000000	80.211
1825.000000	80.046
1850.000000	79.879
1875.000000	79.714
1900.000000	79.550
1925.000000	79.385
1950.000000	79.220
1975.000000	79.060
2000.000000	78.908
2030.000000	78.739
2060.000000	78.580
2090.000000	78.426
2120.000000	78.276
2140.000000	78.177
2180.000000	77.986
2200.000000	77.892
2240.000000	77.707
2270.000000	77.575
2300.000000	77.446
2330.000000	77.321
2360.000000	77.205
2400.000000	77.068
2430.000000	76.972
2470.000000	76.850
2500.000000	76.762
2540.000000	76.655
2580.000000	76.554
2620.000000	76.458
2650.000000	76.389
2690.000000	76.303
2720.000000	76.242
2760.000000	76.166
2800.000000	76.097
2850.000000	76.024
2900.000000	75.961
2950.000000	75.903
3000.000000	75.845
3040.000000	75.799
3070.000000	75.765
3110.000000	75.722
3150.000000	75.686
3200.000000	75.652
3250.000000	75.627
3300.000000	75.605
3350.000000	75.591
3400.000000	75.586
3450.000000	75.588
3500.000000	75.594
3550.000000	75.607
3600.000000	75.630
3650.000000	75.660
3700.000000	75.693
3750.000000	75.732
3820.000000	75.798
3870.000000	75.847
3950.000000	75.927
4000.000000	75.984
4060.000000	76.062
4120.000000	76.144
4180.000000	76.229
4250.000000	76.334
4310.000000	76.433
4370.000000	76.538
4440.000000	76.662
4500.000000	76.770
4550.000000	76.862
4620.000000	76.992
4680.000000	77.105
4750.000000	77.237
4820.000000	77.370
4870.000000	77.466
4940.000000	77.597
5000.000000	77.705
5080.000000	77.837
5150.000000	77.945
5220.000000	78.051
5300.000000	78.172
5380.000000	78.291
5450.000000	78.391
5520.000000	78.488
5600.000000	78.593
5700.000000	78.712
5800.000000	78.821
5900.000000	78.930
6000.000000	79.049
6080.000000	79.157
6150.000000	79.256
6220.000000	79.356
6300.000000	79.466
6400.000000	79.595
6500.000000	79.716
6600.000000	79.837
6700.000000	79.961
6800.000000	80.090
6900.000000	80.224
7000.000000	80.358
7100.000000	80.494
7200.000000	80.637
7300.000000	80.785
7400.000000	80.934
7500.000000	81.079
7620.000000	81.245
7750.000000	81.417
7880.000000	81.585
8000.000000	81.743
8120.000000	81.906
8250.000000	82.085
8380.000000	82.263
8500.000000	82.431
8620.000000	82.607
8750.000000	82.801
8850.000000	82.949
9000.000000	83.173
9120.000000	83.361
9250.000000	83.569
9380.000000	83.779
9500.000000	83.978
9620.000000	84.186
9750.000000	84.418
9880.000000	84.648
10000.000000	84.856
10150.000000	85.111
10300.000000	85.362
10440.000000	85.595
10600.000000	85.867
10750.000000	86.131
10900.000000	86.400
11060.000000	86.690
11200.000000	86.946
11380.000000	87.284
11500.000000	87.509
11720.000000	87.915
11800.000000	88.056
12060.000000	88.491
12200.000000	88.714
12410.000000	89.041
12500.000000	89.179
12650.000000	89.407
12800.000000	89.631
13150.000000	90.134
13200.000000	90.201
13400.000000	90.456
13600.000000	90.696
13800.000000	90.928
14000.000000	91.148
14300.000000	91.453
14500.000000	91.646
14750.000000	91.886
15000.000000	92.142
15250.000000	92.422
15500.000000	92.718
15750.000000	93.023
16000.000000	93.365
16250.000000	93.767
16500.000000	94.203
16750.000000	94.662
17000.000000	95.180
17250.000000	95.792
17500.000000	96.463
17750.000000	97.173
18000.000000	97.962
18250.000000	98.869
18500.000000	99.856
18750.000000	100.893
19000.000000	102.017
19250.000000	103.245
19500.000000	104.433
19750.000000	105.214
