* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 9:44:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.414	-161.6201
20.600000	90.420	-161.7630
20.900000	90.432	-161.9973
21.200001	90.446	-162.1801
21.400000	90.456	-162.3105
21.799999	90.474	-162.6605
22.000000	90.479	-162.8927
22.400000	90.475	-163.4276
22.700001	90.463	-163.8331
23.000000	90.451	-164.2149
23.299999	90.446	-164.5927
23.600000	90.450	-164.9995
24.000000	90.466	-165.6266
24.299999	90.480	-166.1554
24.700001	90.493	-166.8821
25.000000	90.501	-167.3945
25.400000	90.514	-168.0025
25.799999	90.539	-168.5504
26.200001	90.574	-169.0953
26.500000	90.601	-169.5181
26.900000	90.628	-170.0800
27.200001	90.641	-170.4690
27.600000	90.652	-170.9161
28.000000	90.664	-171.2963
28.500000	90.683	-171.7641
29.000000	90.695	-172.3023
29.500000	90.684	-172.8691
30.000000	90.651	-173.3356
30.400000	90.624	-173.5944
30.700001	90.612	-173.7464
31.100000	90.612	-173.9704
31.500000	90.624	-174.2898
32.000000	90.637	-174.8531
32.500000	90.636	-175.5051
33.000000	90.626	-176.1133
33.500000	90.624	-176.6459
34.000000	90.634	-177.1591
34.500000	90.647	-177.6911
35.000000	90.658	-178.2149
35.500000	90.668	-178.6938
36.000000	90.680	-179.1344
36.500000	90.690	-179.5577
37.000000	90.695	-179.9579
37.500000	90.697	179.6799
38.200001	90.699	179.1920
38.700001	90.695	178.8117
39.500000	90.665	178.2435
40.000000	90.648	177.9941
40.599998	90.650	177.7125
41.200001	90.670	177.2382
41.799999	90.673	176.5549
42.500000	90.635	175.7935
43.099998	90.596	175.3534
43.700001	90.578	175.0015
44.400002	90.570	174.5361
45.000000	90.558	174.1188
45.500000	90.545	173.8097
46.200001	90.530	173.4131
46.799999	90.518	173.0731
47.500000	90.503	172.7116
48.200001	90.501	172.3783
48.700001	90.508	172.0887
49.400002	90.512	171.5663
50.000000	90.498	171.0992
50.799999	90.469	170.6089
51.500000	90.456	170.2681
52.200001	90.453	169.8890
53.000000	90.444	169.3934
53.799999	90.423	168.9182
54.500000	90.399	168.5494
55.200001	90.377	168.2081
56.000000	90.358	167.8080
57.000000	90.335	167.2295
58.000000	90.296	166.6499
59.000000	90.260	166.1932
60.000000	90.243	165.7165
60.799999	90.224	165.2711
61.500000	90.201	164.9196
62.200001	90.180	164.6363
63.000000	90.166	164.3257
64.000000	90.155	163.8215
65.000000	90.126	163.2257
66.000000	90.084	162.7057
67.000000	90.047	162.2132
68.000000	90.004	161.6936
69.000000	89.958	161.2711
70.000000	89.925	160.8861
71.000000	89.891	160.4612
72.000000	89.850	160.0771
73.000000	89.811	159.7667
74.000000	89.780	159.4720
75.000000	89.755	159.1111
76.199997	89.715	158.6047
77.500000	89.662	158.0940
78.800003	89.621	157.6398
80.000000	89.586	157.1426
81.199997	89.537	156.6647
82.500000	89.484	156.2705
83.800003	89.444	155.8906
85.000000	89.403	155.4559
86.199997	89.352	155.0443
87.500000	89.300	154.6815
88.500000	89.270	154.4051
90.000000	89.220	153.8839
91.199997	89.160	153.5162
92.500000	89.105	153.2260
93.800003	89.057	152.8434
95.000000	89.002	152.5087
96.199997	88.956	152.2617
97.500000	88.925	151.9724
