* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:15:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 폼 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.908	42.4851
20.600000	73.934	42.0501
20.900000	73.982	41.2770
21.200001	74.015	40.5544
21.400000	74.031	40.1069
21.799999	74.053	39.2609
22.000000	74.063	38.8513
22.400000	74.085	38.0534
22.700001	74.106	37.4504
23.000000	74.132	36.8134
23.299999	74.159	36.1301
23.600000	74.183	35.4052
24.000000	74.209	34.4034
24.299999	74.223	33.6605
24.700001	74.236	32.7202
25.000000	74.247	32.0618
25.400000	74.267	31.2324
25.799999	74.293	30.4232
26.200001	74.323	29.6084
26.500000	74.343	28.9954
26.900000	74.365	28.1942
27.200001	74.378	27.6204
27.600000	74.392	26.9006
28.000000	74.406	26.2226
28.500000	74.423	25.4020
29.000000	74.434	24.5944
29.500000	74.438	23.8206
30.000000	74.439	23.1070
30.400000	74.443	22.5712
30.700001	74.449	22.1733
31.100000	74.461	21.6228
31.500000	74.475	21.0342
32.000000	74.488	20.2487
32.500000	74.492	19.4414
33.000000	74.488	18.6532
33.500000	74.479	17.9077
34.000000	74.469	17.2143
34.500000	74.458	16.5740
35.000000	74.450	15.9800
35.500000	74.446	15.4154
36.000000	74.446	14.8606
36.500000	74.447	14.3031
37.000000	74.447	13.7382
37.500000	74.447	13.1632
38.200001	74.440	12.3406
38.700001	74.428	11.7566
39.500000	74.405	10.8890
40.000000	74.394	10.3843
40.599998	74.387	9.7635
41.200001	74.380	9.0953
41.799999	74.363	8.4287
42.500000	74.338	7.7386
43.099998	74.323	7.2127
43.700001	74.314	6.6894
44.400002	74.301	6.0659
45.000000	74.285	5.5491
45.500000	74.270	5.1397
46.200001	74.248	4.5868
46.799999	74.228	4.1251
47.500000	74.204	3.5915
48.200001	74.180	3.0345
48.700001	74.160	2.6189
49.400002	74.125	2.0514
50.000000	74.094	1.6089
50.799999	74.065	1.0460
51.500000	74.046	0.5181
52.200001	74.027	-0.0349
53.000000	74.002	-0.6478
53.799999	73.976	-1.2254
54.500000	73.951	-1.6847
55.200001	73.927	-2.0892
56.000000	73.904	-2.5288
57.000000	73.871	-3.0801
58.000000	73.833	-3.5836
59.000000	73.797	-4.1420
60.000000	73.742	-4.7570
60.799999	73.692	-5.1868
61.500000	73.655	-5.5431
62.200001	73.623	-5.9234
63.000000	73.587	-6.3682
64.000000	73.550	-6.9075
65.000000	73.517	-7.4670
66.000000	73.476	-8.0049
67.000000	73.429	-8.4422
68.000000	73.386	-8.7973
69.000000	73.345	-9.1452
70.000000	73.303	-9.5049
71.000000	73.262	-9.8807
72.000000	73.221	-10.3134
73.000000	73.172	-10.7575
74.000000	73.123	-11.1652
75.000000	73.075	-11.5557
76.199997	73.012	-11.9573
77.500000	72.952	-12.2746
78.800003	72.909	-12.6170
80.000000	72.866	-13.0455
81.199997	72.809	-13.4945
82.500000	72.740	-13.9194
83.800003	72.673	-14.2690
85.000000	72.617	-14.5710
86.199997	72.560	-14.8881
87.500000	72.496	-15.2788
88.500000	72.438	-15.6264
90.000000	72.332	-15.9957
91.199997	72.283	-16.1240
92.500000	72.258	-16.4281
93.800003	72.221	-16.7806
95.000000	72.177	-17.0217
96.199997	72.131	-17.1965
97.500000	72.078	-17.4022
98.800003	72.016	-17.6466
100.000000	71.954	-17.8998
101.500000	71.877	-18.2559
103.000000	71.807	-18.5830
104.400002	71.756	-18.8940
106.000000	71.698	-19.3120
107.500000	71.617	-19.6035
109.000000	71.546	-19.5857
110.599998	71.507	-19.6033
112.000000	71.468	-19.7235
113.800003	71.402	-19.9100
115.000000	71.350	-20.0346
117.199997	71.251	-20.2724
118.000000	71.215	-20.3591
120.599998	71.112	-20.5750
122.000000	71.065	-20.6822
124.099998	70.993	-20.8358
125.000000	70.961	-20.9026
126.500000	70.904	-21.0104
128.000000	70.846	-21.1087
131.500000	70.716	-21.3479
132.000000	70.696	-21.3850
134.000000	70.618	-21.5225
136.000000	70.546	-21.6205
138.000000	70.485	-21.7012
140.000000	70.422	-21.7837
143.000000	70.304	-21.9009
145.000000	70.230	-22.0353
147.500000	70.146	-22.1401
150.000000	70.079	-21.8270
152.500000	70.058	-21.3568
155.000000	69.996	-21.6620
157.500000	69.837	-21.9874
160.000000	69.711	-22.0550
162.500000	69.649	-22.0143
165.000000	69.609	-22.1753
167.500000	69.530	-22.2578
170.000000	69.450	-22.0796
172.500000	69.385	-21.9295
175.000000	69.325	-21.8828
177.500000	69.260	-21.8932
180.000000	69.189	-21.8796
182.500000	69.113	-21.8421
185.000000	69.037	-21.7522
187.500000	68.969	-21.5919
190.000000	68.915	-21.4278
192.500000	68.858	-21.3864
195.000000	68.789	-21.3866
197.500000	68.722	-21.3573
200.000000	68.659	-21.2426
203.000000	68.593	-20.9802
206.000000	68.535	-20.7695
209.000000	68.467	-20.6584
212.000000	68.384	-20.4504
214.000000	68.328	-20.1990
218.000000	68.250	-19.7413
220.000000	68.218	-19.7200
224.000000	68.148	-19.6674
227.000000	68.097	-19.4468
230.000000	68.040	-19.2600
233.000000	67.980	-19.2167
236.000000	67.914	-19.1062
240.000000	67.843	-18.8029
243.000000	67.799	-18.6567
247.000000	67.728	-18.3729
250.000000	67.671	-18.1772
254.000000	67.609	-18.0887
258.000000	67.553	-17.7743
262.000000	67.485	-17.2861
265.000000	67.428	-17.0376
269.000000	67.366	-16.7888
272.000000	67.327	-16.5992
276.000000	67.272	-16.2686
280.000000	67.216	-15.9027
285.000000	67.149	-15.4984
290.000000	67.091	-15.1523
295.000000	67.031	-14.7805
300.000000	66.972	-14.3805
304.000000	66.926	-14.0557
307.000000	66.894	-13.8171
311.000000	66.852	-13.5133
315.000000	66.811	-13.2187
320.000000	66.762	-12.8390
325.000000	66.714	-12.4586
330.000000	66.668	-12.1170
335.000000	66.623	-11.7767
340.000000	66.578	-11.4055
345.000000	66.533	-11.0253
350.000000	66.488	-10.6635
355.000000	66.446	-10.3311
360.000000	66.400	-10.0230
365.000000	66.358	-9.6740
370.000000	66.321	-9.2353
375.000000	66.280	-8.8421
382.000000	66.227	-8.3969
387.000000	66.195	-7.9977
395.000000	66.136	-7.3769
400.000000	66.105	-7.0060
406.000000	66.066	-6.5391
412.000000	66.026	-6.0921
418.000000	65.990	-5.6425
425.000000	65.951	-5.1027
431.000000	65.919	-4.6452
437.000000	65.888	-4.2034
444.000000	65.852	-3.6887
450.000000	65.822	-3.2224
455.000000	65.799	-2.8337
462.000000	65.770	-2.3014
468.000000	65.749	-1.8771
475.000000	65.720	-1.3903
482.000000	65.689	-0.8447
487.000000	65.670	-0.4433
494.000000	65.647	0.1042
500.000000	65.627	0.5666
508.000000	65.602	1.1760
515.000000	65.582	1.7020
522.000000	65.565	2.2250
530.000000	65.548	2.8217
538.000000	65.531	3.4155
545.000000	65.518	3.9300
552.000000	65.506	4.4455
560.000000	65.493	5.0411
570.000000	65.479	5.7890
580.000000	65.467	6.5252
590.000000	65.457	7.2522
600.000000	65.450	7.9871
608.000000	65.446	8.5681
615.000000	65.443	9.0721
622.000000	65.443	9.5796
630.000000	65.443	10.1666
640.000000	65.445	10.9063
650.000000	65.449	11.6414
660.000000	65.454	12.3630
670.000000	65.463	13.0703
680.000000	65.475	13.7820
690.000000	65.488	14.4959
700.000000	65.504	15.2169
710.000000	65.522	15.9330
720.000000	65.544	16.6392
730.000000	65.567	17.3567
740.000000	65.588	18.0708
750.000000	65.615	18.7721
762.000000	65.655	19.6104
775.000000	65.702	20.5247
788.000000	65.749	21.4297
800.000000	65.794	22.2468
812.000000	65.844	23.0604
825.000000	65.902	23.9354
838.000000	65.969	24.8122
850.000000	66.034	25.5642
862.000000	66.098	26.3123
875.000000	66.172	27.1341
885.000000	66.234	27.7560
900.000000	66.331	28.6599
912.000000	66.412	29.3572
925.000000	66.504	30.0883
938.000000	66.597	30.7952
950.000000	66.686	31.4292
962.000000	66.779	32.0413
975.000000	66.883	32.6681
988.000000	66.989	33.2626
1000.000000	67.089	33.7880
1015.000000	67.215	34.4139
1030.000000	67.342	35.0071
1044.000000	67.462	35.5230
1060.000000	67.600	36.0734
1075.000000	67.731	36.5487
1090.000000	67.860	36.9844
1106.000000	67.998	37.4136
1120.000000	68.118	37.7636
1138.000000	68.272	38.1875
1150.000000	68.373	38.4461
1172.000000	68.557	38.8582
1180.000000	68.623	38.9995
1206.000000	68.837	39.4269
1220.000000	68.952	39.6262
1241.000000	69.122	39.9069
1250.000000	69.194	40.0193
1265.000000	69.314	40.1998
1280.000000	69.434	40.3721
1315.000000	69.709	40.7226
1320.000000	69.748	40.7683
1340.000000	69.905	40.9414
1360.000000	70.063	41.0942
1380.000000	70.220	41.2306
1400.000000	70.379	41.3492
1430.000000	70.619	41.4906
1450.000000	70.780	41.5610
1475.000000	70.983	41.6141
1500.000000	71.188	41.6299
1525.000000	71.396	41.6043
1550.000000	71.608	41.5365
1575.000000	71.824	41.4179
1600.000000	72.044	41.2399
1625.000000	72.268	40.9933
1650.000000	72.497	40.6700
1675.000000	72.730	40.2564
1700.000000	72.965	39.7451
1725.000000	73.201	39.1303
1750.000000	73.439	38.4038
1775.000000	73.678	37.5555
1800.000000	73.915	36.5753
1825.000000	74.151	35.4467
1850.000000	74.384	34.1506
1875.000000	74.611	32.6694
1900.000000	74.833	30.9717
1925.000000	75.044	29.0033
1950.000000	75.235	26.6881
1975.000000	75.390	23.9406
2000.000000	75.475	20.6898
2030.000000	75.411	16.2025
2060.000000	75.068	11.7735
2090.000000	74.428	8.9791
2120.000000	73.700	9.0811
2140.000000	73.339	10.4800
2180.000000	73.106	13.8706
2200.000000	73.161	15.0350
2240.000000	73.364	15.9530
2270.000000	73.501	15.7740
2300.000000	73.600	15.1988
2330.000000	73.659	14.4279
2360.000000	73.684	13.5780
2400.000000	73.675	12.4340
2430.000000	73.642	11.6144
2470.000000	73.570	10.6156
2500.000000	73.501	9.9532
2540.000000	73.391	9.2058
2580.000000	73.266	8.6408
2620.000000	73.132	8.3023
2650.000000	73.031	8.2254
2690.000000	72.908	8.3785
2720.000000	72.834	8.6820
2760.000000	72.773	9.3454
2800.000000	72.793	10.3372
2850.000000	73.046	11.4552
2900.000000	73.473	10.7579
2950.000000	73.780	8.1250
3000.000000	73.924	4.7765
3040.000000	73.972	1.5859
3070.000000	73.948	-1.3906
3110.000000	73.726	-6.2218
3150.000000	73.134	-11.0546
3200.000000	71.839	-13.6356
3250.000000	70.466	-10.3544
3300.000000	69.704	-4.3041
3350.000000	69.514	0.9694
3400.000000	69.543	4.6459
3450.000000	69.606	7.2655
3500.000000	69.669	9.3645
3550.000000	69.731	11.1395
3600.000000	69.788	12.7209
3650.000000	69.851	14.2230
3700.000000	69.932	15.6090
3750.000000	70.023	16.8297
3820.000000	70.149	18.3226
3870.000000	70.237	19.3028
3950.000000	70.382	20.7901
4000.000000	70.481	21.6577
4060.000000	70.599	22.6054
4120.000000	70.705	23.5450
4180.000000	70.811	24.7013
4250.000000	71.014	26.3387
4310.000000	71.287	27.5034
4370.000000	71.598	28.0969
4440.000000	71.958	28.1688
4500.000000	72.246	27.7872
4550.000000	72.468	27.2174
4620.000000	72.756	26.0381
4680.000000	72.976	24.4791
4750.000000	73.124	21.7160
4820.000000	72.981	18.3161
4870.000000	72.620	16.6968
4940.000000	71.939	17.8047
5000.000000	71.638	21.5148
5080.000000	71.911	26.1865
5150.000000	72.391	27.9453
5220.000000	72.807	28.0471
5300.000000	73.128	27.4358
5380.000000	73.354	27.1676
5450.000000	73.623	27.4226
5520.000000	74.035	27.2530
5600.000000	74.523	25.4852
5700.000000	74.908	21.7089
5800.000000	75.056	17.6846
5900.000000	75.050	13.7073
6000.000000	74.876	9.7595
6080.000000	74.585	6.8914
6150.000000	74.209	4.9418
6220.000000	73.730	3.9937
6300.000000	73.156	4.7145
6400.000000	72.708	7.6322
6500.000000	72.630	10.4932
6600.000000	72.699	12.5326
6700.000000	72.843	14.2282
6800.000000	73.090	15.5203
6900.000000	73.405	16.0611
7000.000000	73.729	15.7907
7100.000000	74.013	14.8128
7200.000000	74.219	13.4410
7300.000000	74.375	12.1489
7400.000000	74.562	10.8607
7500.000000	74.764	8.9095
7620.000000	74.858	5.6799
7750.000000	74.716	2.6933
7880.000000	74.560	1.2436
8000.000000	74.589	0.0589
8120.000000	74.657	-2.1758
8250.000000	74.589	-5.3947
8380.000000	74.329	-8.3870
8500.000000	73.986	-10.1373
8620.000000	73.688	-10.8992
8750.000000	73.485	-11.4426
8850.000000	73.380	-11.9247
9000.000000	73.305	-12.7739
9120.000000	73.319	-13.9118
9250.000000	73.351	-15.8992
9380.000000	73.354	-18.7112
9500.000000	73.280	-22.1579
9620.000000	73.035	-26.2453
9750.000000	72.491	-30.3056
9880.000000	71.731	-32.4246
10000.000000	71.089	-32.3949
10150.000000	70.641	-31.7886
10300.000000	70.436	-32.6817
10440.000000	70.225	-35.1133
10600.000000	69.766	-39.2719
10750.000000	68.993	-43.1261
10900.000000	67.939	-45.3523
11060.000000	66.696	-45.4811
11200.000000	65.623	-43.9216
11380.000000	64.365	-39.9262
11500.000000	63.665	-36.2357
11720.000000	62.808	-28.6086
11800.000000	62.629	-25.9674
12060.000000	62.306	-18.6135
12200.000000	62.229	-15.1358
12410.000000	62.288	-10.4148
12500.000000	62.387	-8.8077
12650.000000	62.598	-7.0391
12800.000000	62.783	-6.3833
13150.000000	62.948	-6.8566
13200.000000	62.959	-7.0451
13400.000000	63.001	-8.4663
13600.000000	62.949	-11.5039
13800.000000	62.612	-16.0168
14000.000000	61.855	-20.7668
14300.000000	59.915	-24.8328
14500.000000	58.207	-23.5470
14750.000000	55.904	-15.6232
15000.000000	54.056	-0.8583
15250.000000	53.402	16.8005
15500.000000	53.903	33.0662
15750.000000	55.164	46.2664
16000.000000	56.911	55.5981
16250.000000	58.872	60.3586
16500.000000	60.812	60.4426
16750.000000	62.556	56.0230
17000.000000	63.904	47.3107
17250.000000	64.647	35.3357
17500.000000	64.693	22.3330
17750.000000	64.137	10.5680
18000.000000	63.177	0.9562
18250.000000	61.964	-6.7492
18500.000000	60.528	-12.7219
18750.000000	58.851	-16.2427
19000.000000	57.038	-16.3737
19250.000000	55.377	-13.6555
19500.000000	54.091	-10.1324
19750.000000	53.150	-7.4178
