* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:10:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 폼 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.402	47.0785
20.600000	73.432	46.6302
20.900000	73.488	45.8275
21.200001	73.535	45.0569
21.400000	73.559	44.5584
21.799999	73.594	43.5700
22.000000	73.606	43.0810
22.400000	73.625	42.1537
22.700001	73.640	41.5161
23.000000	73.664	40.9097
23.299999	73.698	40.2936
23.600000	73.741	39.6289
24.000000	73.804	38.6279
24.299999	73.845	37.8018
24.700001	73.882	36.6696
25.000000	73.897	35.8652
25.400000	73.908	34.9194
25.799999	73.923	34.1248
26.200001	73.951	33.4184
26.500000	73.979	32.8979
26.900000	74.019	32.1821
27.200001	74.047	31.6326
27.600000	74.077	30.9106
28.000000	74.100	30.2311
28.500000	74.127	29.4413
29.000000	74.155	28.6683
29.500000	74.178	27.8734
30.000000	74.193	27.0637
30.400000	74.196	26.4274
30.700001	74.196	25.9673
31.100000	74.191	25.3889
31.500000	74.187	24.8594
32.000000	74.189	24.2622
32.500000	74.207	23.6849
33.000000	74.239	23.0299
33.500000	74.273	22.2365
34.000000	74.289	21.3449
34.500000	74.282	20.4777
35.000000	74.262	19.7322
35.500000	74.243	19.1130
36.000000	74.236	18.5471
36.500000	74.235	17.9692
37.000000	74.234	17.3688
37.500000	74.229	16.7733
38.200001	74.223	15.9810
38.700001	74.222	15.4313
39.500000	74.229	14.5252
40.000000	74.236	13.9240
40.599998	74.240	13.1635
41.200001	74.235	12.3859
41.799999	74.218	11.6488
42.500000	74.188	10.9160
43.099998	74.165	10.4080
43.700001	74.152	9.9612
44.400002	74.144	9.4493
45.000000	74.139	9.0054
45.500000	74.135	8.6424
46.200001	74.135	8.1217
46.799999	74.138	7.6090
47.500000	74.131	6.9267
48.200001	74.108	6.2571
48.700001	74.088	5.8260
49.400002	74.067	5.2469
50.000000	74.048	4.7350
50.799999	74.016	4.0906
51.500000	73.991	3.6153
52.200001	73.975	3.1641
53.000000	73.959	2.6184
53.799999	73.939	2.0803
54.500000	73.920	1.6216
55.200001	73.900	1.1477
56.000000	73.870	0.6064
57.000000	73.828	-0.0201
58.000000	73.790	-0.6373
59.000000	73.751	-1.2782
60.000000	73.707	-1.8815
60.799999	73.675	-2.3388
61.500000	73.646	-2.7389
62.200001	73.614	-3.1089
63.000000	73.582	-3.4714
64.000000	73.556	-3.9351
65.000000	73.530	-4.4711
66.000000	73.496	-4.9960
67.000000	73.460	-5.4999
68.000000	73.419	-5.9586
69.000000	73.380	-6.3718
70.000000	73.341	-6.7831
71.000000	73.301	-7.1896
72.000000	73.261	-7.5869
73.000000	73.226	-8.0166
74.000000	73.187	-8.5140
75.000000	73.137	-9.0089
76.199997	73.071	-9.5162
77.500000	73.004	-9.9261
78.800003	72.958	-10.3043
80.000000	72.914	-10.7234
81.199997	72.864	-11.1251
82.500000	72.812	-11.5603
83.800003	72.762	-11.9775
85.000000	72.721	-12.3270
86.199997	72.679	-12.6361
87.500000	72.627	-12.8423
88.500000	72.592	-12.8496
90.000000	72.585	-13.0075
91.199997	72.543	-13.5301
92.500000	72.444	-13.9918
93.800003	72.352	-14.3434
95.000000	72.279	-14.7044
96.199997	72.214	-15.0730
97.500000	72.153	-15.4131
98.800003	72.106	-15.6944
100.000000	72.062	-15.9494
101.500000	71.987	-16.2116
103.000000	71.917	-16.3342
104.400002	71.869	-16.6822
106.000000	71.778	-17.2411
107.500000	71.689	-17.4905
109.000000	71.645	-17.5143
110.599998	71.636	-17.5890
112.000000	71.617	-17.7574
113.800003	71.558	-18.0044
115.000000	71.504	-18.1794
117.199997	71.401	-18.4507
118.000000	71.370	-18.5353
120.599998	71.280	-18.8266
122.000000	71.229	-18.9423
124.099998	71.148	-19.1331
125.000000	71.112	-19.2184
126.500000	71.054	-19.3671
128.000000	71.000	-19.5181
131.500000	70.874	-19.8087
132.000000	70.856	-19.8376
134.000000	70.786	-19.9132
136.000000	70.724	-20.0068
138.000000	70.655	-20.1754
140.000000	70.580	-20.3636
143.000000	70.485	-20.5850
145.000000	70.425	-20.6142
147.500000	70.339	-20.5277
150.000000	70.213	-20.8781
152.500000	70.038	-21.1005
155.000000	69.979	-20.9519
157.500000	69.935	-21.0802
160.000000	69.834	-20.9246
162.500000	69.765	-20.6277
165.000000	69.730	-20.5163
167.500000	69.691	-20.5145
170.000000	69.646	-20.5402
172.500000	69.596	-20.5820
175.000000	69.533	-20.6386
177.500000	69.467	-20.6877
180.000000	69.396	-20.8503
182.500000	69.299	-20.9344
185.000000	69.202	-20.8192
187.500000	69.135	-20.6601
190.000000	69.089	-20.5535
192.500000	69.044	-20.4440
195.000000	68.993	-20.3376
197.500000	68.939	-20.2524
200.000000	68.888	-20.1628
203.000000	68.823	-20.0735
206.000000	68.745	-20.0091
209.000000	68.673	-19.9185
212.000000	68.608	-19.7768
214.000000	68.563	-19.6824
218.000000	68.467	-19.5480
220.000000	68.424	-19.4330
224.000000	68.352	-19.1799
227.000000	68.278	-19.0575
230.000000	68.216	-18.9058
233.000000	68.170	-18.7459
236.000000	68.131	-18.4952
240.000000	68.067	-18.2269
243.000000	67.996	-18.1031
247.000000	67.908	-17.8319
250.000000	67.847	-17.5874
254.000000	67.788	-17.3524
258.000000	67.756	-17.2222
262.000000	67.692	-16.9813
265.000000	67.639	-16.7525
269.000000	67.577	-16.4007
272.000000	67.532	-16.1476
276.000000	67.471	-15.8825
280.000000	67.413	-15.6153
285.000000	67.348	-15.2804
290.000000	67.290	-14.9295
295.000000	67.227	-14.5582
300.000000	67.156	-14.2134
304.000000	67.106	-13.9425
307.000000	67.069	-13.7320
311.000000	67.022	-13.4480
315.000000	66.977	-13.1515
320.000000	66.920	-12.7839
325.000000	66.864	-12.4263
330.000000	66.813	-12.0518
335.000000	66.765	-11.6727
340.000000	66.715	-11.3032
345.000000	66.667	-10.9240
350.000000	66.618	-10.5556
355.000000	66.574	-10.1967
360.000000	66.530	-9.8547
365.000000	66.488	-9.5058
370.000000	66.445	-9.0955
375.000000	66.402	-8.7153
382.000000	66.346	-8.1835
387.000000	66.309	-7.7918
395.000000	66.250	-7.1761
400.000000	66.215	-6.7926
406.000000	66.175	-6.3284
412.000000	66.135	-5.8604
418.000000	66.098	-5.4032
425.000000	66.058	-4.8736
431.000000	66.024	-4.4103
437.000000	65.989	-3.9439
444.000000	65.950	-3.4400
450.000000	65.924	-2.9950
455.000000	65.902	-2.6067
462.000000	65.867	-2.0635
468.000000	65.838	-1.6035
475.000000	65.806	-1.0789
482.000000	65.775	-0.5479
487.000000	65.755	-0.1563
494.000000	65.729	0.3869
500.000000	65.708	0.8408
508.000000	65.682	1.4495
515.000000	65.660	1.9910
522.000000	65.638	2.5286
530.000000	65.616	3.1383
538.000000	65.596	3.7536
545.000000	65.581	4.2891
552.000000	65.566	4.8158
560.000000	65.549	5.4166
570.000000	65.531	6.1603
580.000000	65.517	6.9090
590.000000	65.503	7.6689
600.000000	65.490	8.4256
608.000000	65.484	9.0306
615.000000	65.481	9.5593
622.000000	65.479	10.0869
630.000000	65.477	10.6868
640.000000	65.475	11.4351
650.000000	65.475	12.1789
660.000000	65.477	12.9215
670.000000	65.482	13.6713
680.000000	65.490	14.4168
690.000000	65.499	15.1649
700.000000	65.512	15.9034
710.000000	65.526	16.6344
720.000000	65.543	17.3798
730.000000	65.564	18.1335
740.000000	65.585	18.8770
750.000000	65.610	19.6159
762.000000	65.642	20.4914
775.000000	65.679	21.4412
788.000000	65.720	22.3844
800.000000	65.761	23.2173
812.000000	65.809	24.0472
825.000000	65.863	24.9635
838.000000	65.921	25.8685
850.000000	65.979	26.7066
862.000000	66.041	27.5354
875.000000	66.114	28.4133
885.000000	66.175	29.0558
900.000000	66.267	29.9838
912.000000	66.343	30.7218
925.000000	66.429	31.5076
938.000000	66.519	32.2658
950.000000	66.604	32.9412
962.000000	66.692	33.5992
975.000000	66.791	34.2861
988.000000	66.892	34.9383
1000.000000	66.987	35.5104
1015.000000	67.107	36.1957
1030.000000	67.229	36.8497
1044.000000	67.343	37.4252
1060.000000	67.475	38.0442
1075.000000	67.599	38.5865
1090.000000	67.722	39.0940
1106.000000	67.853	39.5976
1120.000000	67.967	40.0109
1138.000000	68.115	40.5071
1150.000000	68.213	40.8131
1172.000000	68.391	41.3534
1180.000000	68.454	41.5442
1206.000000	68.653	42.1179
1220.000000	68.760	42.4041
1241.000000	68.920	42.8069
1250.000000	68.988	42.9743
1265.000000	69.099	43.2478
1280.000000	69.211	43.5093
1315.000000	69.471	44.0779
1320.000000	69.508	44.1549
1340.000000	69.656	44.4520
1360.000000	69.805	44.7381
1380.000000	69.954	45.0182
1400.000000	70.105	45.2825
1430.000000	70.334	45.6366
1450.000000	70.490	45.8578
1475.000000	70.688	46.1097
1500.000000	70.889	46.3206
1525.000000	71.094	46.4849
1550.000000	71.304	46.5970
1575.000000	71.519	46.6484
1600.000000	71.738	46.6314
1625.000000	71.959	46.5413
1650.000000	72.182	46.3632
1675.000000	72.404	46.0852
1700.000000	72.623	45.7122
1725.000000	72.836	45.2505
1750.000000	73.042	44.7141
1775.000000	73.239	44.1222
1800.000000	73.430	43.4866
1825.000000	73.615	42.8084
1850.000000	73.795	42.0806
1875.000000	73.972	41.2994
1900.000000	74.144	40.4579
1925.000000	74.310	39.5509
1950.000000	74.467	38.5778
1975.000000	74.616	37.5451
2000.000000	74.754	36.4590
2030.000000	74.905	35.0955
2060.000000	75.039	33.6777
2090.000000	75.157	32.2172
2120.000000	75.257	30.7252
2140.000000	75.315	29.7176
2180.000000	75.407	27.6868
2200.000000	75.443	26.6697
2240.000000	75.491	24.6453
2270.000000	75.510	23.1432
2300.000000	75.514	21.6670
2330.000000	75.506	20.2223
2360.000000	75.485	18.8103
2400.000000	75.442	16.9808
2430.000000	75.400	15.6497
2470.000000	75.334	13.9184
2500.000000	75.278	12.6357
2540.000000	75.198	10.9116
2580.000000	75.111	9.1014
2620.000000	75.009	7.0923
2650.000000	74.908	5.3811
2690.000000	74.701	2.8142
2720.000000	74.459	0.8342
2760.000000	74.006	-1.4400
2800.000000	73.420	-2.9176
2850.000000	72.522	-2.5251
2900.000000	71.823	1.3739
2950.000000	71.754	5.4225
3000.000000	71.926	6.5957
3040.000000	71.911	6.0581
3070.000000	71.768	5.6844
3110.000000	71.483	6.0341
3150.000000	71.230	7.3401
3200.000000	71.058	9.4083
3250.000000	70.999	11.2318
3300.000000	70.982	12.6911
3350.000000	70.977	13.8996
3400.000000	70.974	14.9707
3450.000000	70.974	15.9717
3500.000000	70.977	16.9352
3550.000000	70.984	17.8695
3600.000000	70.999	18.7717
3650.000000	71.018	19.6332
