* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:02:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.034	39.4279
20.600000	75.052	39.0162
20.900000	75.088	38.2895
21.200001	75.116	37.6196
21.400000	75.131	37.1989
21.799999	75.155	36.3707
22.000000	75.166	35.9496
22.400000	75.184	35.1017
22.700001	75.197	34.4645
23.000000	75.211	33.8220
23.299999	75.225	33.1714
23.600000	75.241	32.5105
24.000000	75.263	31.6129
24.299999	75.280	30.9318
24.700001	75.301	30.0244
25.000000	75.316	29.3545
25.400000	75.334	28.4881
25.799999	75.351	27.6613
26.200001	75.369	26.8748
26.500000	75.383	26.3074
26.900000	75.402	25.5740
27.200001	75.415	25.0377
27.600000	75.431	24.3403
28.000000	75.443	23.6667
28.500000	75.453	22.8634
29.000000	75.461	22.0980
29.500000	75.467	21.3553
30.000000	75.470	20.6223
30.400000	75.472	20.0422
30.700001	75.472	19.6120
31.100000	75.472	19.0444
31.500000	75.472	18.4805
32.000000	75.472	17.7746
32.500000	75.472	17.0669
33.000000	75.470	16.3661
33.500000	75.467	15.6825
34.000000	75.462	15.0227
34.500000	75.457	14.3881
35.000000	75.451	13.7775
35.500000	75.446	13.1856
36.000000	75.440	12.6040
36.500000	75.432	12.0265
37.000000	75.422	11.4537
37.500000	75.409	10.8913
38.200001	75.389	10.1283
38.700001	75.376	9.5944
39.500000	75.357	8.7312
40.000000	75.346	8.1823
40.599998	75.329	7.5315
41.200001	75.313	6.9127
41.799999	75.298	6.3290
42.500000	75.284	5.6782
43.099998	75.271	5.1470
43.700001	75.258	4.6470
44.400002	75.243	4.0845
45.000000	75.227	3.5998
45.500000	75.209	3.2001
46.200001	75.178	2.6666
46.799999	75.151	2.2258
47.500000	75.121	1.6956
48.200001	75.090	1.1400
48.700001	75.068	0.7347
49.400002	75.037	0.1592
50.000000	75.011	-0.3337
50.799999	74.977	-0.9549
51.500000	74.952	-1.4522
52.200001	74.931	-1.9212
53.000000	74.911	-2.4216
53.799999	74.894	-2.9067
54.500000	74.876	-3.3669
55.200001	74.845	-3.8274
56.000000	74.802	-4.2898
57.000000	74.741	-4.8584
58.000000	74.663	-5.2702
59.000000	74.633	-5.4529
60.000000	74.648	-5.9910
60.799999	74.627	-6.6201
61.500000	74.583	-7.0613
62.200001	74.537	-7.3318
63.000000	74.501	-7.5348
64.000000	74.467	-7.8632
65.000000	74.426	-8.1409
66.000000	74.427	-8.5204
67.000000	74.402	-9.4534
68.000000	74.294	-10.2039
69.000000	74.218	-10.6012
70.000000	74.167	-11.1308
71.000000	74.110	-11.5703
72.000000	74.074	-11.9535
73.000000	74.038	-12.3887
74.000000	73.994	-12.7605
75.000000	73.953	-13.1003
76.199997	73.899	-13.5244
77.500000	73.831	-13.9640
78.800003	73.765	-14.3163
80.000000	73.715	-14.6423
81.199997	73.668	-14.9973
82.500000	73.612	-15.3960
83.800003	73.552	-15.7254
85.000000	73.503	-16.0194
86.199997	73.450	-16.3529
87.500000	73.376	-16.6673
88.500000	73.318	-16.7896
90.000000	73.266	-16.9104
91.199997	73.235	-17.2441
92.500000	73.166	-17.6515
93.800003	73.094	-17.8672
95.000000	73.050	-18.0495
96.199997	73.007	-18.3674
97.500000	72.930	-18.6782
98.800003	72.857	-18.7701
100.000000	72.814	-18.9245
101.500000	72.748	-19.3251
103.000000	72.660	-19.7315
104.400002	72.584	-19.9917
106.000000	72.531	-20.2470
107.500000	72.493	-20.5602
109.000000	72.442	-20.7981
110.599998	72.378	-20.9001
112.000000	72.321	-20.9423
113.800003	72.243	-21.0972
115.000000	72.184	-21.3037
117.199997	72.070	-21.6163
118.000000	72.039	-21.6764
120.599998	71.969	-21.8217
122.000000	71.931	-21.8792
124.099998	71.870	-21.9925
125.000000	71.850	-22.0805
126.500000	71.825	-22.3407
128.000000	71.791	-22.6457
131.500000	71.651	-22.8568
132.000000	71.625	-22.8620
134.000000	71.489	-22.9456
136.000000	71.351	-22.8132
138.000000	71.306	-22.8097
