* Measurement data measured by REW V5.20.13
* Source: 마이크(2- Realtek(R) Audi, MICROPHONE (마스), L, volume: 0.300
* Format: 128k Log Swept Sine, 2 sweeps at -28.0 dBFS with no timing reference
* Dated: 2023. 3. 31 오후 9:04:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3월 31
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.101	45.1895
20.600000	74.124	44.7751
20.900000	74.168	44.0463
21.200001	74.204	43.3818
21.400000	74.226	42.9670
21.799999	74.267	42.1447
22.000000	74.287	41.7173
22.400000	74.326	40.8266
22.700001	74.353	40.1317
23.000000	74.378	39.4194
23.299999	74.401	38.7012
23.600000	74.424	37.9849
24.000000	74.456	37.0376
24.299999	74.483	36.3294
24.700001	74.520	35.3802
25.000000	74.549	34.6631
25.400000	74.584	33.7111
25.799999	74.613	32.7901
26.200001	74.639	31.9272
26.500000	74.658	31.3233
26.900000	74.684	30.5661
27.200001	74.704	30.0202
27.600000	74.730	29.3060
28.000000	74.752	28.6050
28.500000	74.772	27.7674
29.000000	74.785	26.9952
29.500000	74.797	26.2751
30.000000	74.811	25.5651
30.400000	74.821	24.9863
30.700001	74.826	24.5479
31.100000	74.830	23.9682
31.500000	74.833	23.4010
32.000000	74.839	22.7035
32.500000	74.846	21.9987
33.000000	74.853	21.2779
33.500000	74.856	20.5574
34.000000	74.859	19.8594
34.500000	74.862	19.1876
35.000000	74.866	18.5296
35.500000	74.872	17.8750
36.000000	74.875	17.2264
36.500000	74.877	16.5915
37.000000	74.878	15.9718
37.500000	74.878	15.3631
38.200001	74.875	14.5240
38.700001	74.871	13.9368
39.500000	74.863	13.0277
40.000000	74.857	12.4802
40.599998	74.851	11.8419
41.200001	74.845	11.2173
41.799999	74.839	10.6026
42.500000	74.829	9.9081
43.099998	74.818	9.3432
43.700001	74.807	8.8016
44.400002	74.792	8.1845
45.000000	74.776	7.6673
45.500000	74.760	7.2487
46.200001	74.738	6.6756
46.799999	74.719	6.1838
47.500000	74.695	5.6031
48.200001	74.672	5.0164
48.700001	74.655	4.5952
49.400002	74.632	4.0107
50.000000	74.615	3.5217
50.799999	74.596	2.8782
51.500000	74.580	2.3198
52.200001	74.563	1.7927
53.000000	74.544	1.2459
53.799999	74.527	0.7247
54.500000	74.508	0.2767
55.200001	74.486	-0.1498
56.000000	74.456	-0.6163
57.000000	74.413	-1.2020
58.000000	74.361	-1.7845
59.000000	74.303	-2.3385
60.000000	74.251	-2.8661
60.799999	74.218	-3.3114
61.500000	74.193	-3.7433
62.200001	74.167	-4.1997
63.000000	74.134	-4.7111
64.000000	74.095	-5.3006
65.000000	74.060	-5.8267
66.000000	74.033	-6.3005
67.000000	74.008	-6.7732
68.000000	73.974	-7.2252
69.000000	73.935	-7.6057
70.000000	73.896	-7.9715
71.000000	73.853	-8.3704
72.000000	73.802	-8.7783
73.000000	73.748	-9.1774
74.000000	73.697	-9.5661
75.000000	73.651	-9.9392
76.199997	73.607	-10.3945
77.500000	73.562	-10.9068
78.800003	73.512	-11.3892
80.000000	73.460	-11.7714
81.199997	73.409	-12.1130
82.500000	73.355	-12.5129
83.800003	73.297	-12.9350
85.000000	73.241	-13.3231
86.199997	73.185	-13.6756
87.500000	73.132	-14.0063
88.500000	73.095	-14.2793
90.000000	73.031	-14.6945
91.199997	72.977	-14.9855
92.500000	72.921	-15.3056
93.800003	72.866	-15.6113
95.000000	72.819	-15.8793
96.199997	72.773	-16.1359
97.500000	72.722	-16.3906
98.800003	72.666	-16.6201
100.000000	72.611	-16.7998
101.500000	72.547	-17.0142
103.000000	72.490	-17.3026
104.400002	72.435	-17.6369
106.000000	72.363	-18.0013
107.500000	72.300	-18.2042
109.000000	72.249	-18.3928
110.599998	72.190	-18.6304
112.000000	72.132	-18.8321
113.800003	72.057	-19.0824
115.000000	72.009	-19.2441
117.199997	71.927	-19.5106
118.000000	71.898	-19.5958
120.599998	71.805	-19.8639
122.000000	71.750	-20.0225
124.099998	71.662	-20.2753
125.000000	71.625	-20.3734
126.500000	71.567	-20.5150
128.000000	71.516	-20.6361
131.500000	71.399	-20.8484
132.000000	71.383	-20.8735
134.000000	71.315	-20.9850
136.000000	71.248	-21.1183
138.000000	71.179	-21.2590
140.000000	71.109	-21.3692
143.000000	71.009	-21.5211
145.000000	70.944	-21.6383
147.500000	70.855	-21.7598
150.000000	70.756	-21.8408
152.500000	70.660	-21.8926
155.000000	70.589	-21.9218
157.500000	70.531	-21.9758
160.000000	70.463	-22.0155
162.500000	70.388	-22.0679
165.000000	70.309	-22.1587
167.500000	70.230	-22.2118
170.000000	70.143	-22.2395
172.500000	70.037	-22.1890
175.000000	69.950	-21.9783
177.500000	69.897	-21.8670
180.000000	69.846	-21.9039
182.500000	69.784	-21.9916
185.000000	69.720	-21.9939
187.500000	69.664	-21.8951
190.000000	69.610	-21.7663
192.500000	69.553	-21.6738
195.000000	69.492	-21.6273
197.500000	69.430	-21.5719
200.000000	69.367	-21.4858
203.000000	69.290	-21.3802
206.000000	69.216	-21.2880
209.000000	69.149	-21.1834
212.000000	69.086	-21.0689
214.000000	69.043	-20.9873
218.000000	68.957	-20.7902
220.000000	68.915	-20.6931
224.000000	68.835	-20.5043
227.000000	68.777	-20.3631
230.000000	68.718	-20.2203
233.000000	68.657	-20.0680
236.000000	68.594	-19.8984
240.000000	68.517	-19.6419
243.000000	68.462	-19.4649
247.000000	68.391	-19.2959
250.000000	68.341	-19.1222
254.000000	68.265	-18.7371
258.000000	68.186	-18.4345
262.000000	68.135	-18.2671
265.000000	68.099	-18.0786
269.000000	68.025	-17.7838
272.000000	67.963	-17.5987
276.000000	67.886	-17.4419
280.000000	67.832	-17.3293
285.000000	67.783	-17.0084
290.000000	67.718	-16.6027
295.000000	67.651	-16.2103
300.000000	67.583	-15.8268
304.000000	67.527	-15.5364
307.000000	67.485	-15.3305
311.000000	67.432	-15.0688
315.000000	67.384	-14.7915
320.000000	67.326	-14.4190
325.000000	67.269	-14.0485
330.000000	67.212	-13.6922
335.000000	67.159	-13.3360
340.000000	67.107	-12.9687
345.000000	67.056	-12.6012
350.000000	67.008	-12.2349
355.000000	66.960	-11.8490
360.000000	66.914	-11.4720
365.000000	66.869	-11.1019
370.000000	66.825	-10.7217
375.000000	66.783	-10.3304
382.000000	66.725	-9.7972
387.000000	66.685	-9.4218
395.000000	66.624	-8.8151
400.000000	66.586	-8.4346
406.000000	66.542	-7.9840
412.000000	66.502	-7.5339
418.000000	66.463	-7.0813
425.000000	66.417	-6.5544
431.000000	66.380	-6.0994
437.000000	66.344	-5.6422
444.000000	66.304	-5.1061
450.000000	66.272	-4.6494
455.000000	66.245	-4.2661
462.000000	66.210	-3.7371
468.000000	66.182	-3.2914
475.000000	66.150	-2.7527
482.000000	66.119	-2.2065
487.000000	66.097	-1.8283
494.000000	66.067	-1.3097
500.000000	66.043	-0.8667
508.000000	66.014	-0.2651
515.000000	65.990	0.2662
522.000000	65.967	0.7942
530.000000	65.943	1.4007
538.000000	65.921	2.0036
545.000000	65.903	2.5256
552.000000	65.887	3.0544
560.000000	65.870	3.6638
570.000000	65.848	4.4236
580.000000	65.830	5.1762
590.000000	65.815	5.9309
600.000000	65.803	6.6790
608.000000	65.795	7.2767
615.000000	65.789	7.8005
622.000000	65.784	8.3228
630.000000	65.781	8.9177
640.000000	65.780	9.6542
650.000000	65.779	10.3944
660.000000	65.780	11.1392
670.000000	65.784	11.8691
680.000000	65.789	12.5966
690.000000	65.795	13.3381
700.000000	65.803	14.0766
710.000000	65.815	14.8072
720.000000	65.829	15.5380
730.000000	65.846	16.2609
740.000000	65.864	16.9878
750.000000	65.883	17.7115
762.000000	65.910	18.5806
775.000000	65.943	19.5200
788.000000	65.981	20.4547
800.000000	66.020	21.3185
812.000000	66.064	22.1761
825.000000	66.115	23.0894
838.000000	66.170	23.9896
850.000000	66.225	24.8068
862.000000	66.285	25.6226
875.000000	66.352	26.5034
885.000000	66.407	27.1612
900.000000	66.494	28.1210
912.000000	66.568	28.8618
925.000000	66.652	29.6383
938.000000	66.738	30.3972
950.000000	66.820	31.0827
962.000000	66.904	31.7434
975.000000	66.999	32.4266
988.000000	67.097	33.0771
1000.000000	67.188	33.6505
1015.000000	67.306	34.3373
1030.000000	67.426	34.9961
1044.000000	67.539	35.5713
1060.000000	67.665	36.1701
