* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 23:29:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shuoer S12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.256	-148.5621
20.600000	76.247	-148.7077
20.900000	76.238	-148.9470
21.200001	76.245	-149.1352
21.400000	76.258	-149.2665
21.799999	76.293	-149.5906
22.000000	76.312	-149.7899
22.400000	76.349	-150.2280
22.700001	76.385	-150.5898
23.000000	76.434	-151.0292
23.299999	76.491	-151.6219
23.600000	76.546	-152.4149
24.000000	76.589	-153.7728
24.299999	76.579	-154.8961
24.700001	76.497	-156.2503
25.000000	76.401	-156.9379
25.400000	76.273	-157.2554
25.799999	76.218	-157.0345
26.200001	76.274	-156.7551
26.500000	76.369	-156.8270
26.900000	76.509	-157.4911
27.200001	76.579	-158.3361
27.600000	76.596	-159.6069
28.000000	76.541	-160.6181
28.500000	76.453	-161.2283
29.000000	76.432	-161.4550
29.500000	76.472	-161.8746
30.000000	76.504	-162.6397
30.400000	76.498	-163.2822
30.700001	76.485	-163.6744
31.100000	76.478	-164.0913
31.500000	76.492	-164.5198
32.000000	76.518	-165.2616
32.500000	76.514	-166.1794
33.000000	76.476	-167.0200
33.500000	76.433	-167.6943
34.000000	76.401	-168.3472
34.500000	76.356	-169.0590
35.000000	76.282	-169.6650
35.500000	76.205	-169.9778
36.000000	76.172	-170.1189
36.500000	76.185	-170.4280
37.000000	76.198	-171.0792
37.500000	76.167	-171.8683
38.200001	76.078	-172.5859
38.700001	76.047	-172.7583
39.500000	76.108	-173.2043
40.000000	76.165	-173.8893
40.599998	76.187	-174.9749
41.200001	76.142	-175.8850
41.799999	76.080	-176.2800
42.500000	76.082	-176.2727
43.099998	76.160	-176.4966
43.700001	76.223	-177.2670
44.400002	76.180	-178.3736
45.000000	76.063	-178.8124
45.500000	75.979	-178.7014
46.200001	75.952	-178.3035
46.799999	75.999	-178.2454
47.500000	76.064	-178.7027
48.200001	76.094	-179.5554
48.700001	76.084	179.7351
49.400002	76.031	178.7886
50.000000	75.964	178.1212
50.799999	75.872	177.4254
51.500000	75.799	176.8941
52.200001	75.723	176.3823
53.000000	75.625	175.9484
53.799999	75.553	175.8140
54.500000	75.551	175.6752
55.200001	75.574	175.1661
56.000000	75.549	174.3111
57.000000	75.455	173.7066
58.000000	75.412	173.7316
59.000000	75.451	173.7291
60.000000	75.489	173.2737
60.799999	75.456	172.8016
