* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 1:35:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	113.657	-172.7531
20.600000	113.665	-173.0111
20.900000	113.681	-173.4548
21.200001	113.692	-173.8340
21.400000	113.699	-174.0620
21.799999	113.715	-174.5197
22.000000	113.724	-174.7738
22.400000	113.741	-175.3516
22.700001	113.749	-175.8411
23.000000	113.750	-176.3602
23.299999	113.745	-176.8781
23.600000	113.735	-177.3698
24.000000	113.721	-177.9604
24.299999	113.716	-178.3562
24.700001	113.721	-178.8473
25.000000	113.732	-179.2146
25.400000	113.754	-179.7326
25.799999	113.778	179.7020
26.200001	113.796	179.0966
26.500000	113.802	178.6347
26.900000	113.796	178.0452
27.200001	113.782	177.6544
27.600000	113.757	177.2337
28.000000	113.738	176.9264
28.500000	113.735	176.6084
29.000000	113.754	176.1920
29.500000	113.773	175.5842
30.000000	113.771	174.8588
30.400000	113.753	174.2968
30.700001	113.736	173.9171
31.100000	113.717	173.4547
31.500000	113.704	173.0005
32.000000	113.692	172.3945
32.500000	113.676	171.7667
33.000000	113.657	171.1849
33.500000	113.647	170.6644
34.000000	113.648	170.1533
34.500000	113.652	169.6098
35.000000	113.649	169.0555
35.500000	113.642	168.5371
36.000000	113.634	168.0624
36.500000	113.628	167.6000
37.000000	113.620	167.1274
37.500000	113.607	166.6566
38.200001	113.582	166.0331
38.700001	113.563	165.6019
39.500000	113.534	164.8831
40.000000	113.514	164.4199
40.599998	113.488	163.8726
41.200001	113.465	163.3390
41.799999	113.444	162.8083
42.500000	113.424	162.1883
43.099998	113.410	161.6629
43.700001	113.397	161.1442
44.400002	113.382	160.5430
45.000000	113.365	160.0353
45.500000	113.349	159.6283
46.200001	113.324	159.0909
46.799999	113.303	158.6469
47.500000	113.279	158.1245
48.200001	113.253	157.6035
48.700001	113.234	157.2433
49.400002	113.210	156.7509
50.000000	113.192	156.3209
50.799999	113.169	155.7180
51.500000	113.146	155.1715
52.200001	113.120	154.6364
53.000000	113.090	154.0573
53.799999	113.061	153.4870
54.500000	113.032	153.0067
55.200001	113.004	152.5803
56.000000	112.982	152.1299
57.000000	112.966	151.5608
58.000000	112.964	150.9048
59.000000	112.939	150.0014
60.000000	112.853	149.2104
60.799999	112.784	148.8293
61.500000	112.743	148.5178
62.200001	112.707	148.1445
63.000000	112.664	147.6796
64.000000	112.613	147.0787
65.000000	112.565	146.4582
66.000000	112.523	145.8497
67.000000	112.487	145.2706
68.000000	112.454	144.7043
69.000000	112.418	144.1608
70.000000	112.378	143.6444
71.000000	112.331	143.1374
72.000000	112.278	142.6352
73.000000	112.222	142.1313
74.000000	112.166	141.6181
75.000000	112.113	141.1014
76.199997	112.056	140.4990
77.500000	112.001	139.8488
78.800003	111.944	139.2177
80.000000	111.889	138.6525
81.199997	111.827	138.1103
82.500000	111.764	137.5433
83.800003	111.708	136.9572
85.000000	111.665	136.3920
86.199997	111.627	135.7834
87.500000	111.569	135.1302
88.500000	111.517	134.7605
90.000000	111.452	134.2903
91.199997	111.401	133.8860
92.500000	111.347	133.4066
93.800003	111.291	132.8535
95.000000	111.236	132.3439
96.199997	111.186	131.8632
97.500000	111.136	131.3563
98.800003	111.086	130.8639
100.000000	111.035	130.4343
101.500000	110.967	129.9190
103.000000	110.896	129.3930
104.400002	110.831	128.8824
106.000000	110.760	128.2725
107.500000	110.697	127.7354
109.000000	110.637	127.2553
110.599998	110.568	126.7834
112.000000	110.501	126.3902
113.800003	110.420	125.8376
115.000000	110.379	125.3994
117.199997	110.339	124.3724
118.000000	110.326	123.9343
120.599998	110.205	122.8584
122.000000	110.129	122.8462
124.099998	110.057	122.7598
125.000000	110.021	122.6062
126.500000	109.954	122.2648
128.000000	109.889	121.8590
131.500000	109.751	120.9431
132.000000	109.731	120.8351
134.000000	109.648	120.4331
136.000000	109.563	120.0122
138.000000	109.480	119.5833
140.000000	109.401	119.2380
143.000000	109.289	118.8964
145.000000	109.214	118.6830
147.500000	109.127	118.4594
150.000000	109.071	118.3728
152.500000	109.052	118.3270
155.000000	109.055	118.1046
157.500000	109.081	117.5961
160.000000	109.109	116.8346
162.500000	109.111	116.0013
165.000000	109.075	115.1413
167.500000	109.011	114.2460
170.000000	108.936	113.4207
172.500000	108.868	112.7114
175.000000	108.798	112.0710
177.500000	108.721	111.4929
180.000000	108.645	110.9787
182.500000	108.573	110.4675
185.000000	108.500	109.9525
187.500000	108.430	109.4465
190.000000	108.366	108.9531
192.500000	108.305	108.4901
195.000000	108.244	108.0555
197.500000	108.183	107.6278
200.000000	108.122	107.2075
203.000000	108.054	106.7284
206.000000	107.991	106.2584
209.000000	107.926	105.7902
212.000000	107.860	105.3449
214.000000	107.816	105.0585
218.000000	107.735	104.5003
220.000000	107.697	104.2375
224.000000	107.624	103.7343
227.000000	107.569	103.3559
230.000000	107.518	102.9709
233.000000	107.468	102.5949
236.000000	107.417	102.2218
240.000000	107.347	101.7193
243.000000	107.296	101.3674
247.000000	107.230	100.9001
250.000000	107.181	100.5652
254.000000	107.121	100.1488
258.000000	107.064	99.7308
262.000000	107.006	99.3150
265.000000	106.963	99.0084
269.000000	106.912	98.6098
272.000000	106.876	98.3327
276.000000	106.830	97.9618
280.000000	106.785	97.5506
285.000000	106.728	97.0428
290.000000	106.678	96.6038
295.000000	106.632	96.1856
300.000000	106.590	95.7677
304.000000	106.559	95.4503
307.000000	106.536	95.2209
311.000000	106.507	94.9269
315.000000	106.478	94.6468
320.000000	106.447	94.3120
325.000000	106.416	93.9969
330.000000	106.391	93.7132
335.000000	106.374	93.4449
340.000000	106.358	93.1855
345.000000	106.344	92.8930
350.000000	106.339	92.5762
355.000000	106.334	92.2147
360.000000	106.325	91.8213
365.000000	106.316	91.4779
370.000000	106.307	91.1184
375.000000	106.296	90.7349
382.000000	106.279	90.2185
387.000000	106.269	89.8748
395.000000	106.252	89.3454
400.000000	106.239	89.0128
406.000000	106.228	88.6223
412.000000	106.217	88.2541
418.000000	106.206	87.9285
425.000000	106.198	87.5322
431.000000	106.196	87.1658
437.000000	106.196	86.8119
444.000000	106.197	86.4278
450.000000	106.199	86.1205
455.000000	106.200	85.8697
462.000000	106.202	85.5052
468.000000	106.207	85.1979
475.000000	106.216	84.8792
482.000000	106.226	84.5647
487.000000	106.235	84.3224
494.000000	106.248	83.9856
500.000000	106.259	83.7099
508.000000	106.274	83.3713
515.000000	106.289	83.0865
522.000000	106.309	82.7847
530.000000	106.335	82.4365
538.000000	106.360	82.1089
545.000000	106.382	81.8296
552.000000	106.401	81.5533
560.000000	106.423	81.2482
570.000000	106.452	80.8798
580.000000	106.483	80.5157
590.000000	106.514	80.1600
600.000000	106.548	79.8098
608.000000	106.572	79.5330
615.000000	106.594	79.3034
622.000000	106.616	79.0844
630.000000	106.644	78.8333
640.000000	106.680	78.5253
650.000000	106.716	78.2359
660.000000	106.752	77.9449
670.000000	106.789	77.6685
680.000000	106.825	77.4138
690.000000	106.859	77.1629
700.000000	106.894	76.9124
710.000000	106.931	76.6808
720.000000	106.969	76.4637
730.000000	107.008	76.2603
740.000000	107.048	76.0685
750.000000	107.091	75.8839
762.000000	107.142	75.6703
775.000000	107.197	75.4482
788.000000	107.254	75.2429
800.000000	107.310	75.0560
812.000000	107.368	74.8763
825.000000	107.434	74.7014
838.000000	107.503	74.5289
850.000000	107.568	74.3757
862.000000	107.634	74.2224
875.000000	107.710	74.0495
885.000000	107.770	73.9117
900.000000	107.865	73.7013
912.000000	107.943	73.5349
925.000000	108.028	73.3449
938.000000	108.117	73.1254
950.000000	108.201	72.9030
962.000000	108.286	72.6706
975.000000	108.378	72.4017
988.000000	108.471	72.1170
1000.000000	108.558	71.8362
1015.000000	108.667	71.4492
1030.000000	108.775	71.0352
1044.000000	108.874	70.6171
1060.000000	108.986	70.1088
1075.000000	109.085	69.6057
1090.000000	109.183	69.0773
1106.000000	109.291	68.4953
1120.000000	109.384	67.9769
1138.000000	109.499	67.2926
1150.000000	109.572	66.8256
1172.000000	109.700	65.9587
1180.000000	109.744	65.6442
1206.000000	109.878	64.6219
1220.000000	109.947	64.0758
1241.000000	110.042	63.2657
1250.000000	110.081	62.9248
1265.000000	110.142	62.3675
1280.000000	110.199	61.8210
1315.000000	110.320	60.5920
1320.000000	110.337	60.4238
1340.000000	110.398	59.7708
1360.000000	110.452	59.1364
1380.000000	110.504	58.5220
1400.000000	110.559	57.9417
1430.000000	110.638	57.1117
1450.000000	110.687	56.5867
1475.000000	110.747	55.9786
1500.000000	110.804	55.4108
1525.000000	110.860	54.8875
1550.000000	110.916	54.4180
1575.000000	110.972	53.9901
1600.000000	111.029	53.6008
1625.000000	111.090	53.2419
1650.000000	111.156	52.9150
1675.000000	111.226	52.6064
1700.000000	111.301	52.3054
1725.000000	111.378	52.0085
1750.000000	111.458	51.7058
1775.000000	111.541	51.3897
1800.000000	111.628	51.0616
1825.000000	111.717	50.7198
1850.000000	111.809	50.3613
1875.000000	111.902	49.9838
1900.000000	111.996	49.5825
1925.000000	112.091	49.1555
1950.000000	112.187	48.7012
1975.000000	112.283	48.2174
2000.000000	112.377	47.7029
2030.000000	112.490	47.0495
2060.000000	112.601	46.3552
2090.000000	112.708	45.6152
2120.000000	112.812	44.8268
2140.000000	112.879	44.2781
2180.000000	113.004	43.1229
2200.000000	113.062	42.5151
2240.000000	113.165	41.2491
2270.000000	113.232	40.2638
2300.000000	113.290	39.2516
2330.000000	113.337	38.2253
2360.000000	113.373	37.1910
2400.000000	113.404	35.8030
2430.000000	113.414	34.7706
2470.000000	113.411	33.4248
2500.000000	113.398	32.4530
2540.000000	113.365	31.2213
2580.000000	113.318	30.0701
2620.000000	113.260	29.0052
2650.000000	113.210	28.2590
2690.000000	113.137	27.3376
2720.000000	113.076	26.7067
2760.000000	112.989	25.9519
2800.000000	112.897	25.3029
2850.000000	112.780	24.6415
2900.000000	112.665	24.1503
2950.000000	112.558	23.8104
3000.000000	112.464	23.6005
3040.000000	112.400	23.4973
3070.000000	112.359	23.4431
3110.000000	112.313	23.3899
3150.000000	112.276	23.3429
3200.000000	112.237	23.2687
3250.000000	112.201	23.1779
3300.000000	112.163	23.0922
3350.000000	112.122	23.0404
3400.000000	112.080	23.0704
3450.000000	112.045	23.2076
3500.000000	112.025	23.4541
3550.000000	112.023	23.8039
3600.000000	112.039	24.2313
3650.000000	112.078	24.7139
3700.000000	112.143	25.2184
3750.000000	112.234	25.7017
3820.000000	112.404	26.2800
3870.000000	112.552	26.5879
3950.000000	112.833	26.8044
4000.000000	113.035	26.7108
4060.000000	113.298	26.3185
4120.000000	113.576	25.5719
4180.000000	113.861	24.4263
4250.000000	114.184	22.5383
4310.000000	114.434	20.4216
4370.000000	114.639	17.8294
4440.000000	114.798	14.2177
4500.000000	114.847	10.6851
4550.000000	114.812	7.5184
4620.000000	114.632	2.9443
4680.000000	114.350	-0.8868
4750.000000	113.881	-4.9686
4820.000000	113.283	-8.3815
4870.000000	112.794	-10.3126
4940.000000	112.051	-12.2422
5000.000000	111.384	-13.1692
5080.000000	110.487	-13.4077
5150.000000	109.719	-12.7629
5220.000000	108.986	-11.4139
5300.000000	108.209	-9.1177
5380.000000	107.511	-6.1419
5450.000000	106.970	-3.0966
5520.000000	106.489	0.3123
5600.000000	106.030	4.6780
5700.000000	105.645	10.4209
5800.000000	105.370	15.7924
5900.000000	105.081	22.0825
6000.000000	105.090	29.7497
6080.000000	105.373	35.6019
6150.000000	105.759	40.1793
6220.000000	106.247	44.2024
6300.000000	106.911	48.0518
6400.000000	107.870	51.5539
6500.000000	108.915	53.3666
6600.000000	109.964	53.3051
6700.000000	110.929	51.3486
6800.000000	111.726	47.7567
6900.000000	112.304	43.0962
7000.000000	112.651	38.1172
7100.000000	112.796	33.4837
7200.000000	112.807	29.5657
7300.000000	112.756	26.4369
7400.000000	112.704	23.9671
7500.000000	112.694	21.9172
7620.000000	112.769	19.6100
7750.000000	112.947	16.7928
7880.000000	113.113	13.2340
8000.000000	113.212	9.0814
8120.000000	113.217	4.0999
8250.000000	113.052	-1.9275
8380.000000	112.673	-7.9968
8500.000000	112.145	-13.0714
8620.000000	111.491	-17.2729
8750.000000	110.700	-20.6945
8850.000000	110.075	-22.5593
9000.000000	109.180	-24.2657
9120.000000	108.539	-24.9318
9250.000000	107.927	-25.2368
9380.000000	107.390	-25.1039
9500.000000	107.003	-24.6293
9620.000000	106.755	-24.2258
9750.000000	106.624	-24.2704
9880.000000	106.605	-25.1331
10000.000000	106.642	-26.9885
10150.000000	106.655	-31.2166
10300.000000	106.437	-37.5720
10440.000000	105.844	-44.4214
10600.000000	104.624	-51.0005
10750.000000	103.081	-53.9629
10900.000000	101.420	-53.2963
11060.000000	99.815	-49.4297
11200.000000	98.701	-44.4844
11380.000000	97.708	-37.3943
11500.000000	97.284	-32.7598
11720.000000	96.882	-25.2422
11800.000000	96.827	-22.9219
12060.000000	96.876	-17.0656
12200.000000	96.995	-15.0764
12410.000000	97.214	-13.8162
12500.000000	97.310	-13.9275
12650.000000	97.457	-14.9973
12800.000000	97.566	-17.1467
13150.000000	97.538	-25.8032
13200.000000	97.493	-27.3757
13400.000000	97.198	-34.2200
13600.000000	96.742	-41.5968
13800.000000	96.181	-49.0717
14000.000000	95.593	-56.3923
14300.000000	94.868	-67.0805
14500.000000	94.630	-74.3224
14750.000000	94.710	-84.1305
15000.000000	95.237	-95.5002
15250.000000	96.171	-109.0601
15500.000000	97.469	-125.2859
15750.000000	98.929	-145.1030
16000.000000	100.244	-168.8309
16250.000000	101.237	163.7680
16500.000000	101.664	132.6506
16750.000000	101.248	100.0143
17000.000000	100.077	69.3130
17250.000000	98.539	41.3762
17500.000000	96.987	14.3976
17750.000000	95.504	-13.7354
18000.000000	94.018	-44.5008
18250.000000	92.439	-79.0840
18500.000000	90.674	-118.8561
18750.000000	88.590	-165.2316
19000.000000	86.036	140.5160
19250.000000	82.930	76.5795
19500.000000	79.233	1.0737
19750.000000	75.033	-78.5856
20000.000000	71.590	-129.5261
