* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 8:56:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.128	10.1109
20.600000	98.147	10.0638
20.900000	98.183	9.9788
21.200001	98.211	9.8941
21.400000	98.226	9.8359
21.799999	98.247	9.7080
22.000000	98.256	9.6357
22.400000	98.271	9.4730
22.700001	98.281	9.3329
23.000000	98.289	9.1765
23.299999	98.295	9.0065
23.600000	98.300	8.8286
24.000000	98.306	8.5912
24.299999	98.313	8.4215
24.700001	98.326	8.2088
25.000000	98.338	8.0537
25.400000	98.358	7.8439
25.799999	98.379	7.6318
26.200001	98.397	7.4311
26.500000	98.409	7.2970
26.900000	98.423	7.1446
27.200001	98.432	7.0465
27.600000	98.445	6.9260
28.000000	98.458	6.8015
28.500000	98.472	6.6274
29.000000	98.478	6.4440
29.500000	98.476	6.2728
30.000000	98.473	6.1119
30.400000	98.473	5.9734
30.700001	98.475	5.8559
31.100000	98.477	5.6797
31.500000	98.476	5.4898
32.000000	98.470	5.2568
32.500000	98.466	5.0473
33.000000	98.471	4.8507
33.500000	98.485	4.6408
34.000000	98.503	4.4073
34.500000	98.519	4.1678
35.000000	98.530	3.9557
35.500000	98.539	3.7956
36.000000	98.551	3.6794
36.500000	98.566	3.5770
37.000000	98.582	3.4586
37.500000	98.593	3.3162
38.200001	98.594	3.1232
38.700001	98.589	3.0325
39.500000	98.591	2.9329
40.000000	98.600	2.8183
40.599998	98.608	2.5877
41.200001	98.604	2.3146
41.799999	98.594	2.0802
42.500000	98.587	1.8804
43.099998	98.591	1.7336
43.700001	98.600	1.5832
44.400002	98.609	1.4000
45.000000	98.615	1.2448
45.500000	98.620	1.1278
46.200001	98.629	0.9919
46.799999	98.640	0.8862
47.500000	98.653	0.7349
48.200001	98.660	0.5530
48.700001	98.661	0.4335
49.400002	98.663	0.3019
50.000000	98.669	0.1970
50.799999	98.683	0.0429
51.500000	98.694	-0.0819
52.200001	98.707	-0.2053
53.000000	98.722	-0.3796
53.799999	98.729	-0.5656
54.500000	98.730	-0.7075
55.200001	98.732	-0.8280
56.000000	98.734	-0.9528
57.000000	98.736	-1.1206
58.000000	98.737	-1.3302
59.000000	98.730	-1.5609
60.000000	98.715	-1.7533
60.799999	98.709	-1.8791
61.500000	98.709	-1.9900
62.200001	98.711	-2.1049
63.000000	98.713	-2.2398
64.000000	98.715	-2.4024
65.000000	98.715	-2.5141
66.000000	98.724	-2.6312
67.000000	98.730	-2.8259
68.000000	98.722	-3.0027
69.000000	98.715	-3.1189
70.000000	98.714	-3.2463
71.000000	98.712	-3.3993
72.000000	98.706	-3.5448
73.000000	98.698	-3.6544
74.000000	98.694	-3.7467
75.000000	98.692	-3.8590
76.199997	98.689	-4.0025
77.500000	98.689	-4.1461
78.800003	98.692	-4.3052
80.000000	98.693	-4.4767
81.199997	98.691	-4.6306
82.500000	98.691	-4.7492
83.800003	98.693	-4.8319
85.000000	98.697	-4.9470
86.199997	98.694	-5.1090
87.500000	98.682	-5.2944
88.500000	98.673	-5.4156
90.000000	98.668	-5.5666
