* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 8:53:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.944	-170.1742
20.600000	95.960	-170.2272
20.900000	95.987	-170.3203
21.200001	96.004	-170.4031
21.400000	96.009	-170.4494
21.799999	96.014	-170.5281
22.000000	96.017	-170.5671
22.400000	96.023	-170.6612
22.700001	96.030	-170.7593
23.000000	96.037	-170.8874
23.299999	96.042	-171.0421
23.600000	96.046	-171.2158
24.000000	96.051	-171.4610
24.299999	96.056	-171.6422
24.700001	96.065	-171.8695
25.000000	96.074	-172.0272
25.400000	96.089	-172.2217
25.799999	96.109	-172.4010
26.200001	96.132	-172.5716
26.500000	96.150	-172.7008
26.900000	96.171	-172.8807
27.200001	96.183	-173.0181
27.600000	96.192	-173.1900
28.000000	96.196	-173.3266
28.500000	96.199	-173.4313
29.000000	96.203	-173.4864
29.500000	96.211	-173.5459
30.000000	96.220	-173.6552
30.400000	96.226	-173.7792
30.700001	96.228	-173.8823
31.100000	96.228	-174.0185
31.500000	96.226	-174.1477
32.000000	96.224	-174.3063
32.500000	96.226	-174.4771
33.000000	96.231	-174.6707
33.500000	96.241	-174.8838
34.000000	96.252	-175.1036
34.500000	96.262	-175.3182
35.000000	96.269	-175.5142
35.500000	96.276	-175.6749
36.000000	96.283	-175.7963
36.500000	96.294	-175.8937
37.000000	96.308	-175.9987
37.500000	96.319	-176.1356
38.200001	96.323	-176.3557
38.700001	96.316	-176.4812
39.500000	96.306	-176.6103
40.000000	96.303	-176.6976
40.599998	96.300	-176.8314
41.200001	96.295	-176.9610
41.799999	96.296	-177.0772
42.500000	96.308	-177.2492
43.099998	96.322	-177.4460
43.700001	96.332	-177.6495
44.400002	96.340	-177.8668
45.000000	96.347	-178.0455
45.500000	96.352	-178.1916
46.200001	96.358	-178.3683
46.799999	96.359	-178.4628
47.500000	96.365	-178.5065
48.200001	96.379	-178.5470
48.700001	96.389	-178.6045
49.400002	96.399	-178.7082
50.000000	96.404	-178.8041
50.799999	96.406	-178.9604
51.500000	96.395	-179.0646
52.200001	96.387	-179.0704
53.000000	96.406	-179.1350
53.799999	96.425	-179.4798
54.500000	96.407	-179.8378
55.200001	96.379	179.9743
56.000000	96.371	179.8887
57.000000	96.380	179.7330
58.000000	96.397	179.5938
59.000000	96.426	179.4133
60.000000	96.433	179.1220
60.799999	96.416	178.9575
61.500000	96.401	178.9288
62.200001	96.396	178.9279
63.000000	96.395	178.8460
64.000000	96.385	178.6940
65.000000	96.379	178.5857
66.000000	96.385	178.4041
67.000000	96.389	178.1827
68.000000	96.392	178.0057
69.000000	96.397	177.8573
70.000000	96.393	177.7201
71.000000	96.374	177.6839
72.000000	96.361	177.7745
73.000000	96.365	177.8198
74.000000	96.371	177.7085
75.000000	96.368	177.4767
76.199997	96.351	177.1600
77.500000	96.324	176.8980
78.800003	96.308	176.8400
80.000000	96.316	176.7980
81.199997	96.317	176.6908
82.500000	96.305	176.6649
83.800003	96.302	176.7304
85.000000	96.315	176.7468
86.199997	96.330	176.6496
87.500000	96.335	176.4760
88.500000	96.330	176.3396
90.000000	96.317	176.1782
91.199997	96.313	176.0609
92.500000	96.327	175.8538
93.800003	96.351	175.5028
95.000000	96.366	175.1681
96.199997	96.373	174.9522
97.500000	96.376	174.9359
98.800003	96.373	175.0089
100.000000	96.343	175.1144
101.500000	96.298	175.2790
103.000000	96.253	175.2254
104.400002	96.223	175.1663
106.000000	96.236	175.0716
107.500000	96.271	175.0066
109.000000	96.295	174.9643
110.599998	96.279	175.0179
112.000000	96.257	175.1725
113.800003	96.267	175.0269
115.000000	96.268	174.6467
117.199997	96.257	174.0433
118.000000	96.256	173.9203
120.599998	96.249	173.7797
122.000000	96.234	173.7911
124.099998	96.224	173.8050
125.000000	96.227	173.7608
126.500000	96.236	173.6304
128.000000	96.238	173.4927
131.500000	96.219	173.5067
132.000000	96.217	173.5192
134.000000	96.209	173.5199
136.000000	96.202	173.4648
138.000000	96.200	173.4158
140.000000	96.204	173.3779
143.000000	96.206	173.3044
145.000000	96.195	173.3065
147.500000	96.194	173.4933
150.000000	96.216	173.7170
152.500000	96.269	173.7813
155.000000	96.327	173.5444
157.500000	96.389	173.2200
160.000000	96.437	172.8128
162.500000	96.458	172.4210
165.000000	96.464	172.0225
167.500000	96.459	171.6428
170.000000	96.445	171.2239
172.500000	96.416	170.8094
175.000000	96.389	170.4872
177.500000	96.365	170.2594
180.000000	96.335	170.0988
182.500000	96.303	169.9613
185.000000	96.277	169.8156
187.500000	96.256	169.7050
190.000000	96.233	169.6303
192.500000	96.205	169.5292
195.000000	96.176	169.3938
