* Measurement data measured by REW V5.20.13
* Source: Analog (1+2)(2- RME ADI-2 Pro), LINE_IN (마스), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 23 오후 10:52:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R (밀폐 좋을 때)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.109	179.1458
20.299999	91.356	176.5040
20.600000	91.592	173.9012
20.900000	91.816	171.3358
21.200001	92.029	168.8061
21.400000	92.165	167.1389
21.799999	92.422	163.8531
22.000000	92.543	162.2366
22.400000	92.770	159.0619
22.700001	92.928	156.7363
23.000000	93.078	154.4598
23.299999	93.219	152.2323
23.600000	93.352	150.0517
24.000000	93.519	147.2122
24.299999	93.636	145.1303
24.700001	93.781	142.4169
25.000000	93.882	140.4299
25.400000	94.007	137.8474
25.799999	94.121	135.3436
26.200001	94.226	132.9172
26.500000	94.300	131.1458
26.900000	94.392	128.8448
27.200001	94.456	127.1635
27.600000	94.535	124.9807
28.000000	94.608	122.8669
28.500000	94.691	120.3210
29.000000	94.769	117.8735
29.500000	94.841	115.5117
30.000000	94.906	113.2272
30.400000	94.954	111.4561
30.700001	94.987	110.1622
31.100000	95.028	108.4838
31.500000	95.067	106.8575
32.000000	95.112	104.8925
32.500000	95.154	102.9974
33.000000	95.192	101.1678
33.500000	95.229	99.3987
34.000000	95.263	97.6843
34.500000	95.293	96.0216
35.000000	95.321	94.4128
35.500000	95.346	92.8602
36.000000	95.370	91.3608
36.500000	95.392	89.9087
37.000000	95.413	88.4993
37.500000	95.433	87.1313
38.200001	95.460	85.2820
38.700001	95.478	84.0021
39.500000	95.505	82.0212
40.000000	95.520	80.8273
40.599998	95.537	79.4366
41.200001	95.554	78.0850
41.799999	95.569	76.7697
42.500000	95.586	75.2834
43.099998	95.599	74.0502
43.700001	95.611	72.8524
44.400002	95.624	71.5021
45.000000	95.635	70.3861
45.500000	95.644	69.4828
46.200001	95.657	68.2523
46.799999	95.667	67.2225
47.500000	95.678	66.0494
48.200001	95.687	64.9195
48.700001	95.694	64.1385
49.400002	95.705	63.0579
50.000000	95.714	62.1328
50.799999	95.718	60.9372
51.500000	95.722	59.9575
52.200001	95.732	59.0143
53.000000	95.747	57.9364
53.799999	95.760	56.8704
54.500000	95.769	55.9797
55.200001	95.781	55.1227
56.000000	95.794	54.1658
57.000000	95.808	53.0649
58.000000	95.841	51.9843
59.000000	95.863	50.7136
60.000000	95.842	49.5421
60.799999	95.829	48.7760
61.500000	95.828	48.1108
62.200001	95.828	47.4235
63.000000	95.828	46.6483
64.000000	95.831	45.6879
65.000000	95.836	44.7295
66.000000	95.841	43.7909
67.000000	95.844	42.8821
68.000000	95.847	42.0125
69.000000	95.850	41.1672
70.000000	95.851	40.3334
71.000000	95.849	39.5188
72.000000	95.845	38.7311
73.000000	95.842	37.9656
74.000000	95.839	37.2160
75.000000	95.836	36.4781
76.199997	95.830	35.6150
77.500000	95.822	34.7202
78.800003	95.814	33.8721
80.000000	95.805	33.1282
81.199997	95.799	32.4171
82.500000	95.797	31.6700
83.800003	95.800	30.9204
85.000000	95.804	30.2126
86.199997	95.806	29.4934
87.500000	95.804	28.7150
88.500000	95.800	28.1339
90.000000	95.792	27.2897
91.199997	95.785	26.6346
92.500000	95.776	25.9382
93.800003	95.763	25.2507
95.000000	95.749	24.6411
96.199997	95.736	24.0541
97.500000	95.723	23.4371
98.800003	95.712	22.8275
100.000000	95.701	22.2716
101.500000	95.686	21.5933
103.000000	95.670	20.9319
104.400002	95.654	20.3262
106.000000	95.634	19.6463
107.500000	95.613	19.0245
109.000000	95.591	18.4274
110.599998	95.567	17.8164
112.000000	95.548	17.2994
113.800003	95.524	16.6467
115.000000	95.509	16.2164
117.199997	95.481	15.4308
118.000000	95.470	15.1442
120.599998	95.433	14.2194
122.000000	95.410	13.7294
124.099998	95.373	13.0049
125.000000	95.356	12.6975
126.500000	95.323	12.1931
128.000000	95.287	11.7024
131.500000	95.197	10.6226
132.000000	95.183	10.4783
134.000000	95.122	9.9439
136.000000	95.053	9.4957
