* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 1:55:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_000
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.611	36.4811
20.600000	87.621	36.1432
20.900000	87.646	35.6261
21.200001	87.682	35.3454
21.400000	87.717	35.2300
21.799999	87.808	34.9841
22.000000	87.858	34.7902
22.400000	87.946	34.2536
22.700001	87.990	33.8050
23.000000	88.013	33.4183
23.299999	88.024	33.1645
23.600000	88.035	33.0602
24.000000	88.071	33.1044
24.299999	88.124	33.1752
24.700001	88.224	33.1643
25.000000	88.307	32.9990
25.400000	88.402	32.5655
25.799999	88.459	32.0291
26.200001	88.483	31.5897
26.500000	88.494	31.3828
26.900000	88.520	31.2058
27.200001	88.554	31.0243
27.600000	88.602	30.5644
28.000000	88.617	29.8486
28.500000	88.548	28.9619
29.000000	88.414	28.6638
29.500000	88.315	29.0655
30.000000	88.322	29.6123
30.400000	88.378	29.7564
30.700001	88.419	29.6628
31.100000	88.448	29.4466
31.500000	88.457	29.3282
32.000000	88.485	29.3945
32.500000	88.560	29.4205
33.000000	88.648	29.1230
33.500000	88.700	28.6248
34.000000	88.716	28.2720
34.500000	88.741	28.1433
35.000000	88.797	27.9692
35.500000	88.848	27.5102
36.000000	88.844	26.9141
36.500000	88.785	26.5601
37.000000	88.723	26.6538
37.500000	88.709	27.0222
38.200001	88.776	27.4194
38.700001	88.855	27.4440
39.500000	88.989	27.0157
40.000000	89.049	26.4276
40.599998	89.052	25.6214
41.200001	88.992	25.2393
41.799999	88.960	25.4162
42.500000	89.014	25.6292
43.099998	89.059	25.4147
43.700001	89.045	25.2817
44.400002	89.035	25.6425
45.000000	89.098	25.9561
45.500000	89.166	25.8825
46.200001	89.216	25.4702
46.799999	89.225	25.1766
47.500000	89.232	24.9187
48.200001	89.235	24.7359
48.700001	89.251	24.7146
49.400002	89.322	24.6170
50.000000	89.393	24.1881
50.799999	89.416	23.4625
51.500000	89.402	23.2564
52.200001	89.426	23.2699
53.000000	89.466	23.1346
53.799999	89.477	23.1149
54.500000	89.507	23.3087
55.200001	89.574	23.4018
56.000000	89.646	23.2050
57.000000	89.680	22.8790
58.000000	89.705	22.7559
59.000000	89.743	22.6102
60.000000	89.765	22.4184
60.799999	89.780	22.3310
61.500000	89.800	22.2863
62.200001	89.825	22.2103
63.000000	89.849	22.0967
64.000000	89.884	22.0235
65.000000	89.937	21.8462
66.000000	89.964	21.5856
67.000000	89.987	21.5619
68.000000	90.039	21.5868
69.000000	90.093	21.5128
70.000000	90.137	21.4080
71.000000	90.174	21.2886
72.000000	90.206	21.1342
73.000000	90.231	20.8912
74.000000	90.240	20.6456
75.000000	90.250	20.4835
76.199997	90.281	20.3419
77.500000	90.332	20.1746
78.800003	90.373	19.9621
80.000000	90.397	19.8744
81.199997	90.427	19.8425
82.500000	90.467	19.7959
83.800003	90.510	19.7138
85.000000	90.553	19.6409
86.199997	90.598	19.5279
87.500000	90.627	19.4096
88.500000	90.646	19.4284
90.000000	90.699	19.4169
91.199997	90.732	19.2226
92.500000	90.755	19.0078
93.800003	90.790	18.8380
95.000000	90.841	18.6457
96.199997	90.892	18.3661
97.500000	90.926	18.0846
98.800003	90.943	17.9998
100.000000	90.966	18.0481
101.500000	91.005	18.0508
103.000000	91.036	17.8855
104.400002	91.047	17.7100
106.000000	91.069	17.6009
107.500000	91.101	17.4667
109.000000	91.139	17.3756
110.599998	91.187	17.2489
112.000000	91.220	17.0946
113.800003	91.251	16.9182
115.000000	91.273	16.8384
117.199997	91.332	16.6750
118.000000	91.354	16.5835
120.599998	91.411	16.3543
122.000000	91.442	16.2346
124.099998	91.481	15.9974
125.000000	91.496	15.9035
126.500000	91.523	15.7762
128.000000	91.556	15.6601
131.500000	91.629	15.3318
132.000000	91.637	15.2853
134.000000	91.671	15.0887
136.000000	91.705	14.8727
138.000000	91.749	14.6607
140.000000	91.794	14.4368
143.000000	91.850	14.2178
145.000000	91.888	14.0372
147.500000	91.936	13.7427
150.000000	91.985	13.4682
152.500000	92.028	13.3404
155.000000	92.069	13.2512
157.500000	92.108	12.9754
160.000000	92.140	12.6591
162.500000	92.181	12.4649
165.000000	92.222	12.3446
167.500000	92.254	12.1416
170.000000	92.280	11.8039
172.500000	92.306	11.4914
175.000000	92.337	11.3071
177.500000	92.374	11.1753
180.000000	92.406	10.9871
