* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 2:14:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_010
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.914	170.7216
20.600000	98.906	170.4731
20.900000	98.880	170.0886
21.200001	98.838	169.8944
21.400000	98.809	169.8857
21.799999	98.773	170.0444
22.000000	98.774	170.1334
22.400000	98.810	170.1475
22.700001	98.848	169.9196
23.000000	98.872	169.4894
23.299999	98.867	168.9654
23.600000	98.834	168.4670
24.000000	98.763	167.9971
24.299999	98.709	167.8313
24.700001	98.655	167.7983
25.000000	98.632	167.8409
25.400000	98.619	167.9315
25.799999	98.622	168.0757
26.200001	98.649	168.2863
26.500000	98.690	168.4372
26.900000	98.771	168.5108
27.200001	98.840	168.3963
27.600000	98.923	168.0026
28.000000	98.974	167.4404
28.500000	98.994	166.7283
29.000000	98.989	166.1151
29.500000	98.971	165.5112
30.000000	98.929	164.8613
30.400000	98.869	164.4064
30.700001	98.815	164.1776
31.100000	98.745	164.0547
31.500000	98.695	164.0690
32.000000	98.671	164.0697
32.500000	98.666	163.8948
33.000000	98.656	163.5996
33.500000	98.641	163.3289
34.000000	98.638	163.1124
34.500000	98.650	162.8409
35.000000	98.662	162.4416
35.500000	98.657	161.9786
36.000000	98.630	161.5827
36.500000	98.598	161.3262
37.000000	98.575	161.1825
37.500000	98.567	161.0676
38.200001	98.575	160.8045
38.700001	98.581	160.4958
39.500000	98.562	159.8796
40.000000	98.530	159.5371
40.599998	98.488	159.2554
41.200001	98.459	159.0810
41.799999	98.450	158.9217
42.500000	98.459	158.6798
43.099998	98.477	158.4042
43.700001	98.495	158.0405
44.400002	98.498	157.5052
45.000000	98.475	157.0462
45.500000	98.443	156.7635
46.200001	98.402	156.5576
46.799999	98.388	156.4461
47.500000	98.385	156.2129
48.200001	98.374	155.8639
48.700001	98.360	155.6003
49.400002	98.338	155.2319
50.000000	98.319	154.8942
50.799999	98.291	154.4476
51.500000	98.269	154.1051
52.200001	98.254	153.7603
53.000000	98.240	153.3132
53.799999	98.218	152.8633
54.500000	98.194	152.5174
55.200001	98.175	152.2237
56.000000	98.163	151.9065
57.000000	98.148	151.4550
58.000000	98.125	150.9716
59.000000	98.096	150.5099
60.000000	98.065	150.0877
60.799999	98.050	149.7613
61.500000	98.046	149.4359
62.200001	98.040	149.0509
63.000000	98.022	148.5899
64.000000	97.990	148.1167
65.000000	97.966	147.7349
66.000000	97.945	147.3239
67.000000	97.921	146.9150
68.000000	97.901	146.5011
69.000000	97.884	146.0147
70.000000	97.858	145.4794
71.000000	97.825	144.9889
72.000000	97.798	144.5615
73.000000	97.778	144.1393
74.000000	97.759	143.7198
75.000000	97.738	143.3061
76.199997	97.711	142.8196
77.500000	97.677	142.3076
78.800003	97.642	141.8450
80.000000	97.618	141.4205
81.199997	97.597	140.9349
82.500000	97.568	140.3947
83.800003	97.529	139.8985
85.000000	97.490	139.4965
86.199997	97.455	139.1016
87.500000	97.421	138.6030
88.500000	97.395	138.1868
90.000000	97.364	137.5688
91.199997	97.344	137.0456
92.500000	97.318	136.5112
93.800003	97.295	136.0282
95.000000	97.273	135.5622
96.199997	97.243	135.0715
97.500000	97.204	134.5353
98.800003	97.161	134.0303
100.000000	97.125	133.6125
101.500000	97.094	133.0955
103.000000	97.068	132.5060
104.400002	97.032	131.9520
106.000000	96.989	131.4254
107.500000	96.961	130.9177
109.000000	96.931	130.3732
110.599998	96.900	129.8365
112.000000	96.877	129.3270
113.800003	96.840	128.6140
115.000000	96.811	128.1642
117.199997	96.761	127.4028
118.000000	96.743	127.1401
120.599998	96.681	126.3242
122.000000	96.645	125.8652
124.099998	96.590	125.1312
125.000000	96.566	124.8236
126.500000	96.530	124.3296
128.000000	96.497	123.8506
131.500000	96.420	122.6705
132.000000	96.408	122.4886
134.000000	96.359	121.7821
136.000000	96.318	121.1591
138.000000	96.279	120.5328
140.000000	96.237	119.9043
143.000000	96.173	118.9231
145.000000	96.135	118.3169
147.500000	96.088	117.5506
150.000000	96.027	116.7604
152.500000	95.968	115.9570
155.000000	95.910	115.2171
157.500000	95.858	114.5281
160.000000	95.805	113.7828
162.500000	95.756	112.9835
165.000000	95.705	112.1834
167.500000	95.646	111.4182
170.000000	95.586	110.7047
172.500000	95.539	110.0409
175.000000	95.490	109.3788
177.500000	95.436	108.6936
180.000000	95.386	107.9643
182.500000	95.341	107.2203
185.000000	95.288	106.5090
187.500000	95.232	105.8474
190.000000	95.186	105.1770
192.500000	95.141	104.5098
195.000000	95.089	103.8785
197.500000	95.040	103.2426
200.000000	95.001	102.5730
203.000000	94.952	101.7720
206.000000	94.893	101.0369
209.000000	94.832	100.2760
212.000000	94.778	99.4615
214.000000	94.743	98.9243
218.000000	94.665	97.9148
220.000000	94.621	97.4356
224.000000	94.541	96.5299
227.000000	94.492	95.8875
230.000000	94.442	95.2264
233.000000	94.386	94.5273
236.000000	94.333	93.8101
240.000000	94.259	92.8316
243.000000	94.197	92.1165
247.000000	94.126	91.1792
250.000000	94.080	90.5057
254.000000	94.013	89.6410
258.000000	93.935	88.6957
262.000000	93.862	87.7785
265.000000	93.816	87.1519
269.000000	93.755	86.3161
272.000000	93.707	85.6723
276.000000	93.645	84.7998
280.000000	93.589	83.9230
285.000000	93.521	82.9211
290.000000	93.444	81.9197
295.000000	93.374	80.9549
300.000000	93.305	80.0136
304.000000	93.247	79.2458
307.000000	93.205	78.6248
311.000000	93.155	77.7738
315.000000	93.104	76.9350
320.000000	93.033	75.9519
325.000000	92.966	75.0620
330.000000	92.904	74.2479
335.000000	92.847	73.4401
340.000000	92.790	72.5670
345.000000	92.723	71.7339
350.000000	92.646	70.8391
355.000000	92.577	69.8929
360.000000	92.513	69.0191
365.000000	92.444	68.2049
370.000000	92.380	67.3737
375.000000	92.327	66.5435
382.000000	92.247	65.4533
387.000000	92.187	64.6473
395.000000	92.097	63.4239
400.000000	92.045	62.6823
406.000000	91.983	61.7639
412.000000	91.917	60.8180
418.000000	91.849	59.9748
425.000000	91.774	59.1255
431.000000	91.711	58.2846
437.000000	91.648	57.3449
444.000000	91.573	56.3731
450.000000	91.515	55.6220
455.000000	91.473	54.9654
462.000000	91.416	54.0216
468.000000	91.371	53.2532
475.000000	91.324	52.4125
482.000000	91.276	51.5402
487.000000	91.241	50.8859
494.000000	91.193	50.0385
500.000000	91.151	49.3774
508.000000	91.099	48.4966
515.000000	91.054	47.7249
522.000000	91.015	46.9947
530.000000	90.976	46.1692
538.000000	90.941	45.2298
545.000000	90.909	44.3699
552.000000	90.876	43.6182
560.000000	90.839	42.8144
570.000000	90.804	41.8221
580.000000	90.766	40.8791
590.000000	90.713	39.9610
600.000000	90.669	39.1438
608.000000	90.644	38.4415
615.000000	90.616	37.7877
622.000000	90.591	37.1665
630.000000	90.563	36.5368
640.000000	90.527	35.8339
650.000000	90.502	35.1681
660.000000	90.491	34.4895
670.000000	90.483	33.8171
680.000000	90.473	33.1766
690.000000	90.460	32.5044
700.000000	90.458	31.8126
710.000000	90.464	31.1955
720.000000	90.468	30.6374
730.000000	90.466	30.0498
740.000000	90.463	29.4941
750.000000	90.473	29.0228
762.000000	90.494	28.5513
775.000000	90.518	28.0645
788.000000	90.544	27.4089
800.000000	90.583	26.8354
812.000000	90.633	26.4068
825.000000	90.691	25.8866
838.000000	90.761	25.3337
850.000000	90.833	24.8889
862.000000	90.902	24.4346
875.000000	90.981	23.8817
885.000000	91.043	23.4599
900.000000	91.143	22.8646
912.000000	91.236	22.3556
925.000000	91.338	21.7266
938.000000	91.442	21.0872
950.000000	91.540	20.5268
962.000000	91.629	20.0136
975.000000	91.717	19.4781
988.000000	91.809	18.9089
1000.000000	91.898	18.3753
1015.000000	92.019	17.7326
1030.000000	92.147	17.0764
1044.000000	92.269	16.4260
1060.000000	92.411	15.6999
1075.000000	92.546	14.9768
1090.000000	92.684	14.2414
1106.000000	92.837	13.5021
1120.000000	92.965	12.8466
1138.000000	93.122	11.9342
1150.000000	93.227	11.2965
1172.000000	93.428	10.1479
1180.000000	93.500	9.7479
1206.000000	93.732	8.4361
1220.000000	93.851	7.7070
1241.000000	94.033	6.6174
1250.000000	94.112	6.1426
1265.000000	94.237	5.3421
1280.000000	94.360	4.5598
1315.000000	94.643	2.8599
1320.000000	94.681	2.6293
1340.000000	94.830	1.7071
1360.000000	94.972	0.7939
1380.000000	95.110	-0.1060
1400.000000	95.253	-0.9617
1430.000000	95.468	-2.1718
1450.000000	95.611	-2.9838
1475.000000	95.792	-3.9716
1500.000000	95.977	-4.8903
1525.000000	96.160	-5.7783
1550.000000	96.339	-6.6280
1575.000000	96.516	-7.4487
1600.000000	96.698	-8.2410
1625.000000	96.881	-9.0166
1650.000000	97.063	-9.7940
1675.000000	97.247	-10.5612
1700.000000	97.429	-11.2798
1725.000000	97.607	-11.9891
1750.000000	97.789	-12.7242
1775.000000	97.975	-13.4549
1800.000000	98.161	-14.1743
1825.000000	98.347	-14.8966
1850.000000	98.536	-15.6290
1875.000000	98.727	-16.3650
1900.000000	98.918	-17.1129
1925.000000	99.109	-17.8968
1950.000000	99.301	-18.7267
1975.000000	99.494	-19.5986
2000.000000	99.686	-20.5111
2030.000000	99.910	-21.6664
2060.000000	100.124	-22.8801
2090.000000	100.327	-24.1683
2120.000000	100.519	-25.5116
2140.000000	100.640	-26.4312
2180.000000	100.856	-28.3010
2200.000000	100.951	-29.2318
2240.000000	101.117	-31.1032
2270.000000	101.223	-32.5010
2300.000000	101.312	-33.8800
2330.000000	101.384	-35.2215
2360.000000	101.442	-36.5215
2400.000000	101.497	-38.1993
2430.000000	101.521	-39.3970
2470.000000	101.532	-40.8977
2500.000000	101.526	-41.9382
2540.000000	101.496	-43.1875
2580.000000	101.447	-44.2677
2620.000000	101.384	-45.1739
2650.000000	101.332	-45.7419
2690.000000	101.256	-46.3573
2720.000000	101.198	-46.7118
2760.000000	101.119	-47.0568
2800.000000	101.040	-47.2780
2850.000000	100.943	-47.3859
2900.000000	100.855	-47.2863
2950.000000	100.779	-47.0248
3000.000000	100.715	-46.6322
3040.000000	100.675	-46.2305
3070.000000	100.651	-45.8879
3110.000000	100.630	-45.3817
3150.000000	100.618	-44.8255
3200.000000	100.613	-44.0729
3250.000000	100.623	-43.2739
3300.000000	100.647	-42.4308
3350.000000	100.686	-41.5633
3400.000000	100.738	-40.6821
3450.000000	100.807	-39.7995
3500.000000	100.893	-38.9324
3550.000000	100.990	-38.0848
3600.000000	101.097	-37.2618
3650.000000	101.213	-36.4636
3700.000000	101.333	-35.7008
3750.000000	101.457	-34.9859
3820.000000	101.631	-34.0683
3870.000000	101.750	-33.4694
3950.000000	101.929	-32.5970
4000.000000	102.033	-32.1032
4060.000000	102.148	-31.5411
4120.000000	102.253	-30.9919
4180.000000	102.346	-30.4319
4250.000000	102.440	-29.7501
4310.000000	102.504	-29.1182
4370.000000	102.551	-28.4204
4440.000000	102.594	-27.5245
4500.000000	102.628	-26.6932
4550.000000	102.656	-25.9570
4620.000000	102.699	-24.8712
4680.000000	102.739	-23.8956
4750.000000	102.791	-22.7246
4820.000000	102.847	-21.5377
4870.000000	102.890	-20.6821
4940.000000	102.952	-19.4818
5000.000000	103.007	-18.4592
5080.000000	103.083	-17.1059
5150.000000	103.152	-15.9522
5220.000000	103.221	-14.8285
5300.000000	103.300	-13.5569
5380.000000	103.379	-12.3018
5450.000000	103.445	-11.2217
5520.000000	103.508	-10.1514
5600.000000	103.576	-8.9235
5700.000000	103.659	-7.4112
5800.000000	103.727	-6.0325
5900.000000	103.737	-4.5396
6000.000000	103.761	-2.6891
6080.000000	103.766	-1.3270
6150.000000	103.726	0.2392
6220.000000	103.739	2.3738
6300.000000	103.867	4.8358
6400.000000	104.115	7.4704
6500.000000	104.436	9.6114
6600.000000	104.819	10.9137
6700.000000	105.182	10.9469
6800.000000	105.385	9.8552
6900.000000	105.359	8.6698
7000.000000	105.170	8.5666
7100.000000	104.966	9.9143
7200.000000	104.872	12.2994
7300.000000	104.942	15.0857
7400.000000	105.180	17.7381
7500.000000	105.572	19.8261
7620.000000	106.217	21.0317
7750.000000	107.024	19.9498
7880.000000	107.685	15.5880
8000.000000	107.939	8.6324
8120.000000	107.667	0.1478
8250.000000	106.723	-8.2250
8380.000000	105.264	-13.6383
8500.000000	103.689	-15.6142
8620.000000	102.050	-15.1756
8750.000000	100.259	-12.0216
8850.000000	98.988	-8.0520
9000.000000	97.342	-1.1620
9120.000000	96.170	4.8969
9250.000000	95.015	11.9850
9380.000000	93.974	19.5106
9500.000000	93.105	26.7542
9620.000000	92.321	34.2288
9750.000000	91.565	42.5240
9880.000000	90.903	50.9643
10000.000000	90.369	58.8443
10150.000000	89.802	68.7768
10300.000000	89.348	78.7462
10440.000000	89.029	88.0143
10600.000000	88.793	98.4736
10750.000000	88.714	108.0076
10900.000000	88.794	116.9614
11060.000000	89.057	125.2142
11200.000000	89.353	130.4150
11380.000000	89.449	133.6915
11500.000000	89.101	135.4015
11720.000000	87.931	143.4838
11800.000000	87.587	147.6321
12060.000000	86.811	160.5584
12200.000000	86.401	167.6135
12410.000000	85.872	178.5877
12500.000000	85.679	-176.8932
12650.000000	85.339	-169.5634
12800.000000	84.979	-162.0512
13150.000000	84.274	-143.9128
13200.000000	84.193	-141.3278
13400.000000	83.921	-131.0793
13600.000000	83.770	-121.3222
13800.000000	83.758	-113.2726
14000.000000	83.596	-108.9818
14300.000000	81.308	-97.6245
14500.000000	79.475	-72.0113
14750.000000	80.909	-39.7029
15000.000000	83.342	-22.6675
15250.000000	85.677	-12.4522
15500.000000	88.435	-6.4435
15750.000000	91.465	-8.4856
16000.000000	93.810	-24.0507
16250.000000	94.339	-52.4141
16500.000000	92.601	-81.3699
16750.000000	88.957	-99.5430
17000.000000	84.185	-106.0925
17250.000000	78.954	-104.3925
17500.000000	73.458	-95.7772
17750.000000	67.893	-89.4480
18000.000000	62.281	-163.8185
18250.000000	56.343	-56.5968
18500.000000	50.660	45.5359
18750.000000	49.584	-156.4756
19000.000000	51.541	-158.8965
19250.000000	52.538	109.6055
19500.000000	52.517	-30.8057
19750.000000	53.668	-94.2285
20000.000000	55.183	166.2578
