* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 9:32:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_10
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.025	179.3355
20.600000	98.018	179.1754
20.900000	98.004	178.8929
21.200001	97.988	178.6293
21.400000	97.977	178.4537
21.799999	97.951	178.0735
22.000000	97.936	177.8615
22.400000	97.901	177.4035
22.700001	97.872	177.0426
23.000000	97.842	176.6747
23.299999	97.813	176.3022
23.600000	97.786	175.9240
24.000000	97.755	175.4098
24.299999	97.734	175.0190
24.700001	97.711	174.5002
25.000000	97.695	174.1216
25.400000	97.676	173.6384
25.799999	97.661	173.1802
26.200001	97.648	172.7404
26.500000	97.638	172.4201
26.900000	97.622	172.0073
27.200001	97.607	171.7125
27.600000	97.583	171.3432
28.000000	97.556	170.9998
28.500000	97.520	170.5954
29.000000	97.479	170.2088
29.500000	97.435	169.8421
30.000000	97.390	169.4955
30.400000	97.356	169.2186
30.700001	97.332	169.0000
31.100000	97.301	168.6836
31.500000	97.268	168.3417
32.000000	97.223	167.9026
32.500000	97.174	167.4839
33.000000	97.130	167.0975
33.500000	97.093	166.7291
34.000000	97.063	166.3620
34.500000	97.033	165.9970
35.000000	97.001	165.6469
35.500000	96.970	165.3205
36.000000	96.939	165.0150
36.500000	96.909	164.7207
37.000000	96.876	164.4301
37.500000	96.840	164.1437
38.200001	96.782	163.7633
38.700001	96.738	163.5116
39.500000	96.667	163.1211
40.000000	96.625	162.8627
40.599998	96.572	162.5322
41.200001	96.517	162.2034
41.799999	96.462	161.9058
42.500000	96.406	161.5923
43.099998	96.366	161.3112
43.700001	96.324	161.0155
44.400002	96.270	160.7250
45.000000	96.228	160.5610
45.500000	96.202	160.4414
46.200001	96.176	160.2078
46.799999	96.148	159.9346
47.500000	96.103	159.6055
48.200001	96.053	159.3073
48.700001	96.015	159.1087
49.400002	95.961	158.8486
50.000000	95.916	158.6405
50.799999	95.857	158.3595
51.500000	95.806	158.1075
52.200001	95.753	157.8743
53.000000	95.696	157.6322
53.799999	95.641	157.3896
54.500000	95.592	157.1784
55.200001	95.542	156.9847
56.000000	95.486	156.7869
57.000000	95.418	156.5503
58.000000	95.350	156.3287
59.000000	95.282	156.1244
60.000000	95.211	155.9118
60.799999	95.153	155.7528
61.500000	95.103	155.6207
62.200001	95.054	155.4915
63.000000	94.999	155.3647
64.000000	94.938	155.2130
65.000000	94.878	155.0096
66.000000	94.811	154.8207
67.000000	94.747	154.6731
68.000000	94.685	154.5229
69.000000	94.620	154.3871
70.000000	94.557	154.2637
71.000000	94.495	154.1416
72.000000	94.434	154.0211
73.000000	94.372	153.9028
74.000000	94.311	153.8018
75.000000	94.251	153.7201
76.199997	94.181	153.6386
77.500000	94.109	153.5575
78.800003	94.035	153.4710
80.000000	93.967	153.4001
81.199997	93.901	153.3096
82.500000	93.827	153.2152
83.800003	93.756	153.1306
