* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 9:25:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_KBear 08
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.255	-177.4698
20.600000	97.239	-177.4078
20.900000	97.217	-177.3097
21.200001	97.223	-177.2821
21.400000	97.232	-177.3661
21.799999	97.235	-177.7727
22.000000	97.216	-178.0457
22.400000	97.134	-178.5204
22.700001	97.053	-178.6628
23.000000	96.986	-178.5907
23.299999	96.958	-178.4364
23.600000	96.972	-178.3751
24.000000	97.036	-178.6816
24.299999	97.083	-179.2657
24.700001	97.105	179.6223
25.000000	97.080	178.7384
25.400000	97.002	177.7430
25.799999	96.908	177.0929
26.200001	96.828	176.7501
26.500000	96.787	176.6218
26.900000	96.756	176.5518
27.200001	96.749	176.5488
27.600000	96.765	176.5788
28.000000	96.813	176.5628
28.500000	96.903	176.2855
29.000000	96.979	175.6125
29.500000	96.995	174.7216
30.000000	96.943	173.9981
30.400000	96.883	173.7117
30.700001	96.847	173.6514
31.100000	96.824	173.6342
31.500000	96.827	173.5200
32.000000	96.829	173.1074
32.500000	96.792	172.5394
33.000000	96.720	172.1283
33.500000	96.657	171.9741
34.000000	96.634	171.8483
34.500000	96.628	171.4820
35.000000	96.594	170.9143
35.500000	96.521	170.4459
36.000000	96.445	170.2558
36.500000	96.405	170.2034
37.000000	96.396	170.0255
37.500000	96.388	169.6482
38.200001	96.351	168.9872
38.700001	96.310	168.4985
39.500000	96.215	167.7021
40.000000	96.133	167.3634
40.599998	96.046	167.2415
41.200001	96.006	167.2052
41.799999	95.989	167.0142
42.500000	95.959	166.7097
43.099998	95.937	166.5383
43.700001	95.930	166.3345
44.400002	95.911	165.9702
45.000000	95.872	165.6969
45.500000	95.835	165.5530
46.200001	95.787	165.3844
46.799999	95.740	165.2485
47.500000	95.685	165.1825
48.200001	95.654	165.1012
48.700001	95.638	164.9204
49.400002	95.595	164.5396
50.000000	95.538	164.2575
50.799999	95.457	164.0583
51.500000	95.399	164.0177
52.200001	95.363	164.0621
53.000000	95.356	164.0677
53.799999	95.357	163.8275
54.500000	95.326	163.4984
55.200001	95.268	163.2958
56.000000	95.209	163.2685
57.000000	95.169	163.1508
58.000000	95.118	162.8547
59.000000	95.062	162.5423
60.000000	94.992	162.1531
60.799999	94.922	161.9987
61.500000	94.878	162.0061
62.200001	94.856	161.9972
63.000000	94.834	161.9064
64.000000	94.795	161.7787
65.000000	94.743	161.7015
66.000000	94.689	161.6755
67.000000	94.637	161.6204
68.000000	94.580	161.4991
69.000000	94.517	161.3451
70.000000	94.454	161.2131
71.000000	94.403	161.0941
72.000000	94.359	160.9503
73.000000	94.319	160.8384
74.000000	94.287	160.7534
75.000000	94.257	160.6393
76.199997	94.208	160.5285
77.500000	94.149	160.5188
78.800003	94.092	160.5152
80.000000	94.032	160.5023
81.199997	93.972	160.4940
82.500000	93.902	160.4550
83.800003	93.835	160.4795
85.000000	93.789	160.4729
86.199997	93.745	160.3880
87.500000	93.689	160.2896
88.500000	93.643	160.2587
90.000000	93.578	160.3329
91.199997	93.547	160.4463
92.500000	93.519	160.4402
93.800003	93.477	160.4316
95.000000	93.437	160.4624
96.199997	93.397	160.4894
97.500000	93.353	160.5114
98.800003	93.304	160.5401
100.000000	93.258	160.5978
101.500000	93.203	160.6974
103.000000	93.148	160.7560
104.400002	93.093	160.8133
106.000000	93.042	160.8599
107.500000	93.000	160.8605
109.000000	92.966	160.8916
110.599998	92.929	160.9656
112.000000	92.895	161.1099
113.800003	92.857	161.2563
115.000000	92.826	161.2581
