* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 9:23:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_KBear 08
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.597	-176.2009
20.600000	98.615	-176.4435
20.900000	98.645	-176.9444
21.200001	98.653	-177.5921
21.400000	98.640	-178.0732
21.799999	98.579	-179.0551
22.000000	98.534	-179.5096
22.400000	98.433	179.7131
22.700001	98.359	179.2218
23.000000	98.293	178.7596
23.299999	98.233	178.3016
23.600000	98.175	177.8596
24.000000	98.101	177.3476
24.299999	98.053	177.0645
24.700001	98.007	176.8331
25.000000	97.993	176.7402
25.400000	98.001	176.6684
25.799999	98.038	176.6046
26.200001	98.099	176.4990
26.500000	98.157	176.3438
26.900000	98.240	175.9611
27.200001	98.290	175.5123
27.600000	98.320	174.7411
28.000000	98.291	173.9553
28.500000	98.186	173.3185
29.000000	98.072	173.2415
29.500000	98.016	173.4192
30.000000	98.014	173.3134
30.400000	98.003	172.8876
30.700001	97.969	172.4584
31.100000	97.888	171.9647
31.500000	97.791	171.7243
32.000000	97.707	171.7293
32.500000	97.695	171.6783
33.000000	97.712	171.2047
33.500000	97.692	170.4244
34.000000	97.618	169.7932
34.500000	97.537	169.5895
35.000000	97.498	169.6030
35.500000	97.495	169.5228
36.000000	97.482	169.2936
36.500000	97.442	169.1528
37.000000	97.410	169.2141
37.500000	97.412	169.2512
38.200001	97.415	168.8053
38.700001	97.361	168.2982
39.500000	97.221	167.9142
40.000000	97.164	167.8177
40.599998	97.120	167.4810
41.200001	97.056	166.9867
41.799999	96.984	166.6265
42.500000	96.935	166.3069
43.099998	96.909	165.9256
43.700001	96.871	165.6057
44.400002	96.840	165.4867
45.000000	96.848	165.4165
45.500000	96.860	165.2483
46.200001	96.856	164.9052
46.799999	96.827	164.6057
47.500000	96.758	164.3655
48.200001	96.678	164.4499
48.700001	96.651	164.6658
49.400002	96.670	164.7708
50.000000	96.691	164.4687
50.799999	96.669	163.8715
51.500000	96.638	163.4472
52.200001	96.613	162.9310
53.000000	96.542	162.2462
53.799999	96.423	161.9044
54.500000	96.329	161.9600
55.200001	96.265	162.1678
56.000000	96.232	162.3849
57.000000	96.216	162.3051
58.000000	96.162	161.9574
59.000000	96.091	161.6950
60.000000	96.036	161.4713
60.799999	96.012	161.2743
61.500000	96.005	160.9901
62.200001	95.984	160.5963
63.000000	95.926	160.2261
64.000000	95.837	160.1578
65.000000	95.781	160.3449
66.000000	95.746	160.4287
67.000000	95.695	160.4409
68.000000	95.644	160.4453
69.000000	95.589	160.3307
70.000000	95.520	160.2319
71.000000	95.461	160.2153
72.000000	95.421	160.1722
73.000000	95.383	160.0428
74.000000	95.328	159.8996
75.000000	95.264	159.9111
76.199997	95.211	159.9578
77.500000	95.144	159.8185
78.800003	95.060	159.7497
80.000000	94.996	159.7028
81.199997	94.941	159.5974
82.500000	94.881	159.4250
83.800003	94.813	159.3596
85.000000	94.772	159.4077
86.199997	94.743	159.3586
87.500000	94.700	159.2723
88.500000	94.662	159.2196
90.000000	94.594	159.2022
91.199997	94.543	159.2545
92.500000	94.499	159.2990
93.800003	94.454	159.2667
95.000000	94.407	159.2433
96.199997	94.359	159.2356
97.500000	94.310	159.2698
98.800003	94.272	159.3204
100.000000	94.236	159.3350
101.500000	94.184	159.4013
103.000000	94.134	159.4968
104.400002	94.083	159.5730
106.000000	94.031	159.6589
107.500000	93.992	159.6585
109.000000	93.953	159.6368
110.599998	93.914	159.7023
112.000000	93.883	159.8189
113.800003	93.830	159.9896
115.000000	93.782	160.0626
117.199997	93.660	160.0116
118.000000	93.602	159.9650
120.599998	93.468	160.4119
122.000000	93.499	160.5771
124.099998	93.525	160.4419
125.000000	93.517	160.4516
126.500000	93.490	160.5704
128.000000	93.456	160.7209
131.500000	93.365	160.8932
132.000000	93.353	160.9105
134.000000	93.311	161.0038
136.000000	93.273	161.1258
138.000000	93.232	161.2549
140.000000	93.188	161.3914
143.000000	93.128	161.5912
145.000000	93.092	161.6898
147.500000	93.045	161.7924
150.000000	93.005	161.9465
152.500000	92.967	162.0932
155.000000	92.923	162.2491
157.500000	92.878	162.4014
160.000000	92.839	162.5698
162.500000	92.802	162.7455
165.000000	92.763	162.9461
167.500000	92.725	163.1336
170.000000	92.684	163.2935
172.500000	92.646	163.4500
175.000000	92.614	163.5980
177.500000	92.585	163.7498
180.000000	92.552	163.9084
182.500000	92.517	164.0763
185.000000	92.485	164.2321
187.500000	92.454	164.3743
190.000000	92.423	164.5120
192.500000	92.395	164.6301
195.000000	92.368	164.7486
197.500000	92.344	164.9000
200.000000	92.322	165.0657
203.000000	92.293	165.2429
206.000000	92.264	165.3976
209.000000	92.235	165.5646
212.000000	92.207	165.7500
214.000000	92.188	165.8764
218.000000	92.151	166.1074
220.000000	92.133	166.2151
224.000000	92.099	166.4403
227.000000	92.073	166.6158
230.000000	92.048	166.7706
233.000000	92.023	166.9338
236.000000	91.999	167.1293
240.000000	91.966	167.3817
243.000000	91.942	167.5405
247.000000	91.908	167.7361
250.000000	91.882	167.8799
254.000000	91.848	168.0871
258.000000	91.816	168.3129
262.000000	91.788	168.5384
265.000000	91.767	168.7065
269.000000	91.738	168.9368
272.000000	91.718	169.0999
276.000000	91.694	169.2890
280.000000	91.674	169.4887
285.000000	91.651	169.7603
290.000000	91.622	170.0195
295.000000	91.595	170.2728
300.000000	91.573	170.5187
304.000000	91.553	170.7188
307.000000	91.540	170.8737
311.000000	91.522	171.0736
315.000000	91.506	171.2683
320.000000	91.488	171.5174
325.000000	91.467	171.7738
330.000000	91.445	172.0259
335.000000	91.425	172.2595
340.000000	91.403	172.4998
345.000000	91.380	172.7411
350.000000	91.356	172.9670
355.000000	91.334	173.1961
360.000000	91.311	173.4292
365.000000	91.287	173.6611
370.000000	91.264	173.8937
375.000000	91.241	174.1276
382.000000	91.210	174.4697
387.000000	91.188	174.7115
395.000000	91.149	175.0665
400.000000	91.122	175.2912
406.000000	91.093	175.5685
412.000000	91.066	175.8336
418.000000	91.039	176.1017
425.000000	91.007	176.4218
431.000000	90.984	176.7054
437.000000	90.964	177.0034
444.000000	90.940	177.3391
450.000000	90.920	177.6070
455.000000	90.906	177.8293
462.000000	90.884	178.1506
468.000000	90.864	178.4317
475.000000	90.841	178.7550
482.000000	90.819	179.0726
487.000000	90.804	179.3097
494.000000	90.783	179.6508
500.000000	90.766	179.9373
508.000000	90.745	-179.6923
515.000000	90.726	-179.3620
522.000000	90.703	-179.0200
530.000000	90.680	-178.6299
538.000000	90.658	-178.2493
545.000000	90.638	-177.9187
552.000000	90.618	-177.5733
560.000000	90.595	-177.1638
570.000000	90.566	-176.6477
580.000000	90.540	-176.1172
590.000000	90.519	-175.5904
600.000000	90.496	-175.0652
608.000000	90.478	-174.6433
615.000000	90.464	-174.2646
622.000000	90.451	-173.8724
630.000000	90.437	-173.4186
640.000000	90.420	-172.8389
650.000000	90.404	-172.2605
660.000000	90.394	-171.7195
670.000000	90.384	-171.1812
680.000000	90.370	-170.6280
690.000000	90.356	-170.0733
700.000000	90.344	-169.5200
710.000000	90.333	-168.9610
720.000000	90.320	-168.4038
730.000000	90.310	-167.8271
740.000000	90.304	-167.2401
750.000000	90.296	-166.6406
762.000000	90.288	-165.8981
775.000000	90.282	-165.0749
788.000000	90.279	-164.2445
800.000000	90.282	-163.4612
812.000000	90.289	-162.6367
825.000000	90.300	-161.7288
838.000000	90.319	-160.8276
850.000000	90.345	-159.9725
862.000000	90.378	-159.1049
875.000000	90.424	-158.1646
885.000000	90.467	-157.4542
900.000000	90.545	-156.4252
912.000000	90.618	-155.6414
925.000000	90.705	-154.8406
938.000000	90.798	-154.1114
950.000000	90.887	-153.5071
962.000000	90.978	-152.9632
975.000000	91.077	-152.4394
988.000000	91.173	-151.9588
1000.000000	91.260	-151.5582
1015.000000	91.373	-151.1302
1030.000000	91.482	-150.7523
1044.000000	91.581	-150.4421
1060.000000	91.689	-150.1301
1075.000000	91.784	-149.8675
1090.000000	91.880	-149.6314
1106.000000	91.986	-149.4127
1120.000000	92.078	-149.2444
1138.000000	92.193	-149.0512
1150.000000	92.267	-148.9357
1172.000000	92.397	-148.7505
1180.000000	92.443	-148.6855
1206.000000	92.588	-148.4805
1220.000000	92.664	-148.3773
1241.000000	92.772	-148.2162
1250.000000	92.818	-148.1497
1265.000000	92.893	-148.0467
1280.000000	92.967	-147.9453
1315.000000	93.138	-147.6895
1320.000000	93.162	-147.6516
1340.000000	93.259	-147.4989
1360.000000	93.351	-147.3431
1380.000000	93.447	-147.1810
1400.000000	93.552	-147.0216
1430.000000	93.717	-146.8069
1450.000000	93.829	-146.6790
1475.000000	93.975	-146.5337
1500.000000	94.129	-146.4297
1525.000000	94.290	-146.3826
1550.000000	94.456	-146.3983
1575.000000	94.626	-146.4893
1600.000000	94.801	-146.6776
1625.000000	94.978	-146.9725
1650.000000	95.153	-147.3815
1675.000000	95.325	-147.9206
1700.000000	95.490	-148.5928
1725.000000	95.642	-149.3851
1750.000000	95.779	-150.2981
1775.000000	95.900	-151.3236
1800.000000	95.998	-152.4413
1825.000000	96.072	-153.6201
1850.000000	96.120	-154.8305
1875.000000	96.142	-156.0457
1900.000000	96.137	-157.2300
1925.000000	96.108	-158.3524
1950.000000	96.058	-159.3879
1975.000000	95.990	-160.3057
