* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 9:15:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_11
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.246	-176.2529
20.600000	97.250	-176.4320
20.900000	97.256	-176.7461
21.200001	97.255	-177.0295
21.400000	97.251	-177.2043
21.799999	97.238	-177.5490
22.000000	97.230	-177.7297
22.400000	97.210	-178.1133
22.700001	97.193	-178.4184
23.000000	97.173	-178.7343
23.299999	97.152	-179.0559
23.600000	97.131	-179.3816
24.000000	97.106	-179.8230
24.299999	97.089	179.8400
24.700001	97.070	179.3861
25.000000	97.056	179.0471
25.400000	97.039	178.6030
25.799999	97.024	178.1700
26.200001	97.011	177.7467
26.500000	97.001	177.4366
26.900000	96.984	177.0382
27.200001	96.970	176.7552
27.600000	96.949	176.4015
28.000000	96.928	176.0699
28.500000	96.903	175.6719
29.000000	96.876	175.2823
29.500000	96.846	174.9057
30.000000	96.815	174.5477
30.400000	96.790	174.2695
30.700001	96.772	174.0596
31.100000	96.748	173.7721
31.500000	96.722	173.4756
32.000000	96.686	173.1039
32.500000	96.648	172.7483
33.000000	96.613	172.4161
33.500000	96.583	172.0970
34.000000	96.557	171.7778
34.500000	96.531	171.4592
35.000000	96.504	171.1511
35.500000	96.478	170.8560
36.000000	96.453	170.5640
36.500000	96.427	170.2695
37.000000	96.398	169.9839
37.500000	96.365	169.7225
38.200001	96.316	169.3939
38.700001	96.282	169.1669
39.500000	96.224	168.8069
40.000000	96.188	168.5898
40.599998	96.146	168.3269
41.200001	96.105	168.0495
41.799999	96.064	167.7695
42.500000	96.018	167.4546
43.099998	95.984	167.1792
43.700001	95.948	166.8958
44.400002	95.904	166.5953
45.000000	95.868	166.3832
45.500000	95.841	166.2176
46.200001	95.806	165.9709
46.799999	95.771	165.7585
47.500000	95.729	165.5497
48.200001	95.690	165.3744
48.700001	95.664	165.2466
49.400002	95.628	165.0531
50.000000	95.595	164.8851
50.799999	95.550	164.6713
51.500000	95.510	164.4930
52.200001	95.471	164.3199
53.000000	95.428	164.1219
53.799999	95.384	163.9255
54.500000	95.343	163.7655
55.200001	95.304	163.6113
56.000000	95.260	163.4290
57.000000	95.201	163.2156
58.000000	95.141	163.0294
59.000000	95.081	162.8506
60.000000	95.019	162.6990
60.799999	94.974	162.5824
61.500000	94.938	162.4688
62.200001	94.902	162.3489
63.000000	94.860	162.2130
64.000000	94.807	162.0577
65.000000	94.755	161.9346
66.000000	94.706	161.8318
67.000000	94.656	161.7424
