* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -12.5 dBFS, measurement signal peak level -29.3 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 11:05:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0316 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Kbear 스텔라 L +솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	56.718	58.5817
20.600000	56.526	45.3449
20.900000	56.010	20.7331
21.200001	55.251	-5.2864
21.400000	54.720	-23.2689
21.799999	53.886	-59.9163
22.000000	53.639	-77.6314
22.400000	53.300	-109.0201
22.700001	52.796	-127.8559
23.000000	51.748	-140.9274
23.299999	49.920	-142.6915
23.600000	47.997	-130.0541
24.000000	48.290	-97.7801
24.299999	50.862	-76.6984
24.700001	54.194	-66.7133
25.000000	55.760	-70.3408
25.400000	56.828	-79.4000
25.799999	56.991	-86.3089
26.200001	56.551	-88.8475
26.500000	56.124	-87.6339
26.900000	55.880	-83.3626
27.200001	56.105	-80.4780
27.600000	56.730	-80.0335
28.000000	57.202	-84.8363
28.500000	57.035	-96.3824
29.000000	55.739	-107.6508
29.500000	53.422	-108.3820
30.000000	52.408	-95.5591
30.400000	54.261	-85.8375
30.700001	56.125	-84.7548
31.100000	58.137	-92.1228
31.500000	59.410	-105.2822
32.000000	60.022	-123.1803
32.500000	59.659	-138.5034
33.000000	58.413	-148.0664
33.500000	56.421	-148.1329
34.000000	54.452	-136.8659
34.500000	54.231	-121.2730
35.000000	55.489	-112.6392
35.500000	56.347	-114.5658
36.000000	56.167	-120.4354
36.500000	55.249	-122.8281
37.000000	54.681	-121.3404
37.500000	55.163	-122.7901
38.200001	55.948	-137.2887
38.700001	55.682	-150.0978
39.500000	55.220	-156.7594
40.000000	56.330	-156.4656
40.599998	57.923	-162.3754
41.200001	58.263	-173.1473
41.799999	57.320	-175.8000
42.500000	56.797	-162.3142
43.099998	58.338	-151.7677
43.700001	59.664	-152.5793
44.400002	59.864	-159.4763
45.000000	59.330	-161.4527
45.500000	59.087	-160.1363
46.200001	59.464	-159.6884
46.799999	59.831	-163.8748
47.500000	59.569	-170.0975
48.200001	58.809	-169.4032
48.700001	58.912	-163.1187
49.400002	60.777	-154.2367
50.000000	62.511	-155.3036
50.799999	63.267	-167.1063
51.500000	62.284	-171.9982
52.200001	61.071	-162.8882
53.000000	61.734	-150.3244
53.799999	62.692	-150.7928
54.500000	62.675	-155.5263
55.200001	62.299	-158.9749
56.000000	61.942	-161.8863
57.000000	62.120	-165.6241
58.000000	62.786	-173.9006
59.000000	62.845	178.1748
60.000000	63.308	178.0344
60.799999	64.166	177.4290
61.500000	64.631	175.3535
62.200001	64.839	174.3790
63.000000	65.081	174.6475
64.000000	65.296	174.6278
65.000000	65.359	175.1729
66.000000	65.503	174.9777
67.000000	65.433	174.2708
68.000000	65.563	175.2284
69.000000	65.997	174.3261
70.000000	66.288	172.4292
71.000000	66.637	171.3160
72.000000	67.042	170.2463
73.000000	67.490	169.1988
74.000000	67.842	167.5385
75.000000	68.049	166.3777
76.199997	68.319	165.2863
77.500000	68.538	163.9120
78.800003	68.839	162.5806
80.000000	69.139	160.7259
81.199997	69.384	159.2695
82.500000	69.791	158.8001
83.800003	70.267	157.5611
85.000000	70.508	156.0916
86.199997	70.643	155.0577
87.500000	70.698	153.9284
88.500000	70.703	153.3882
90.000000	70.910	152.8698
91.199997	71.249	151.2999
92.500000	71.494	148.4775
93.800003	71.583	146.7740
95.000000	71.785	146.7493
96.199997	72.188	146.6023
97.500000	72.601	145.1687
98.800003	72.870	143.4034
100.000000	73.077	142.1862
101.500000	73.394	141.0216
103.000000	73.750	139.6275
104.400002	74.030	138.1454
106.000000	74.293	136.3419
107.500000	74.463	134.4108
109.000000	74.629	132.3962
110.599998	74.837	129.8502
112.000000	75.017	127.6683
113.800003	75.323	125.7184
115.000000	75.596	124.5987
117.199997	76.051	122.3373
118.000000	76.191	121.4644
120.599998	76.506	118.3336
122.000000	76.613	116.6613
124.099998	76.729	114.0582
125.000000	76.757	113.0452
126.500000	76.849	111.5834
128.000000	76.994	109.8676
131.500000	77.278	105.6903
132.000000	77.318	105.1565
134.000000	77.500	103.0211
136.000000	77.704	100.4357
138.000000	77.823	97.5725
140.000000	77.874	95.6066
143.000000	78.039	93.6990
145.000000	78.137	92.0277
147.500000	78.200	89.0839
150.000000	78.204	85.8849
152.500000	78.255	83.1140
155.000000	78.347	81.0264
157.500000	78.457	79.0885
160.000000	78.468	76.6883
162.500000	78.414	74.2496
165.000000	78.355	72.1438
167.500000	78.338	70.4348
170.000000	78.327	68.6517
172.500000	78.293	66.8939
175.000000	78.283	65.1176
177.500000	78.247	63.0256
180.000000	78.163	61.2721
182.500000	78.102	60.1048
185.000000	78.051	58.9724
187.500000	77.972	57.5172
190.000000	77.884	56.0942
192.500000	77.841	55.0247
195.000000	77.797	53.9811
197.500000	77.710	52.7278
200.000000	77.633	51.3943
203.000000	77.607	49.9192
206.000000	77.586	48.4744
209.000000	77.498	47.2113
212.000000	77.372	46.3206
214.000000	77.268	45.7737
218.000000	77.069	44.5183
220.000000	76.992	43.9416
224.000000	76.882	43.1660
227.000000	76.799	42.4052
230.000000	76.718	41.7529
233.000000	76.656	41.4207
236.000000	76.621	40.9553
240.000000	76.571	39.8197
243.000000	76.511	39.2943
247.000000	76.409	38.7447
250.000000	76.309	37.9818
254.000000	76.162	36.9114
258.000000	76.078	36.4506
262.000000	76.064	36.2414
265.000000	76.012	35.7483
269.000000	75.882	35.1599
272.000000	75.802	34.9769
276.000000	75.704	34.6798
280.000000	75.633	34.4543
285.000000	75.590	34.1052
290.000000	75.546	33.9202
295.000000	75.507	33.7442
300.000000	75.446	33.1862
304.000000	75.348	32.7828
307.000000	75.284	32.6157
311.000000	75.248	32.5820
315.000000	75.276	32.7515
320.000000	75.245	32.5549
325.000000	75.096	32.1166
330.000000	75.037	32.2123
335.000000	75.056	32.0866
340.000000	75.011	31.7042
345.000000	74.918	31.4721
350.000000	74.864	31.4319
355.000000	74.842	31.2903
360.000000	74.792	31.2801
365.000000	74.723	31.4213
370.000000	74.694	31.4747
375.000000	74.660	31.4244
382.000000	74.553	31.0125
387.000000	74.516	30.9290
395.000000	74.536	31.2277
400.000000	74.522	31.1430
406.000000	74.471	31.1184
412.000000	74.376	31.2348
418.000000	74.296	30.8625
425.000000	74.268	30.6418
431.000000	74.216	30.7680
437.000000	74.138	31.0979
444.000000	74.077	31.2151
450.000000	74.018	30.9204
455.000000	73.941	30.6724
462.000000	73.804	30.3005
468.000000	73.675	30.2451
475.000000	73.509	30.5926
482.000000	73.293	30.9689
487.000000	73.139	31.5759
494.000000	72.954	33.3063
500.000000	72.811	35.2383
508.000000	72.697	37.7226
515.000000	72.632	39.6407
522.000000	72.620	41.2178
530.000000	72.684	42.7342
538.000000	72.678	44.4846
545.000000	72.658	46.3383
552.000000	72.656	48.4792
560.000000	72.701	51.0823
570.000000	72.841	54.8665
580.000000	73.185	59.5298
590.000000	73.875	64.0521
600.000000	74.870	66.9541
608.000000	75.747	67.3900
615.000000	76.499	66.3484
622.000000	77.151	64.0419
630.000000	77.694	60.3995
640.000000	78.078	55.4820
650.000000	78.209	50.9454
660.000000	78.139	47.2574
670.000000	77.971	44.4405
680.000000	77.793	42.4845
690.000000	77.613	41.3912
700.000000	77.430	40.6078
710.000000	77.292	39.9398
720.000000	77.189	39.5002
730.000000	77.106	39.1259
740.000000	77.062	38.7328
750.000000	77.028	38.5116
762.000000	76.963	38.3566
775.000000	76.896	38.2506
788.000000	76.800	38.1897
800.000000	76.707	38.2252
812.000000	76.624	38.3202
825.000000	76.580	38.4494
838.000000	76.567	38.5906
850.000000	76.551	38.7946
862.000000	76.519	39.0576
875.000000	76.477	39.3845
885.000000	76.466	39.6870
900.000000	76.479	40.1052
912.000000	76.485	40.2756
925.000000	76.490	40.4209
938.000000	76.483	40.6282
950.000000	76.467	40.8417
962.000000	76.467	41.0280
975.000000	76.463	41.3505
988.000000	76.448	41.7293
1000.000000	76.439	42.1081
1015.000000	76.426	42.5890
1030.000000	76.407	42.9688
1044.000000	76.399	43.3736
1060.000000	76.414	43.9588
1075.000000	76.426	44.5533
1090.000000	76.445	45.1061
1106.000000	76.475	45.6003
1120.000000	76.516	46.0703
1138.000000	76.574	46.6929
1150.000000	76.604	47.0934
1172.000000	76.661	47.9123
1180.000000	76.676	48.2044
1206.000000	76.730	48.9534
1220.000000	76.782	49.2427
1241.000000	76.848	49.6099
1250.000000	76.864	49.7742
1265.000000	76.890	50.0895
1280.000000	76.918	50.4675
1315.000000	76.936	51.5675
1320.000000	76.937	51.7617
1340.000000	76.955	52.6086
1360.000000	76.978	53.4217
1380.000000	77.018	54.2936
1400.000000	77.083	55.2816
1430.000000	77.237	56.6773
1450.000000	77.356	57.4431
1475.000000	77.505	58.3287
1500.000000	77.676	59.2010
1525.000000	77.841	59.8433
1550.000000	78.011	60.3336
1575.000000	78.178	60.7197
1600.000000	78.335	61.0186
1625.000000	78.487	61.2142
1650.000000	78.632	61.3046
1675.000000	78.761	61.3490
1700.000000	78.869	61.3752
1725.000000	78.974	61.3618
1750.000000	79.072	61.2710
1775.000000	79.159	61.1145
1800.000000	79.225	60.9682
1825.000000	79.263	60.8192
1850.000000	79.275	60.6502
1875.000000	79.262	60.5421
1900.000000	79.239	60.5367
1925.000000	79.205	60.6924
1950.000000	79.151	60.9886
1975.000000	79.091	61.3792
2000.000000	79.033	61.8476
2030.000000	78.950	62.6826
2060.000000	78.868	63.8365
2090.000000	78.801	65.2310
2120.000000	78.761	66.7263
2140.000000	78.735	67.7250
2180.000000	78.698	70.1489
2200.000000	78.707	71.5231
2240.000000	78.739	74.3705
2270.000000	78.793	76.8086
2300.000000	78.917	79.3168
2330.000000	79.079	81.7814
2360.000000	79.266	84.3567
2400.000000	79.605	87.8409
2430.000000	79.928	90.2815
2470.000000	80.409	93.3507
2500.000000	80.835	95.5165
2540.000000	81.446	97.8149
2580.000000	82.077	99.7508
2620.000000	82.745	101.2892
2650.000000	83.255	102.2102
2690.000000	83.956	103.1889
2720.000000	84.510	103.6988
2760.000000	85.278	103.9769
2800.000000	86.073	103.7499
2850.000000	87.099	102.5638
2900.000000	88.106	100.3519
2950.000000	89.097	97.1019
3000.000000	90.018	92.4993
3040.000000	90.654	87.8274
3070.000000	91.037	83.8094
3110.000000	91.404	78.0815
3150.000000	91.617	72.1865
3200.000000	91.653	64.7545
3250.000000	91.402	57.8732
3300.000000	90.876	52.4472
3350.000000	90.198	49.9507
3400.000000	89.798	49.7737
3450.000000	89.729	48.8937
3500.000000	89.657	46.8027
3550.000000	89.471	44.5873
