* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -9.4 dBFS, measurement signal peak level -29.0 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 11:10:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0297 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Kbear 스텔라 R +솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	60.428	-99.5256
20.600000	60.862	-101.4824
20.900000	61.627	-105.1253
21.200001	62.189	-108.9321
21.400000	62.466	-111.4310
21.799999	62.830	-116.1421
22.000000	62.938	-118.2069
22.400000	63.041	-121.3874
22.700001	63.086	-122.7885
23.000000	63.187	-123.4485
23.299999	63.407	-123.8319
23.600000	63.745	-124.5252
24.000000	64.288	-126.7947
24.299999	64.644	-129.8147
24.700001	64.901	-135.2519
25.000000	64.868	-139.6192
25.400000	64.525	-144.4204
25.799999	64.002	-146.5158
26.200001	63.678	-145.6333
26.500000	63.795	-144.1185
26.900000	64.436	-143.0731
27.200001	65.070	-144.1157
27.600000	65.814	-148.0060
28.000000	66.273	-153.2636
28.500000	66.514	-158.9307
29.000000	66.759	-162.2334
29.500000	67.303	-164.8655
30.000000	67.936	-169.6259
30.400000	68.182	-175.3104
30.700001	68.098	-179.8862
31.100000	67.591	175.5699
31.500000	66.757	174.8682
32.000000	65.912	-179.6415
32.500000	66.223	-171.3542
33.000000	67.422	-166.9790
33.500000	68.576	-168.5474
34.000000	69.269	-173.8353
34.500000	69.457	-179.9641
35.000000	69.212	175.2875
35.500000	68.769	173.8023
36.000000	68.619	175.5652
36.500000	69.113	177.7556
37.000000	69.921	176.9055
37.500000	70.482	172.6274
38.200001	70.493	166.3577
38.700001	70.263	165.1806
39.500000	70.522	166.4206
40.000000	70.911	165.4726
40.599998	71.093	162.7638
41.200001	70.982	161.4924
41.799999	70.991	162.1306
42.500000	71.306	162.2172
43.099998	71.509	160.7823
43.700001	71.576	159.5685
44.400002	71.753	158.9497
45.000000	72.038	157.6431
45.500000	72.193	155.6510
46.200001	72.147	153.2986
46.799999	72.062	153.3207
47.500000	72.287	154.6042
48.200001	72.715	154.6187
48.700001	72.933	153.9035
49.400002	73.137	153.4556
50.000000	73.410	153.4606
50.799999	73.833	151.7868
51.500000	73.931	148.8759
52.200001	73.757	146.7544
53.000000	73.544	146.1881
53.799999	73.574	146.4495
54.500000	73.833	146.1325
55.200001	74.161	144.3773
56.000000	74.349	141.2685
57.000000	74.345	138.8000
58.000000	74.412	138.0803
59.000000	74.546	138.2999
60.000000	74.871	139.0148
60.799999	75.200	138.4422
61.500000	75.368	137.0956
62.200001	75.406	135.9214
63.000000	75.462	135.3494
64.000000	75.689	134.2137
65.000000	75.789	132.3854
66.000000	75.919	132.2625
67.000000	76.330	131.9423
68.000000	76.627	130.4462
69.000000	76.783	129.8207
70.000000	76.994	130.0607
71.000000	77.308	130.1545
72.000000	77.614	129.0540
73.000000	77.726	127.2102
74.000000	77.719	126.0455
75.000000	77.786	125.3640
76.199997	77.922	124.2468
77.500000	78.082	123.3472
78.800003	78.333	122.6979
80.000000	78.580	121.8459
81.199997	78.796	121.1546
82.500000	79.097	120.4221
83.800003	79.416	118.9282
85.000000	79.611	117.0840
86.199997	79.721	115.9131
87.500000	79.947	115.4384
88.500000	80.183	114.7753
90.000000	80.450	113.1574
91.199997	80.580	111.9819
92.500000	80.714	110.7794
93.800003	80.839	109.6741
95.000000	81.013	108.8134
96.199997	81.234	107.7307
97.500000	81.456	106.3515
98.800003	81.626	105.1216
100.000000	81.785	104.2378
101.500000	81.982	102.9153
103.000000	82.125	101.5088
104.400002	82.270	100.4256
106.000000	82.483	99.0532
107.500000	82.658	97.6102
109.000000	82.828	96.3097
110.599998	83.035	94.8611
112.000000	83.229	93.3240
113.800003	83.434	91.0921
115.000000	83.539	89.7198
117.199997	83.729	87.5974
118.000000	83.797	86.8353
120.599998	84.016	84.5784
122.000000	84.164	83.3505
124.099998	84.339	81.1690
125.000000	84.377	80.2821
126.500000	84.427	79.0216
128.000000	84.498	77.8110
131.500000	84.697	74.3487
132.000000	84.721	73.8137
134.000000	84.808	71.7358
136.000000	84.894	69.5957
138.000000	84.958	67.3833
140.000000	85.012	65.4511
143.000000	85.107	63.3309
145.000000	85.184	61.9940
147.500000	85.228	59.8211
150.000000	85.186	57.7224
152.500000	85.170	55.9241
155.000000	85.145	53.9710
157.500000	85.111	52.2043
160.000000	85.130	50.4674
162.500000	85.131	48.6284
165.000000	85.099	46.9582
167.500000	85.042	45.3945
170.000000	84.990	43.8438
172.500000	84.934	42.2200
175.000000	84.866	40.8514
177.500000	84.811	39.7356
180.000000	84.751	38.6829
182.500000	84.694	37.5750
185.000000	84.642	36.3219
187.500000	84.585	35.1454
190.000000	84.515	34.1456
192.500000	84.427	33.2978
195.000000	84.351	32.4827
197.500000	84.307	31.6163
200.000000	84.266	30.6942
203.000000	84.166	29.6939
206.000000	84.063	28.8720
209.000000	84.004	27.9490
212.000000	83.943	27.0681
214.000000	83.898	26.5731
218.000000	83.813	25.5887
220.000000	83.764	25.0848
224.000000	83.655	24.1576
227.000000	83.581	23.5308
230.000000	83.516	23.0846
