* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -10.2 dBFS, measurement signal peak level -27.4 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 11:07:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0808 ms (-28 mm, -1.09 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Kbear 스텔라 L -솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	49.616	-19.4343
20.600000	50.594	-47.9815
20.900000	52.193	-95.3454
21.200001	53.164	-130.9857
21.400000	53.347	-149.5344
21.799999	52.444	174.3416
22.000000	51.364	151.0049
22.400000	48.497	86.1248
22.700001	47.863	28.0147
23.000000	49.761	-22.5109
23.299999	51.596	-57.6403
23.600000	52.703	-79.6441
24.000000	52.987	-95.7587
24.299999	52.719	-102.0323
24.700001	52.422	-105.8877
25.000000	52.564	-109.2272
25.400000	53.014	-119.7560
25.799999	53.095	-140.3704
26.200001	52.492	-171.2729
26.500000	51.659	159.3730
26.900000	50.338	113.4892
27.200001	49.460	75.9329
27.600000	48.644	24.4640
28.000000	48.163	-26.3141
28.500000	47.885	-85.7251
29.000000	47.757	-134.0532
29.500000	47.505	-163.7454
30.000000	47.853	-174.1199
30.400000	49.215	-175.9225
30.700001	50.533	-178.5029
31.100000	51.997	172.9507
31.500000	52.815	158.7919
32.000000	52.832	135.6222
32.500000	51.841	107.4220
33.000000	50.206	73.5029
33.500000	48.736	34.9703
34.000000	48.417	-3.0024
34.500000	49.025	-35.2200
35.000000	49.708	-61.1288
35.500000	50.039	-83.8292
36.000000	50.002	-107.0267
36.500000	49.759	-133.4595
37.000000	49.601	-164.2826
37.500000	49.745	161.5149
38.200001	50.208	112.0713
38.700001	50.261	77.1523
39.500000	49.321	20.2821
40.000000	48.308	-15.5638
40.599998	47.611	-53.8630
41.200001	48.753	-81.7732
41.799999	51.116	-102.2930
42.500000	53.307	-126.2321
43.099998	53.836	-147.9147
43.700001	52.983	-163.2748
44.400002	51.128	-165.1256
45.000000	50.799	-161.4160
45.500000	51.281	-167.6682
46.200001	50.985	158.9429
46.799999	49.682	102.9928
47.500000	50.485	15.5780
48.200001	53.422	-62.3669
48.700001	54.694	-105.5410
49.400002	54.751	-165.3979
50.000000	53.969	127.7495
50.799999	55.207	21.4951
51.500000	57.447	-58.0308
52.200001	58.234	-114.8096
53.000000	56.936	-157.6431
53.799999	53.742	-175.4468
54.500000	50.761	-173.8198
55.200001	49.798	-164.8413
56.000000	51.693	-151.9844
57.000000	55.488	-143.6211
58.000000	58.518	-148.5229
59.000000	59.607	-162.4561
60.000000	58.534	-168.8718
60.799999	57.558	-164.2783
61.500000	57.344	-160.8896
62.200001	57.240	-160.1104
63.000000	57.130	-161.4951
64.000000	56.646	-164.9919
65.000000	56.544	-160.0366
66.000000	58.005	-159.1060
67.000000	58.507	-167.7476
68.000000	58.504	-169.4497
69.000000	59.087	-166.7205
70.000000	60.077	-163.2566
71.000000	61.140	-162.5127
72.000000	61.707	-164.4500
73.000000	62.001	-166.9858
74.000000	61.837	-169.9221
75.000000	61.441	-169.8904
76.199997	61.341	-170.5923
77.500000	60.933	-171.3574
78.800003	61.192	-170.9412
80.000000	61.571	-175.1863
81.199997	61.620	-179.2185
82.500000	61.865	-179.2681
83.800003	62.700	-178.9912
85.000000	63.080	179.1479
86.199997	63.085	179.9297
87.500000	63.263	-177.9001
88.500000	63.487	-177.0916
90.000000	63.997	-179.5112
91.199997	64.159	175.4482
92.500000	64.207	171.0596
93.800003	64.476	170.1157
95.000000	65.269	171.2720
96.199997	66.032	170.0708
97.500000	66.314	168.3804
98.800003	66.448	168.6667
100.000000	66.667	168.8706
101.500000	67.004	167.8384
103.000000	67.371	165.1296
104.400002	67.537	162.2673
106.000000	67.712	160.1841
107.500000	67.832	158.0537
109.000000	67.881	156.5676
110.599998	68.217	155.6951
112.000000	68.791	154.6326
113.800003	69.677	152.3264
115.000000	70.095	149.9253
117.199997	70.168	146.6880
118.000000	70.142	146.4600
120.599998	70.461	144.3044
122.000000	70.782	142.0762
124.099998	71.260	138.9121
125.000000	71.441	138.1108
126.500000	71.757	137.1931
128.000000	72.059	135.6665
131.500000	72.393	129.0205
132.000000	72.401	128.1543
134.000000	72.500	125.4077
136.000000	72.542	122.4810
138.000000	72.496	120.4180
140.000000	72.729	118.3755
143.000000	73.312	113.9224
145.000000	73.604	111.2722
147.500000	73.745	108.3782
150.000000	73.731	105.7961
152.500000	73.816	103.0818
155.000000	73.986	99.9854
157.500000	74.035	96.3486
160.000000	73.861	93.5820
162.500000	73.763	91.4038
165.000000	73.755	88.7378
167.500000	73.753	85.6108
170.000000	73.642	82.2678
172.500000	73.453	79.3552
175.000000	73.387	77.3687
177.500000	73.432	76.0161
180.000000	73.365	75.1001
182.500000	73.211	74.1899
185.000000	73.116	72.8132
187.500000	73.091	71.4858
190.000000	73.030	70.4832
192.500000	72.874	69.0911
195.000000	72.653	67.1853
197.500000	72.460	65.6042
200.000000	72.300	64.7695
203.000000	72.136	64.2400
206.000000	72.095	63.5596
209.000000	72.164	62.7502
212.000000	72.174	61.7239
214.000000	72.124	60.9329
218.000000	71.990	59.6870
220.000000	71.928	59.3948
224.000000	71.731	58.5710
227.000000	71.586	57.9805
230.000000	71.559	57.5881
233.000000	71.555	57.2349
236.000000	71.516	57.0703
240.000000	71.470	57.0439
243.000000	71.352	56.7847
247.000000	71.180	55.9268
250.000000	71.162	55.3191
254.000000	71.172	55.1653
258.000000	71.052	55.1079
262.000000	70.996	54.5994
265.000000	70.929	54.4629
269.000000	70.771	54.2202
272.000000	70.697	53.4995
276.000000	70.716	52.3518
280.000000	70.790	51.6948
285.000000	70.771	51.7803
290.000000	70.637	52.0947
295.000000	70.635	52.5259
300.000000	70.572	53.0603
304.000000	70.439	53.1379
307.000000	70.341	52.8274
311.000000	70.230	51.9497
315.000000	70.207	51.6191
320.000000	70.334	52.7751
325.000000	70.377	53.3604
330.000000	70.209	52.3081
335.000000	70.047	51.1692
340.000000	70.055	50.5979
345.000000	70.154	50.6292
350.000000	70.149	50.6194
355.000000	70.044	50.9436
360.000000	70.003	51.7136
365.000000	69.948	52.1045
370.000000	69.849	52.3137
375.000000	69.783	52.7122
382.000000	69.774	53.0227
387.000000	69.747	52.8059
395.000000	69.604	52.7402
400.000000	69.570	53.1062
406.000000	69.566	53.8059
412.000000	69.640	53.9600
418.000000	69.655	53.8889
425.000000	69.544	54.6592
431.000000	69.385	55.4883
437.000000	69.328	55.5132
444.000000	69.384	54.9900
450.000000	69.364	54.8958
455.000000	69.310	55.2705
462.000000	69.230	55.8086
468.000000	69.103	56.2388
475.000000	68.926	57.3799
482.000000	68.724	58.2703
487.000000	68.565	58.7812
494.000000	68.384	60.0645
500.000000	68.249	62.0137
508.000000	68.173	64.9131
515.000000	68.205	67.3347
522.000000	68.166	69.3623
530.000000	68.154	71.2039
538.000000	68.227	73.1326
545.000000	68.266	75.2268
552.000000	68.297	77.6501
560.000000	68.432	80.6130
570.000000	68.604	85.1909
580.000000	68.989	91.0354
590.000000	69.794	96.0474
600.000000	70.950	99.3174
608.000000	72.012	100.1904
615.000000	72.890	99.4243
622.000000	73.628	97.0884
630.000000	74.254	92.9517
640.000000	74.682	86.9607
650.000000	74.797	81.5315
660.000000	74.708	77.3979
670.000000	74.532	74.5298
680.000000	74.288	72.7251
690.000000	74.066	71.4761
700.000000	73.925	70.5396
710.000000	73.785	70.2268
720.000000	73.665	70.3457
730.000000	73.575	70.4355
740.000000	73.484	70.3525
750.000000	73.398	70.4277
762.000000	73.321	70.5945
775.000000	73.267	71.1460
788.000000	73.202	71.7549
800.000000	73.152	72.0405
812.000000	73.145	72.6094
825.000000	73.141	73.0779
838.000000	73.159	73.2922
850.000000	73.156	73.8760
862.000000	73.153	74.6096
875.000000	73.183	75.3735
885.000000	73.194	75.8547
900.000000	73.179	76.4595
912.000000	73.158	77.1992
925.000000	73.166	77.8540
938.000000	73.184	78.2849
950.000000	73.201	78.8979
962.000000	73.220	79.4692
975.000000	73.221	80.0054
988.000000	73.210	80.7324
1000.000000	73.217	81.5112
1015.000000	73.244	82.2983
1030.000000	73.280	83.1392
1044.000000	73.310	84.0596
1060.000000	73.356	85.2998
1075.000000	73.390	86.3936
1090.000000	73.410	87.3364
1106.000000	73.431	88.2734
1120.000000	73.482	89.1294
1138.000000	73.582	90.2971
1150.000000	73.633	91.0515
1172.000000	73.700	92.3906
1180.000000	73.727	92.9443
1206.000000	73.843	94.6821
1220.000000	73.923	95.4941
1241.000000	74.028	96.6074
1250.000000	74.065	97.1108
1265.000000	74.127	97.9773
1280.000000	74.190	98.8484
1315.000000	74.299	101.1296
1320.000000	74.318	101.4321
1340.000000	74.398	102.6345
1360.000000	74.459	104.0181
1380.000000	74.523	105.5454
1400.000000	74.619	107.1792
1430.000000	74.813	109.8105
1450.000000	74.968	111.4487
1475.000000	75.182	113.3306
1500.000000	75.397	115.1428
1525.000000	75.652	116.8872
1550.000000	75.925	118.4575
1575.000000	76.179	119.8428
1600.000000	76.421	121.1865
1625.000000	76.691	122.5457
1650.000000	76.975	123.6355
1675.000000	77.229	124.5637
1700.000000	77.490	125.5874
1725.000000	77.773	126.6438
1750.000000	78.059	127.4814
1775.000000	78.320	128.1653
1800.000000	78.574	128.7588
1825.000000	78.850	129.2451
1850.000000	79.113	129.5903
1875.000000	79.350	129.7664
1900.000000	79.565	129.8245
1925.000000	79.754	129.8262
1950.000000	79.917	129.8218
1975.000000	80.064	129.8162
2000.000000	80.187	129.8125
2030.000000	80.290	129.8884
2060.000000	80.366	130.0896
2090.000000	80.428	130.4766
2120.000000	80.476	131.0098
2140.000000	80.491	131.4893
2180.000000	80.510	132.9329
2200.000000	80.532	133.8127
2240.000000	80.581	135.7847
2270.000000	80.641	137.5984
2300.000000	80.746	139.5156
2330.000000	80.865	141.4897
2360.000000	81.004	143.7170
2400.000000	81.279	146.8606
2430.000000	81.533	149.0664
2470.000000	81.908	152.0557
2500.000000	82.258	154.2471
2540.000000	82.756	156.7051
2580.000000	83.275	159.0396
2620.000000	83.848	161.1350
2650.000000	84.296	162.5425
2690.000000	84.935	164.3013
2720.000000	85.447	165.4287
2760.000000	86.159	166.6401
2800.000000	86.925	167.4785
2850.000000	87.951	167.7000
2900.000000	89.011	166.9448
2950.000000	90.110	165.0674
3000.000000	91.192	161.6738
3040.000000	92.000	157.6855
3070.000000	92.525	153.8955
3110.000000	93.075	148.0095
3150.000000	93.428	141.4304
3200.000000	93.526	132.6851
3250.000000	93.193	124.6267
3300.000000	92.488	118.7937
3350.000000	91.644	116.8169
3400.000000	91.192	117.2168
3450.000000	91.087	116.2981
3500.000000	90.900	114.0476
3550.000000	90.546	112.0161
3600.000000	90.116	110.7561
3650.000000	89.673	110.2305
3700.000000	89.253	110.2859
3750.000000	88.867	110.7690
3820.000000	88.392	111.9636
3870.000000	88.095	113.0491
3950.000000	87.666	115.1294
4000.000000	87.429	116.7461
4060.000000	87.211	118.8921
4120.000000	87.056	120.9480
4180.000000	86.908	122.8657
4250.000000	86.734	125.3799
4310.000000	86.635	127.7668
4370.000000	86.590	130.1438
4440.000000	86.562	132.7158
4500.000000	86.522	134.9797
4550.000000	86.503	137.1372
4620.000000	86.562	140.4355
4680.000000	86.702	143.0981
4750.000000	86.906	145.8250
4820.000000	87.131	148.3782
4870.000000	87.323	150.0981
4940.000000	87.610	152.2195
5000.000000	87.872	153.9084
5080.000000	88.275	155.8892
5150.000000	88.646	157.1252
5220.000000	89.013	158.1001
5300.000000	89.467	158.8701
5380.000000	89.910	158.8777
5450.000000	90.252	158.5242
5520.000000	90.581	157.9668
5600.000000	90.936	156.8215
5700.000000	91.274	154.7266
5800.000000	91.501	152.2710
5900.000000	91.591	149.4233
6000.000000	91.527	146.5913
6080.000000	91.373	144.5190
6150.000000	91.169	142.9790
6220.000000	90.911	141.7991
6300.000000	90.568	141.0154
6400.000000	90.127	140.9380
6500.000000	89.743	141.6172
6600.000000	89.428	142.5320
6700.000000	89.138	143.5850
6800.000000	88.881	144.9412
6900.000000	88.692	146.4978
7000.000000	88.594	147.8655
7100.000000	88.553	148.6833
7200.000000	88.517	148.7234
7300.000000	88.411	147.9133
7400.000000	88.150	146.5061
7500.000000	87.646	145.3704
7620.000000	86.859	146.1433
7750.000000	86.148	148.2925
7880.000000	85.448	150.2686
8000.000000	84.652	152.8062
8120.000000	83.734	157.2041
