* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -7.4 dBFS, measurement signal peak level -26.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 24 오후 11:11:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0793 ms (-27 mm, -1.07 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Kbear 스텔라 R -솜
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	52.231	-119.6573
20.600000	51.996	-124.2728
20.900000	51.307	-131.9579
21.200001	50.095	-136.6660
21.400000	48.889	-135.1844
21.799999	46.456	-119.5489
22.000000	46.031	-107.3179
22.400000	48.413	-85.0192
22.700001	50.834	-79.4888
23.000000	52.550	-84.7238
23.299999	53.596	-95.8199
23.600000	54.025	-109.6627
24.000000	53.724	-129.4984
24.299999	52.876	-143.8568
24.700001	50.930	-158.6029
25.000000	49.028	-162.8920
25.400000	47.011	-158.5142
25.799999	47.575	-150.9864
26.200001	49.736	-151.4434
26.500000	51.043	-158.2427
26.900000	51.908	-171.4214
27.200001	51.911	179.8267
27.600000	51.191	174.0927
28.000000	50.143	177.6507
28.500000	49.775	-169.0441
29.000000	50.560	-156.6360
29.500000	51.164	-146.8008
30.000000	51.814	-133.4423
30.400000	53.082	-120.8460
30.700001	54.373	-112.8730
31.100000	56.040	-106.2991
31.500000	57.385	-103.7941
32.000000	58.560	-103.8149
32.500000	59.209	-105.8089
33.000000	59.221	-109.2708
33.500000	58.383	-111.7042
34.000000	56.654	-106.5846
34.500000	55.044	-90.7455
35.000000	55.359	-73.3406
35.500000	56.594	-67.2375
36.000000	56.903	-72.2241
36.500000	55.879	-77.6855
37.000000	54.007	-74.3684
37.500000	53.102	-66.1576
38.200001	54.618	-72.8422
38.700001	55.437	-97.4994
39.500000	54.668	-151.5322
40.000000	52.881	-174.8541
40.599998	51.220	-168.7612
41.200001	53.764	-142.9675
41.799999	56.667	-140.2294
42.500000	57.843	-163.1777
43.099998	57.141	179.8849
43.700001	55.288	175.2310
44.400002	52.901	-174.3035
45.000000	52.426	-158.7452
45.500000	53.469	-146.9991
46.200001	55.884	-137.2420
46.799999	57.877	-136.6657
47.500000	59.478	-143.9933
48.200001	59.976	-156.1266
48.700001	59.559	-164.1325
49.400002	57.937	-167.4701
50.000000	56.212	-159.0287
50.799999	56.047	-140.5426
51.500000	57.598	-132.9360
52.200001	58.709	-135.5789
53.000000	59.081	-141.6517
53.799999	59.349	-144.3247
54.500000	60.122	-146.0196
55.200001	60.975	-150.7087
56.000000	61.363	-157.5777
57.000000	61.476	-159.7583
58.000000	62.350	-159.9740
59.000000	62.505	-165.8598
60.000000	61.391	-164.7991
60.799999	61.111	-158.6012
61.500000	61.520	-156.5892
62.200001	61.804	-158.7346
63.000000	61.768	-162.2326
64.000000	61.783	-163.9330
65.000000	62.541	-165.0716
66.000000	63.262	-169.4591
67.000000	63.544	-172.2365
68.000000	63.897	-172.7662
69.000000	64.023	-173.1559
70.000000	64.005	-171.7565
71.000000	64.116	-170.0076
72.000000	64.401	-169.2236
73.000000	64.700	-171.1935
74.000000	64.676	-174.5953
75.000000	64.477	-176.7661
76.199997	64.485	-176.8513
77.500000	65.142	-178.3392
78.800003	65.531	175.9347
80.000000	65.437	171.3907
81.199997	65.251	171.2942
82.500000	65.799	174.2984
83.800003	66.805	175.3698
85.000000	67.698	173.6637
86.199997	67.952	169.9929
87.500000	67.733	169.3952
88.500000	67.773	170.5167
90.000000	68.122	170.3844
91.199997	68.334	168.7833
92.500000	68.508	167.4673
93.800003	68.795	166.7953
95.000000	69.163	166.2861
96.199997	69.602	165.4210
97.500000	70.042	163.6819
98.800003	70.417	161.7254
100.000000	70.764	160.0459
101.500000	71.274	158.2437
103.000000	71.729	156.1758
104.400002	72.017	155.2734
106.000000	72.380	155.0339
107.500000	72.680	154.3493
109.000000	72.900	152.9867
110.599998	73.104	151.3609
112.000000	73.391	149.8444
113.800003	73.842	146.9413
115.000000	74.030	144.7298
117.199997	74.181	142.5906
118.000000	74.250	142.4970
120.599998	74.815	142.3164
122.000000	75.160	140.4965
124.099998	75.452	136.7357
125.000000	75.548	135.3009
126.500000	75.764	133.2166
128.000000	76.053	131.1953
131.500000	76.546	126.4637
132.000000	76.580	125.9681
134.000000	76.740	123.9680
136.000000	76.904	121.2961
138.000000	77.094	118.2855
140.000000	77.286	115.4250
143.000000	77.536	111.6204
145.000000	77.685	108.9113
147.500000	77.873	105.6784
150.000000	78.030	102.8187
152.500000	78.075	100.2817
155.000000	78.060	97.3788
157.500000	78.048	93.8944
160.000000	78.048	90.7906
162.500000	78.102	88.4097
165.000000	78.142	86.1253
167.500000	78.099	83.9143
170.000000	78.017	81.8829
172.500000	77.937	79.7063
175.000000	77.862	77.4359
177.500000	77.806	75.2994
180.000000	77.738	73.5871
182.500000	77.655	72.2245
185.000000	77.541	70.9165
187.500000	77.459	69.6746
190.000000	77.406	68.2970
192.500000	77.331	67.0828
195.000000	77.260	66.0108
197.500000	77.196	64.8769
200.000000	77.099	63.6103
203.000000	76.948	62.0616
206.000000	76.886	60.5102
209.000000	76.861	59.2565
212.000000	76.789	58.5245
214.000000	76.724	57.9767
218.000000	76.607	56.7711
220.000000	76.544	56.2058
224.000000	76.364	54.9509
227.000000	76.202	53.9077
230.000000	76.047	53.2877
233.000000	75.946	52.9257
236.000000	75.881	52.6173
240.000000	75.794	52.1630
243.000000	75.726	51.5343
247.000000	75.701	50.6400
250.000000	75.684	50.2828
254.000000	75.578	50.2150
258.000000	75.422	49.9088
262.000000	75.334	49.2688
265.000000	75.307	48.8607
269.000000	75.230	48.4203
272.000000	75.161	48.1099
276.000000	75.078	47.7164
280.000000	74.991	47.8144
285.000000	74.927	48.3672
290.000000	74.893	48.7190
295.000000	74.843	48.5359
300.000000	74.734	47.8649
304.000000	74.683	47.6220
307.000000	74.655	47.5787
311.000000	74.604	47.5675
315.000000	74.587	47.6318
320.000000	74.643	47.8348
325.000000	74.646	47.8563
330.000000	74.528	47.7662
335.000000	74.451	47.8663
340.000000	74.462	48.2990
345.000000	74.469	48.5429
350.000000	74.462	48.3332
355.000000	74.475	48.3908
360.000000	74.457	48.7986
365.000000	74.411	49.0224
370.000000	74.404	48.8313
375.000000	74.405	48.8013
382.000000	74.453	49.4189
387.000000	74.482	49.7480
395.000000	74.443	49.8784
400.000000	74.387	50.0792
406.000000	74.412	50.1335
412.000000	74.456	50.0703
418.000000	74.464	50.0328
425.000000	74.511	50.0812
431.000000	74.540	50.0850
437.000000	74.581	50.1465
444.000000	74.635	50.3304
450.000000	74.653	50.5395
455.000000	74.689	50.6656
462.000000	74.789	50.5344
468.000000	74.855	50.1754
475.000000	74.894	49.4368
482.000000	74.879	48.3266
487.000000	74.823	47.3535
494.000000	74.668	45.8570
500.000000	74.408	44.8398
508.000000	73.922	44.7908
515.000000	73.547	46.4595
522.000000	73.326	49.1916
530.000000	73.271	52.1893
538.000000	73.341	54.0794
545.000000	73.452	55.3878
552.000000	73.610	56.6095
560.000000	73.776	57.7273
570.000000	73.903	58.7422
580.000000	74.007	59.4557
590.000000	74.109	59.9766
600.000000	74.233	60.4564
608.000000	74.330	60.7171
615.000000	74.397	60.8969
622.000000	74.445	61.2318
630.000000	74.504	61.6262
640.000000	74.582	61.9939
650.000000	74.622	62.3569
660.000000	74.650	62.8891
670.000000	74.669	63.3226
680.000000	74.690	63.8990
690.000000	74.727	64.4416
700.000000	74.785	64.9307
710.000000	74.859	65.6031
720.000000	74.939	66.3183
730.000000	75.025	66.8650
740.000000	75.109	67.2194
750.000000	75.193	67.5910
762.000000	75.268	68.1239
775.000000	75.328	68.6993
788.000000	75.376	69.3318
800.000000	75.425	69.8531
812.000000	75.489	70.4324
825.000000	75.549	71.1011
838.000000	75.606	71.7567
850.000000	75.657	72.3440
862.000000	75.709	72.8989
875.000000	75.769	73.4834
885.000000	75.818	73.9543
900.000000	75.914	74.7025
912.000000	76.004	75.2101
925.000000	76.074	75.7758
938.000000	76.126	76.3415
950.000000	76.183	76.8417
962.000000	76.243	77.3180
975.000000	76.304	77.8059
988.000000	76.364	78.3151
1000.000000	76.420	78.8251
1015.000000	76.478	79.5487
1030.000000	76.537	80.2871
1044.000000	76.587	81.0106
1060.000000	76.631	81.9750
1075.000000	76.671	82.8129
1090.000000	76.734	83.7527
1106.000000	76.828	84.8007
1120.000000	76.915	85.6262
1138.000000	77.040	86.6685
1150.000000	77.128	87.3690
1172.000000	77.302	88.4905
1180.000000	77.363	88.8778
1206.000000	77.539	90.1332
1220.000000	77.641	90.7506
1241.000000	77.784	91.5256
1250.000000	77.834	91.8340
1265.000000	77.913	92.3566
1280.000000	77.998	92.9087
1315.000000	78.173	94.2834
1320.000000	78.192	94.5131
1340.000000	78.273	95.5656
1360.000000	78.366	96.7337
1380.000000	78.481	98.0070
1400.000000	78.623	99.3571
1430.000000	78.862	101.2825
1450.000000	79.045	102.4611
1475.000000	79.318	103.7739
1500.000000	79.618	104.8416
1525.000000	79.921	105.6926
1550.000000	80.217	106.3147
1575.000000	80.500	106.7410
1600.000000	80.765	106.9801
1625.000000	81.010	106.9894
1650.000000	81.230	106.8635
1675.000000	81.431	106.7301
1700.000000	81.631	106.5672
1725.000000	81.822	106.3333
1750.000000	81.992	105.9835
1775.000000	82.131	105.5040
1800.000000	82.246	104.9243
1825.000000	82.343	104.2396
1850.000000	82.389	103.4703
1875.000000	82.377	102.7747
1900.000000	82.330	102.2638
1925.000000	82.252	101.9155
1950.000000	82.142	101.7689
1975.000000	82.013	101.8497
2000.000000	81.872	102.1948
2030.000000	81.680	102.9351
2060.000000	81.464	104.0747
2090.000000	81.250	105.7000
2120.000000	81.075	107.7413
2140.000000	80.983	109.2858
2180.000000	80.850	112.7990
2200.000000	80.817	114.7520
2240.000000	80.847	118.8689
2270.000000	80.932	121.9547
2300.000000	81.075	125.0215
2330.000000	81.277	127.9601
2360.000000	81.503	130.6964
2400.000000	81.819	134.2329
2430.000000	82.095	136.9066
2470.000000	82.519	140.3500
2500.000000	82.871	142.7728
2540.000000	83.374	145.7620
2580.000000	83.913	148.5371
2620.000000	84.491	151.1563
2650.000000	84.965	153.0446
2690.000000	85.653	155.2321
2720.000000	86.198	156.5985
2760.000000	86.976	158.0590
2800.000000	87.789	158.9117
2850.000000	88.826	159.2285
2900.000000	89.909	158.6870
2950.000000	91.035	156.9769
3000.000000	92.144	153.6216
3040.000000	92.936	149.6025
3070.000000	93.437	145.9526
3110.000000	93.972	140.5061
3150.000000	94.349	134.5589
3200.000000	94.562	126.6682
3250.000000	94.458	118.9250
3300.000000	94.060	112.0915
3350.000000	93.415	106.8569
3400.000000	92.643	103.9493
3450.000000	91.972	102.9114
3500.000000	91.460	102.4506
3550.000000	91.015	102.1326
3600.000000	90.585	102.0547
3650.000000	90.170	102.3317
3700.000000	89.783	102.9400
3750.000000	89.430	103.8383
3820.000000	88.990	105.3996
3870.000000	88.701	106.7378
3950.000000	88.300	109.2538
4000.000000	88.092	111.0273
4060.000000	87.888	113.2804
4120.000000	87.725	115.4912
4180.000000	87.578	117.6378
4250.000000	87.414	120.3753
4310.000000	87.313	122.9742
4370.000000	87.261	125.6102
4440.000000	87.240	128.5921
4500.000000	87.241	131.1139
4550.000000	87.254	133.2560
4620.000000	87.304	136.3901
4680.000000	87.390	139.1631
4750.000000	87.552	142.3963
4820.000000	87.776	145.4979
4870.000000	87.972	147.6006
4940.000000	88.288	150.3323
5000.000000	88.596	152.4451
5080.000000	89.059	154.8749
5150.000000	89.488	156.4880
5220.000000	89.916	157.7091
5300.000000	90.408	158.7555
5380.000000	90.906	159.3440
5450.000000	91.335	159.4857
5520.000000	91.762	159.3273
5600.000000	92.253	158.6412
5700.000000	92.815	156.8516
5800.000000	93.281	154.1235
5900.000000	93.580	150.5104
6000.000000	93.660	146.7385
6080.000000	93.614	143.9931
6150.000000	93.509	141.7582
6220.000000	93.343	139.7521
6300.000000	93.091	137.9073
6400.000000	92.740	136.2981
6500.000000	92.393	135.1931
6600.000000	92.051	134.3530
6700.000000	91.701	133.6805
6800.000000	91.333	133.1917
6900.000000	90.955	132.8499
7000.000000	90.562	132.5621
7100.000000	90.125	132.3607
7200.000000	89.631	132.4769
7300.000000	89.106	132.9659
7400.000000	88.555	133.7819
7500.000000	87.953	135.1271
7620.000000	87.216	137.9691
7750.000000	86.566	142.1171
7880.000000	86.083	146.3659
8000.000000	85.708	150.1668
8120.000000	85.363	153.8138
8250.000000	84.962	157.8786
8380.000000	84.566	162.6438
8500.000000	84.260	167.9131
8620.000000	84.155	174.1715
8750.000000	84.436	-179.5178
8850.000000	84.808	-176.3446
9000.000000	85.203	-174.2244
9120.000000	85.291	-173.0199
9250.000000	85.308	-171.1510
9380.000000	85.367	-169.0371
9500.000000	85.450	-167.5070
