* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 4:52:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Supreme 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.196	-146.7560
20.600000	77.195	-146.8843
20.900000	77.195	-147.1426
21.200001	77.196	-147.4738
21.400000	77.194	-147.7469
21.799999	77.179	-148.3981
22.000000	77.162	-148.7489
22.400000	77.110	-149.4100
22.700001	77.068	-149.8126
23.000000	77.035	-150.1254
23.299999	77.024	-150.4013
23.600000	77.035	-150.7100
24.000000	77.078	-151.2683
24.299999	77.116	-151.8173
24.700001	77.156	-152.6517
25.000000	77.173	-153.2605
25.400000	77.185	-153.9436
25.799999	77.202	-154.4529
26.200001	77.234	-154.8589
26.500000	77.262	-155.1483
26.900000	77.296	-155.5336
27.200001	77.313	-155.7969
27.600000	77.326	-156.0629
28.000000	77.338	-156.2148
28.500000	77.365	-156.3338
29.000000	77.398	-156.5280
29.500000	77.418	-156.8353
30.000000	77.418	-157.1658
30.400000	77.410	-157.4041
30.700001	77.406	-157.5801
31.100000	77.401	-157.8491
31.500000	77.394	-158.1743
32.000000	77.375	-158.6208
32.500000	77.350	-159.0316
33.000000	77.335	-159.3878
33.500000	77.335	-159.7528
34.000000	77.344	-160.1730
34.500000	77.350	-160.5991
35.000000	77.351	-160.9418
35.500000	77.360	-161.1702
36.000000	77.384	-161.3495
36.500000	77.419	-161.5633
37.000000	77.448	-161.8285
37.500000	77.466	-162.0869
38.200001	77.482	-162.3505
38.700001	77.498	-162.5195
39.500000	77.520	-162.9504
40.000000	77.516	-163.2865
40.599998	77.495	-163.6239
41.200001	77.479	-163.8645
41.799999	77.479	-164.1264
42.500000	77.481	-164.5493
43.099998	77.468	-164.9201
43.700001	77.451	-165.1868
44.400002	77.443	-165.3566
45.000000	77.455	-165.4692
45.500000	77.474	-165.6193
46.200001	77.493	-165.9413
46.799999	77.488	-166.2174
47.500000	77.474	-166.4016
48.200001	77.472	-166.5151
48.700001	77.476	-166.6264
49.400002	77.477	-166.7930
50.000000	77.482	-166.8980
50.799999	77.508	-167.0915
51.500000	77.534	-167.3871
52.200001	77.551	-167.7175
53.000000	77.567	-168.0882
53.799999	77.576	-168.4534
54.500000	77.579	-168.7098
55.200001	77.588	-168.9403
56.000000	77.595	-169.2583
57.000000	77.586	-169.6259
58.000000	77.576	-169.9492
59.000000	77.555	-170.2605
60.000000	77.544	-170.4527
60.799999	77.551	-170.6745
61.500000	77.550	-170.9216
62.200001	77.544	-171.1340
63.000000	77.541	-171.3365
64.000000	77.541	-171.5689
65.000000	77.547	-171.8154
66.000000	77.540	-172.0760
67.000000	77.533	-172.1857
68.000000	77.548	-172.3554
69.000000	77.545	-172.6117
70.000000	77.539	-172.7193
71.000000	77.551	-172.8468
72.000000	77.562	-173.0202
73.000000	77.574	-173.2309
74.000000	77.572	-173.4639
75.000000	77.568	-173.5681
76.199997	77.579	-173.7361
77.500000	77.571	-173.9229
78.800003	77.571	-174.0753
80.000000	77.557	-174.2459
81.199997	77.548	-174.3695
82.500000	77.533	-174.5864
83.800003	77.515	-174.7731
85.000000	77.503	-174.9977
86.199997	77.494	-175.2474
87.500000	77.488	-175.5719
88.500000	77.481	-175.8007
90.000000	77.487	-176.1015
91.199997	77.492	-176.3413
92.500000	77.497	-176.5098
93.800003	77.503	-176.6407
95.000000	77.503	-176.7509
96.199997	77.499	-176.8567
97.500000	77.491	-176.9922
98.800003	77.482	-177.1518
100.000000	77.475	-177.3179
101.500000	77.470	-177.5067
103.000000	77.470	-177.6816
104.400002	77.466	-177.8513
106.000000	77.457	-178.0326
107.500000	77.449	-178.2224
109.000000	77.441	-178.4331
110.599998	77.437	-178.6398
112.000000	77.434	-178.7966
113.800003	77.430	-178.9564
115.000000	77.425	-179.0688
117.199997	77.413	-179.2901
118.000000	77.410	-179.3851
120.599998	77.404	-179.7069
122.000000	77.400	-179.8601
124.099998	77.390	179.9660
125.000000	77.385	179.8891
126.500000	77.375	179.7491
128.000000	77.367	179.6082
131.500000	77.358	179.2691
132.000000	77.356	179.2300
134.000000	77.349	179.0762
136.000000	77.337	178.9041
138.000000	77.322	178.7362
140.000000	77.315	178.5524
143.000000	77.301	178.2711
145.000000	77.291	178.1332
147.500000	77.278	177.9376
150.000000	77.264	177.7021
152.500000	77.248	177.5197
155.000000	77.237	177.4079
157.500000	77.224	177.2370
160.000000	77.203	176.9929
162.500000	77.182	176.7944
165.000000	77.164	176.6506
167.500000	77.148	176.4960
170.000000	77.140	176.3285
172.500000	77.136	176.2034
175.000000	77.123	176.1061
177.500000	77.102	175.9321
180.000000	77.091	175.6746
182.500000	77.094	175.4499
185.000000	77.092	175.3348
187.500000	77.070	175.2650
190.000000	77.039	175.1765
192.500000	77.014	175.0438
195.000000	76.994	174.8898
197.500000	76.977	174.7270
200.000000	76.961	174.5609
203.000000	76.945	174.4027
206.000000	76.926	174.2775
209.000000	76.902	174.1541
212.000000	76.877	174.0111
214.000000	76.861	173.9210
218.000000	76.829	173.7325
220.000000	76.811	173.6410
224.000000	76.776	173.4812
227.000000	76.751	173.3679
230.000000	76.725	173.2396
233.000000	76.699	173.1078
236.000000	76.673	172.9944
240.000000	76.638	172.8436
243.000000	76.613	172.7340
247.000000	76.582	172.5814
250.000000	76.558	172.4732
254.000000	76.526	172.3459
258.000000	76.495	172.2465
262.000000	76.466	172.1445
265.000000	76.444	172.0401
269.000000	76.409	171.8813
272.000000	76.381	171.7725
276.000000	76.341	171.6518
280.000000	76.302	171.5574
285.000000	76.257	171.4508
290.000000	76.214	171.3181
295.000000	76.174	171.1934
300.000000	76.144	171.0669
304.000000	76.120	170.9909
307.000000	76.099	170.9868
311.000000	76.064	171.0204
315.000000	76.017	171.0024
320.000000	75.962	170.8889
325.000000	75.926	170.8169
330.000000	75.877	170.7795
335.000000	75.827	170.7142
340.000000	75.788	170.6907
345.000000	75.741	170.6770
350.000000	75.686	170.6786
355.000000	75.637	170.6896
360.000000	75.595	170.6730
365.000000	75.551	170.6729
370.000000	75.504	170.7609
375.000000	75.458	170.8443
382.000000	75.404	170.8791
387.000000	75.370	170.9701
395.000000	75.320	171.2538
400.000000	75.299	171.3502
406.000000	75.278	171.3594
412.000000	75.244	171.3245
418.000000	75.200	171.2414
425.000000	75.152	171.1354
431.000000	75.105	171.0689
437.000000	75.055	171.0224
444.000000	74.988	171.0225
450.000000	74.929	171.0107
455.000000	74.880	171.0200
462.000000	74.811	171.0637
468.000000	74.751	171.1088
475.000000	74.683	171.2033
482.000000	74.617	171.3255
487.000000	74.570	171.4159
494.000000	74.505	171.5446
500.000000	74.447	171.6749
508.000000	74.369	171.8843
515.000000	74.304	172.0802
522.000000	74.239	172.2779
530.000000	74.162	172.5053
538.000000	74.086	172.7396
545.000000	74.020	172.9890
552.000000	73.954	173.2673
560.000000	73.876	173.5833
570.000000	73.776	174.0082
580.000000	73.679	174.5031
590.000000	73.582	175.0303
600.000000	73.487	175.5847
608.000000	73.413	176.0473
615.000000	73.350	176.4811
622.000000	73.291	176.9384
630.000000	73.226	177.4931
640.000000	73.149	178.2168
650.000000	73.076	178.9570
660.000000	73.011	179.7314
670.000000	72.953	-179.4527
680.000000	72.904	-178.6130
690.000000	72.863	-177.7481
700.000000	72.830	-176.8730
710.000000	72.804	-176.0208
720.000000	72.784	-175.1642
730.000000	72.770	-174.2991
740.000000	72.762	-173.4509
750.000000	72.765	-172.6278
762.000000	72.781	-171.6953
775.000000	72.800	-170.7367
788.000000	72.823	-169.8316
800.000000	72.845	-169.0237
812.000000	72.871	-168.2300
825.000000	72.903	-167.4106
838.000000	72.940	-166.6113
850.000000	72.971	-165.8979
862.000000	73.001	-165.2067
875.000000	73.034	-164.4907
885.000000	73.061	-163.9637
900.000000	73.103	-163.1847
912.000000	73.138	-162.5913
925.000000	73.178	-161.9623
938.000000	73.219	-161.3329
950.000000	73.257	-160.7701
962.000000	73.297	-160.2169
975.000000	73.340	-159.6205
988.000000	73.384	-159.0532
1000.000000	73.423	-158.5569
1015.000000	73.474	-157.9676
