* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 4:53:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Supreme 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.662	-146.5546
20.600000	77.656	-146.6916
20.900000	77.643	-146.9484
21.200001	77.629	-147.2288
21.400000	77.620	-147.4358
21.799999	77.600	-147.9091
22.000000	77.589	-148.1752
22.400000	77.565	-148.7493
22.700001	77.548	-149.2052
23.000000	77.534	-149.6792
23.299999	77.526	-150.1737
23.600000	77.524	-150.6903
24.000000	77.529	-151.4079
24.299999	77.537	-151.9504
24.700001	77.551	-152.6424
25.000000	77.564	-153.1097
25.400000	77.588	-153.6423
25.799999	77.624	-154.0841
26.200001	77.674	-154.4822
26.500000	77.716	-154.7821
26.900000	77.767	-155.1991
27.200001	77.797	-155.5127
27.600000	77.823	-155.8956
28.000000	77.835	-156.1970
28.500000	77.843	-156.4503
29.000000	77.851	-156.6367
29.500000	77.857	-156.8401
30.000000	77.856	-157.0860
30.400000	77.849	-157.2969
30.700001	77.842	-157.4577
31.100000	77.832	-157.6845
31.500000	77.825	-157.9415
32.000000	77.815	-158.3146
32.500000	77.804	-158.7190
33.000000	77.796	-159.1174
33.500000	77.798	-159.5081
34.000000	77.812	-159.9130
34.500000	77.829	-160.3293
35.000000	77.846	-160.7205
35.500000	77.865	-161.0571
36.000000	77.887	-161.3525
36.500000	77.911	-161.6367
37.000000	77.929	-161.9116
37.500000	77.939	-162.1486
38.200001	77.946	-162.3925
38.700001	77.951	-162.5426
39.500000	77.958	-162.8401
40.000000	77.956	-163.0616
40.599998	77.950	-163.3367
41.200001	77.943	-163.6162
41.799999	77.939	-163.9089
42.500000	77.936	-164.2620
43.099998	77.936	-164.5573
43.700001	77.939	-164.8351
44.400002	77.948	-165.1427
45.000000	77.958	-165.4056
45.500000	77.965	-165.6243
46.200001	77.968	-165.9041
46.799999	77.969	-166.1002
47.500000	77.973	-166.3054
48.200001	77.978	-166.5340
48.700001	77.980	-166.7132
49.400002	77.978	-166.9600
50.000000	77.976	-167.1611
50.799999	77.977	-167.4328
51.500000	77.979	-167.6779
52.200001	77.982	-167.9171
53.000000	77.988	-168.1746
