* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:31:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.236	-133.7635
20.600000	78.283	-134.1549
20.900000	78.371	-134.8785
21.200001	78.435	-135.6255
21.400000	78.464	-136.1171
21.799999	78.495	-137.0597
22.000000	78.503	-137.4923
22.400000	78.513	-138.2386
22.700001	78.526	-138.7024
23.000000	78.552	-139.1271
23.299999	78.592	-139.5709
23.600000	78.643	-140.0801
24.000000	78.714	-140.8989
24.299999	78.759	-141.5967
24.700001	78.798	-142.5472
25.000000	78.813	-143.1922
25.400000	78.826	-143.8879
25.799999	78.852	-144.4122
26.200001	78.901	-144.8826
26.500000	78.948	-145.2820
26.900000	79.010	-145.9220
27.200001	79.045	-146.4540
27.600000	79.069	-147.1383
28.000000	79.078	-147.6850
28.500000	79.096	-148.1485
29.000000	79.147	-148.5561
29.500000	79.219	-149.1409
30.000000	79.280	-149.9615
30.400000	79.303	-150.6886
30.700001	79.306	-151.2063
31.100000	79.300	-151.7994
31.500000	79.295	-152.2708
32.000000	79.305	-152.7477
32.500000	79.337	-153.2127
33.000000	79.383	-153.7609
33.500000	79.426	-154.4057
34.000000	79.456	-155.0853
34.500000	79.470	-155.7122
35.000000	79.475	-156.2334
35.500000	79.479	-156.6385
36.000000	79.490	-156.9432
36.500000	79.514	-157.1866
37.000000	79.557	-157.4588
37.500000	79.610	-157.8697
38.200001	79.661	-158.7295
38.700001	79.661	-159.3917
39.500000	79.631	-160.1439
40.000000	79.630	-160.4738
40.599998	79.653	-160.9658
41.200001	79.670	-161.6516
41.799999	79.660	-162.3760
42.500000	79.627	-163.0390
43.099998	79.605	-163.4221
43.700001	79.604	-163.7260
44.400002	79.626	-164.1179
45.000000	79.650	-164.5441
45.500000	79.665	-164.9295
