* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 8:05:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.056	-135.9717
20.600000	76.101	-136.2677
20.900000	76.190	-136.8251
21.200001	76.263	-137.4322
21.400000	76.301	-137.8566
21.799999	76.350	-138.7171
22.000000	76.365	-139.1250
22.400000	76.384	-139.8295
22.700001	76.401	-140.2620
23.000000	76.432	-140.6645
23.299999	76.475	-141.1055
23.600000	76.523	-141.6243
24.000000	76.582	-142.4391
24.299999	76.614	-143.0850
24.700001	76.641	-143.8839
25.000000	76.657	-144.3837
25.400000	76.690	-144.9225
25.799999	76.744	-145.4108
26.200001	76.816	-145.9666
26.500000	76.870	-146.4617
26.900000	76.932	-147.2058
27.200001	76.965	-147.7796
27.600000	76.990	-148.4947
28.000000	77.003	-149.0992
28.500000	77.018	-149.6992
29.000000	77.045	-150.2147
29.500000	77.082	-150.7501
30.000000	77.119	-151.3564
30.400000	77.142	-151.8782
30.700001	77.155	-152.2733
31.100000	77.168	-152.7867
31.500000	77.179	-153.2790
32.000000	77.194	-153.8719
32.500000	77.211	-154.4509
33.000000	77.231	-155.0193
33.500000	77.253	-155.5810
34.000000	77.276	-156.1457
34.500000	77.297	-156.7094
35.000000	77.314	-157.2431
35.500000	77.331	-157.7225
36.000000	77.352	-158.1731
36.500000	77.377	-158.6543
37.000000	77.394	-159.1866
37.500000	77.395	-159.7073
38.200001	77.383	-160.2664
38.700001	77.385	-160.5666
39.500000	77.411	-161.1455
40.000000	77.425	-161.5980
40.599998	77.437	-162.1427
41.200001	77.461	-162.7234
41.799999	77.485	-163.4987
42.500000	77.465	-164.5942
43.099998	77.394	-165.3000
43.700001	77.329	-165.5242
44.400002	77.338	-165.5266
45.000000	77.414	-165.8041
45.500000	77.474	-166.3876
46.200001	77.495	-167.4368
46.799999	77.460	-168.1238
47.500000	77.424	-168.5126
48.200001	77.431	-168.7680
48.700001	77.451	-169.0282
49.400002	77.470	-169.4705
50.000000	77.476	-169.8103
50.799999	77.485	-170.1629
51.500000	77.505	-170.4569
52.200001	77.526	-170.8375
53.000000	77.530	-171.3724
53.799999	77.507	-171.8113
54.500000	77.495	-172.0806
55.200001	77.500	-172.4351
56.000000	77.494	-173.0319
57.000000	77.449	-173.7544
58.000000	77.405	-174.3116
59.000000	77.375	-174.8098
60.000000	77.361	-175.2899
60.799999	77.355	-175.7032
61.500000	77.346	-176.0549
62.200001	77.337	-176.3685
63.000000	77.330	-176.7002
64.000000	77.325	-177.1270
65.000000	77.318	-177.6173
66.000000	77.296	-178.1502
67.000000	77.261	-178.6250
68.000000	77.229	-179.0232
69.000000	77.206	-179.4301
70.000000	77.179	-179.8827
71.000000	77.141	179.6899
72.000000	77.090	179.3133
73.000000	77.026	179.1099
74.000000	76.987	179.0937
75.000000	76.976	178.8808
76.199997	76.919	178.4961
77.500000	76.862	178.3703
78.800003	76.832	178.1639
80.000000	76.799	178.0281
81.199997	76.786	178.0755
82.500000	76.834	178.0148
83.800003	76.867	177.4287
85.000000	76.849	176.8011
86.199997	76.810	176.1849
87.500000	76.757	175.6505
88.500000	76.730	175.3381
90.000000	76.706	174.9316
91.199997	76.678	174.6671
92.500000	76.622	174.5502
93.800003	76.562	174.6219
95.000000	76.528	174.5791
96.199997	76.493	174.1934
97.500000	76.424	173.5690
98.800003	76.338	173.1321
100.000000	76.273	172.9729
101.500000	76.182	173.0533
103.000000	76.070	173.6445
104.400002	76.007	174.3179
106.000000	75.985	174.6827
107.500000	76.028	174.5804
109.000000	76.123	174.1553
110.599998	76.220	173.6711
112.000000	76.278	173.4985
113.800003	76.310	173.2718
115.000000	76.312	172.9041
117.199997	76.354	171.3545
118.000000	76.376	170.4905
120.599998	76.288	168.5857
122.000000	76.257	169.1136
124.099998	76.293	169.9854
125.000000	76.289	170.0656
126.500000	76.233	169.8609
128.000000	76.152	169.4687
131.500000	76.032	168.7353
132.000000	76.021	168.6998
134.000000	75.980	168.6020
136.000000	75.921	168.3403
138.000000	75.857	167.9952
140.000000	75.815	167.7110
143.000000	75.772	167.5943
145.000000	75.756	167.5576
147.500000	75.734	167.2953
150.000000	75.698	166.9246
152.500000	75.649	166.5939
155.000000	75.601	166.2775
157.500000	75.550	165.9158
160.000000	75.494	165.5740
162.500000	75.438	165.1825
165.000000	75.383	164.8183
167.500000	75.323	164.6068
170.000000	75.259	164.5142
172.500000	75.195	164.3353
175.000000	75.130	164.1063
177.500000	75.066	163.9724
180.000000	75.000	163.8963
182.500000	74.929	163.7820
185.000000	74.867	163.6946
187.500000	74.821	163.6823
190.000000	74.779	163.6783
192.500000	74.736	163.5745
195.000000	74.693	163.4131
197.500000	74.652	163.2872
200.000000	74.607	163.2097
203.000000	74.550	163.1018
206.000000	74.495	162.9449
209.000000	74.431	162.8235
212.000000	74.357	162.7607
214.000000	74.309	162.7343
218.000000	74.222	162.6602
220.000000	74.178	162.6004
224.000000	74.093	162.4792
227.000000	74.032	162.4647
230.000000	73.972	162.4935
233.000000	73.916	162.4744
236.000000	73.871	162.4395
240.000000	73.802	162.4531
243.000000	73.743	162.4084
247.000000	73.669	162.2789
250.000000	73.612	162.2706
254.000000	73.534	162.3363
258.000000	73.455	162.3414
262.000000	73.368	162.3833
265.000000	73.311	162.5012
269.000000	73.247	162.6106
272.000000	73.196	162.6498
276.000000	73.122	162.7421
280.000000	73.048	162.8551
285.000000	72.974	162.9800
290.000000	72.917	163.0887
295.000000	72.850	163.2129
300.000000	72.756	163.4362
304.000000	72.680	163.5912
307.000000	72.633	163.6783
311.000000	72.572	163.8057
315.000000	72.509	163.9858
320.000000	72.434	164.1868
325.000000	72.364	164.3430
330.000000	72.298	164.5515
335.000000	72.226	164.8033
340.000000	72.154	165.0520
345.000000	72.090	165.2691
350.000000	72.030	165.5117
355.000000	71.966	165.7376
360.000000	71.900	165.9162
365.000000	71.832	166.1268
370.000000	71.762	166.3887
375.000000	71.699	166.6828
382.000000	71.628	167.0910
387.000000	71.582	167.4224
395.000000	71.502	167.8984
400.000000	71.446	168.1141
406.000000	71.381	168.3894
412.000000	71.306	168.7642
418.000000	71.235	169.1630
425.000000	71.164	169.6414
431.000000	71.105	169.9870
437.000000	71.051	170.3146
444.000000	70.996	170.7635
450.000000	70.950	171.1633
455.000000	70.902	171.5176
462.000000	70.830	171.9702
468.000000	70.782	172.3215
475.000000	70.724	172.7819
482.000000	70.663	173.2483
487.000000	70.628	173.5777
494.000000	70.585	174.0895
500.000000	70.547	174.5536
508.000000	70.483	175.1172
515.000000	70.427	175.5647
522.000000	70.378	175.9462
530.000000	70.324	176.4269
538.000000	70.274	176.9727
545.000000	70.227	177.4979
552.000000	70.182	178.0666
560.000000	70.144	178.6589
570.000000	70.100	179.3507
580.000000	70.063	-179.9742
590.000000	70.024	-179.3349
600.000000	69.977	-178.7723
608.000000	69.932	-178.2783
615.000000	69.883	-177.8762
622.000000	69.825	-177.4584
630.000000	69.757	-176.8118
640.000000	69.690	-175.8532
650.000000	69.644	-174.8581
660.000000	69.614	-173.8996
670.000000	69.594	-172.9610
680.000000	69.592	-172.0161
690.000000	69.577	-171.1134
700.000000	69.554	-170.2239
710.000000	69.544	-169.3527
720.000000	69.537	-168.4989
730.000000	69.530	-167.6641
740.000000	69.526	-166.8626
750.000000	69.520	-166.0064
762.000000	69.508	-164.9612
775.000000	69.510	-163.8801
788.000000	69.534	-162.7545
800.000000	69.557	-161.6691
812.000000	69.580	-160.6342
825.000000	69.606	-159.6053
838.000000	69.638	-158.5828
850.000000	69.674	-157.6301
862.000000	69.716	-156.6692
875.000000	69.765	-155.6030
885.000000	69.804	-154.7626
900.000000	69.880	-153.5288
912.000000	69.946	-152.5868
925.000000	70.021	-151.5664
938.000000	70.103	-150.5680
950.000000	70.178	-149.6541
962.000000	70.263	-148.7619
975.000000	70.363	-147.8089
988.000000	70.464	-146.8299
1000.000000	70.561	-145.9872
1015.000000	70.685	-145.0816
1030.000000	70.820	-144.1917
1044.000000	70.949	-143.3548
1060.000000	71.105	-142.4608
1075.000000	71.270	-141.7016
1090.000000	71.432	-140.9456
1106.000000	71.599	-140.1872
1120.000000	71.748	-139.6577
1138.000000	71.943	-139.0500
1150.000000	72.075	-138.6531
1172.000000	72.319	-138.0680
1180.000000	72.408	-137.9001
1206.000000	72.703	-137.4948
1220.000000	72.867	-137.3390
1241.000000	73.106	-137.2175
1250.000000	73.205	-137.2184
1265.000000	73.364	-137.2548
1280.000000	73.517	-137.3402
1315.000000	73.849	-137.7689
1320.000000	73.894	-137.8501
1340.000000	74.063	-138.2337
1360.000000	74.213	-138.6740
1380.000000	74.347	-139.1498
1400.000000	74.469	-139.6432
1430.000000	74.627	-140.3329
1450.000000	74.718	-140.7846
1475.000000	74.813	-141.3274
1500.000000	74.894	-141.8168
1525.000000	74.966	-142.3019
1550.000000	75.029	-142.7562
1575.000000	75.082	-143.1529
1600.000000	75.129	-143.5008
1625.000000	75.175	-143.8133
1650.000000	75.217	-144.0757
1675.000000	75.253	-144.2845
1700.000000	75.282	-144.4825
1725.000000	75.305	-144.6476
1750.000000	75.321	-144.7693
1775.000000	75.334	-144.8260
1800.000000	75.347	-144.7896
1825.000000	75.363	-144.6224
1850.000000	75.398	-144.3280
1875.000000	75.461	-143.9514
1900.000000	75.552	-143.6243
1925.000000	75.668	-143.4904
1950.000000	75.788	-143.6097
1975.000000	75.889	-143.9267
2000.000000	75.962	-144.3250
2030.000000	76.021	-144.7399
2060.000000	76.069	-145.0271
2090.000000	76.121	-145.2287
2120.000000	76.178	-145.4256
2140.000000	76.216	-145.5867
2180.000000	76.283	-146.0190
2200.000000	76.309	-146.2758
2240.000000	76.346	-146.7723
2270.000000	76.361	-147.0735
2300.000000	76.363	-147.3116
2330.000000	76.357	-147.4922
2360.000000	76.349	-147.6229
2400.000000	76.339	-147.6760
2430.000000	76.332	-147.6075
2470.000000	76.329	-147.3675
2500.000000	76.339	-147.0854
2540.000000	76.379	-146.6417
2580.000000	76.458	-146.2126
2620.000000	76.566	-145.8979
2650.000000	76.656	-145.7869
2690.000000	76.782	-145.8205
2720.000000	76.875	-145.9776
2760.000000	76.986	-146.3486
2800.000000	77.073	-146.8640
2850.000000	77.145	-147.5622
2900.000000	77.187	-148.1557
2950.000000	77.208	-148.6409
3000.000000	77.225	-148.9935
3040.000000	77.246	-149.2410
3070.000000	77.266	-149.4221
3110.000000	77.295	-149.6775
3150.000000	77.327	-149.9971
3200.000000	77.356	-150.5276
3250.000000	77.354	-151.1201
3300.000000	77.309	-151.6144
3350.000000	77.231	-151.8619
3400.000000	77.153	-151.7758
3450.000000	77.102	-151.4099
3500.000000	77.087	-150.9056
3550.000000	77.106	-150.3548
3600.000000	77.157	-149.8261
3650.000000	77.240	-149.4085
3700.000000	77.344	-149.1595
3750.000000	77.455	-149.0759
3820.000000	77.608	-149.1968
3870.000000	77.709	-149.4291
3950.000000	77.854	-149.9292
4000.000000	77.940	-150.3170
4060.000000	78.036	-150.8762
4120.000000	78.117	-151.5194
4180.000000	78.184	-152.2175
4250.000000	78.242	-153.0276
4310.000000	78.283	-153.6850
4370.000000	78.323	-154.3453
4440.000000	78.372	-155.1818
4500.000000	78.411	-155.9733
4550.000000	78.436	-156.6895
4620.000000	78.450	-157.7677
4680.000000	78.443	-158.7286
4750.000000	78.411	-159.8513
4820.000000	78.356	-160.9434
4870.000000	78.307	-161.6944
4940.000000	78.223	-162.7116
5000.000000	78.136	-163.5376
