* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 7 오전 11:57:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Brown Damper+Xelastec
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.557	-24.6318
20.600000	97.552	-24.8143
20.900000	97.539	-25.1403
21.200001	97.521	-25.4530
21.400000	97.507	-25.6612
21.799999	97.475	-26.1064
22.000000	97.458	-26.3534
22.400000	97.420	-26.8979
22.700001	97.390	-27.3485
23.000000	97.358	-27.8308
23.299999	97.326	-28.3332
23.600000	97.295	-28.8436
24.000000	97.260	-29.5217
24.299999	97.241	-30.0249
24.700001	97.224	-30.6944
25.000000	97.216	-31.2002
25.400000	97.208	-31.8759
25.799999	97.202	-32.5336
26.200001	97.196	-33.1490
26.500000	97.191	-33.5750
26.900000	97.185	-34.0979
27.200001	97.178	-34.4633
27.600000	97.164	-34.9216
28.000000	97.145	-35.3432
28.500000	97.112	-35.8056
29.000000	97.076	-36.2138
29.500000	97.039	-36.6293
30.000000	97.000	-37.1143
30.400000	96.963	-37.5596
30.700001	96.931	-37.9167
31.100000	96.883	-38.4072
31.500000	96.832	-38.9045
32.000000	96.770	-39.5351
32.500000	96.714	-40.1843
33.000000	96.666	-40.8602
33.500000	96.628	-41.5621
34.000000	96.599	-42.2802
34.500000	96.573	-42.9998
35.000000	96.547	-43.7004
35.500000	96.519	-44.3537
36.000000	96.491	-44.9409
36.500000	96.465	-45.4645
37.000000	96.440	-45.9427
37.500000	96.414	-46.3982
38.200001	96.370	-47.0397
38.700001	96.328	-47.5075
39.500000	96.247	-48.2196
40.000000	96.198	-48.6427
40.599998	96.150	-49.1959
41.200001	96.104	-49.8573
41.799999	96.053	-50.5886
42.500000	95.990	-51.4235
43.099998	95.944	-52.0951
43.700001	95.904	-52.7554
44.400002	95.858	-53.5251
45.000000	95.814	-54.1618
45.500000	95.773	-54.6614
46.200001	95.710	-55.3125
46.799999	95.649	-55.8272
47.500000	95.573	-56.3580
48.200001	95.502	-56.7978
48.700001	95.466	-57.0980
49.400002	95.433	-57.6255
50.000000	95.401	-58.2084
50.799999	95.337	-58.9430
51.500000	95.292	-59.3579
52.200001	95.288	-59.7345
53.000000	95.299	-60.4184
53.799999	95.267	-61.1792
54.500000	95.221	-61.6377
55.200001	95.193	-62.0304
56.000000	95.161	-62.6816
57.000000	95.070	-63.6138
58.000000	94.967	-64.4294
59.000000	94.871	-65.3478
60.000000	94.768	-66.1980
60.799999	94.709	-66.7672
61.500000	94.679	-67.2800
62.200001	94.660	-67.8634
63.000000	94.628	-68.6365
64.000000	94.540	-69.5477
65.000000	94.435	-70.0726
66.000000	94.370	-70.4880
67.000000	94.319	-71.1033
68.000000	94.255	-71.8068
69.000000	94.185	-72.5159
70.000000	94.109	-73.2233
71.000000	94.027	-73.8540
72.000000	93.959	-74.4222
73.000000	93.904	-75.0855
74.000000	93.850	-75.8451
75.000000	93.798	-76.6541
76.199997	93.737	-77.5615
77.500000	93.708	-78.2746
78.800003	93.731	-78.9382
80.000000	93.744	-79.6426
81.199997	93.716	-80.2168
82.500000	93.689	-80.9270
83.800003	93.574	-82.0012
85.000000	93.423	-82.6078
86.199997	93.320	-83.1696
87.500000	93.247	-83.8558
88.500000	93.223	-84.5428
90.000000	93.153	-85.8624
91.199997	93.056	-86.7051
92.500000	92.954	-87.3473
93.800003	92.860	-87.8526
95.000000	92.786	-88.2422
96.199997	92.729	-88.6660
97.500000	92.680	-89.2197
98.800003	92.636	-89.9060
100.000000	92.589	-90.6076
101.500000	92.517	-91.4203
103.000000	92.442	-92.1204
104.400002	92.373	-92.7196
106.000000	92.293	-93.4761
107.500000	92.209	-94.2573
109.000000	92.146	-94.9509
110.599998	92.120	-95.6630
112.000000	92.096	-96.2312
113.800003	92.015	-96.8238
115.000000	91.921	-97.2435
117.199997	91.666	-98.7002
118.000000	91.534	-99.3990
120.599998	91.254	-99.9951
122.000000	91.383	-100.3722
124.099998	91.532	-101.5041
125.000000	91.547	-101.7902
126.500000	91.523	-102.1013
128.000000	91.456	-102.4562
131.500000	91.281	-103.8967
132.000000	91.263	-104.1040
134.000000	91.209	-104.7409
136.000000	91.163	-105.2149
138.000000	91.100	-105.7140
140.000000	91.042	-106.3123
143.000000	90.980	-107.3290
145.000000	90.945	-107.9318
147.500000	90.904	-108.7282
150.000000	90.860	-109.6309
152.500000	90.819	-110.5024
155.000000	90.775	-111.3829
157.500000	90.717	-112.2931
160.000000	90.650	-113.1578
162.500000	90.586	-113.9343
165.000000	90.529	-114.6678
167.500000	90.471	-115.4350
170.000000	90.408	-116.2028
172.500000	90.347	-116.9177
175.000000	90.288	-117.6279
177.500000	90.219	-118.3016
180.000000	90.151	-118.8812
182.500000	90.098	-119.4041
185.000000	90.050	-119.9411
187.500000	89.996	-120.4926
190.000000	89.943	-121.0193
192.500000	89.906	-121.5304
195.000000	89.875	-122.0250
197.500000	89.846	-122.4483
200.000000	89.824	-122.8232
203.000000	89.811	-123.3742
206.000000	89.803	-124.0729
209.000000	89.793	-124.7887
212.000000	89.778	-125.4632
214.000000	89.767	-125.9333
218.000000	89.744	-126.9678
220.000000	89.731	-127.4784
224.000000	89.708	-128.4589
227.000000	89.689	-129.2233
230.000000	89.661	-129.9617
233.000000	89.628	-130.6701
236.000000	89.593	-131.3632
240.000000	89.539	-132.2530
243.000000	89.495	-132.9162
247.000000	89.438	-133.7643
250.000000	89.399	-134.3739
254.000000	89.341	-135.1915
258.000000	89.281	-135.9591
262.000000	89.232	-136.6757
265.000000	89.200	-137.2096
269.000000	89.151	-137.9101
272.000000	89.110	-138.4211
276.000000	89.060	-139.0567
280.000000	89.018	-139.6447
285.000000	88.967	-140.3662
290.000000	88.910	-141.1233
295.000000	88.864	-141.8643
300.000000	88.819	-142.5348
304.000000	88.787	-143.0611
307.000000	88.764	-143.4736
