* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 7 오전 11:37:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Brown Damper
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.637	-20.9729
20.600000	96.642	-21.1789
20.900000	96.649	-21.5506
21.200001	96.650	-21.9155
21.400000	96.647	-22.1575
21.799999	96.634	-22.6556
22.000000	96.625	-22.9149
22.400000	96.603	-23.4456
22.700001	96.585	-23.8537
23.000000	96.569	-24.2761
23.299999	96.553	-24.7157
23.600000	96.539	-25.1716
24.000000	96.524	-25.7990
24.299999	96.515	-26.2763
24.700001	96.504	-26.9114
25.000000	96.495	-27.3800
25.400000	96.484	-27.9873
25.799999	96.473	-28.5686
26.200001	96.465	-29.1228
26.500000	96.460	-29.5230
26.900000	96.452	-30.0412
27.200001	96.444	-30.4230
27.600000	96.431	-30.9276
28.000000	96.413	-31.4255
28.500000	96.385	-32.0280
29.000000	96.352	-32.6041
29.500000	96.317	-33.1705
30.000000	96.284	-33.7562
30.400000	96.257	-34.2503
30.700001	96.236	-34.6341
31.100000	96.206	-35.1540
31.500000	96.174	-35.6716
32.000000	96.136	-36.3046
32.500000	96.102	-36.9280
33.000000	96.072	-37.5575
33.500000	96.048	-38.1932
34.000000	96.027	-38.8170
34.500000	96.009	-39.4226
35.000000	95.990	-40.0219
35.500000	95.970	-40.6195
36.000000	95.947	-41.1999
36.500000	95.921	-41.7476
37.000000	95.895	-42.2660
37.500000	95.869	-42.7756
38.200001	95.828	-43.5096
38.700001	95.791	-44.0482
39.500000	95.724	-44.8917
40.000000	95.683	-45.4029
40.599998	95.637	-46.0178
41.200001	95.594	-46.6446
41.799999	95.556	-47.2906
42.500000	95.518	-48.0976
43.099998	95.480	-48.8089
43.700001	95.437	-49.4301
44.400002	95.408	-50.0437
45.000000	95.405	-50.6915
45.500000	95.388	-51.3857
46.200001	95.310	-52.2419
46.799999	95.240	-52.5194
47.500000	95.251	-52.6993
48.200001	95.311	-53.5603
48.700001	95.298	-54.5346
49.400002	95.175	-55.5797
50.000000	95.066	-55.8265
50.799999	95.032	-55.9467
51.500000	95.046	-56.5396
52.200001	95.016	-57.3961
53.000000	94.938	-58.2090
53.799999	94.865	-58.8151
54.500000	94.815	-59.3235
