* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 8:46:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Xelastec
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.535	-31.4922
20.600000	90.528	-31.6960
20.900000	90.512	-32.0564
21.200001	90.493	-32.3928
21.400000	90.479	-32.6124
21.799999	90.446	-33.0741
22.000000	90.427	-33.3264
22.400000	90.386	-33.8701
22.700001	90.350	-34.3031
23.000000	90.313	-34.7507
23.299999	90.273	-35.2054
23.600000	90.233	-35.6595
24.000000	90.182	-36.2518
24.299999	90.148	-36.6777
24.700001	90.110	-37.2192
25.000000	90.088	-37.6142
25.400000	90.069	-38.1493
25.799999	90.059	-38.7274
26.200001	90.051	-39.3690
26.500000	90.040	-39.8820
26.900000	90.013	-40.5674
27.200001	89.981	-41.0421
27.600000	89.931	-41.5795
28.000000	89.882	-42.0010
28.500000	89.837	-42.4401
29.000000	89.810	-42.9218
29.500000	89.783	-43.5236
30.000000	89.739	-44.1991
30.400000	89.690	-44.7206
30.700001	89.650	-45.0769
31.100000	89.597	-45.5085
31.500000	89.548	-45.9166
32.000000	89.494	-46.4374
32.500000	89.444	-46.9892
33.000000	89.399	-47.5690
33.500000	89.359	-48.1813
34.000000	89.318	-48.8267
34.500000	89.270	-49.4668
35.000000	89.219	-50.0478
35.500000	89.174	-50.5606
36.000000	89.142	-51.0619
36.500000	89.117	-51.6144
37.000000	89.089	-52.2281
37.500000	89.051	-52.8598
38.200001	88.985	-53.6902
38.700001	88.933	-54.2304
39.500000	88.854	-55.0382
40.000000	88.806	-55.5252
40.599998	88.753	-56.1047
41.200001	88.703	-56.6907
41.799999	88.656	-57.2905
42.500000	88.605	-58.0196
43.099998	88.562	-58.6815
43.700001	88.513	-59.3612
44.400002	88.448	-60.1170
45.000000	88.390	-60.7003
45.500000	88.344	-61.1531
46.200001	88.282	-61.7537
46.799999	88.231	-62.2280
47.500000	88.183	-62.7624
48.200001	88.146	-63.3777
48.700001	88.114	-63.8830
49.400002	88.052	-64.5852
50.000000	87.991	-65.1035
50.799999	87.919	-65.7266
51.500000	87.864	-66.2946
52.200001	87.808	-66.8703
53.000000	87.750	-67.5174
53.799999	87.697	-68.2028
54.500000	87.647	-68.8366
55.200001	87.590	-69.4559
56.000000	87.526	-70.0920
57.000000	87.463	-70.8158
58.000000	87.404	-71.6227
59.000000	87.325	-72.4073
60.000000	87.246	-73.0735
60.799999	87.187	-73.6516
61.500000	87.128	-74.1751
62.200001	87.065	-74.6691
63.000000	86.994	-75.2189
64.000000	86.907	-75.9035
65.000000	86.830	-76.5839
66.000000	86.759	-77.2574
67.000000	86.706	-77.9201
68.000000	86.664	-78.7439
69.000000	86.591	-79.6846
70.000000	86.485	-80.3922
71.000000	86.404	-80.7974
72.000000	86.369	-81.3177
73.000000	86.325	-82.0952
74.000000	86.253	-82.8685
75.000000	86.175	-83.5431
76.199997	86.093	-84.2574
77.500000	86.027	-85.0350
78.800003	85.972	-85.8699
80.000000	85.916	-86.7321
81.199997	85.831	-87.5652
82.500000	85.732	-88.2956
83.800003	85.640	-89.0199
85.000000	85.561	-89.6990
86.199997	85.501	-90.4499
87.500000	85.443	-91.3555
88.500000	85.401	-91.9720
90.000000	85.366	-92.7296
91.199997	85.350	-93.3108
92.500000	85.315	-93.9710
93.800003	85.231	-94.5493
95.000000	85.136	-94.8477
96.199997	85.072	-95.1775
97.500000	85.005	-95.9484
98.800003	84.900	-96.8299
100.000000	84.809	-97.5034
101.500000	84.730	-98.2043
103.000000	84.695	-98.8379
104.400002	84.669	-99.4841
106.000000	84.624	-100.2527
