* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 4:24:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_50ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.727	-21.1455
20.600000	91.728	-21.4024
20.900000	91.728	-21.8769
21.200001	91.724	-22.3658
21.400000	91.718	-22.6903
21.799999	91.703	-23.3328
22.000000	91.695	-23.6484
22.400000	91.680	-24.2643
22.700001	91.671	-24.7256
23.000000	91.663	-25.1969
23.299999	91.653	-25.6706
23.600000	91.643	-26.1328
24.000000	91.629	-26.7108
24.299999	91.621	-27.1109
24.700001	91.612	-27.6112
25.000000	91.606	-27.9731
25.400000	91.596	-28.4465
25.799999	91.585	-28.9101
26.200001	91.571	-29.3671
26.500000	91.560	-29.7124
26.900000	91.541	-30.1840
27.200001	91.521	-30.5464
27.600000	91.488	-31.0310
28.000000	91.451	-31.5000
28.500000	91.404	-32.0595
29.000000	91.365	-32.6387
29.500000	91.331	-33.3057
30.000000	91.293	-34.0687
30.400000	91.253	-34.6940
30.700001	91.218	-35.1341
31.100000	91.170	-35.6499
31.500000	91.129	-36.0881
32.000000	91.094	-36.5858
32.500000	91.075	-37.1110
33.000000	91.057	-37.6906
33.500000	91.033	-38.2729
34.000000	91.006	-38.7967
34.500000	90.980	-39.2655
35.000000	90.957	-39.7272
35.500000	90.931	-40.2112
36.000000	90.901	-40.7093
36.500000	90.868	-41.2146
37.000000	90.832	-41.7340
37.500000	90.789	-42.2646
38.200001	90.720	-42.9817
38.700001	90.671	-43.4611
39.500000	90.605	-44.2441
40.000000	90.566	-44.7781
40.599998	90.516	-45.4338
41.200001	90.462	-46.0476
41.799999	90.412	-46.6118
42.500000	90.361	-47.2524
43.099998	90.322	-47.8027
43.700001	90.282	-48.3427
44.400002	90.235	-48.9728
45.000000	90.193	-49.5315
45.500000	90.155	-49.9968
46.200001	90.099	-50.6105
46.799999	90.057	-51.1079
47.500000	90.016	-51.7231
48.200001	89.975	-52.3984
48.700001	89.942	-52.8793
49.400002	89.892	-53.4941
50.000000	89.851	-53.9686
50.799999	89.803	-54.5686
51.500000	89.762	-55.0713
52.200001	89.725	-55.5506
53.000000	89.686	-56.1102
53.799999	89.645	-56.7414
54.500000	89.597	-57.3396
55.200001	89.539	-57.9151
56.000000	89.472	-58.5231
57.000000	89.393	-59.2943
58.000000	89.314	-60.0322
59.000000	89.258	-60.7452
60.000000	89.209	-61.5758
60.799999	89.163	-62.2488
61.500000	89.123	-62.8296
62.200001	89.075	-63.3960
63.000000	89.012	-63.9452
64.000000	88.937	-64.5149
65.000000	88.857	-65.0273
66.000000	88.785	-65.3614
67.000000	88.752	-65.7460
68.000000	88.718	-66.3939
69.000000	88.658	-67.1471
70.000000	88.582	-67.8680
71.000000	88.504	-68.5550
72.000000	88.426	-69.2383
73.000000	88.344	-69.8673
74.000000	88.269	-70.3811
75.000000	88.216	-70.8646
76.199997	88.164	-71.5220
77.500000	88.110	-72.2596
78.800003	88.047	-73.0331
80.000000	87.983	-73.6483
81.199997	87.921	-74.3259
82.500000	87.834	-75.0748
83.800003	87.750	-75.7770
85.000000	87.679	-76.4460
86.199997	87.615	-77.1164
87.500000	87.556	-77.7839
88.500000	87.521	-78.2510
90.000000	87.479	-78.9576
91.199997	87.432	-79.5800
92.500000	87.344	-80.1702
93.800003	87.248	-80.5683
95.000000	87.174	-81.0154
96.199997	87.100	-81.5633
97.500000	87.046	-82.2553
98.800003	86.998	-83.1356
100.000000	86.946	-83.7906
101.500000	86.903	-84.3348
103.000000	86.863	-84.8081
104.400002	86.810	-85.2576
106.000000	86.736	-85.9194
107.500000	86.654	-86.6780
109.000000	86.578	-87.2831
110.599998	86.521	-87.7615
112.000000	86.455	-88.1180
113.800003	86.335	-88.6284
115.000000	86.258	-89.2513
117.199997	86.203	-91.5331
118.000000	86.198	-92.8105
120.599998	85.951	-95.2532
