* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 4:10:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_50ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.935	-30.4064
20.600000	90.864	-30.2479
20.900000	90.742	-29.9221
21.200001	90.690	-29.5770
21.400000	90.685	-29.5062
21.799999	90.689	-29.8803
22.000000	90.673	-30.3020
22.400000	90.576	-31.3186
22.700001	90.466	-31.9703
23.000000	90.356	-32.4280
23.299999	90.275	-32.7932
23.600000	90.227	-33.1979
24.000000	90.200	-33.9487
24.299999	90.185	-34.6665
24.700001	90.154	-35.6885
25.000000	90.125	-36.3930
25.400000	90.091	-37.1821
25.799999	90.073	-37.8300
26.200001	90.074	-38.4022
26.500000	90.082	-38.8083
26.900000	90.095	-39.3368
27.200001	90.100	-39.7309
27.600000	90.096	-40.2468
28.000000	90.073	-40.7026
28.500000	90.030	-41.0950
29.000000	90.001	-41.3549
29.500000	89.996	-41.7780
30.000000	89.977	-42.6006
30.400000	89.915	-43.4376
30.700001	89.836	-44.0202
31.100000	89.708	-44.5662
31.500000	89.589	-44.8258
32.000000	89.498	-44.9801
32.500000	89.468	-45.3125
33.000000	89.452	-45.9646
33.500000	89.419	-46.7668
34.000000	89.374	-47.4982
34.500000	89.331	-48.1050
35.000000	89.299	-48.6555
35.500000	89.269	-49.1976
36.000000	89.236	-49.7140
36.500000	89.201	-50.1878
37.000000	89.164	-50.6386
37.500000	89.123	-51.0915
38.200001	89.053	-51.7223
38.700001	88.998	-52.1591
39.500000	88.918	-52.9121
40.000000	88.868	-53.4641
40.599998	88.801	-54.1694
41.200001	88.730	-54.8283
41.799999	88.667	-55.4218
42.500000	88.610	-56.1017
43.099998	88.567	-56.6862
43.700001	88.523	-57.2171
44.400002	88.479	-57.7732
45.000000	88.445	-58.2815
45.500000	88.409	-58.7476
46.200001	88.338	-59.3548
46.799999	88.274	-59.7407
47.500000	88.223	-60.1548
48.200001	88.190	-60.7545
48.700001	88.160	-61.2966
49.400002	88.098	-62.0630
50.000000	88.038	-62.6440
50.799999	87.964	-63.3024
51.500000	87.913	-63.7926
52.200001	87.879	-64.2769
53.000000	87.841	-64.8871
53.799999	87.794	-65.4885
54.500000	87.751	-65.9974
55.200001	87.704	-66.5223
56.000000	87.647	-67.1238
57.000000	87.576	-67.9772
58.000000	87.479	-68.9093
59.000000	87.377	-69.6248
60.000000	87.304	-70.3116
60.799999	87.248	-70.9043
61.500000	87.201	-71.3949
62.200001	87.159	-71.8731
63.000000	87.112	-72.4589
64.000000	87.035	-73.2100
65.000000	86.952	-73.8171
66.000000	86.889	-74.4096
67.000000	86.831	-75.0550
68.000000	86.781	-75.7054
69.000000	86.725	-76.4184
70.000000	86.666	-77.0107
71.000000	86.628	-77.6435
72.000000	86.570	-78.3762
73.000000	86.498	-78.9561
74.000000	86.437	-79.4728
75.000000	86.378	-79.9725
76.199997	86.320	-80.5847
77.500000	86.254	-81.3528
78.800003	86.179	-82.1143
80.000000	86.104	-82.7552
81.199997	86.036	-83.2999
82.500000	85.983	-83.9094
83.800003	85.933	-84.6300
85.000000	85.864	-85.3015
86.199997	85.785	-85.8211
87.500000	85.717	-86.3789
88.500000	85.664	-86.9069
90.000000	85.581	-87.8363
91.199997	85.519	-88.6363
92.500000	85.466	-89.5216
93.800003	85.407	-90.2976
95.000000	85.370	-90.6857
96.199997	85.367	-91.0548
97.500000	85.337	-91.6592
98.800003	85.251	-92.2079
100.000000	85.166	-92.5296
101.500000	85.107	-93.0238
103.000000	85.069	-93.7853
104.400002	85.028	-94.4206
106.000000	84.980	-94.8279
107.500000	84.945	-95.2088
109.000000	84.871	-95.9192
110.599998	84.770	-96.8064
112.000000	84.714	-97.6695
113.800003	84.686	-98.5727
115.000000	84.673	-98.7880
117.199997	84.589	-98.0284
118.000000	84.557	-97.3612
120.599998	84.677	-96.9926
122.000000	84.602	-98.9701
124.099998	84.364	-101.3375
125.000000	84.311	-102.0118
126.500000	84.275	-102.8164
128.000000	84.257	-103.2686
131.500000	84.178	-103.8502
132.000000	84.167	-103.9852
134.000000	84.124	-104.7050
136.000000	84.074	-105.4082
138.000000	84.023	-105.9547
140.000000	83.972	-106.4415
143.000000	83.926	-107.3299
145.000000	83.891	-107.9025
147.500000	83.833	-108.3930
150.000000	83.778	-108.9955
152.500000	83.736	-109.8157
155.000000	83.700	-110.6702
157.500000	83.661	-111.4346
160.000000	83.617	-112.1448
162.500000	83.575	-112.8435
165.000000	83.529	-113.4163
167.500000	83.479	-113.9230
170.000000	83.424	-114.3935
172.500000	83.376	-114.8502
175.000000	83.329	-115.3075
177.500000	83.281	-115.7736
180.000000	83.235	-116.2717
182.500000	83.196	-116.7462
185.000000	83.157	-117.1536
187.500000	83.115	-117.4849
190.000000	83.089	-117.8072
192.500000	83.084	-118.1486
195.000000	83.075	-118.3555
197.500000	83.078	-118.3615
200.000000	83.103	-118.5242
203.000000	83.133	-119.1144
206.000000	83.157	-119.8729
209.000000	83.165	-120.6695
212.000000	83.143	-121.3853
214.000000	83.123	-121.8075
218.000000	83.090	-122.6372
220.000000	83.074	-123.0513
224.000000	83.039	-123.8197
227.000000	83.011	-124.3045
230.000000	82.979	-124.7152
233.000000	82.946	-125.0972
236.000000	82.926	-125.4869
240.000000	82.915	-125.9892
243.000000	82.911	-126.2838
247.000000	82.895	-126.7247
250.000000	82.854	-127.1684
254.000000	82.804	-127.7158
258.000000	82.782	-128.1792
262.000000	82.758	-128.5854
265.000000	82.738	-128.9446
269.000000	82.717	-129.4498
272.000000	82.705	-129.7421
276.000000	82.685	-130.0524
280.000000	82.665	-130.3654
285.000000	82.639	-130.7688
290.000000	82.619	-131.1902
295.000000	82.618	-131.6018
300.000000	82.618	-132.0094
304.000000	82.613	-132.3288
307.000000	82.608	-132.5759
311.000000	82.604	-132.9259
315.000000	82.601	-133.2721
320.000000	82.597	-133.6355
325.000000	82.590	-133.9709
330.000000	82.579	-134.3076
335.000000	82.565	-134.6650
340.000000	82.552	-134.9744
345.000000	82.544	-135.2516
350.000000	82.536	-135.4973
355.000000	82.519	-135.7193
360.000000	82.499	-135.9164
365.000000	82.480	-136.1497
370.000000	82.462	-136.4067
375.000000	82.454	-136.6637
382.000000	82.451	-136.9371
387.000000	82.443	-137.0860
395.000000	82.420	-137.3093
400.000000	82.406	-137.4248
406.000000	82.391	-137.5658
412.000000	82.383	-137.7673
418.000000	82.372	-137.9586
425.000000	82.363	-138.1159
431.000000	82.360	-138.2221
437.000000	82.364	-138.3614
444.000000	82.369	-138.5379
450.000000	82.364	-138.6419
455.000000	82.363	-138.7080
462.000000	82.363	-138.8190
468.000000	82.361	-138.9209
475.000000	82.355	-139.0309
482.000000	82.344	-139.1357
487.000000	82.336	-139.2097
494.000000	82.333	-139.2800
500.000000	82.333	-139.2977
508.000000	82.330	-139.2881
515.000000	82.328	-139.2884
522.000000	82.331	-139.3007
530.000000	82.328	-139.3091
538.000000	82.318	-139.2655
545.000000	82.311	-139.2203
552.000000	82.309	-139.1800
560.000000	82.310	-139.0976
570.000000	82.316	-138.9669
580.000000	82.320	-138.8463
590.000000	82.326	-138.7155
600.000000	82.338	-138.5790
608.000000	82.348	-138.4355
615.000000	82.355	-138.2961
622.000000	82.361	-138.1621
630.000000	82.366	-137.9946
640.000000	82.366	-137.7779
650.000000	82.374	-137.5183
660.000000	82.396	-137.2329
670.000000	82.415	-136.9499
680.000000	82.424	-136.6529
690.000000	82.437	-136.3877
700.000000	82.457	-136.0909
710.000000	82.479	-135.7048
720.000000	82.500	-135.3264
730.000000	82.522	-134.9743
