* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 8:41:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.978	-29.0948
20.600000	88.981	-29.3194
20.900000	88.982	-29.7254
21.200001	88.975	-30.1235
21.400000	88.966	-30.3840
21.799999	88.939	-30.9118
22.000000	88.923	-31.1838
22.400000	88.888	-31.7402
22.700001	88.860	-32.1682
23.000000	88.832	-32.6076
23.299999	88.803	-33.0576
23.600000	88.776	-33.5157
24.000000	88.741	-34.1328
24.299999	88.718	-34.5954
24.700001	88.690	-35.2086
25.000000	88.672	-35.6662
25.400000	88.648	-36.2743
25.799999	88.627	-36.8807
26.200001	88.608	-37.4870
26.500000	88.592	-37.9429
26.900000	88.568	-38.5514
27.200001	88.545	-39.0037
27.600000	88.508	-39.5896
28.000000	88.464	-40.1356
28.500000	88.408	-40.7354
29.000000	88.360	-41.2542
29.500000	88.326	-41.7571
30.000000	88.302	-42.3214
30.400000	88.284	-42.8325
30.700001	88.267	-43.2390
31.100000	88.240	-43.7838
31.500000	88.210	-44.3082
32.000000	88.172	-44.9184
32.500000	88.140	-45.4938
33.000000	88.118	-46.0804
33.500000	88.102	-46.7217
34.000000	88.080	-47.4167
34.500000	88.042	-48.1036
35.000000	87.997	-48.7237
35.500000	87.953	-49.2873
36.000000	87.915	-49.8555
36.500000	87.877	-50.4564
37.000000	87.838	-51.0720
37.500000	87.802	-51.7071
38.200001	87.752	-52.7195
38.700001	87.701	-53.5116
39.500000	87.597	-54.5708
40.000000	87.549	-55.0578
40.599998	87.522	-55.6555
41.200001	87.504	-56.3632
41.799999	87.479	-57.0443
42.500000	87.463	-57.7754
43.099998	87.452	-58.5467
43.700001	87.399	-59.3733
44.400002	87.290	-59.9645
45.000000	87.218	-60.0859
45.500000	87.198	-60.1923
46.200001	87.189	-60.6532
46.799999	87.158	-61.2752
47.500000	87.089	-62.0393
48.200001	86.995	-62.7227
48.700001	86.922	-63.1007
49.400002	86.838	-63.4669
50.000000	86.797	-63.7844
50.799999	86.764	-64.4545
51.500000	86.719	-65.1936
52.200001	86.664	-65.8995
53.000000	86.613	-66.7014
53.799999	86.566	-67.6362
54.500000	86.511	-68.5028
55.200001	86.451	-69.2958
56.000000	86.396	-70.0844
57.000000	86.359	-70.9663
58.000000	86.343	-71.8585
59.000000	86.300	-72.6916
60.000000	86.235	-73.1725
60.799999	86.196	-73.4766
61.500000	86.154	-73.8461
62.200001	86.089	-74.2598
63.000000	85.999	-74.7213
64.000000	85.891	-75.4115
65.000000	85.789	-76.2519
66.000000	85.721	-77.1317
67.000000	85.697	-78.2170
68.000000	85.669	-79.4076
69.000000	85.632	-80.3776
70.000000	85.595	-81.1127
71.000000	85.556	-81.6947
72.000000	85.501	-82.2810
73.000000	85.412	-82.7764
74.000000	85.340	-83.1271
75.000000	85.304	-83.7694
76.199997	85.229	-84.9018
77.500000	85.132	-85.9069
78.800003	85.059	-86.8011
80.000000	84.982	-87.5147
81.199997	84.907	-88.0322
82.500000	84.857	-88.6736
83.800003	84.785	-89.6468
85.000000	84.706	-90.4403
86.199997	84.661	-91.3189
87.500000	84.586	-92.3677
88.500000	84.511	-92.8755
90.000000	84.447	-93.3102
91.199997	84.407	-93.8390
92.500000	84.331	-94.4064
93.800003	84.272	-95.0047
95.000000	84.216	-95.7836
96.199997	84.149	-96.5110
97.500000	84.113	-97.1796
98.800003	84.101	-98.0035
100.000000	84.070	-98.8046
101.500000	84.001	-99.7368
103.000000	83.896	-100.5113
104.400002	83.813	-101.0420
106.000000	83.770	-101.7558
107.500000	83.748	-102.6309
109.000000	83.713	-103.5300
110.599998	83.660	-104.3726
112.000000	83.606	-105.0767
113.800003	83.542	-105.9584
115.000000	83.518	-106.5015
117.199997	83.520	-107.1930
118.000000	83.542	-107.3345
120.599998	83.581	-108.5549
122.000000	83.452	-109.3876
124.099998	83.245	-110.2256
125.000000	83.189	-110.6254
126.500000	83.138	-111.3940
128.000000	83.112	-112.1694
131.500000	83.026	-113.3350
132.000000	83.011	-113.4763
134.000000	82.946	-114.2115
136.000000	82.884	-115.1276
138.000000	82.835	-116.0511
140.000000	82.786	-116.8068
143.000000	82.691	-117.6974
145.000000	82.638	-118.2524
147.500000	82.586	-119.1987
150.000000	82.521	-120.1409
152.500000	82.468	-120.9595
155.000000	82.420	-121.7854
157.500000	82.364	-122.6321
160.000000	82.307	-123.4347
162.500000	82.249	-124.1340
165.000000	82.191	-124.6740
167.500000	82.143	-125.2129
170.000000	82.099	-125.8865
172.500000	82.059	-126.5643
175.000000	82.027	-127.1133
177.500000	82.009	-127.5626
180.000000	82.006	-128.1449
182.500000	82.002	-128.8952
185.000000	81.997	-129.6664
187.500000	81.993	-130.4011
190.000000	81.990	-131.1340
192.500000	81.979	-131.9399
195.000000	81.948	-132.7896
197.500000	81.901	-133.6132
200.000000	81.855	-134.4077
203.000000	81.808	-135.3097
206.000000	81.768	-136.1344
209.000000	81.729	-136.8849
212.000000	81.689	-137.6315
214.000000	81.658	-138.1456
218.000000	81.605	-139.1372
220.000000	81.586	-139.6032
224.000000	81.545	-140.4447
227.000000	81.507	-141.0489
230.000000	81.472	-141.6934
233.000000	81.441	-142.3655
236.000000	81.404	-143.0340
240.000000	81.349	-143.8513
243.000000	81.315	-144.4355
247.000000	81.273	-145.1589
250.000000	81.244	-145.6690
254.000000	81.197	-146.3523
258.000000	81.147	-147.0485
262.000000	81.109	-147.7638
265.000000	81.081	-148.2924
269.000000	81.045	-148.9910
272.000000	81.026	-149.5101
276.000000	80.994	-150.1475
280.000000	80.960	-150.7078
285.000000	80.926	-151.4580
290.000000	80.887	-152.2646
295.000000	80.849	-152.9871
300.000000	80.805	-153.6867
304.000000	80.779	-154.2465
307.000000	80.765	-154.6394
311.000000	80.744	-155.1775
315.000000	80.723	-155.7074
320.000000	80.697	-156.2883
325.000000	80.664	-156.8445
330.000000	80.640	-157.4217
335.000000	80.613	-158.0103
340.000000	80.577	-158.5672
345.000000	80.540	-159.0708
350.000000	80.510	-159.5633
355.000000	80.487	-160.0699
360.000000	80.456	-160.5448
365.000000	80.422	-160.9809
370.000000	80.392	-161.3648
375.000000	80.368	-161.7041
382.000000	80.335	-162.1663
387.000000	80.310	-162.5614
395.000000	80.288	-163.2590
400.000000	80.269	-163.6678
406.000000	80.238	-164.1903
412.000000	80.216	-164.7840
418.000000	80.202	-165.3103
425.000000	80.170	-165.8333
431.000000	80.135	-166.3026
437.000000	80.106	-166.7793
444.000000	80.076	-167.2691
450.000000	80.051	-167.6233
455.000000	80.026	-167.9189
462.000000	79.986	-168.3573
468.000000	79.955	-168.7375
475.000000	79.927	-169.1289
482.000000	79.903	-169.5017
487.000000	79.884	-169.7744
494.000000	79.859	-170.1517
500.000000	79.840	-170.4437
508.000000	79.816	-170.7641
515.000000	79.793	-171.0374
522.000000	79.768	-171.3256
530.000000	79.736	-171.6049
538.000000	79.708	-171.8734
545.000000	79.683	-172.1106
552.000000	79.656	-172.3624
560.000000	79.630	-172.6006
570.000000	79.596	-172.8255
580.000000	79.566	-173.0887
590.000000	79.540	-173.3182
600.000000	79.512	-173.4855
608.000000	79.489	-173.6401
615.000000	79.474	-173.7710
622.000000	79.456	-173.8910
630.000000	79.428	-174.0360
640.000000	79.402	-174.2013
650.000000	79.386	-174.2978
660.000000	79.370	-174.3896
670.000000	79.351	-174.4842
680.000000	79.333	-174.5008
690.000000	79.315	-174.4583
700.000000	79.296	-174.4361
710.000000	79.285	-174.4672
720.000000	79.281	-174.4663
730.000000	79.272	-174.3898
740.000000	79.261	-174.3048
750.000000	79.257	-174.2297
762.000000	79.262	-174.1351
775.000000	79.269	-173.9912
788.000000	79.279	-173.8221
800.000000	79.292	-173.6914
812.000000	79.314	-173.5740
825.000000	79.346	-173.4350
838.000000	79.384	-173.2454
850.000000	79.418	-173.0646
862.000000	79.457	-172.9404
875.000000	79.509	-172.8678
885.000000	79.549	-172.8144
900.000000	79.606	-172.7359
912.000000	79.653	-172.6757
925.000000	79.711	-172.6169
938.000000	79.770	-172.5802
950.000000	79.827	-172.5697
962.000000	79.887	-172.5900
975.000000	79.944	-172.6398
988.000000	79.994	-172.7518
1000.000000	80.048	-172.8599
1015.000000	80.125	-172.9377
1030.000000	80.203	-173.0323
1044.000000	80.274	-173.1348
1060.000000	80.352	-173.2414
1075.000000	80.419	-173.3735
1090.000000	80.494	-173.5511
1106.000000	80.583	-173.7395
1120.000000	80.658	-173.9141
1138.000000	80.750	-174.1859
1150.000000	80.812	-174.3740
1172.000000	80.926	-174.7281
1180.000000	80.967	-174.8522
1206.000000	81.099	-175.2343
1220.000000	81.167	-175.4945
1241.000000	81.269	-175.8862
1250.000000	81.310	-176.0341
1265.000000	81.378	-176.2634
1280.000000	81.441	-176.4844
1315.000000	81.590	-176.9790
1320.000000	81.612	-177.0476
1340.000000	81.698	-177.3264
1360.000000	81.774	-177.6016
1380.000000	81.853	-177.8667
1400.000000	81.938	-178.0949
1430.000000	82.071	-178.4041
1450.000000	82.167	-178.6208
1475.000000	82.284	-178.9132
1500.000000	82.402	-179.1859
1525.000000	82.528	-179.4484
1550.000000	82.653	-179.6884
1575.000000	82.781	-179.9267
1600.000000	82.915	179.8192
1625.000000	83.052	179.5388
1650.000000	83.192	179.2379
1675.000000	83.340	178.9160
1700.000000	83.493	178.5665
1725.000000	83.645	178.1775
1750.000000	83.794	177.7357
1775.000000	83.944	177.2706
1800.000000	84.102	176.7839
1825.000000	84.263	176.2532
1850.000000	84.421	175.6767
1875.000000	84.577	175.0697
1900.000000	84.730	174.4086
1925.000000	84.883	173.6671
1950.000000	85.033	172.8671
1975.000000	85.180	172.0373
2000.000000	85.325	171.1649
2030.000000	85.491	170.0492
2060.000000	85.645	168.8623
2090.000000	85.787	167.6199
2120.000000	85.917	166.3316
2140.000000	85.999	165.4414
2180.000000	86.144	163.6296
2200.000000	86.204	162.7221
2240.000000	86.301	160.9157
2270.000000	86.357	159.5810
2300.000000	86.399	158.2737
2330.000000	86.427	156.9863
2360.000000	86.444	155.7400
2400.000000	86.450	154.1846
2430.000000	86.443	153.1088
2470.000000	86.424	151.7947
2500.000000	86.403	150.9124
2540.000000	86.370	149.8683
2580.000000	86.335	148.9576
2620.000000	86.299	148.1902
2650.000000	86.276	147.7122
2690.000000	86.252	147.1935
2720.000000	86.239	146.8767
2760.000000	86.227	146.5590
2800.000000	86.230	146.3391
2850.000000	86.257	146.1904
2900.000000	86.312	146.1644
2950.000000	86.399	146.2326
3000.000000	86.527	146.3712
3040.000000	86.661	146.4604
3070.000000	86.780	146.4959
3110.000000	86.964	146.4744
3150.000000	87.173	146.3413
3200.000000	87.467	145.9879
3250.000000	87.793	145.3837
3300.000000	88.144	144.4604
3350.000000	88.516	143.1719
3400.000000	88.898	141.4548
3450.000000	89.283	139.2679
3500.000000	89.654	136.5663
3550.000000	89.990	133.3398
3600.000000	90.264	129.6055
3650.000000	90.453	125.4568
3700.000000	90.539	121.0361
3750.000000	90.514	116.5163
3820.000000	90.294	110.4230
3870.000000	90.020	106.4858
3950.000000	89.428	101.2008
4000.000000	88.999	98.5973
4060.000000	88.460	96.1838
4120.000000	87.921	94.4767
4180.000000	87.402	93.3615
4250.000000	86.838	92.6736
4310.000000	86.397	92.4962
4370.000000	85.994	92.5896
4440.000000	85.576	92.9201
4500.000000	85.268	93.2951
4550.000000	85.044	93.6251
4620.000000	84.774	94.0202
4680.000000	84.577	94.1944
4750.000000	84.377	94.1228
4820.000000	84.189	93.7232
4870.000000	84.046	93.2195
4940.000000	83.809	92.1999
5000.000000	83.553	91.0809
5080.000000	83.104	89.4228
5150.000000	82.599	88.0822
5220.000000	81.989	87.1742
5300.000000	81.188	86.9865
5380.000000	80.322	87.9098
5450.000000	79.558	89.6576
5520.000000	78.827	92.2291
5600.000000	78.066	96.0667
5700.000000	77.281	101.8389
5800.000000	76.698	108.1921
5900.000000	76.301	114.5066
6000.000000	76.054	120.5377
6080.000000	75.911	125.0844
6150.000000	75.804	128.9490
6220.000000	75.708	132.8368
6300.000000	75.611	137.3943
6400.000000	75.514	143.3244
6500.000000	75.475	149.7489
6600.000000	75.560	156.7903
6700.000000	75.817	164.1155
6800.000000	76.288	171.3481
6900.000000	76.981	178.1156
7000.000000	77.874	-175.8712
7100.000000	78.926	-170.8652
7200.000000	80.090	-167.1568
7300.000000	81.302	-165.0072
7400.000000	82.507	-164.5025
7500.000000	83.639	-165.6320
7620.000000	84.825	-168.8981
7750.000000	85.790	-174.1927
7880.000000	86.316	179.7487
8000.000000	86.469	174.5148
8120.000000	86.407	170.2190
8250.000000	86.203	166.8111
8380.000000	85.956	164.5234
8500.000000	85.742	163.0807
8620.000000	85.553	161.9323
8750.000000	85.357	160.6538
8850.000000	85.188	159.4851
9000.000000	84.853	157.4769
9120.000000	84.474	155.8962
9250.000000	83.937	154.6066
9380.000000	83.295	154.1494
9500.000000	82.653	154.6504
9620.000000	82.013	156.0346
