* Measurement data measured by REW V5.20.13
* Source: C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) L.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 26 오전 12:05:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) L.csv Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,191 Hz log spaced
* Measurement: TRECENTO 2020 Live Sample
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	28.648
20.299999	28.718
20.600000	28.809
20.900000	28.895
21.200001	28.969
21.400000	29.019
21.799999	29.119
22.000000	29.168
22.400000	29.255
22.700001	29.312
23.000000	29.373
23.299999	29.442
23.600000	29.512
24.000000	29.600
24.299999	29.664
24.700001	29.747
25.000000	29.803
25.400000	29.870
25.799999	29.930
26.200001	29.991
26.500000	30.038
26.900000	30.100
27.200001	30.142
27.600000	30.196
28.000000	30.248
28.500000	30.306
29.000000	30.358
29.500000	30.409
30.000000	30.465
30.400000	30.507
30.700001	30.535
31.100000	30.569
31.500000	30.606
32.000000	30.656
32.500000	30.704
33.000000	30.745
33.500000	30.780
34.000000	30.813
34.500000	30.846
35.000000	30.878
35.500000	30.906
36.000000	30.928
36.500000	30.945
37.000000	30.962
37.500000	30.980
38.200001	31.009
38.700001	31.031
39.500000	31.065
40.000000	31.083
40.599998	31.101
41.200001	31.118
41.799999	31.134
42.500000	31.150
43.099998	31.162
43.700001	31.172
44.400002	31.181
45.000000	31.190
45.500000	31.197
46.200001	31.207
46.799999	31.217
47.500000	31.229
48.200001	31.240
48.700001	31.245
49.400002	31.246
50.000000	31.242
50.799999	31.232
51.500000	31.221
52.200001	31.210
53.000000	31.197
53.799999	31.186
54.500000	31.177
55.200001	31.169
56.000000	31.158
57.000000	31.143
58.000000	31.127
59.000000	31.109
60.000000	31.088
60.799999	31.070
61.500000	31.053
62.200001	31.036
63.000000	31.016
64.000000	30.990
65.000000	30.963
66.000000	30.935
67.000000	30.905
68.000000	30.874
69.000000	30.840
70.000000	30.805
71.000000	30.768
72.000000	30.729
73.000000	30.689
74.000000	30.649
75.000000	30.608
76.199997	30.560
77.500000	30.507
78.800003	30.455
80.000000	30.407
81.199997	30.360
82.500000	30.308
83.800003	30.257
85.000000	30.211
86.199997	30.170
87.500000	30.130
88.500000	30.103
90.000000	30.065
91.199997	30.040
92.500000	30.018
93.800003	30.002
95.000000	29.994
96.199997	29.987
97.500000	29.979
98.800003	29.965
100.000000	29.946
101.500000	29.913
103.000000	29.871
104.400002	29.827
106.000000	29.776
107.500000	29.729
109.000000	29.682
110.599998	29.628
