* Measurement data measured by REW V5.20.13
* Source: C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) R.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 12. 26 오전 12:05:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\chsk9\Pictures\Samsung Flow\TRECENTO 2020 Live Sample 1 (by 이신렬) (KLIPPEL-Measured) R.csv Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,217 Hz log spaced
* Measurement: TRECENTO 2020 Live Sample
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	29.963
20.600000	30.025
20.900000	30.089
21.200001	30.152
21.400000	30.194
21.799999	30.277
22.000000	30.319
22.400000	30.400
22.700001	30.458
23.000000	30.512
23.299999	30.563
23.600000	30.610
24.000000	30.669
24.299999	30.712
24.700001	30.771
25.000000	30.814
25.400000	30.871
25.799999	30.925
26.200001	30.975
26.500000	31.011
26.900000	31.058
27.200001	31.091
27.600000	31.134
28.000000	31.174
28.500000	31.221
29.000000	31.264
29.500000	31.306
30.000000	31.345
30.400000	31.376
30.700001	31.398
31.100000	31.427
31.500000	31.454
32.000000	31.486
32.500000	31.516
33.000000	31.544
33.500000	31.571
34.000000	31.595
34.500000	31.616
35.000000	31.634
35.500000	31.650
36.000000	31.663
36.500000	31.677
37.000000	31.691
37.500000	31.705
38.200001	31.723
38.700001	31.734
39.500000	31.747
40.000000	31.753
40.599998	31.756
41.200001	31.758
41.799999	31.761
42.500000	31.765
43.099998	31.766
43.700001	31.764
44.400002	31.761
45.000000	31.758
45.500000	31.754
46.200001	31.745
46.799999	31.738
47.500000	31.732
48.200001	31.720
48.700001	31.708
49.400002	31.691
50.000000	31.680
50.799999	31.664
51.500000	31.651
52.200001	31.640
53.000000	31.628
53.799999	31.613
54.500000	31.597
55.200001	31.580
56.000000	31.559
