* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 3 오후 12:17:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_T-APB
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.791	-162.4021
20.600000	86.815	-162.4805
20.900000	86.860	-162.6182
21.200001	86.896	-162.7436
21.400000	86.915	-162.8217
21.799999	86.945	-162.9757
22.000000	86.959	-163.0555
22.400000	86.983	-163.2248
22.700001	87.000	-163.3665
23.000000	87.015	-163.5273
23.299999	87.030	-163.7062
23.600000	87.045	-163.8976
24.000000	87.066	-164.1610
24.299999	87.084	-164.3574
24.700001	87.111	-164.6154
25.000000	87.133	-164.8092
25.400000	87.164	-165.0744
25.799999	87.197	-165.3542
26.200001	87.230	-165.6505
26.500000	87.253	-165.8776
26.900000	87.278	-166.1706
27.200001	87.291	-166.3686
27.600000	87.306	-166.5900
28.000000	87.322	-166.7655
28.500000	87.346	-166.9602
29.000000	87.372	-167.1822
29.500000	87.391	-167.4308
30.000000	87.403	-167.6443
30.400000	87.417	-167.7690
30.700001	87.434	-167.8546
31.100000	87.463	-168.0111
31.500000	87.494	-168.2546
32.000000	87.520	-168.6637
32.500000	87.523	-169.0716
33.000000	87.513	-169.3592
33.500000	87.512	-169.5223
34.000000	87.528	-169.6469
34.500000	87.553	-169.8135
35.000000	87.575	-170.0333
35.500000	87.590	-170.2648
36.000000	87.600	-170.4674
36.500000	87.611	-170.6328
37.000000	87.625	-170.7813
37.500000	87.642	-170.9436
38.200001	87.663	-171.2311
38.700001	87.669	-171.4619
39.500000	87.670	-171.7827
40.000000	87.674	-171.9528
40.599998	87.684	-172.1728
41.200001	87.691	-172.4152
41.799999	87.694	-172.6289
42.500000	87.706	-172.8200
43.099998	87.727	-172.9937
43.700001	87.749	-173.2172
44.400002	87.762	-173.4997
45.000000	87.766	-173.7073
45.500000	87.768	-173.8536
46.200001	87.772	-174.0423
46.799999	87.775	-174.1872
47.500000	87.783	-174.3347
48.200001	87.802	-174.5173
48.700001	87.818	-174.7008
49.400002	87.834	-175.0158
50.000000	87.840	-175.2998
50.799999	87.835	-175.6358
51.500000	87.825	-175.8114
52.200001	87.829	-175.8640
53.000000	87.859	-175.9431
53.799999	87.887	-176.1688
54.500000	87.893	-176.3709
55.200001	87.895	-176.4791
56.000000	87.909	-176.5793
57.000000	87.929	-176.8487
58.000000	87.927	-177.1884
59.000000	87.917	-177.4887
60.000000	87.902	-177.7419
60.799999	87.897	-177.8928
61.500000	87.902	-178.0221
62.200001	87.910	-178.1640
63.000000	87.921	-178.3100
64.000000	87.941	-178.5090
65.000000	87.952	-178.7772
66.000000	87.949	-178.9804
67.000000	87.952	-179.1170
68.000000	87.957	-179.2996
69.000000	87.951	-179.5340
70.000000	87.932	-179.7308
71.000000	87.917	-179.8505
72.000000	87.912	-179.9916
73.000000	87.907	179.8397
74.000000	87.907	179.6709
75.000000	87.911	179.4488
76.199997	87.908	179.1733
77.500000	87.910	178.9208
78.800003	87.915	178.6502
80.000000	87.914	178.4344
81.199997	87.912	178.2447
82.500000	87.905	178.0114
83.800003	87.889	177.7986
85.000000	87.878	177.6473
86.199997	87.875	177.4838
87.500000	87.877	177.2894
88.500000	87.878	177.1180
90.000000	87.877	176.8868
91.199997	87.876	176.6802
92.500000	87.868	176.4945
93.800003	87.864	176.3356
95.000000	87.856	176.1845
96.199997	87.845	176.0602
97.500000	87.836	175.9576
98.800003	87.832	175.8428
100.000000	87.838	175.7095
101.500000	87.848	175.4276
103.000000	87.844	175.1148
104.400002	87.831	174.9067
106.000000	87.812	174.7748
107.500000	87.793	174.6429
109.000000	87.772	174.4519
110.599998	87.756	174.2181
112.000000	87.757	174.0046
113.800003	87.763	173.7988
115.000000	87.757	173.7662
117.199997	87.695	173.9732
118.000000	87.662	174.1613
120.599998	87.669	174.4628
122.000000	87.690	173.8073
124.099998	87.667	172.8417
125.000000	87.660	172.5927
126.500000	87.659	172.3465
128.000000	87.658	172.2160
131.500000	87.627	171.9349
132.000000	87.622	171.8869
134.000000	87.609	171.6923
136.000000	87.600	171.5377
138.000000	87.588	171.4069
140.000000	87.568	171.2393
143.000000	87.536	170.9241
145.000000	87.516	170.7506
147.500000	87.492	170.5674
150.000000	87.465	170.3713
152.500000	87.445	170.1758
155.000000	87.427	169.9929
157.500000	87.405	169.8257
160.000000	87.382	169.6164
162.500000	87.357	169.3956
165.000000	87.335	169.2290
167.500000	87.317	169.0736
170.000000	87.294	168.8959
172.500000	87.267	168.7503
175.000000	87.240	168.6245
177.500000	87.214	168.4625
180.000000	87.187	168.2827
182.500000	87.160	168.1284
185.000000	87.131	168.0164
187.500000	87.102	167.9350
190.000000	87.074	167.8334
192.500000	87.050	167.6887
195.000000	87.022	167.5410
197.500000	86.991	167.4664
200.000000	86.965	167.4433
203.000000	86.941	167.3550
206.000000	86.911	167.1758
209.000000	86.878	166.9968
212.000000	86.842	166.8787
214.000000	86.817	166.8234
218.000000	86.769	166.7232
220.000000	86.745	166.6807
224.000000	86.683	166.6279
227.000000	86.634	166.6264
230.000000	86.599	166.6195
233.000000	86.564	166.5994
236.000000	86.521	166.6326
240.000000	86.465	166.8506
243.000000	86.428	167.1457
247.000000	86.390	167.5404
250.000000	86.372	167.6835
254.000000	86.370	167.8531
258.000000	86.396	168.2673
262.000000	86.357	168.8645
265.000000	86.330	169.4436
269.000000	86.407	170.1400
272.000000	86.534	170.4160
276.000000	86.725	170.1635
280.000000	86.867	169.3038
285.000000	86.922	168.0538
290.000000	86.891	166.9932
295.000000	86.830	166.2139
300.000000	86.758	165.6686
304.000000	86.703	165.3297
307.000000	86.663	165.1202
311.000000	86.614	164.9009
315.000000	86.572	164.7315
320.000000	86.521	164.5706
325.000000	86.471	164.4275
330.000000	86.432	164.3123
335.000000	86.394	164.2471
340.000000	86.350	164.1937
345.000000	86.304	164.1104
350.000000	86.260	164.0300
355.000000	86.213	163.9803
360.000000	86.171	163.9446
365.000000	86.137	163.9095
370.000000	86.104	163.8771
375.000000	86.065	163.8389
382.000000	86.012	163.8203
387.000000	85.980	163.8039
395.000000	85.926	163.8052
400.000000	85.890	163.8210
406.000000	85.849	163.8418
412.000000	85.810	163.8506
418.000000	85.769	163.8547
425.000000	85.725	163.8732
431.000000	85.698	163.9010
437.000000	85.675	163.9096
444.000000	85.651	163.9177
450.000000	85.626	163.9291
455.000000	85.601	163.9455
462.000000	85.566	163.9661
468.000000	85.538	163.9666
475.000000	85.506	163.9764
482.000000	85.472	163.9976
487.000000	85.449	164.0118
494.000000	85.416	164.0583
500.000000	85.387	164.1211
508.000000	85.355	164.2136
515.000000	85.329	164.3015
522.000000	85.303	164.4065
530.000000	85.280	164.5370
538.000000	85.262	164.6542
545.000000	85.251	164.7197
552.000000	85.238	164.7416
560.000000	85.222	164.7601
570.000000	85.194	164.8155
580.000000	85.153	164.8638
590.000000	85.120	164.9490
600.000000	85.089	165.0500
608.000000	85.062	165.1292
615.000000	85.043	165.2209
622.000000	85.025	165.3312
630.000000	85.000	165.4601
640.000000	84.970	165.6215
650.000000	84.944	165.8188
660.000000	84.923	166.0357
670.000000	84.902	166.2333
680.000000	84.882	166.3813
690.000000	84.861	166.5279
700.000000	84.840	166.7180
710.000000	84.821	166.9139
720.000000	84.805	167.0870
730.000000	84.793	167.2688
740.000000	84.783	167.4801
750.000000	84.774	167.7130
762.000000	84.765	167.9839
775.000000	84.756	168.2504
788.000000	84.753	168.5297
800.000000	84.753	168.8176
812.000000	84.758	169.0838
825.000000	84.768	169.3573
838.000000	84.784	169.6473
850.000000	84.803	169.9137
862.000000	84.825	170.1732
875.000000	84.853	170.4408
885.000000	84.878	170.6199
900.000000	84.918	170.8395
912.000000	84.954	171.0194
925.000000	84.997	171.1937
938.000000	85.043	171.3297
950.000000	85.088	171.4480
962.000000	85.139	171.5390
975.000000	85.196	171.5981
988.000000	85.258	171.6182
1000.000000	85.316	171.5966
1015.000000	85.381	171.5164
1030.000000	85.445	171.4020
1044.000000	85.505	171.2493
1060.000000	85.574	171.0278
1075.000000	85.635	170.7973
1090.000000	85.693	170.5261
1106.000000	85.762	170.2057
1120.000000	85.820	169.8788
1138.000000	85.889	169.3982
1150.000000	85.930	169.0703
1172.000000	86.000	168.4697
1180.000000	86.024	168.2467
1206.000000	86.085	167.4874
1220.000000	86.115	167.0575
1241.000000	86.155	166.4211
1250.000000	86.169	166.1629
1265.000000	86.187	165.7288
1280.000000	86.203	165.2823
1315.000000	86.230	164.3098
1320.000000	86.232	164.1750
1340.000000	86.233	163.6508
1360.000000	86.225	163.1565
1380.000000	86.218	162.6662
1400.000000	86.214	162.1941
1430.000000	86.203	161.5557
1450.000000	86.191	161.1713
1475.000000	86.174	160.7139
1500.000000	86.154	160.2949
1525.000000	86.135	159.9261
1550.000000	86.116	159.5868
1575.000000	86.093	159.2842
1600.000000	86.072	159.0262
1625.000000	86.051	158.8102
1650.000000	86.033	158.6138
1675.000000	86.016	158.4306
1700.000000	86.000	158.2719
1725.000000	85.987	158.1348
1750.000000	85.976	158.0159
1775.000000	85.965	157.9113
1800.000000	85.957	157.8190
1825.000000	85.949	157.7233
1850.000000	85.944	157.6381
1875.000000	85.941	157.5754
1900.000000	85.937	157.5186
1925.000000	85.932	157.4704
1950.000000	85.929	157.4521
1975.000000	85.929	157.4691
2000.000000	85.932	157.5268
2030.000000	85.946	157.6380
2060.000000	85.968	157.7455
2090.000000	86.002	157.8602
2120.000000	86.045	157.9511
2140.000000	86.080	157.9912
2180.000000	86.161	158.0126
2200.000000	86.203	157.9850
2240.000000	86.293	157.8686
2270.000000	86.367	157.7012
2300.000000	86.442	157.4545
2330.000000	86.514	157.1351
2360.000000	86.580	156.7429
2400.000000	86.657	156.1231
2430.000000	86.708	155.5840
2470.000000	86.762	154.7988
2500.000000	86.789	154.1991
2540.000000	86.805	153.3673
2580.000000	86.797	152.5316
2620.000000	86.768	151.7384
2650.000000	86.738	151.1781
2690.000000	86.685	150.4915
2720.000000	86.634	150.0364
2760.000000	86.554	149.5217
2800.000000	86.466	149.0999
2850.000000	86.350	148.7032
2900.000000	86.229	148.4742
2950.000000	86.107	148.4049
3000.000000	85.989	148.4826
3040.000000	85.901	148.6257
3070.000000	85.839	148.7669
3110.000000	85.761	148.9992
3150.000000	85.690	149.2931
3200.000000	85.611	149.7444
3250.000000	85.540	150.2491
3300.000000	85.480	150.8218
3350.000000	85.434	151.4453
3400.000000	85.402	152.0658
3450.000000	85.388	152.6926
3500.000000	85.386	153.3423
3550.000000	85.396	153.9866
3600.000000	85.415	154.6240
3650.000000	85.443	155.2434
3700.000000	85.477	155.8460
3750.000000	85.516	156.4180
3820.000000	85.578	157.1744
3870.000000	85.621	157.6780
3950.000000	85.684	158.3944
4000.000000	85.721	158.7985
4060.000000	85.760	159.2337
4120.000000	85.793	159.6248
4180.000000	85.818	160.0323
4250.000000	85.835	160.5444
4310.000000	85.837	161.0250
4370.000000	85.822	161.5725
4440.000000	85.791	162.2983
4500.000000	85.764	163.0034
4550.000000	85.745	163.6548
4620.000000	85.727	164.6564
4680.000000	85.717	165.5778
4750.000000	85.718	166.7124
4820.000000	85.736	167.9034
4870.000000	85.755	168.7781
4940.000000	85.797	170.0190
5000.000000	85.848	171.0772
5080.000000	85.935	172.4294
5150.000000	86.025	173.5467
5220.000000	86.123	174.5856
5300.000000	86.242	175.6633
5380.000000	86.363	176.6592
5450.000000	86.463	177.4760
5520.000000	86.563	178.2726
5600.000000	86.681	179.1790
5700.000000	86.839	-179.7312
5800.000000	86.997	-178.7375
5900.000000	87.147	-177.7398
6000.000000	87.304	-176.6573
6080.000000	87.450	-175.7430
6150.000000	87.595	-174.9515
6220.000000	87.754	-174.1786
6300.000000	87.956	-173.3175
6400.000000	88.249	-172.3058
6500.000000	88.608	-171.4108
6600.000000	89.058	-170.8830
6700.000000	89.600	-171.1592
6800.000000	90.192	-172.7988
6900.000000	90.717	-176.2805
7000.000000	90.988	178.5801
7100.000000	90.853	173.1338
7200.000000	90.333	169.4002
7300.000000	89.662	168.6705
7400.000000	89.158	170.5064
7500.000000	89.011	173.3673
7620.000000	89.286	176.0536
7750.000000	89.864	176.4451
7880.000000	90.342	173.8572
8000.000000	90.510	169.4247
8120.000000	90.338	164.1754
8250.000000	89.771	159.0037
8380.000000	88.904	155.4542
8500.000000	87.962	153.9911
8620.000000	86.981	154.1810
8750.000000	85.957	155.9230
8850.000000	85.233	158.0621
9000.000000	84.277	162.0830
9120.000000	83.611	165.7997
9250.000000	82.971	170.2788
9380.000000	82.421	175.2576
9500.000000	82.017	-179.7476
9620.000000	81.729	-174.5884
9750.000000	81.542	-169.0259
9880.000000	81.463	-163.5628
10000.000000	81.476	-158.6162
10150.000000	81.608	-152.5266
10300.000000	81.878	-146.5510
10440.000000	82.280	-141.1816
10600.000000	82.970	-135.4731
10750.000000	83.884	-130.9244
10900.000000	85.096	-127.8208
11060.000000	86.691	-127.3670
11200.000000	88.167	-130.9888
11380.000000	89.626	-142.9226
11500.000000	89.989	-154.7469
11720.000000	89.008	-176.5998
11800.000000	88.193	177.6257
12060.000000	84.804	169.7159
12200.000000	82.997	170.6339
12410.000000	80.711	175.2723
12500.000000	79.887	177.8202
12650.000000	78.668	-177.5287
12800.000000	77.584	-172.2886
13150.000000	75.676	-157.2024
13200.000000	75.507	-154.9163
13400.000000	75.090	-146.3022
13600.000000	74.974	-138.8909
13800.000000	75.073	-132.9312
14000.000000	75.264	-128.6631
14300.000000	75.726	-122.8450
14500.000000	76.597	-121.5898
14750.000000	77.416	-128.6507
15000.000000	77.065	-140.6964
15250.000000	75.552	-149.7773
15500.000000	73.537	-152.3125
15750.000000	71.819	-150.1019
16000.000000	70.862	-147.8103
16250.000000	70.391	-149.7881
16500.000000	69.868	-157.2464
16750.000000	68.813	-171.3014
17000.000000	66.500	172.6552
17250.000000	62.672	164.0625
17500.000000	57.875	161.2808
17750.000000	53.070	106.2341
18000.000000	48.635	-47.5166
18250.000000	44.499	-47.6987
18500.000000	41.144	98.7422
18750.000000	39.391	28.5000
19000.000000	39.351	-48.4043
19250.000000	39.673	4.5078
19500.000000	39.728	-66.8359
19750.000000	40.003	156.5703
20000.000000	40.425	-20.7773
