* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 3 오후 12:14:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_T-APB
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.891	-170.3305
20.600000	89.905	-170.3753
20.900000	89.931	-170.4514
21.200001	89.951	-170.5159
21.400000	89.961	-170.5573
21.799999	89.976	-170.6491
22.000000	89.982	-170.7035
22.400000	89.992	-170.8295
22.700001	89.998	-170.9406
23.000000	90.004	-171.0690
23.299999	90.010	-171.2153
23.600000	90.017	-171.3768
24.000000	90.028	-171.6087
24.299999	90.039	-171.7889
24.700001	90.056	-172.0327
25.000000	90.069	-172.2163
25.400000	90.086	-172.4592
25.799999	90.102	-172.6918
26.200001	90.118	-172.9016
26.500000	90.130	-173.0374
26.900000	90.147	-173.1898
27.200001	90.160	-173.2917
27.600000	90.179	-173.4308
28.000000	90.197	-173.5933
28.500000	90.213	-173.8277
29.000000	90.216	-174.0540
29.500000	90.211	-174.2282
30.000000	90.210	-174.3586
30.400000	90.216	-174.4719
30.700001	90.223	-174.5821
31.100000	90.230	-174.7666
31.500000	90.231	-174.9716
32.000000	90.228	-175.2021
32.500000	90.226	-175.3782
33.000000	90.235	-175.5454
33.500000	90.254	-175.7622
34.000000	90.271	-176.0283
34.500000	90.280	-176.2853
35.000000	90.282	-176.4834
35.500000	90.286	-176.6183
36.000000	90.299	-176.7274
36.500000	90.316	-176.8511
37.000000	90.334	-177.0039
37.500000	90.346	-177.1724
38.200001	90.353	-177.4039
38.700001	90.353	-177.5600
39.500000	90.348	-177.7856
40.000000	90.346	-177.9059
40.599998	90.349	-178.0513
41.200001	90.356	-178.2422
41.799999	90.359	-178.4774
42.500000	90.356	-178.7290
43.099998	90.358	-178.8923
43.700001	90.369	-179.0636
44.400002	90.378	-179.3152
45.000000	90.377	-179.5162
45.500000	90.376	-179.6346
46.200001	90.383	-179.7658
46.799999	90.394	-179.9066
47.500000	90.403	179.8925
48.200001	90.407	179.7011
48.700001	90.410	179.5860
49.400002	90.418	179.4417
50.000000	90.427	179.3014
50.799999	90.434	179.0721
51.500000	90.433	178.8813
52.200001	90.431	178.7361
53.000000	90.434	178.5833
53.799999	90.442	178.3697
54.500000	90.440	178.1135
55.200001	90.424	177.8688
56.000000	90.401	177.7366
57.000000	90.406	177.6671
58.000000	90.431	177.3813
59.000000	90.435	177.0273
60.000000	90.428	176.7872
60.799999	90.428	176.6517
61.500000	90.434	176.5311
62.200001	90.438	176.3972
63.000000	90.438	176.2657
64.000000	90.442	176.1153
65.000000	90.444	175.8836
66.000000	90.436	175.6325
67.000000	90.426	175.4235
68.000000	90.420	175.2263
69.000000	90.415	175.0244
70.000000	90.410	174.8177
71.000000	90.403	174.6322
72.000000	90.400	174.4670
73.000000	90.400	174.2623
74.000000	90.394	174.0322
75.000000	90.386	173.8253
76.199997	90.381	173.5661
77.500000	90.373	173.2527
78.800003	90.360	172.9880
80.000000	90.352	172.7889
81.199997	90.341	172.5895
82.500000	90.329	172.3889
83.800003	90.318	172.1880
85.000000	90.308	172.0078
86.199997	90.298	171.8328
87.500000	90.290	171.6687
88.500000	90.285	171.5349
90.000000	90.272	171.2308
91.199997	90.248	171.0057
92.500000	90.236	170.8281
93.800003	90.239	170.5759
95.000000	90.241	170.3162
96.199997	90.240	170.0873
97.500000	90.232	169.9016
98.800003	90.221	169.7883
100.000000	90.216	169.6912
101.500000	90.205	169.4547
103.000000	90.184	169.1622
104.400002	90.165	168.9078
106.000000	90.147	168.6677
107.500000	90.130	168.4865
109.000000	90.108	168.3121
110.599998	90.088	168.1039
112.000000	90.081	167.8708
113.800003	90.084	167.5771
115.000000	90.086	167.5022
117.199997	90.077	167.8235
118.000000	90.077	168.0794
120.599998	90.132	168.0845
122.000000	90.079	167.3546
124.099998	89.958	166.5562
125.000000	89.928	166.3167
126.500000	89.907	166.0082
128.000000	89.904	165.7944
131.500000	89.876	165.3923
132.000000	89.868	165.3291
134.000000	89.838	165.0714
136.000000	89.815	164.8485
138.000000	89.797	164.6840
