* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 3 오전 11:50:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.113	-144.3301
20.600000	86.145	-144.5081
20.900000	86.209	-144.8210
21.200001	86.265	-145.1093
21.400000	86.300	-145.2968
21.799999	86.362	-145.6904
22.000000	86.391	-145.9037
22.400000	86.443	-146.3538
22.700001	86.477	-146.7012
23.000000	86.507	-147.0512
23.299999	86.537	-147.4021
23.600000	86.568	-147.7554
24.000000	86.612	-148.2347
24.299999	86.647	-148.6032
24.700001	86.692	-149.1023
25.000000	86.724	-149.4729
25.400000	86.764	-149.9447
25.799999	86.803	-150.3790
26.200001	86.845	-150.7811
26.500000	86.878	-151.0719
26.900000	86.922	-151.4563
27.200001	86.952	-151.7441
27.600000	86.988	-152.1223
28.000000	87.021	-152.4865
28.500000	87.059	-152.9230
29.000000	87.091	-153.3529
29.500000	87.117	-153.7751
30.000000	87.140	-154.1690
30.400000	87.162	-154.4686
30.700001	87.181	-154.7019
31.100000	87.209	-155.0522
31.500000	87.231	-155.4510
32.000000	87.247	-155.9598
32.500000	87.251	-156.3810
33.000000	87.264	-156.6882
33.500000	87.299	-156.9704
34.000000	87.348	-157.3365
34.500000	87.391	-157.7956
35.000000	87.417	-158.2618
35.500000	87.435	-158.6485
36.000000	87.457	-158.9575
36.500000	87.487	-159.2544
37.000000	87.517	-159.5843
37.500000	87.540	-159.9271
38.200001	87.560	-160.3546
38.700001	87.573	-160.6215
39.500000	87.597	-161.0617
40.000000	87.611	-161.3583
40.599998	87.625	-161.7171
41.200001	87.639	-162.0741
41.799999	87.654	-162.4411
42.500000	87.669	-162.8748
43.099998	87.683	-163.2225
43.700001	87.699	-163.5368
44.400002	87.720	-163.8857
45.000000	87.741	-164.1985
45.500000	87.756	-164.4758
46.200001	87.768	-164.8587
46.799999	87.772	-165.1284
47.500000	87.781	-165.3634
48.200001	87.803	-165.6026
48.700001	87.821	-165.8159
49.400002	87.842	-166.1478
50.000000	87.856	-166.4270
50.799999	87.876	-166.8079
51.500000	87.891	-167.1592
52.200001	87.903	-167.4791
53.000000	87.920	-167.7953
53.799999	87.940	-168.1238
54.500000	87.951	-168.4031
55.200001	87.961	-168.6201
56.000000	87.984	-168.8596
57.000000	88.003	-169.2885
58.000000	87.995	-169.6638
59.000000	87.993	-169.9247
60.000000	87.996	-170.2469
60.799999	87.996	-170.5081
61.500000	88.001	-170.7369
62.200001	88.010	-170.9980
63.000000	88.016	-171.3176
64.000000	88.016	-171.6695
65.000000	88.020	-171.9544
66.000000	88.032	-172.2297
67.000000	88.046	-172.5225
68.000000	88.054	-172.8273
69.000000	88.054	-173.1021
70.000000	88.056	-173.3439
71.000000	88.061	-173.5989
72.000000	88.063	-173.8522
73.000000	88.067	-174.1029
74.000000	88.067	-174.3571
75.000000	88.064	-174.5881
76.199997	88.061	-174.8616
77.500000	88.055	-175.1783
78.800003	88.050	-175.4826
80.000000	88.049	-175.7534
81.199997	88.052	-176.0314
82.500000	88.058	-176.3559
83.800003	88.063	-176.6612
85.000000	88.065	-176.9342
86.199997	88.061	-177.1926
87.500000	88.055	-177.4264
88.500000	88.051	-177.6049
90.000000	88.049	-177.9154
91.199997	88.050	-178.2038
92.500000	88.049	-178.5356
93.800003	88.045	-178.8138
95.000000	88.045	-179.0335
96.199997	88.046	-179.2606
97.500000	88.041	-179.5108
98.800003	88.032	-179.7449
100.000000	88.023	-179.9330
101.500000	88.017	179.8639
103.000000	88.015	179.6419
104.400002	88.013	179.4240
106.000000	88.006	179.1848
107.500000	87.998	178.9631
109.000000	87.988	178.7255
110.599998	87.980	178.4664
112.000000	87.976	178.2247
113.800003	87.970	177.9301
115.000000	87.967	177.7850
117.199997	87.960	177.6268
118.000000	87.958	177.5920
120.599998	87.963	177.2649
122.000000	87.945	176.9352
124.099998	87.913	176.5460
125.000000	87.906	176.4009
126.500000	87.898	176.1686
128.000000	87.890	175.9776
131.500000	87.876	175.6095
132.000000	87.873	175.5438
134.000000	87.857	175.2844
136.000000	87.841	175.0416
138.000000	87.825	174.8122
140.000000	87.808	174.6019
143.000000	87.790	174.2773
145.000000	87.776	174.0400
147.500000	87.756	173.7625
150.000000	87.737	173.4995
152.500000	87.723	173.2671
155.000000	87.708	173.0543
157.500000	87.687	172.8647
160.000000	87.665	172.6622
162.500000	87.643	172.4102
165.000000	87.621	172.1567
167.500000	87.601	171.9339
170.000000	87.583	171.7328
172.500000	87.564	171.5399
175.000000	87.541	171.3528
177.500000	87.516	171.1833
180.000000	87.492	171.0119
182.500000	87.465	170.8185
185.000000	87.438	170.6261
187.500000	87.417	170.4499
190.000000	87.394	170.2801
192.500000	87.364	170.1326
195.000000	87.337	170.0062
197.500000	87.318	169.8825
200.000000	87.303	169.7520
203.000000	87.280	169.5696
206.000000	87.255	169.3946
209.000000	87.233	169.2225
212.000000	87.210	169.0468
214.000000	87.192	168.9373
218.000000	87.159	168.7514
220.000000	87.144	168.6544
224.000000	87.113	168.4165
227.000000	87.088	168.2681
230.000000	87.065	168.1591
233.000000	87.040	168.0529
236.000000	87.012	167.9633
240.000000	86.975	167.8372
243.000000	86.945	167.7397
247.000000	86.906	167.5897
250.000000	86.874	167.4417
254.000000	86.832	167.2829
258.000000	86.795	167.1806
262.000000	86.753	167.0974
265.000000	86.719	167.0419
269.000000	86.677	166.9503
272.000000	86.651	166.8755
276.000000	86.619	166.7815
280.000000	86.581	166.7203
285.000000	86.528	166.6853
290.000000	86.470	166.6575
295.000000	86.411	166.6954
300.000000	86.350	166.8393
304.000000	86.307	167.0524
307.000000	86.281	167.2984
311.000000	86.261	167.7573
315.000000	86.277	168.2773
320.000000	86.365	168.7292
325.000000	86.483	168.6918
330.000000	86.561	168.1814
335.000000	86.585	167.5087
340.000000	86.568	166.9456
345.000000	86.525	166.5489
350.000000	86.470	166.2643
355.000000	86.420	166.0677
360.000000	86.375	165.9355
365.000000	86.329	165.8358
370.000000	86.287	165.7561
375.000000	86.252	165.6924
382.000000	86.207	165.5843
387.000000	86.173	165.5146
395.000000	86.113	165.4429
400.000000	86.079	165.4151
406.000000	86.041	165.3832
412.000000	86.001	165.3580
418.000000	85.961	165.3410
425.000000	85.917	165.3265
431.000000	85.877	165.3346
437.000000	85.840	165.3808
444.000000	85.805	165.4636
450.000000	85.779	165.5089
455.000000	85.762	165.5128
462.000000	85.740	165.4851
468.000000	85.719	165.4599
475.000000	85.686	165.4526
482.000000	85.652	165.4710
487.000000	85.629	165.4772
494.000000	85.598	165.4791
500.000000	85.574	165.5020
508.000000	85.541	165.5910
