* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 3 오전 11:51:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.994	-167.3715
20.600000	90.008	-167.4348
20.900000	90.037	-167.5420
21.200001	90.060	-167.6312
21.400000	90.072	-167.6879
21.799999	90.094	-167.8140
22.000000	90.105	-167.8903
22.400000	90.122	-168.0719
22.700001	90.134	-168.2334
23.000000	90.143	-168.4160
23.299999	90.151	-168.6136
23.600000	90.158	-168.8177
24.000000	90.170	-169.0851
24.299999	90.181	-169.2760
24.700001	90.201	-169.5226
25.000000	90.219	-169.7122
25.400000	90.244	-169.9837
25.799999	90.267	-170.2747
26.200001	90.286	-170.5613
26.500000	90.297	-170.7530
26.900000	90.307	-170.9612
27.200001	90.315	-171.0845
27.600000	90.327	-171.2267
28.000000	90.342	-171.3754
28.500000	90.359	-171.5956
29.000000	90.366	-171.8333
29.500000	90.364	-172.0442
30.000000	90.364	-172.2123
30.400000	90.371	-172.3419
30.700001	90.380	-172.4580
31.100000	90.394	-172.6584
31.500000	90.405	-172.9090
32.000000	90.410	-173.2498
32.500000	90.405	-173.5550
33.000000	90.401	-173.7892
33.500000	90.405	-173.9676
34.000000	90.420	-174.1250
34.500000	90.442	-174.2914
35.000000	90.464	-174.4820
35.500000	90.484	-174.6954
36.000000	90.497	-174.9134
36.500000	90.505	-175.1108
37.000000	90.510	-175.2695
37.500000	90.515	-175.3960
38.200001	90.522	-175.5789
38.700001	90.526	-175.7431
39.500000	90.524	-176.0275
40.000000	90.522	-176.1980
40.599998	90.523	-176.4136
41.200001	90.523	-176.6513
41.799999	90.522	-176.8741
42.500000	90.528	-177.0837
43.099998	90.545	-177.2608
43.700001	90.563	-177.4679
44.400002	90.577	-177.7015
45.000000	90.586	-177.8417
45.500000	90.599	-177.9277
46.200001	90.625	-178.0808
46.799999	90.646	-178.3028
47.500000	90.652	-178.6520
48.200001	90.630	-178.9731
48.700001	90.606	-179.1081
49.400002	90.581	-179.1569
50.000000	90.579	-179.1656
50.799999	90.600	-179.3025
51.500000	90.622	-179.5815
52.200001	90.634	-179.9422
53.000000	90.632	179.6587
53.799999	90.623	179.3544
54.500000	90.617	179.1821
55.200001	90.620	179.0758
56.000000	90.635	178.9681
57.000000	90.656	178.7739
58.000000	90.667	178.5462
59.000000	90.666	178.3190
60.000000	90.654	178.1168
60.799999	90.645	177.9821
61.500000	90.642	177.8546
62.200001	90.643	177.6954
63.000000	90.643	177.4842
64.000000	90.640	177.2248
65.000000	90.638	176.9718
66.000000	90.636	176.7217
67.000000	90.634	176.5048
68.000000	90.630	176.2936
69.000000	90.622	176.1055
70.000000	90.618	175.9272
71.000000	90.615	175.7134
72.000000	90.613	175.4862
73.000000	90.614	175.2383
74.000000	90.611	174.9797
75.000000	90.604	174.7603
76.199997	90.595	174.5482
77.500000	90.586	174.3520
78.800003	90.579	174.1436
80.000000	90.567	173.9163
81.199997	90.552	173.6927
82.500000	90.542	173.4294
83.800003	90.535	173.1597
85.000000	90.531	172.9499
86.199997	90.529	172.7517
87.500000	90.521	172.5447
88.500000	90.509	172.4095
90.000000	90.490	172.1931
91.199997	90.474	171.9759
92.500000	90.461	171.7375
93.800003	90.458	171.4963
95.000000	90.459	171.2563
96.199997	90.460	171.0305
97.500000	90.459	170.7857
98.800003	90.449	170.5575
100.000000	90.436	170.3832
101.500000	90.420	170.1725
103.000000	90.400	169.9440
104.400002	90.383	169.7815
106.000000	90.377	169.5815
107.500000	90.363	169.3238
109.000000	90.342	169.0925
110.599998	90.321	168.8665
112.000000	90.307	168.6594
113.800003	90.291	168.3836
115.000000	90.282	168.2209
117.199997	90.266	167.9429
118.000000	90.258	167.8555
120.599998	90.235	167.5665
122.000000	90.220	167.3468
124.099998	90.193	167.0335
125.000000	90.183	166.9169
126.500000	90.169	166.7333
128.000000	90.156	166.5553
131.500000	90.117	166.1636
132.000000	90.111	166.1065
134.000000	90.090	165.8584
136.000000	90.069	165.5687
138.000000	90.044	165.2953
140.000000	90.021	165.0551
143.000000	89.983	164.7095
145.000000	89.954	164.4973
