* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 3:59:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nostalgia Audio Tesseract L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	89.549	50.6845
20.290907	89.581	50.4508
20.437943	89.614	50.1115
20.586044	89.645	49.7370
20.735220	89.670	49.3095
20.885475	89.687	48.8608
21.036821	89.693	48.3919
21.189262	89.692	47.9210
21.342808	89.682	47.4858
21.497467	89.666	47.0777
21.653246	89.647	46.7305
21.810154	89.624	46.4513
21.968201	89.604	46.2278
22.127390	89.591	46.0694
22.287735	89.586	45.9531
22.449242	89.595	45.8385
22.611917	89.616	45.7301
22.775772	89.648	45.5608
22.940815	89.692	45.3337
23.107054	89.739	45.0216
23.274498	89.789	44.6080
23.443153	89.835	44.1185
23.613033	89.871	43.5486
23.784142	89.899	42.9345
23.956491	89.914	42.3132
24.130091	89.918	41.6980
24.304947	89.912	41.1478
24.481071	89.897	40.6576
24.658470	89.883	40.2624
24.837156	89.868	39.9538
25.017136	89.863	39.7145
25.198421	89.866	39.5405
25.381020	89.882	39.3761
25.564941	89.910	39.2218
25.750195	89.945	39.0277
25.936790	89.988	38.7970
26.124741	90.031	38.5185
26.314051	90.074	38.1981
26.504732	90.112	37.8588
26.696796	90.145	37.5054
26.890253	90.173	37.1664
27.085112	90.198	36.8391
27.281382	90.222	36.5332
27.479073	90.247	36.2358
27.678198	90.274	35.9391
27.878765	90.300	35.6303
28.080786	90.326	35.3003
28.284271	90.348	34.9560
28.489231	90.365	34.5981
28.695675	90.374	34.2565
28.903616	90.378	33.9374
29.113064	90.379	33.6692
29.324028	90.379	33.4452
29.536524	90.383	33.2715
29.750557	90.394	33.1118
29.966141	90.413	32.9559
30.183289	90.437	32.7572
30.402010	90.465	32.5127
30.622314	90.491	32.2043
30.844217	90.510	31.8606
31.067726	90.519	31.4915
31.292856	90.520	31.1484
31.519617	90.515	30.8436
31.748020	90.507	30.6033
31.978081	90.505	30.4093
32.209808	90.510	30.2485
32.443211	90.525	30.0745
32.678310	90.546	29.8559
32.915108	90.571	29.5718
33.153625	90.593	29.2163
33.393871	90.607	28.8163
33.635857	90.612	28.3932
33.879597	90.608	27.9995
34.125103	90.598	27.6517
34.372387	90.585	27.3675
34.621464	90.577	27.1360
34.872345	90.573	26.9340
35.125042	90.577	26.7409
