* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 3:58:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nostalgia Audio Tesseract R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.813	50.3803
20.600000	89.841	49.9703
20.900000	89.893	49.2311
21.200001	89.927	48.5145
21.400000	89.940	48.0608
21.799999	89.954	47.1981
22.000000	89.958	46.7849
22.400000	89.966	45.9919
22.700001	89.976	45.3951
23.000000	89.988	44.7594
23.299999	89.998	44.0800
23.600000	90.004	43.3832
24.000000	90.003	42.4990
24.299999	90.004	41.9229
24.700001	90.021	41.2784
25.000000	90.054	40.8319
25.400000	90.123	40.1731
25.799999	90.202	39.3576
26.200001	90.268	38.4250
26.500000	90.301	37.7320
26.900000	90.330	36.9109
27.200001	90.348	36.3897
27.600000	90.380	35.7718
28.000000	90.416	35.1528
28.500000	90.450	34.3463
29.000000	90.458	33.6516
29.500000	90.460	33.2041
30.000000	90.490	32.9109
30.400000	90.536	32.6266
30.700001	90.576	32.3296
31.100000	90.622	31.8296
31.500000	90.653	31.2676
32.000000	90.671	30.5660
32.500000	90.674	29.9066
33.000000	90.665	29.3157
33.500000	90.650	28.8505
34.000000	90.648	28.5348
34.500000	90.676	28.2591
35.000000	90.729	27.8448
35.500000	90.778	27.2023
36.000000	90.795	26.4376
36.500000	90.776	25.7556
37.000000	90.745	25.3022
37.500000	90.730	25.0556
38.200001	90.758	24.7812
38.700001	90.803	24.4589
39.500000	90.877	23.6459
40.000000	90.910	23.0045
40.599998	90.929	22.1637
41.200001	90.916	21.3583
41.799999	90.880	20.7572
42.500000	90.850	20.4012
43.099998	90.864	20.2024
43.700001	90.903	19.8687
44.400002	90.938	19.2980
45.000000	90.951	18.8033
45.500000	90.958	18.4277
46.200001	90.965	17.8893
46.799999	90.959	17.4015
47.500000	90.934	16.9231
48.200001	90.911	16.6161
48.700001	90.910	16.4422
49.400002	90.926	16.1241
50.000000	90.941	15.7365
50.799999	90.947	15.1467
51.500000	90.942	14.6707
52.200001	90.943	14.2278
53.000000	90.947	13.6872
53.799999	90.943	13.1358
54.500000	90.933	12.7208
55.200001	90.927	12.3694
56.000000	90.927	11.9830
57.000000	90.926	11.4918
58.000000	90.921	11.0345
59.000000	90.919	10.5999
60.000000	90.920	10.1195
60.799999	90.916	9.6903
61.500000	90.907	9.3112
62.200001	90.895	8.9545
63.000000	90.882	8.5772
64.000000	90.872	8.1228
65.000000	90.861	7.6792
66.000000	90.849	7.2805
67.000000	90.839	6.9292
68.000000	90.833	6.5799
69.000000	90.824	6.2128
70.000000	90.812	5.8490
71.000000	90.800	5.4935
72.000000	90.791	5.1248
73.000000	90.780	4.7435
74.000000	90.767	4.3754
75.000000	90.754	4.0332
76.199997	90.737	3.6422
77.500000	90.718	3.2175
78.800003	90.695	2.7939
80.000000	90.673	2.4210
81.199997	90.654	2.0618
82.500000	90.635	1.6758
83.800003	90.614	1.3067
85.000000	90.595	0.9936
86.199997	90.577	0.6865
87.500000	90.559	0.3373
88.500000	90.544	0.0671
90.000000	90.522	-0.3143
91.199997	90.505	-0.6017
92.500000	90.486	-0.9056
93.800003	90.463	-1.2051
95.000000	90.440	-1.4760
96.199997	90.417	-1.7437
97.500000	90.396	-2.0327
98.800003	90.376	-2.3135
100.000000	90.359	-2.5556
101.500000	90.336	-2.8312
103.000000	90.311	-3.0870
104.400002	90.284	-3.3296
106.000000	90.252	-3.6254
107.500000	90.222	-3.9039
109.000000	90.195	-4.1659
110.599998	90.167	-4.4282
112.000000	90.142	-4.6485
113.800003	90.108	-4.9265
115.000000	90.085	-5.1110
117.199997	90.046	-5.4435
118.000000	90.033	-5.5600
120.599998	89.991	-5.9171
122.000000	89.967	-6.0931
124.099998	89.931	-6.3377
125.000000	89.916	-6.4395
126.500000	89.891	-6.6108
128.000000	89.866	-6.7828
131.500000	89.804	-7.1679
132.000000	89.795	-7.2218
134.000000	89.761	-7.4308
136.000000	89.729	-7.6281
138.000000	89.698	-7.8183
140.000000	89.666	-7.9952
143.000000	89.618	-8.2289
145.000000	89.584	-8.3790
147.500000	89.541	-8.5728
150.000000	89.500	-8.7639
152.500000	89.459	-8.9432
155.000000	89.417	-9.1029
157.500000	89.375	-9.2535
160.000000	89.335	-9.3900
162.500000	89.295	-9.5126
165.000000	89.251	-9.6345
167.500000	89.207	-9.7668
170.000000	89.168	-9.8878
172.500000	89.131	-9.9846
175.000000	89.096	-10.0789
177.500000	89.060	-10.1741
180.000000	89.025	-10.2542
182.500000	88.988	-10.3214
185.000000	88.950	-10.3921
187.500000	88.914	-10.4615
190.000000	88.879	-10.5092
192.500000	88.840	-10.5388
195.000000	88.799	-10.5694
197.500000	88.758	-10.5957
200.000000	88.719	-10.6007
203.000000	88.671	-10.5768
206.000000	88.620	-10.5328
209.000000	88.571	-10.4491
212.000000	88.524	-10.3023
214.000000	88.494	-10.1755
218.000000	88.446	-9.8648
220.000000	88.430	-9.6798
224.000000	88.423	-9.3130
227.000000	88.440	-9.1335
230.000000	88.466	-9.0976
233.000000	88.487	-9.2062
236.000000	88.493	-9.4109
240.000000	88.479	-9.7154
243.000000	88.457	-9.9149
247.000000	88.421	-10.1348
250.000000	88.391	-10.2706
254.000000	88.348	-10.4200
258.000000	88.304	-10.5386
262.000000	88.260	-10.6340
265.000000	88.226	-10.6916
269.000000	88.182	-10.7522
272.000000	88.150	-10.7864
276.000000	88.108	-10.8182
280.000000	88.067	-10.8397
285.000000	88.018	-10.8477
290.000000	87.971	-10.8340
295.000000	87.923	-10.8032
300.000000	87.876	-10.7634
304.000000	87.839	-10.7270
307.000000	87.812	-10.6970
311.000000	87.776	-10.6575
315.000000	87.740	-10.6191
320.000000	87.697	-10.5636
325.000000	87.655	-10.4958
330.000000	87.614	-10.4195
335.000000	87.572	-10.3395
340.000000	87.530	-10.2575
345.000000	87.488	-10.1728
350.000000	87.446	-10.0873
355.000000	87.405	-9.9982
360.000000	87.365	-9.9000
365.000000	87.325	-9.7975
370.000000	87.286	-9.6983
375.000000	87.247	-9.5987
382.000000	87.192	-9.4523
387.000000	87.154	-9.3407
395.000000	87.093	-9.1535
400.000000	87.056	-9.0317
406.000000	87.011	-8.8800
412.000000	86.967	-8.7233
418.000000	86.923	-8.5628
425.000000	86.873	-8.3690
431.000000	86.832	-8.2037
437.000000	86.791	-8.0344
444.000000	86.744	-7.8267
450.000000	86.704	-7.6434
455.000000	86.671	-7.4897
462.000000	86.625	-7.2686
468.000000	86.586	-7.0696
475.000000	86.541	-6.8322
482.000000	86.497	-6.5921
487.000000	86.466	-6.4164
494.000000	86.422	-6.1630
500.000000	86.385	-5.9397
508.000000	86.337	-5.6351
515.000000	86.295	-5.3615
522.000000	86.253	-5.0803
530.000000	86.206	-4.7453
538.000000	86.159	-4.3966
545.000000	86.117	-4.0853
552.000000	86.074	-3.7684
560.000000	86.025	-3.3967
570.000000	85.964	-2.9147
580.000000	85.906	-2.4127
590.000000	85.849	-1.8942
600.000000	85.793	-1.3580
608.000000	85.751	-0.9139
615.000000	85.715	-0.5187
622.000000	85.681	-0.1165
630.000000	85.644	0.3569
640.000000	85.598	0.9669
650.000000	85.555	1.5915
660.000000	85.514	2.2304
670.000000	85.477	2.8881
680.000000	85.443	3.5662
690.000000	85.413	4.2576
700.000000	85.387	4.9614
710.000000	85.364	5.6845
720.000000	85.346	6.4261
730.000000	85.331	7.1784
740.000000	85.319	7.9404
750.000000	85.311	8.7109
762.000000	85.308	9.6463
775.000000	85.309	10.6834
788.000000	85.319	11.7425
800.000000	85.337	12.7299
812.000000	85.364	13.7129
825.000000	85.402	14.7665
838.000000	85.448	15.8021
850.000000	85.496	16.7413
862.000000	85.547	17.6659
875.000000	85.608	18.6599
885.000000	85.658	19.4257
900.000000	85.743	20.5671
912.000000	85.818	21.4683
925.000000	85.907	22.4220
938.000000	86.004	23.3478
950.000000	86.100	24.1775
962.000000	86.202	24.9804
975.000000	86.319	25.8144
988.000000	86.442	26.6091
1000.000000	86.561	27.3057
1015.000000	86.717	28.1231
1030.000000	86.879	28.8709
1044.000000	87.036	29.5013
1060.000000	87.219	30.1423
1075.000000	87.388	30.6664
1090.000000	87.555	31.1171
1106.000000	87.736	31.5148
1120.000000	87.897	31.7901
1138.000000	88.104	32.0525
1150.000000	88.242	32.1713
1172.000000	88.493	32.2693
1180.000000	88.584	32.2684
1206.000000	88.880	32.1391
1220.000000	89.046	31.9914
1241.000000	89.299	31.6674
1250.000000	89.407	31.4901
1265.000000	89.586	31.1439
1280.000000	89.760	30.7355
1315.000000	90.154	29.5272
1320.000000	90.208	29.3252
1340.000000	90.419	28.4424
1360.000000	90.623	27.4384
1380.000000	90.819	26.3142
1400.000000	91.004	25.0682
1430.000000	91.247	22.9730
1450.000000	91.382	21.4386
1475.000000	91.512	19.3924
1500.000000	91.596	17.2481
1525.000000	91.623	15.0737
1550.000000	91.586	12.9585
1575.000000	91.490	11.0090
1600.000000	91.343	9.3426
1625.000000	91.156	8.0751
1650.000000	90.944	7.3019
1675.000000	90.726	7.0767
1700.000000	90.528	7.3929
1725.000000	90.372	8.1907
1750.000000	90.276	9.3672
1775.000000	90.254	10.7764
1800.000000	90.310	12.2533
1825.000000	90.443	13.6436
1850.000000	90.641	14.8100
1875.000000	90.893	15.6401
1900.000000	91.184	16.0551
1925.000000	91.496	16.0062
1950.000000	91.811	15.4696
1975.000000	92.117	14.4428
2000.000000	92.397	12.9467
2030.000000	92.685	10.5848
2060.000000	92.903	7.6909
2090.000000	93.041	4.3853
2120.000000	93.092	0.8125
2140.000000	93.076	-1.6330
2180.000000	92.932	-6.4258
2200.000000	92.807	-8.6622
2240.000000	92.469	-12.5702
2270.000000	92.155	-14.8718
2300.000000	91.809	-16.5640
